name,gb,Average_Accessibility
梅州市,156441400,0.00017114495978093444
鄂州市,156420700,0.0005060728443296332
吕梁市,156141100,8.930963650977941e-05
舟山市,156330900,0.0014154281670205238
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003290014805066623
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.051490514905149054
三明市,156350400,0.0
景德镇市,156360200,0.0007192519779429394
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0006121449559255632
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.004954268292682927
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00030015608116220433
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.0007376807317792859
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,7.097231656461003e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.001994533500775652
贵阳市,156520100,0.0
珠海市,156440400,0.0070242656449553
长春市,156220100,9.94859732436691e-05
延边朝鲜族自治州,156222400,0.0001364442625187611
萍乡市,156360300,0.0002726281352235551
庆阳市,156621000,0.0
泉州市,156350500,0.0006782727195158442
自贡市,156510300,0.0011501807426881367
临沂市,156371300,0.0011889559205601303
百色市,156451000,0.0
鞍山市,156210300,0.0001021659174499387
铜陵市,156340700,0.0
唐山市,156130200,0.0002879023435250763
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0036891860733225734
兴安盟,156152200,0.0003255473264425816
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,8.231808686279961e-05
商洛市,156611000,0.0
盐城市,156320900,0.00025302363240726686
汕头市,156440500,0.0012776831345826234
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.014319809069212411
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.003080568720379147
常德市,156430700,0.0001048712705154423
牡丹江市,156231000,0.0
淮南市,156340400,0.000274914089347079
德阳市,156510600,0.00014259231153439475
威海市,156371000,0.0004325883201153569
秦皇岛市,156130300,0.00011806374739024264
绍兴市,156330600,0.0006446621970087674
阳江市,156441700,0.00032087277394513073
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00032829940906106366
遵义市,156520300,4.2448425163426435e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0010104837691044587
佛山市,156440600,0.0019157088122605363
大同市,156140200,0.00023954963238599958
昆明市,156530100,0.00042402826855123676
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.0007471810895258796
邯郸市,156130400,0.0002618315114223997
马鞍山市,156340500,0.0007699711260827719
日照市,156371100,0.00014465499783017504
三亚市,156460200,0.005177993527508091
十堰市,156420300,0.0
呼和浩特市,156150100,0.0009515879624122755
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.00046948356807511736
安阳市,156410500,0.0006439841150584952
怀化市,156431200,0.0
阳泉市,156140300,0.00035026273877733434
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0005793742757821553
陵水黎族自治县,156469028,0.002484472049689441
博尔塔拉蒙古自治州,156652700,0.00026483050847457627
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00015748031496062991
齐齐哈尔市,156230200,4.028197381671702e-05
龙岩市,156350800,0.00010456969570218551
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0005182018396165306
仙桃市,156429004,0.0003181673560292714
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.000581170089112747
镇江市,156321100,0.001902587519025875
昌江黎族自治县,156469026,0.0
周口市,156411600,0.00011948145050480913
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.0002497502348639748
澄迈县,156469023,0.0
长沙市,156430100,0.0006839425488258987
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.001095290251916758
乐山市,156511100,0.0004353030797692894
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.00018069023670421009
东营市,156370500,0.0
鹤壁市,156410600,0.00211864406779661
娄底市,156431300,0.00010830715910321672
包头市,156150200,0.00014777597162701344
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.00021081479919890376
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.00020004000800160032
上海市,156310000,0.014871116986120292
鸡西市,156230300,0.00036859565057132326
宁德市,156350900,0.0001295672454003628
保定市,156130600,0.00017347557297169836
菏泽市,156371700,0.00035271295044383044
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.00047602046888016187
驻马店市,156411700,0.00020370747606437156
哈密市,156650500,0.00028121484814398203
株洲市,156430200,0.00028697149416491294
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.00027324890805915117
平凉市,156620800,0.0001147841988516248
眉山市,156511400,0.0001252661906551422
青岛市,156370200,0.0015188125647221263
新乡市,156410700,0.001045826202700133
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.00015328018706243948
广州市,156440100,0.0044111749766074055
吉林市,156220200,0.0
九江市,156360400,0.0002086666202963066
漳州市,156350600,0.00010672357955126523
来宾市,156451300,0.0
张家口市,156130700,0.00010351966256680696
德州市,156371400,0.0008442974741433898
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.0
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0
昆玉市,156659009,0.0
