name,gb,Average_Accessibility
梅州市,156441400,0.14631734219967935
鄂州市,156420700,0.30435009316934475
吕梁市,156141100,0.09166146938653053
舟山市,156330900,0.9713924936265633
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.13735216998175104
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,2.05169495457197
三明市,156350400,0.0
景德镇市,156360200,0.5221196186972744
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.606267840094396
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.8417991209403316
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.13550249307086823
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.8775748125829798
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.06556220856118142
葫芦岛市,156211400,0.0
济南市,156370100,0.9097148540369724
贵阳市,156520100,0.0
珠海市,156440400,1.3617686873064285
长春市,156220100,0.13046983691955696
延边朝鲜族自治州,156222400,0.26695284806708053
萍乡市,156360300,0.1698513771989885
庆阳市,156621000,0.0
泉州市,156350500,0.21846152346199205
自贡市,156510300,1.0144412818657857
临沂市,156371300,0.7014936520488882
百色市,156451000,0.0
鞍山市,156210300,0.14847392012809946
铜陵市,156340700,0.0
唐山市,156130200,0.23616219039351227
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,1.5289265390020526
兴安盟,156152200,1.232585870322499
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.05155072909591365
商洛市,156611000,0.0
盐城市,156320900,0.3049174566689973
汕头市,156440500,0.1437662956392379
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,1.3513497766268636
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.7229163870023846
常德市,156430700,0.15507890827724918
牡丹江市,156231000,0.0
淮南市,156340400,0.2083947570411863
德阳市,156510600,0.11658422197753616
威海市,156371000,0.4946046864354251
秦皇岛市,156130300,0.1170127100951505
绍兴市,156330600,0.3864820897157367
阳江市,156441700,0.2323733349390735
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.30669696252798767
遵义市,156520300,0.04146837843698869
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.3132427299515901
佛山市,156440600,0.27834741920793926
大同市,156140200,0.241950330250773
昆明市,156530100,0.20781516384823864
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.5169085456929392
邯郸市,156130400,0.11176218489059027
马鞍山市,156340500,0.6807873242681313
日照市,156371100,0.10958940079338164
三亚市,156460200,2.3590190777807005
十堰市,156420300,0.0
呼和浩特市,156150100,0.6856701651351335
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.22659448510435165
安阳市,156410500,0.2971163359227722
怀化市,156431200,0.0
阳泉市,156140300,0.30270831670672815
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.4858968161246556
陵水黎族自治县,156469028,1.654396557218082
博尔塔拉蒙古自治州,156652700,0.8054448079729178
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.5134313137942081
齐齐哈尔市,156230200,0.11804550526185502
龙岩市,156350800,0.1193045506693557
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.3243424283678459
仙桃市,156429004,0.3153549758003557
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.5054014875872133
镇江市,156321100,1.3360053427936494
昌江黎族自治县,156469026,0.0
周口市,156411600,0.05672753227834518
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.4256858573784803
澄迈县,156469023,0.0
长沙市,156430100,0.25977001886741
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.3013854678570515
乐山市,156511100,0.5100368853317888
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.19165680196445797
东营市,156370500,0.0
鹤壁市,156410600,1.0380587086032926
娄底市,156431300,0.07496492637378972
包头市,156150200,0.14794212144974486
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.22507694636141126
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.43171090185438177
上海市,156310000,2.4420131640451004
鸡西市,156230300,1.1595233928170823
宁德市,156350900,0.10920512022956465
保定市,156130600,0.11210039582980388
菏泽市,156371700,0.18177262537235914
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.38916826655197667
驻马店市,156411700,0.15061301246616363
哈密市,156650500,0.6348964499691298
株洲市,156430200,0.2513145855487914
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.2251729815469737
平凉市,156620800,0.16866676931643473
眉山市,156511400,0.13056262193071744
青岛市,156370200,0.7727356484306116
新乡市,156410700,0.474626894136177
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.17789037592770748
广州市,156440100,0.5213640395016997
吉林市,156220200,0.0
九江市,156360400,0.18130821443130896
漳州市,156350600,0.06419749804658087
来宾市,156451300,0.0
张家口市,156130700,0.18973207564851233
德州市,156371400,0.672441824779258
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.0
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0
昆玉市,156659009,0.0
惠州市,156441300,0.09328549909143369
可克达拉市,156659008,0.0
襄阳市,156420600,0.28235186721992234
南宁市,156450100,0.12432004912689607
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.4671260043633782
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.1741966127794891
石河子市,156659001,0.0
赤峰市,156150400,0.10047323519216828
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,2.3970469962392063
韶关市,156440200,0.10619826711021894
朔州市,156140600,0.20883409742827375
四平市,156220300,0.0
