name,gb,Gini_Coefficient
梅州市,156441400,0.7219723509144562
鄂州市,156420700,0.8723130645750508
吕梁市,156141100,0.8517443231021645
舟山市,156330900,0.793535004584101
朝阳市,156211300,0.976832035918824
广安市,156511600,0.9071411776245456
濮阳市,156410900,0.8212504845607446
宣城市,156341800,0.8182795268199805
六盘水市,156520200,0.880275409147225
深圳市,156440300,0.3320114744896274
三明市,156350400,0.779920449110149
景德镇市,156360200,0.815336643418263
楚雄彝族自治州,156532300,0.9225736848493292
大连市,156210200,0.7422400801038453
攀枝花市,156510400,0.9071229259888222
贺州市,156451100,0.7823792735005486
西安市,156610100,0.517538226498075
境界线,,0.0
淮北市,156340600,0.874518301787513
邵阳市,156430500,0.8559205207186786
石家庄市,156130100,0.7611377396859125
汕尾市,156441500,0.7910595983028961
荆门市,156420800,0.8793238327666771
衢州市,156330800,0.815912100687407
迪庆藏族自治州,156533400,0.7957235075748108
宜宾市,156511500,0.8438734261086674
葫芦岛市,156211400,0.940391074905956
济南市,156370100,0.7620206536435583
贵阳市,156520100,0.7345271203475054
珠海市,156440400,0.4061784410725705
长春市,156220100,0.8740063235562716
延边朝鲜族自治州,156222400,0.8341274189855687
萍乡市,156360300,0.870328787603536
庆阳市,156621000,0.8903423489024118
泉州市,156350500,0.6981069905752988
自贡市,156510300,0.8641901694552027
临沂市,156371300,0.8431958218880293
百色市,156451000,0.8353696261957919
鞍山市,156210300,0.957288638580424
铜陵市,156340700,0.8008974955411823
唐山市,156130200,0.8451765532291854
岳阳市,156430600,0.8369983256212048
河源市,156441600,0.6614744165436766
孝感市,156420900,0.9258975913036334
金华市,156330700,0.7191097856726023
兴安盟,156152200,0.9945892252906423
盘锦市,156211100,0.9129753513216603
雅安市,156511800,0.7669206529113652
亳州市,156341600,0.9124632979469334
商洛市,156611000,0.8874117951659151
盐城市,156320900,0.8132417633848634
汕头市,156440500,0.8059280954802513
安顺市,156520400,0.9043171613023252
黔南布依族苗族自治州,156522700,0.8602935694401276
厦门市,156350200,0.5070506555857983
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9757031918988948
红河哈尼族彝族自治州,156532500,0.8552005667017699
甘南藏族自治州,156623000,0.9028510673801986
太原市,156140100,0.600871558568703
常德市,156430700,0.8792890947968199
牡丹江市,156231000,0.9509291020801542
淮南市,156340400,0.9227378921359226
德阳市,156510600,0.8850851765345971
威海市,156371000,0.8405658417362063
秦皇岛市,156130300,0.8948529249956018
绍兴市,156330600,0.8305888954580609
阳江市,156441700,0.7145847246073478
铁岭市,156211200,0.9755346360430658
达州市,156511700,0.8830355588485225
池州市,156341700,0.9414448465161518
淮安市,156320800,0.8255352420673063
遵义市,156520300,0.8171936921840007
黔东南苗族侗族自治州,156522600,0.846892463914645
莆田市,156350300,0.8324764616946357
南昌市,156360100,0.6155605130987355
佛山市,156440600,0.5112322276466044
大同市,156140200,0.9030840357890606
昆明市,156530100,0.6228061227709337
张家界市,156430800,0.8345956604038337
泸州市,156510500,0.899957743137166
