name,gb,Average_Accessibility
梅州市,156441400,0.013176638176638177
鄂州市,156420700,0.014765784114052953
吕梁市,156141100,0.006696428571428571
舟山市,156330900,0.08581314878892733
朝阳市,156211300,0.000502108857200241
广安市,156511600,0.004530011325028313
濮阳市,156410900,0.01935591523444018
宣城市,156341800,0.007229144868258347
六盘水市,156520200,0.003746721618583739
深圳市,156440300,1.6217948717948718
三明市,156350400,0.013126009693053312
景德镇市,156360200,0.008020050125313283
楚雄彝族自治州,156532300,0.0038745719949540456
大连市,156210200,0.018955071681362845
攀枝花市,156510400,0.00407806583163414
贺州市,156451100,0.00593657241056085
西安市,156610100,0.14784394250513347
境界线,,0.0
淮北市,156340600,0.0053998457186937516
邵阳市,156430500,0.00482468443197756
石家庄市,156130100,0.025874724736970882
汕尾市,156441500,0.016234616391725583
荆门市,156420800,0.002590865349026575
衢州市,156330800,0.027375201288244767
迪庆藏族自治州,156533400,0.0072666294019005035
宜宾市,156511500,0.005068170461845956
葫芦岛市,156211400,0.002806699864191942
济南市,156370100,0.032621678112869514
贵阳市,156520100,0.023759435713401805
珠海市,156440400,0.24
长春市,156220100,0.0041797621747723815
延边朝鲜族自治州,156222400,0.006558173427252854
萍乡市,156360300,0.0063465783664459164
庆阳市,156621000,0.0040384615384615385
泉州市,156350500,0.06553763356511354
自贡市,156510300,0.004919645472720788
临沂市,156371300,0.016889483065953653
百色市,156451000,0.0032759606884717385
鞍山市,156210300,0.0017998200179982
铜陵市,156340700,0.008766968325791855
唐山市,156130200,0.01922740779583989
岳阳市,156430600,0.006975817167153867
河源市,156441600,0.01432082932563856
孝感市,156420900,0.005858494817485353
金华市,156330700,0.03525046382189239
兴安盟,156152200,0.0001520450053215752
盘锦市,156211100,0.0054787372815027395
雅安市,156511800,0.017607042817126852
亳州市,156341600,0.0036375661375661374
商洛市,156611000,0.005078929306794783
盐城市,156320900,0.014034911212837668
汕头市,156440500,0.03762029746281715
安顺市,156520400,0.005846612403989453
黔南布依族苗族自治州,156522700,0.004379798853682276
厦门市,156350200,0.3080194596097072
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0002761820592134335
红河哈尼族彝族自治州,156532500,0.004467960023515579
甘南藏族自治州,156623000,0.0005614822798401769
太原市,156140100,0.10365560365560365
常德市,156430700,0.00411522633744856
牡丹江市,156231000,0.0013692377909630307
淮南市,156340400,0.004694835680751174
德阳市,156510600,0.009816474605207
威海市,156371000,0.010381593714927048
秦皇岛市,156130300,0.01890856869315462
绍兴市,156330600,0.024047070862113072
阳江市,156441700,0.013350914784901928
铁岭市,156211200,0.0012474660845158273
达州市,156511700,0.0026121902210314804
池州市,156341700,0.004103967168262654
淮安市,156320800,0.013434914393380848
遵义市,156520300,0.005807353069600908
黔东南苗族侗族自治州,156522600,0.004599533913896725
莆田市,156350300,0.031182463723371412
南昌市,156360100,0.04989042155472476
佛山市,156440600,0.21181001283697048
大同市,156140200,0.006861682918020947
昆明市,156530100,0.03683601100014474
张家界市,156430800,0.009077155824508321
泸州市,156510500,0.005159657320872274
沈阳市,156210100,0.008514851485148515
邯郸市,156130400,0.012506724045185583
马鞍山市,156340500,0.00712086220169361
日照市,156371100,0.022011661807580175
三亚市,156460200,0.12239409230584335
十堰市,156420300,0.009470393527031997
呼和浩特市,156150100,0.009070561903640004
德宏傣族景颇族自治州,156533100,0.0046358895112999805
梧州市,156450400,0.011913814955640051
枣庄市,156370400,0.018141662722826944
安阳市,156410500,0.009424657534246575
怀化市,156431200,0.004232804232804233
阳泉市,156140300,0.01391304347826087
