name,gb,Gini_Coefficient
梅州市,156441400,0.7089855392860176
鄂州市,156420700,0.8702722294691132
吕梁市,156141100,0.8580903528222039
舟山市,156330900,0.7855467813881201
朝阳市,156211300,0.9792403134994848
广安市,156511600,0.9071531692114505
濮阳市,156410900,0.8185060068758192
宣城市,156341800,0.8263156626616972
六盘水市,156520200,0.8795841163259062
深圳市,156440300,0.3128949932532773
三明市,156350400,0.7829059545800714
景德镇市,156360200,0.7923846040867109
楚雄彝族自治州,156532300,0.9252143990394792
大连市,156210200,0.7603506380092564
攀枝花市,156510400,0.9112374972306092
贺州市,156451100,0.7838687589501255
西安市,156610100,0.519779801347581
境界线,,0.0
淮北市,156340600,0.8727051084906792
邵阳市,156430500,0.8595213434079014
石家庄市,156130100,0.7835362056330972
汕尾市,156441500,0.775605831046522
荆门市,156420800,0.8843379556201677
衢州市,156330800,0.8243821381849982
迪庆藏族自治州,156533400,0.8130447201183926
宜宾市,156511500,0.8420435230705227
葫芦岛市,156211400,0.9410197822858568
济南市,156370100,0.7845904604344061
贵阳市,156520100,0.7216715795479718
珠海市,156440400,0.40919976735679864
长春市,156220100,0.9046721328215972
延边朝鲜族自治州,156222400,0.8599813680280655
萍乡市,156360300,0.8713406430635326
庆阳市,156621000,0.8990666114218483
泉州市,156350500,0.7084577438153239
自贡市,156510300,0.8660393066398048
临沂市,156371300,0.8600809129801809
百色市,156451000,0.8368118835573002
鞍山市,156210300,0.9546901970528449
铜陵市,156340700,0.8180224360147867
唐山市,156130200,0.8448656345354542
岳阳市,156430600,0.8418499579239426
河源市,156441600,0.6702991160772361
孝感市,156420900,0.9319407344847228
金华市,156330700,0.7414565100490816
兴安盟,156152200,0.9936215150855042
盘锦市,156211100,0.9122160135785896
雅安市,156511800,0.778834258444994
亳州市,156341600,0.9051101392880254
商洛市,156611000,0.8929511123714426
盐城市,156320900,0.8270132721688428
汕头市,156440500,0.7735430398041857
安顺市,156520400,0.8964715618949135
黔南布依族苗族自治州,156522700,0.851513518523487
厦门市,156350200,0.4805848096950436
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9722223891812967
红河哈尼族彝族自治州,156532500,0.8485625773117569
甘南藏族自治州,156623000,0.9258336783358445
太原市,156140100,0.6172631815426222
常德市,156430700,0.885658880667652
牡丹江市,156231000,0.9535067892394207
淮南市,156340400,0.9190832185143512
德阳市,156510600,0.8862157671250039
威海市,156371000,0.86720406902729
秦皇岛市,156130300,0.8997659701977877
绍兴市,156330600,0.8350356658644973
阳江市,156441700,0.7126540359280394
铁岭市,156211200,0.9771227516508015
达州市,156511700,0.8748489083652421
池州市,156341700,0.9382329861546398
淮安市,156320800,0.82998086379998
遵义市,156520300,0.8142831772996699
黔东南苗族侗族自治州,156522600,0.8499442652155048
莆田市,156350300,0.8374779145542987
南昌市,156360100,0.6361205077651579
佛山市,156440600,0.5093483426351173
大同市,156140200,0.9076950323530235
昆明市,156530100,0.631005620864273
张家界市,156430800,0.8493636190734553
泸州市,156510500,0.8943218460139203
沈阳市,156210100,0.8502498585664897
邯郸市,156130400,0.917090527788332
马鞍山市,156340500,0.9118139004541568
日照市,156371100,0.7720214483288097
三亚市,156460200,0.41796259321829354
十堰市,156420300,0.7538476335425489
呼和浩特市,156150100,0.8484325357074646
德宏傣族景颇族自治州,156533100,0.82730438871229
梧州市,156450400,0.6859098133513717
枣庄市,156370400,0.8946434718349429
安阳市,156410500,0.9078234805636285
怀化市,156431200,0.8527941626197636
阳泉市,156140300,0.7947244478873097
保亭黎族苗族自治县,156469029,0.5433773318423742
中农发山丹马场,156629700,0.9533115386215497
鹰潭市,156360600,0.9299234262212742
陵水黎族自治县,156469028,0.5016627034186039
博尔塔拉蒙古自治州,156652700,0.9405486651509468
乐东黎族自治县,156469027,0.8600516374507533
辽源市,156220400,0.9530414505363385
齐齐哈尔市,156230200,0.9798331779638195
龙岩市,156350800,0.8285501803441893
天门市,156429006,0.9697615672295875
潜江市,156429005,0.9678769390070789
邢台市,156130500,0.880315167446527
仙桃市,156429004,0.889088245488219
绥化市,156231200,0.9813835879780114
丹东市,156210600,0.957365519765018
滨州市,156371600,0.9463449185598568
镇江市,156321100,0.8149599685284346
昌江黎族自治县,156469026,0.7516846486368758
周口市,156411600,0.9629499844930736
白沙黎族自治县,156469025,0.5548394836433136
临高县,156469024,0.780982158951089
吐鲁番市,156650400,0.9376769368177194
澄迈县,156469023,0.8202759752810046
长沙市,156430100,0.586019540321596
屯昌县,156469022,0.8253103647215946
定安县,156469021,0.7328012427302738
海口市,156460100,0.36376505149398297
乐山市,156511100,0.8632674984222205
凉山彝族自治州,156513400,0.9273386825217601
桂林市,156450300,0.7881644783274112
东营市,156370500,0.8021454082246585
鹤壁市,156410600,0.9089562889021277
娄底市,156431300,0.848998655336845
包头市,156150200,0.9326201133850871
锡林郭勒盟,156152500,0.9895162563009969
琼中黎族苗族自治县,156469030,0.8713494339626995
长治市,156140400,0.8806067894934339
赣州市,156360700,0.7543007605818821
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8849048898011107
巴音郭楞蒙古自治州,156652800,0.8803513844887065
上海市,156310000,0.47655683010197314
鸡西市,156230300,0.9795212981988061
宁德市,156350900,0.8295752845097013
保定市,156130600,0.9068856698302672
菏泽市,156371700,0.9452407200887799
崇左市,156451400,0.9005735363898473
黑河市,156231100,0.9519238825279269
扬州市,156321000,0.8163859384603825
驻马店市,156411700,0.9427329059090107
哈密市,156650500,0.8896866527637185
株洲市,156430200,0.7846090356948168
锦州市,156210700,0.9549403568692412
肇庆市,156441200,0.7135083624943951
恩施土家族苗族自治州,156422800,0.862521591284892
宜昌市,156420500,0.7874397586641961
怒江傈僳族自治州,156533300,0.8661260861126666
柳州市,156450200,0.6832464200683891
平凉市,156620800,0.8925830558784421
眉山市,156511400,0.8680502023144716
青岛市,156370200,0.6796234421744456
新乡市,156410700,0.8760990573443459
乌海市,156150300,0.9129975073661742
黔西南布依族苗族自治州,156522300,0.8543309089188278
晋城市,156140500,0.8247060588134392
广州市,156440100,0.40139864832234196
吉林市,156220200,0.9598607408247511
九江市,156360400,0.8793353505968546
漳州市,156350600,0.7434957618650129
来宾市,156451300,0.884374472263832
张家口市,156130700,0.8659389026123372
德州市,156371400,0.9157286125420281
胡杨河市,156659010,0.0
固原市,156640400,0.8884951674811068
抚顺市,156210400,0.9669267398182462
安庆市,156340800,0.842683083044921
白杨市,156659012,0.0
新星市,156659011,0.9106855966637457
克拉玛依市,156650200,0.7738205507915863
湘潭市,156430300,0.7941204145607416
昆玉市,156659009,0.0
惠州市,156441300,0.5794435299070844
可克达拉市,156659008,0.974197733539358
襄阳市,156420600,0.8309087859214238
南宁市,156450100,0.7316907313597141
南充市,156511300,0.8405374744398392
酒泉市,156620900,0.7903724649698574
淄博市,156370300,0.8286974932206836
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.9910251545195693
焦作市,156410800,0.8604721640864152
石河子市,156659001,0.9493962400666481
赤峰市,156150400,0.9901744653255095
双河市,156659007,0.0
铁门关市,156659006,0.9958722464688238
北屯市,156659005,0.8951617024545768
五家渠市,156659004,0.7977113254038506
韶关市,156440200,0.8118459496503883
朔州市,156140600,0.9428656809815985
四平市,156220300,0.9743758569339599
新余市,156360500,0.8187363314735436
南平市,156350700,0.7652832005565996
哈尔滨市,156230100,0.9052974594616402
成都市,156510100,0.5871769006724039
河池市,156451200,0.8100540330598873
中卫市,156640500,0.8370118626546876
本溪市,156210500,0.9070323119376593
承德市,156130800,0.9426261362515386
聊城市,156371500,0.913822295931292
衡阳市,156430400,0.8882868985220725
湘西土家族苗族自治州,156433100,0.8343288973662643
杭州市,156330100,0.6032371157463494
玉树藏族自治州,156632700,0.9988073387174934
武威市,156620600,0.8994201247318404
临夏回族自治州,156622900,0.9245423512162301
黄山市,156341000,0.7886025447522539
徐州市,156320300,0.8515790729733401
济宁市,156370800,0.8829708701309154
揭阳市,156445200,0.781718324310233
那曲市,156540600,0.9740366037310816
郑州市,156410100,0.6192180379072109
通辽市,156150500,0.9854835267052833
贵港市,156450800,0.90008652506093
安康市,156610900,0.9420929842235928
昌吉回族自治州,156652300,0.9501548988236745
晋中市,156140700,0.8359417534265348
大庆市,156230600,0.9696077528226102
普洱市,156530800,0.8683169357406177
白城市,156220800,0.9812818919902391
石嘴山市,156640200,0.859922427366303
荆州市,156421000,0.9147825891603909
沧州市,156130900,0.9195588632592708
三门峡市,156411200,0.7413422502443139
海西蒙古族藏族自治州,156632800,0.908489407831169
云浮市,156445300,0.7442661540311024
张掖市,156620700,0.7912011149556524
滁州市,156341100,0.8827606667152496
泰安市,156370900,0.847885709893205
无锡市,156320200,0.7079323651256042
大兴安岭地区,156232700,0.8657386972393386
鄂尔多斯市,156150600,0.8429069257681692
阿拉善盟,156152900,0.6962615231691421
山南市,156540500,0.940193629686947
开封市,156410200,0.8916364142509634
重庆市,156500000,0.7441881992229327
钦州市,156450700,0.9149034663236959
榆林市,156610800,0.9161783522420641
伊春市,156230700,0.9759602754725549
运城市,156140800,0.9044198103460772
丽江市,156530700,0.8645266326854345
黄冈市,156421100,0.8996594814935535
吴忠市,156640300,0.8675902166793754
南阳市,156411300,0.9139355052693282
乌鲁木齐市,156650100,0.857472375224066
和田地区,156653200,0.9686533013786699
海南藏族自治州,156632500,0.9371511324071118
海东市,156630200,0.9239655957071209
武汉市,156420100,0.43567057728537484
儋州市,156460400,0.7563002724960749
甘孜藏族自治州,156513300,0.8379224009390767
内江市,156511000,0.8776177199620189
烟台市,156370600,0.8124463200489652
南京市,156320100,0.5179231833985094
白银市,156620400,0.918877700767857
郴州市,156431000,0.8486308144666246
呼伦贝尔市,156150700,0.9691257296375918
防城港市,156450600,0.8290138909331507
北京市,156110000,0.485866943524923
洛阳市,156410300,0.7594545812605488
汉中市,156610700,0.8660363648302195
吉安市,156360800,0.9146831361496442
