name,gb,Average_Accessibility
梅州市,156441400,0.0001843487879067195
鄂州市,156420700,0.000514668039114771
吕梁市,156141100,0.0002006219160187291
舟山市,156330900,0.0007047216349541931
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003360215053763441
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.07633221315410466
三明市,156350400,0.0023013698630136984
景德镇市,156360200,0.0005285412262156448
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0013903161458018497
攀枝花市,156510400,0.0009535917868980995
贺州市,156451100,0.0
西安市,156610100,0.010889292196007259
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.000989303159586966
汕尾市,156441500,0.0
荆门市,156420800,7.55344149263003e-05
衢州市,156330800,0.0007450454477723141
迪庆藏族自治州,156533400,0.0006657790407518572
宜宾市,156511500,7.250580046403712e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.00333889816360601
贵阳市,156520100,0.0011677695601401323
珠海市,156440400,0.01342756183745583
长春市,156220100,0.00013376136971642589
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.0002812939186471759
庆阳市,156621000,0.0001039825433304866
泉州市,156350500,0.0009769202588838686
自贡市,156510300,0.0013153567905294311
临沂市,156371300,0.001575937682921338
百色市,156451000,0.0
鞍山市,156210300,0.0001019367931085989
铜陵市,156340700,0.000286286859433152
唐山市,156130200,0.0007104375111005861
岳阳市,156430600,0.00013494366102152351
河源市,156441600,0.0
孝感市,156420900,0.0001824817518248175
金华市,156330700,0.003027367401307823
兴安盟,156152200,0.00027888816584549595
盘锦市,156211100,0.00027085590465872155
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.0008575896685668163
汕头市,156440500,0.0013440860215053765
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.025461489497135583
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.005620848237097598
常德市,156430700,0.00010531858873091101
牡丹江市,156231000,0.00012262417157685954
淮南市,156340400,0.0004171301446051168
德阳市,156510600,0.00028514399771884804
威海市,156371000,0.0005606166783461808
秦皇岛市,156130300,0.00012116806009935781
绍兴市,156330600,0.0006561679790026247
阳江市,156441700,0.00017132088401576153
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00041203131437989287
遵义市,156520300,9.104980424292088e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0019734246748683484
佛山市,156440600,0.005686789151356081
