name,gb,Average_Accessibility
梅州市,156441400,77.9809549350959
鄂州市,156420700,64.78231330500914
吕梁市,156141100,34.63867001110417
舟山市,156330900,69.37941405555446
朝阳市,156211300,6.879259238944789
广安市,156511600,12.477747978342313
濮阳市,156410900,54.619389394027365
宣城市,156341800,84.24145264987573
六盘水市,156520200,42.39142039915092
深圳市,156440300,429.8510598765449
三明市,156350400,44.947264531019925
景德镇市,156360200,48.542649507679975
楚雄彝族自治州,156532300,63.55671596877835
大连市,156210200,33.91907204558229
攀枝花市,156510400,25.944168314360198
贺州市,156451100,96.09773483659008
西安市,156610100,78.63376367011458
境界线,,0.0
淮北市,156340600,63.21600270806019
邵阳市,156430500,15.462413343358824
石家庄市,156130100,38.556350053805694
汕尾市,156441500,73.4650874823233
荆门市,156420800,49.075042180077155
衢州市,156330800,68.98221003416403
迪庆藏族自治州,156533400,84.88003535885258
宜宾市,156511500,28.626389861381462
葫芦岛市,156211400,10.527625611948556
济南市,156370100,47.3253310138572
贵阳市,156520100,86.08681087361641
珠海市,156440400,323.6641689632949
长春市,156220100,19.947516389869875
延边朝鲜族自治州,156222400,15.07246851530457
萍乡市,156360300,41.82269911073488
庆阳市,156621000,24.77466000510763
泉州市,156350500,78.01087302149277
自贡市,156510300,18.179970318740864
临沂市,156371300,59.26094548623743
百色市,156451000,72.9400553257721
鞍山市,156210300,12.139173951494246
铜陵市,156340700,72.1105780674992
唐山市,156130200,39.31246618031211
岳阳市,156430600,26.837244908815645
河源市,156441600,133.47238499082692
孝感市,156420900,35.9038252155765
金华市,156330700,82.299458913495
兴安盟,156152200,11.49865862904818
盘锦市,156211100,22.961626962358928
雅安市,156511800,48.48461777420703
亳州市,156341600,44.470867275671004
商洛市,156611000,20.581055854639697
盐城市,156320900,46.72965464622113
汕头市,156440500,36.783079358265915
安顺市,156520400,47.53273869679415
黔南布依族苗族自治州,156522700,48.58113546412113
厦门市,156350200,141.17050519185642
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,71.13967934271713
红河哈尼族彝族自治州,156532500,52.72139733543461
甘南藏族自治州,156623000,27.837557623325864
太原市,156140100,77.8424128198816
常德市,156430700,16.319099866884336
牡丹江市,156231000,9.743926233789741
淮南市,156340400,36.353904560788074
德阳市,156510600,26.906317965132825
威海市,156371000,34.30309700075753
秦皇岛市,156130300,35.030988860390586
绍兴市,156330600,64.11909918848603
阳江市,156441700,74.70369047435432
铁岭市,156211200,7.0597190790844175
达州市,156511700,12.923889485611998
池州市,156341700,89.11420404610071
淮安市,156320800,60.51534506269515
遵义市,156520300,58.825842992601984
黔东南苗族侗族自治州,156522600,56.8404224182542
莆田市,156350300,38.996379617311774
南昌市,156360100,78.57306403178045
佛山市,156440600,231.35274448162093
大同市,156140200,27.408629132648734
昆明市,156530100,98.92184719961199
张家界市,156430800,23.846500042217993
泸州市,156510500,18.382280270493755
沈阳市,156210100,30.384523268284617
邯郸市,156130400,28.34310761280381
马鞍山市,156340500,42.539395461973676
日照市,156371100,58.68535970112599
三亚市,156460200,329.78414040202694
十堰市,156420300,94.46115564586619
呼和浩特市,156150100,39.11729966234181
德宏傣族景颇族自治州,156533100,70.92512943415998
梧州市,156450400,69.00510296603333
枣庄市,156370400,48.05167407971447
安阳市,156410500,34.306484287740275
怀化市,156431200,17.48196677939527
阳泉市,156140300,34.77442318287116
保亭黎族苗族自治县,156469029,311.9989636655021
中农发山丹马场,156629700,0.0
鹰潭市,156360600,56.44096616354244
陵水黎族自治县,156469028,234.7712339480337
博尔塔拉蒙古自治州,156652700,54.21177624256791
乐东黎族自治县,156469027,98.05643334146711
辽源市,156220400,9.212698058272814
齐齐哈尔市,156230200,3.4453163084666043
龙岩市,156350800,78.13478530025657
天门市,156429006,24.773017222414293
潜江市,156429005,41.340164341377445
邢台市,156130500,38.87690895836525
仙桃市,156429004,29.248128246071225
绥化市,156231200,4.536687878049299
丹东市,156210600,9.952905445951707
滨州市,156371600,42.102971246071604
镇江市,156321100,68.75351314612787
昌江黎族自治县,156469026,156.8651570340214
周口市,156411600,27.79353341033744
白沙黎族自治县,156469025,371.61719052863015
临高县,156469024,62.431478019229935
吐鲁番市,156650400,123.71676889343479
澄迈县,156469023,171.50486960998356
长沙市,156430100,106.34286351478666
屯昌县,156469022,147.14205032855233
定安县,156469021,89.51451453860336
海口市,156460100,227.61490726734402
乐山市,156511100,25.38236172981732
凉山彝族自治州,156513400,29.855552220277026
桂林市,156450300,64.42414939827475
东营市,156370500,120.20924525441129
鹤壁市,156410600,36.40759032717395
娄底市,156431300,21.435666767068906
包头市,156150200,46.67095562940994
锡林郭勒盟,156152500,15.95468866976601
琼中黎族苗族自治县,156469030,222.99029988574532
长治市,156140400,46.05238349300445
赣州市,156360700,68.67970989582788
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,13.842717035496454
巴音郭楞蒙古自治州,156652800,71.80873518924372
上海市,156310000,103.77072193209706
鸡西市,156230300,3.21865103743522
宁德市,156350900,32.85795388533208
保定市,156130600,29.864302849781605
菏泽市,156371700,33.98953021322723
崇左市,156451400,74.97181981015267
黑河市,156231100,1.0004034662624035
扬州市,156321000,56.760018197518946
驻马店市,156411700,29.471610034196274
哈密市,156650500,93.48741787863241
株洲市,156430200,35.310117573208515
锦州市,156210700,8.604923550847378
肇庆市,156441200,106.09850131176535
恩施土家族苗族自治州,156422800,35.81627621348484
宜昌市,156420500,79.00957662138327
怒江傈僳族自治州,156533300,69.79858156623727
柳州市,156450200,120.14725234293573
平凉市,156620800,20.09931765192698
眉山市,156511400,33.415238882514466
青岛市,156370200,68.7850711452919
新乡市,156410700,44.817691617384995
乌海市,156150300,18.45794108182822
黔西南布依族苗族自治州,156522300,46.29509961390547
晋城市,156140500,73.22058095940744
广州市,156440100,160.8714002675095
吉林市,156220200,7.911752585351277
九江市,156360400,65.96554692305125
漳州市,156350600,74.32286035399004
来宾市,156451300,70.49824152848682
张家口市,156130700,23.86770365403176
德州市,156371400,28.094377447170483
胡杨河市,156659010,0.0
固原市,156640400,46.48640251219445
抚顺市,156210400,8.40927033355692
安庆市,156340800,45.10094998952213
白杨市,156659012,0.0
新星市,156659011,105.99957533533735
克拉玛依市,156650200,0.0
湘潭市,156430300,29.845585913714846
昆玉市,156659009,17.934003788069255
惠州市,156441300,254.66620971383244
可克达拉市,156659008,80.13988136007576
襄阳市,156420600,46.25809510787479
南宁市,156450100,86.30700642360287
南充市,156511300,15.673791259181208
酒泉市,156620900,48.9739950223206
淄博市,156370300,49.878382424478595
图木舒克市,156659003,35.7452883583057
阿拉尔市,156659002,96.67439930875892
焦作市,156410800,45.625839088153825
石河子市,156659001,53.352935299053705
赤峰市,156150400,6.80531835922788
双河市,156659007,0.0
铁门关市,156659006,34.56320925820533
北屯市,156659005,235.13604643753723
五家渠市,156659004,206.3025433272915
韶关市,156440200,99.48336501120052
朔州市,156140600,29.547415189435466
四平市,156220300,5.687933809974481
新余市,156360500,36.23188430363262
南平市,156350700,67.3528724309917
哈尔滨市,156230100,14.762696289033066
成都市,156510100,77.85558778370394
河池市,156451200,77.53525647554649
中卫市,156640500,70.38603573826289
本溪市,156210500,11.233460169619654
承德市,156130800,20.97352117289618
聊城市,156371500,32.74090702159899
衡阳市,156430400,20.471410716571484
湘西土家族苗族自治州,156433100,27.200334431060636
杭州市,156330100,163.28030792100472
玉树藏族自治州,156632700,0.0
武威市,156620600,6.628246210155797
临夏回族自治州,156622900,20.88199096542715
黄山市,156341000,84.3337631116562
徐州市,156320300,47.39847036194978
济宁市,156370800,46.43418698311022
揭阳市,156445200,47.291059151733386
那曲市,156540600,13.60248093190143
郑州市,156410100,117.92585154191029
通辽市,156150500,8.543093590117586
贵港市,156450800,49.57706290642494
安康市,156610900,18.16290500981557
昌吉回族自治州,156652300,51.426312542253676
晋中市,156140700,46.58778410884495
大庆市,156230600,4.315997391455873
普洱市,156530800,51.95336968954027
白城市,156220800,8.181208273023758
石嘴山市,156640200,111.7666734910748
荆州市,156421000,30.417832587993075
沧州市,156130900,28.386310331472863
三门峡市,156411200,44.42016264573727
海西蒙古族藏族自治州,156632800,122.75893554181972
云浮市,156445300,107.1469329546169
张掖市,156620700,38.3907713983229
滁州市,156341100,64.77384485872194
泰安市,156370900,44.32698965482294
无锡市,156320200,96.24959158629392
大兴安岭地区,156232700,2.511994737619229
鄂尔多斯市,156150600,172.58849659273213
阿拉善盟,156152900,187.41566359892252
山南市,156540500,16.66150992579059
开封市,156410200,38.38160692188512
重庆市,156500000,39.177359192337256
钦州市,156450700,60.199649491562184
榆林市,156610800,29.38966413385267
伊春市,156230700,1.266138007350256
运城市,156140800,24.690486840362382
丽江市,156530700,122.62288214654308
黄冈市,156421100,38.068883338171794
吴忠市,156640300,98.99574877688252
南阳市,156411300,30.014465926588716
乌鲁木齐市,156650100,96.48184020414551
和田地区,156653200,51.10448283847699
海南藏族自治州,156632500,42.38706051630209
海东市,156630200,26.045242968879837
武汉市,156420100,108.3430869813389
儋州市,156460400,128.8680954607555
甘孜藏族自治州,156513300,125.10984347384922
内江市,156511000,16.507199643682075
烟台市,156370600,42.15363769614632
南京市,156320100,135.542500063698
白银市,156620400,18.94272996637457
郴州市,156431000,36.631767975984175
呼伦贝尔市,156150700,11.606569286900664
防城港市,156450600,140.7216806281085
北京市,156110000,111.28382429255996
洛阳市,156410300,47.58936663320113
汉中市,156610700,16.603638863806335
吉安市,156360800,48.37028890835762
丽水市,156331100,50.868465036838124
忻州市,156140900,32.860126038253384
中山市,156442000,255.61363396899162
鹤岗市,156230400,2.8095412131682895
白山市,156220600,0.0
咸宁市,156421200,52.02902959932467
宿迁市,156321300,53.924796685594195
济源市,156419001,55.450659409875996
营口市,156210800,13.460150224280635
商丘市,156411400,29.104284892329872
果洛藏族自治州,156632600,20.16264524048437
三沙市,156460300,2816.901437308587
黄石市,156420200,60.67664469291096
阿坝藏族羌族自治州,156513200,169.23746345607285
潍坊市,156370700,43.60351273511641
天水市,156620500,15.613731260624045
永州市,156431100,21.60528194215031
巴彦淖尔市,156150800,27.4501550974672
北海市,156450500,58.27918042336684
平顶山市,156410400,30.47357639995489
宜春市,156360900,35.822860906875874
台州市,156331000,56.09630033435225
东方市,156469007,141.46598092087913
延安市,156610600,58.64846645237765
万宁市,156469006,119.49434969555921
文昌市,156469005,111.64804350579472
双鸭山市,156230500,1.3902502160616133
临沧市,156530900,43.64454982030098
松原市,156220700,10.928165607664289
随州市,156421300,61.13511318136313
资阳市,156512000,21.796786894165972
银川市,156640100,125.65198005488547
泰州市,156321200,54.05025974073473
神农架林区,156429021,337.2453772186917
阜新市,156210900,8.027154641202221
琼海市,156469002,169.5018467733959
五指山市,156469001,318.1463515256137
信阳市,156411500,44.11070023909779
湖州市,156330500,135.69129239382596
黄南藏族自治州,156632300,7.884258500803292
抚州市,156361000,40.200939162852755
清远市,156441800,112.42185511031926
天津市,156120000,101.95374620083125
嘉峪关市,156620200,35.23056447648473
乌兰察布市,156150900,22.042484569651254
阿里地区,156542500,35.1288060363779
连云港市,156320700,48.73622117639159
克孜勒苏柯尔克孜自治州,156653000,31.170990098769355
日喀则市,156540200,16.780472749095814
渭南市,156610500,24.354168572856423
铜仁市,156520600,43.73640416924139
玉溪市,156530400,61.70910804957505
江门市,156440700,91.18893872827317
益阳市,156430900,22.704860629666083
广元市,156510800,35.666989976319314
芜湖市,156340200,66.94263069893425
塔城地区,156654200,32.81040555413391
嘉兴市,156330400,126.72760331495617
西宁市,156630100,27.847247249005925
上饶市,156361100,31.85899339339688
东莞市,156441900,332.7902044530133
南通市,156320600,52.87818462794904
辽阳市,156211000,12.073764265252303
巴中市,156511900,17.00283285553974
六安市,156341500,52.93480772460056
金昌市,156620300,43.34111905627741
廊坊市,156131000,92.21423527043923
拉萨市,156540100,91.45063570737807
喀什地区,156653100,30.68169827824476
阿勒泰地区,156654300,33.76667263963263
毕节市,156520500,36.84894811682907
福州市,156350100,70.82223316826251
咸阳市,156610400,34.11368787633077
文山壮族苗族自治州,156532600,39.519804528376454
湛江市,156440800,48.16476101661972
曲靖市,156530300,45.560477605032254
蚌埠市,156340300,49.507319812653805
绵阳市,156510700,37.04985088336655
温州市,156330300,69.7380984507323
苏州市,156320500,143.71952385340373
阜阳市,156341200,43.731788868573865
林芝市,156540400,121.32081228511464
衡水市,156131100,24.81320592313239
许昌市,156411000,43.41923681845546
佳木斯市,156230800,5.581881192347818
宝鸡市,156610300,30.77412190874435
昭通市,156530600,36.653265807420524
大理白族自治州,156532900,66.3104041259694
定西市,156621100,16.944739456340216
茂名市,156440900,102.30271137132189
伊犁哈萨克自治州,156654000,43.885398111618564
宁波市,156330200,110.34922169162952
兰州市,156620100,36.009750407121906
临汾市,156141000,43.036575897023766
常州市,156320400,92.3854243957589
宿州市,156341300,34.27387134278902
潮州市,156445100,59.2485630818611
昌都市,156540300,67.3207760426445
玉林市,156450900,51.8612243262905
海北藏族自治州,156632200,44.265867827638836
漯河市,156411100,34.25597392335753
七台河市,156230900,0.0
西双版纳傣族自治州,156532800,100.01871649967117
陇南市,156621200,11.685363413683447
保山市,156530500,44.45392394944048
遂宁市,156510900,18.800604349879528
合肥市,156340100,80.93617750323317
铜川市,156610200,41.47127340480208
