name,gb,Gini_Coefficient
梅州市,156441400,0.5219776100653254
鄂州市,156420700,0.6185241565421129
吕梁市,156141100,0.7344013167347127
舟山市,156330900,0.5626221520892372
朝阳市,156211300,0.8264528755999847
广安市,156511600,0.720198992618744
濮阳市,156410900,0.6872839817877303
宣城市,156341800,0.596593556117848
六盘水市,156520200,0.608905672319467
深圳市,156440300,0.19724372598068118
三明市,156350400,0.5894900037298718
景德镇市,156360200,0.5084360546665552
楚雄彝族自治州,156532300,0.5473587636168105
大连市,156210200,0.568690566800063
攀枝花市,156510400,0.555410142863807
贺州市,156451100,0.5710136143724771
西安市,156610100,0.3828829307937478
境界线,,0.0
淮北市,156340600,0.63789976179193
邵阳市,156430500,0.8037122254331356
石家庄市,156130100,0.5937704239109154
汕尾市,156441500,0.47001467592130797
荆门市,156420800,0.6517729705905546
衢州市,156330800,0.6275119870658346
迪庆藏族自治州,156533400,0.428492239605057
宜宾市,156511500,0.6232617401319951
葫芦岛市,156211400,0.776318018943487
济南市,156370100,0.5684937286299685
贵阳市,156520100,0.3650859682029226
珠海市,156440400,0.2508201068711542
长春市,156220100,0.7111235600709154
延边朝鲜族自治州,156222400,0.7118725656166109
萍乡市,156360300,0.6475119304309627
庆阳市,156621000,0.7301670772848107
泉州市,156350500,0.5385607888055359
自贡市,156510300,0.6849591485619059
临沂市,156371300,0.6242776031937878
百色市,156451000,0.5420985601341748
鞍山市,156210300,0.7453804221204521
铜陵市,156340700,0.6311899562813896
唐山市,156130200,0.6717049906281565
岳阳市,156430600,0.6925337185666305
河源市,156441600,0.5012197776110331
孝感市,156420900,0.5492150860784186
金华市,156330700,0.485966947677573
兴安盟,156152200,0.7747652938547955
盘锦市,156211100,0.6988333352588922
雅安市,156511800,0.4875236812468885
亳州市,156341600,0.6656739271381944
商洛市,156611000,0.6946226029583329
盐城市,156320900,0.6486693807569698
汕头市,156440500,0.5148576430888787
安顺市,156520400,0.5665353602808831
黔南布依族苗族自治州,156522700,0.5861024213360515
厦门市,156350200,0.2978116139791631
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.6576582024558368
红河哈尼族彝族自治州,156532500,0.5618861834421771
甘南藏族自治州,156623000,0.6749633790937076
太原市,156140100,0.4231601868208764
常德市,156430700,0.7615053400131673
牡丹江市,156231000,0.7788148304606104
淮南市,156340400,0.6527564778583854
德阳市,156510600,0.6909996556925195
威海市,156371000,0.6056680237090111
秦皇岛市,156130300,0.6753512889191828
绍兴市,156330600,0.4511110294559383
阳江市,156441700,0.4881559202767687
铁岭市,156211200,0.7831125785597566
达州市,156511700,0.7301375752897572
池州市,156341700,0.6979465785507892
淮安市,156320800,0.5650589571239941
遵义市,156520300,0.4924971107549361
黔东南苗族侗族自治州,156522600,0.539286225077532
莆田市,156350300,0.6661993553425545
南昌市,156360100,0.4059581534676233
佛山市,156440600,0.33468912828404995
大同市,156140200,0.6660827106063836
昆明市,156530100,0.38332942205812326
张家界市,156430800,0.6972450627498519
泸州市,156510500,0.7100659957235653
沈阳市,156210100,0.547567639514357
邯郸市,156130400,0.7327602642062335
马鞍山市,156340500,0.5995967230379664
日照市,156371100,0.520049621623862
三亚市,156460200,0.2841599766545657
十堰市,156420300,0.4734918792823348
呼和浩特市,156150100,0.5261705977007637
德宏傣族景颇族自治州,156533100,0.5519422839606831
梧州市,156450400,0.49396154920222635
枣庄市,156370400,0.60992666421569
安阳市,156410500,0.6985038466365878
怀化市,156431200,0.6902019014655865
阳泉市,156140300,0.5660077522160022
保亭黎族苗族自治县,156469029,0.4043415417430417
中农发山丹马场,156629700,0.8115092904845695
鹰潭市,156360600,0.5884767822729353
陵水黎族自治县,156469028,0.3293131452363054
博尔塔拉蒙古自治州,156652700,0.6487421481578202
乐东黎族自治县,156469027,0.6361348182065931
辽源市,156220400,0.8481705802708787
齐齐哈尔市,156230200,0.8581059485774114
龙岩市,156350800,0.5103301249082381
天门市,156429006,0.7152844754341376
潜江市,156429005,0.7146399978122886
邢台市,156130500,0.7149394696331857
仙桃市,156429004,0.5966852529517872
绥化市,156231200,0.8955359585645849
丹东市,156210600,0.7628060867477426
滨州市,156371600,0.6696253168268409
镇江市,156321100,0.5445869102125508
昌江黎族自治县,156469026,0.6169051551652733
周口市,156411600,0.7618052093417492
白沙黎族自治县,156469025,0.6096243738764786
临高县,156469024,0.4652788306741361
吐鲁番市,156650400,0.5868682277146999
澄迈县,156469023,0.6284058698168311
长沙市,156430100,0.44677382878290206
屯昌县,156469022,0.5191211928274446
定安县,156469021,0.6399613825073054
海口市,156460100,0.20380007885577045
乐山市,156511100,0.6161644289916779
凉山彝族自治州,156513400,0.6999004542443481
桂林市,156450300,0.5415800651687146
东营市,156370500,0.6655364361419955
鹤壁市,156410600,0.6696672165229807
娄底市,156431300,0.7203436756721857
包头市,156150200,0.5527772344603288
锡林郭勒盟,156152500,0.5736350915625976
琼中黎族苗族自治县,156469030,0.4803341875271112
长治市,156140400,0.6332717632110398
赣州市,156360700,0.5261134816268844
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.7703722461703653
巴音郭楞蒙古自治州,156652800,0.5364226304500563
上海市,156310000,0.3663148111411201
鸡西市,156230300,0.8667716993658272
宁德市,156350900,0.4756925034260251
保定市,156130600,0.7610310863022413
菏泽市,156371700,0.6965036069699946
崇左市,156451400,0.6098548406804767
黑河市,156231100,0.8076859792349715
扬州市,156321000,0.5912176641517477
驻马店市,156411700,0.7250387428430409
哈密市,156650500,0.4190235152129367
株洲市,156430200,0.6565610270138739
锦州市,156210700,0.7549120404352326
肇庆市,156441200,0.5285387700835531
恩施土家族苗族自治州,156422800,0.6050713033845194
宜昌市,156420500,0.4876358800217635
怒江傈僳族自治州,156533300,0.5071991001454137
柳州市,156450200,0.44246051589422697
平凉市,156620800,0.7161303127697473
眉山市,156511400,0.6418643982733345
青岛市,156370200,0.4448677840766747
新乡市,156410700,0.6357672669517882
乌海市,156150300,0.6612967914192086
黔西南布依族苗族自治州,156522300,0.5805814324680707
晋城市,156140500,0.46604246845359454
广州市,156440100,0.29858365171561774
吉林市,156220200,0.7563161911746492
九江市,156360400,0.5509840470289186
漳州市,156350600,0.5799810834385899
来宾市,156451300,0.6371637811302882
张家口市,156130700,0.7474946404159146
德州市,156371400,0.7186388809113277
胡杨河市,156659010,0.9300203065941087
固原市,156640400,0.5299131320152467
抚顺市,156210400,0.7717649823611513
安庆市,156340800,0.6134856451136519
白杨市,156659012,0.0
新星市,156659011,0.718028848792474
克拉玛依市,156650200,0.5359427828597867
湘潭市,156430300,0.6241516021708761
昆玉市,156659009,0.8359118081885448
惠州市,156441300,0.40082758764449933
可克达拉市,156659008,0.8701761209784107
襄阳市,156420600,0.5840964820147735
南宁市,156450100,0.48362898120201836
南充市,156511300,0.5529439750267056
酒泉市,156620900,0.5614795513094609
淄博市,156370300,0.5649890274379422
图木舒克市,156659003,0.8760854801908645
阿拉尔市,156659002,0.6855000841746558
焦作市,156410800,0.6703193497929586
石河子市,156659001,0.5983197024742322
赤峰市,156150400,0.8094785780551101
双河市,156659007,0.8842003980137901
铁门关市,156659006,0.9070338571763525
北屯市,156659005,0.0
五家渠市,156659004,0.5739458496786481
韶关市,156440200,0.4564575102586752
朔州市,156140600,0.6416537562497374
四平市,156220300,0.7901896303285413
新余市,156360500,0.5301739606387201
南平市,156350700,0.6011654118833254
哈尔滨市,156230100,0.674371799334175
成都市,156510100,0.4212910894514137
河池市,156451200,0.5700681026343883
中卫市,156640500,0.593527915297601
本溪市,156210500,0.6629772751769969
