name,gb,Average_Accessibility
梅州市,156441400,0.013070740969707674
鄂州市,156420700,0.01469842878864673
吕梁市,156141100,0.006450456907364272
舟山市,156330900,0.08575380359612725
朝阳市,156211300,0.0005140331037318803
广安市,156511600,0.00453457614309107
濮阳市,156410900,0.019243530192435302
宣城市,156341800,0.007315429781499663
六盘水市,156520200,0.00368414589217733
深圳市,156440300,1.5919101123595505
三明市,156350400,0.013242334725476215
景德镇市,156360200,0.00788760120597766
楚雄彝族自治州,156532300,0.0038875327728053522
大连市,156210200,0.01904704317329786
攀枝花市,156510400,0.004137115839243499
贺州市,156451100,0.005826433609322294
西安市,156610100,0.14682640836094826
境界线,,0.0
淮北市,156340600,0.00538737814263725
邵阳市,156430500,0.004825225831790383
石家庄市,156130100,0.02558055152394775
汕尾市,156441500,0.015885216500128106
荆门市,156420800,0.0026066880166828034
衢州市,156330800,0.027794292508917955
迪庆藏族自治州,156533400,0.006756756756756757
宜宾市,156511500,0.005083774881855936
葫芦岛市,156211400,0.002822286962855062
济南市,156370100,0.03267778359380842
贵阳市,156520100,0.02345467685575506
珠海市,156440400,0.2317922735908803
长春市,156220100,0.004206064558200196
延边朝鲜族自治州,156222400,0.006759294029290274
萍乡市,156360300,0.006327372764786795
庆阳市,156621000,0.003995813909237941
泉州市,156350500,0.06398640996602492
自贡市,156510300,0.004943153732081068
临沂市,156371300,0.016883464005702068
百色市,156451000,0.0031924597141988445
鞍山市,156210300,0.0018094089264173703
铜陵市,156340700,0.008841985168282943
唐山市,156130200,0.019017980636237896
岳阳市,156430600,0.006993006993006993
河源市,156441600,0.014097841635056384
孝感市,156420900,0.0058374494836102376
金华市,156330700,0.0346596739254361
兴安盟,156152200,0.00014597474636887818
盘锦市,156211100,0.005508919202518363
雅安市,156511800,0.017820980153908466
亳州市,156341600,0.003629165291982844
商洛市,156611000,0.005035383777898748
盐城市,156320900,0.014092332558844328
汕头市,156440500,0.03695745595186936
安顺市,156520400,0.005737428282146473
黔南布依族苗族自治州,156522700,0.0043080523348579935
厦门市,156350200,0.30160618679357526
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.00024221285665843143
红河哈尼族彝族自治州,156532500,0.004347328680928956
甘南藏族自治州,156623000,0.0005476451912427654
太原市,156140100,0.10160302463875015
常德市,156430700,0.004160522435222245
牡丹江市,156231000,0.0014191106906338694
淮南市,156340400,0.004696132596685083
德阳市,156510600,0.009837467921300257
威海市,156371000,0.010474168435951876
秦皇岛市,156130300,0.018789392317754786
绍兴市,156330600,0.023942944472745798
阳江市,156441700,0.013151485630784217
铁岭市,156211200,0.0012746972594008922
达州市,156511700,0.002620967741935484
池州市,156341700,0.004173106646058733
淮安市,156320800,0.013469119579500657
遵义市,156520300,0.005789909015715467
黔东南苗族侗族自治州,156522600,0.004574286411319834
莆田市,156350300,0.030504379341588644
南昌市,156360100,0.04936854190585534
佛山市,156440600,0.20996818663838812
大同市,156140200,0.006847669389716483
昆明市,156530100,0.03660027324369023
张家界市,156430800,0.009126246408653034
泸州市,156510500,0.005179321802013095
沈阳市,156210100,0.008577127659574468
邯郸市,156130400,0.012314618644067797
马鞍山市,156340500,0.007131842713955281
日照市,156371100,0.022085710106771975
三亚市,156460200,0.1172680412371134
十堰市,156420300,0.009395238529599562
呼和浩特市,156150100,0.009122141926312048
德宏傣族景颇族自治州,156533100,0.004278837582456766
梧州市,156450400,0.011704644502552609
枣庄市,156370400,0.018073235895018074
安阳市,156410500,0.009332609875203473
怀化市,156431200,0.00425260472039124
阳泉市,156140300,0.013893713094824591
保亭黎族苗族自治县,156469029,0.04125
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0062038404726735595
陵水黎族自治县,156469028,0.05816831683168317
博尔塔拉蒙古自治州,156652700,0.00129366106080207
乐东黎族自治县,156469027,0.006725297465080186
辽源市,156220400,0.0007681671531725304
齐齐哈尔市,156230200,0.00030785807742630646
龙岩市,156350800,0.012260127931769723
天门市,156429006,0.002226551628165878
潜江市,156429005,0.003293084522502744
邢台市,156130500,0.012533455186369868
仙桃市,156429004,0.006649778340721976
绥化市,156231200,0.0002995805871779509
丹东市,156210600,0.0009045680687471732
滨州市,156371600,0.009303692096758397
镇江市,156321100,0.03339024852969076
昌江黎族自治县,156469026,0.006006006006006006
周口市,156411600,0.004257615735188295
白沙黎族自治县,156469025,0.028543307086614175
临高县,156469024,0.002881844380403458
吐鲁番市,156650400,0.0037294878170064643
澄迈县,156469023,0.019221291276490884
长沙市,156430100,0.08638963019443385
屯昌县,156469022,0.026905829596412557
定安县,156469021,0.0067618332081141996
海口市,156460100,0.12773722627737227
乐山市,156511100,0.0064452698273978586
凉山彝族自治州,156513400,0.002391731442726574
桂林市,156450300,0.008605431797375648
东营市,156370500,0.029313896371414988
鹤壁市,156410600,0.009989297181591153
娄底市,156431300,0.00961223375204806
包头市,156150200,0.0033167498489978763
锡林郭勒盟,156152500,0.00027628123784924856
琼中黎族苗族自治县,156469030,0.005239520958083832
长治市,156140400,0.008715740837971227
赣州市,156360700,0.015429304360947638
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.004315591457342038
巴音郭楞蒙古自治州,156652800,0.0018629277380135308
上海市,156310000,0.5736502026065053
鸡西市,156230300,0.00042840310180801335
宁德市,156350900,0.013725236307134533
保定市,156130600,0.01786182199318718
菏泽市,156371700,0.005036440125614742
崇左市,156451400,0.0024094235231126183
黑河市,156231100,0.0011299435028248588
扬州市,156321000,0.02352661596958175
驻马店市,156411700,0.004223756052333368
哈密市,156650500,0.003203416978109984
株洲市,156430200,0.012574966144321919
锦州市,156210700,0.0015818367916627897
肇庆市,156441200,0.020562770562770564
恩施土家族苗族自治州,156422800,0.0042794355771455005
宜昌市,156420500,0.010212548669177252
怒江傈僳族自治州,156533300,0.001796138302649304
柳州市,156450200,0.024910377792076478
平凉市,156620800,0.002474081055607917
眉山市,156511400,0.008418142982786782
青岛市,156370200,0.05279567657451673
新乡市,156410700,0.013165481453007881
乌海市,156150300,0.0034223134839151265
黔西南布依族苗族自治州,156522300,0.005363673303535149
晋城市,156140500,0.008624602814344077
广州市,156440100,0.3889856626021707
吉林市,156220200,0.0013048905026665154
九江市,156360400,0.007371703997731784
漳州市,156350600,0.028125
来宾市,156451300,0.00439288127956747
张家口市,156130700,0.013178008539349534
德州市,156371400,0.009573110197135158
胡杨河市,156659010,0.0
固原市,156640400,0.004939084622983207
抚顺市,156210400,0.002025658499945023
安庆市,156340800,0.007688828584350972
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0182648401826484
湘潭市,156430300,0.019230769230769232
昆玉市,156659009,0.0
惠州市,156441300,0.07359563877696136
可克达拉市,156659008,0.000946073793755913
襄阳市,156420600,0.009765625
南宁市,156450100,0.01269280205655527
南充市,156511300,0.003860759493670886
酒泉市,156620900,0.0029940119760479044
淄博市,156370300,0.026681040291065893
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.020471828354337012
石河子市,156659001,0.004724409448818898
赤峰市,156150400,0.0003511684331503001
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0024752475247524753
五家渠市,156659004,0.0032948929159802307
韶关市,156440200,0.012110899046202129
朔州市,156140600,0.004534815681685196
四平市,156220300,0.0003800474832856457
新余市,156360500,0.006818181818181818
南平市,156350700,0.014723585517177517
哈尔滨市,156230100,0.0031678028229833303
成都市,156510100,0.10527347578906097
河池市,156451200,0.002180911828850348
中卫市,156640500,0.006543494996150885
本溪市,156210500,0.0029245874242740757
承德市,156130800,0.0054891544931385565
聊城市,156371500,0.010529806815355277
衡阳市,156430400,0.005597629239380968
湘西土家族苗族自治州,156433100,0.004271278258151891
杭州市,156330100,0.1497549019607843
玉树藏族自治州,156632700,0.00078125
武威市,156620600,0.0013648150675583458
临夏回族自治州,156622900,0.002533125487139517
黄山市,156341000,0.01706827309236948
徐州市,156320300,0.012643751191308216
济宁市,156370800,0.01418242491657397
揭阳市,156445200,0.015803701393221042
那曲市,156540600,0.0008312551953449709
郑州市,156410100,0.0929160125588697
通辽市,156150500,0.00017250301880282904
贵港市,156450800,0.004533091568449683
安康市,156610900,0.005307262569832402
昌吉回族自治州,156652300,0.0016424619640387275
晋中市,156140700,0.009318395979478589
大庆市,156230600,0.0011611704598235022
普洱市,156530800,0.0020172910662824206
白城市,156220800,0.0005528789195166258
石嘴山市,156640200,0.005500171880371262
荆州市,156421000,0.0036435312388006214
沧州市,156130900,0.010454899343788232
三门峡市,156411200,0.019073113602141544
海西蒙古族藏族自治州,156632800,0.004727544165215228
云浮市,156445300,0.01985621362547073
张掖市,156620700,0.002444190972788007
滁州市,156341100,0.005894590846047157
泰安市,156370900,0.01717911176183504
无锡市,156320200,0.09979930669585842
大兴安岭地区,156232700,0.007993605115907274
鄂尔多斯市,156150600,0.006117520794204454
阿拉善盟,156152900,0.002363367799113737
山南市,156540500,0.0
开封市,156410200,0.012971697213514795
重庆市,156500000,0.018705927062367164
钦州市,156450700,0.003022670025188917
榆林市,156610800,0.0018339595634281624
伊春市,156230700,0.0005339028296849973
运城市,156140800,0.011450664342420324
丽江市,156530700,0.0077486910994764395
