name,gb,Gini_Coefficient
梅州市,156441400,0.7991283314645351
鄂州市,156420700,0.9138315700476365
吕梁市,156141100,0.8684307756429487
舟山市,156330900,0.7914271133394162
朝阳市,156211300,0.9776930659789957
广安市,156511600,0.9098348731176927
濮阳市,156410900,0.8041255466576267
宣城市,156341800,0.8511909378832483
六盘水市,156520200,0.886607388765226
深圳市,156440300,0.3557275395340821
三明市,156350400,0.7565668002132423
景德镇市,156360200,0.8134644072012719
楚雄彝族自治州,156532300,0.9247702613628588
大连市,156210200,0.7406048903368341
攀枝花市,156510400,0.9053580490758837
贺州市,156451100,0.8532116286726028
西安市,156610100,0.4801369900423773
境界线,,0.0
淮北市,156340600,0.8752205611201973
邵阳市,156430500,0.8650232263599725
石家庄市,156130100,0.7431967774545685
汕尾市,156441500,0.8021113954806329
荆门市,156420800,0.9222875562439882
衢州市,156330800,0.8279373125225019
迪庆藏族自治州,156533400,0.8237973808424406
宜宾市,156511500,0.8553377022471601
葫芦岛市,156211400,0.938057443790396
济南市,156370100,0.7521564476605396
贵阳市,156520100,0.7271061766107014
珠海市,156440400,0.475816144141918
长春市,156220100,0.8882109121161496
延边朝鲜族自治州,156222400,0.8368620333240746
萍乡市,156360300,0.8856008645969087
庆阳市,156621000,0.8811558670457225
泉州市,156350500,0.6965541582066359
自贡市,156510300,0.8499043532681962
临沂市,156371300,0.8408079868482721
百色市,156451000,0.837364866232641
鞍山市,156210300,0.9622608988334111
铜陵市,156340700,0.8010083493184462
唐山市,156130200,0.8342128583006052
岳阳市,156430600,0.8453788372148411
河源市,156441600,0.6905628138759999
孝感市,156420900,0.9370888127402782
金华市,156330700,0.7124291117374846
兴安盟,156152200,0.9960474932598411
盘锦市,156211100,0.9103133464119811
雅安市,156511800,0.8016223431427807
亳州市,156341600,0.9052553448099353
商洛市,156611000,0.8999811472813934
盐城市,156320900,0.8158572908254231
汕头市,156440500,0.827037369305841
安顺市,156520400,0.9033635263634666
黔南布依族苗族自治州,156522700,0.8513646268933642
厦门市,156350200,0.4955635983623399
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9741544675075507
红河哈尼族彝族自治州,156532500,0.8561295024008349
甘南藏族自治州,156623000,0.9374261292830137
太原市,156140100,0.592629426256517
常德市,156430700,0.8885275611020601
牡丹江市,156231000,0.9540870103542668
淮南市,156340400,0.9346771833744987
德阳市,156510600,0.8854535431130087
威海市,156371000,0.8419319946266535
秦皇岛市,156130300,0.8945804056148053
绍兴市,156330600,0.8427203717119334
阳江市,156441700,0.7741864025898557
铁岭市,156211200,0.9799223711384311
达州市,156511700,0.8758364158962995
池州市,156341700,0.941660966209498
淮安市,156320800,0.8346462807204287
遵义市,156520300,0.8241679594689455
黔东南苗族侗族自治州,156522600,0.8490656040513119
莆田市,156350300,0.8269589449929458
南昌市,156360100,0.6253778877946949
佛山市,156440600,0.5620545215473084
大同市,156140200,0.8971452628304915
昆明市,156530100,0.5883218656144137
张家界市,156430800,0.8293212560019313
泸州市,156510500,0.8915715934215896
沈阳市,156210100,0.8495403774017765
邯郸市,156130400,0.9258534448752154
马鞍山市,156340500,0.9076826619946543
日照市,156371100,0.7725074430613572
三亚市,156460200,0.45640384912463117
十堰市,156420300,0.7544311358818182
呼和浩特市,156150100,0.8445059836522748
德宏傣族景颇族自治州,156533100,0.8350654824535249
梧州市,156450400,0.6997801390289433
枣庄市,156370400,0.8995087095831941
安阳市,156410500,0.8994439914181896
怀化市,156431200,0.8807720496652893
阳泉市,156140300,0.798656734087704
保亭黎族苗族自治县,156469029,0.5435043608933215
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9261562021544298
陵水黎族自治县,156469028,0.5142471448185296
博尔塔拉蒙古自治州,156652700,0.9475371760624139
乐东黎族自治县,156469027,0.8854453727015805
辽源市,156220400,0.9500839864102746
齐齐哈尔市,156230200,0.9759398983095313
龙岩市,156350800,0.8139324189042184
天门市,156429006,0.9730103855933159
潜江市,156429005,0.9815967526247285
邢台市,156130500,0.8831403341923926
仙桃市,156429004,0.8935035153129629
绥化市,156231200,0.9806047789210096
丹东市,156210600,0.9608658378891753
滨州市,156371600,0.9441942818015486
镇江市,156321100,0.8236674110606941
昌江黎族自治县,156469026,0.75947050053287
周口市,156411600,0.9616619932432211
白沙黎族自治县,156469025,0.6166400941419747
临高县,156469024,0.9725117292427057
吐鲁番市,156650400,0.9388077803669433
澄迈县,156469023,0.8159167473328304
长沙市,156430100,0.5285686054000813
屯昌县,156469022,0.8254289534521364
定安县,156469021,0.7314726311943573
海口市,156460100,0.3687801728158231
乐山市,156511100,0.8535929424777203
凉山彝族自治州,156513400,0.9471713053826691
桂林市,156450300,0.779730458226484
东营市,156370500,0.7978033173611244
鹤壁市,156410600,0.9070780765154507
娄底市,156431300,0.8579181394813524
包头市,156150200,0.935767118221454
锡林郭勒盟,156152500,0.9890794800965275
琼中黎族苗族自治县,156469030,0.9073705984362219
长治市,156140400,0.8829181823737989
赣州市,156360700,0.7505463628516056
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8850597198232304
巴音郭楞蒙古自治州,156652800,0.8806604142468455
上海市,156310000,0.4609475701438178
鸡西市,156230300,0.9793575306493857
宁德市,156350900,0.8127821259142736
保定市,156130600,0.8947325792150975
菏泽市,156371700,0.9388408771802049
崇左市,156451400,0.8925046525143966
黑河市,156231100,0.9631555935137271
扬州市,156321000,0.8062962770898727
驻马店市,156411700,0.9388010876449528
哈密市,156650500,0.9080358917451441
株洲市,156430200,0.7818657585933481
锦州市,156210700,0.9461007840689001
肇庆市,156441200,0.7857505081280151
恩施土家族苗族自治州,156422800,0.870497603572276
宜昌市,156420500,0.7512443133198548
怒江傈僳族自治州,156533300,0.8590080828966464
柳州市,156450200,0.6754421634068478
平凉市,156620800,0.8875584150871979
眉山市,156511400,0.8649100614325678
青岛市,156370200,0.6418065504380759
新乡市,156410700,0.868004274614018
乌海市,156150300,0.9471125609280477
黔西南布依族苗族自治州,156522300,0.8542319878020015
晋城市,156140500,0.8260771853790232
广州市,156440100,0.42529459770584255
吉林市,156220200,0.9573256759404306
九江市,156360400,0.880622912743845
漳州市,156350600,0.7393298524790799
来宾市,156451300,0.8822571803912177
张家口市,156130700,0.8523936527530828
德州市,156371400,0.9095152601667622
胡杨河市,156659010,0.0
固原市,156640400,0.9077114962281457
抚顺市,156210400,0.9735411537346877
安庆市,156340800,0.8342284195043818
白杨市,156659012,0.0
新星市,156659011,0.9719831871536483
克拉玛依市,156650200,0.7791893123406128
湘潭市,156430300,0.8088538153229006
昆玉市,156659009,0.0
惠州市,156441300,0.5981666472347045
可克达拉市,156659008,0.9804976156878006
襄阳市,156420600,0.8187951096632068
南宁市,156450100,0.7094949668016931
南充市,156511300,0.8287535243514097
酒泉市,156620900,0.8135416402444585
淄博市,156370300,0.8189888922405676
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.9910451004787895
焦作市,156410800,0.861069572023573
石河子市,156659001,0.9717135060299367
赤峰市,156150400,0.9881163050476376
双河市,156659007,0.0
铁门关市,156659006,0.9960297241112306
北屯市,156659005,0.9545636866517978
五家渠市,156659004,0.8783598250571779
韶关市,156440200,0.846416600046608
朔州市,156140600,0.9385350851430801
四平市,156220300,0.9677213381190953
新余市,156360500,0.8301353460912939
南平市,156350700,0.7769449762338327
哈尔滨市,156230100,0.9034856184695375
成都市,156510100,0.5312684989080578
河池市,156451200,0.840313117818665
中卫市,156640500,0.8454067272003958
本溪市,156210500,0.9099815889506385
承德市,156130800,0.940106278528536
聊城市,156371500,0.9156182579945025
衡阳市,156430400,0.8877377793053141
湘西土家族苗族自治州,156433100,0.8609714751918788
杭州市,156330100,0.5444690880911076
玉树藏族自治州,156632700,0.9995060514330176
武威市,156620600,0.8930986238622358
临夏回族自治州,156622900,0.9144176632086658
黄山市,156341000,0.7499407349951428
徐州市,156320300,0.8500807330821815
济宁市,156370800,0.890996007332578
揭阳市,156445200,0.8437225021553558
那曲市,156540600,0.9749481027239824
郑州市,156410100,0.5801402781154179
通辽市,156150500,0.9825634364094457
贵港市,156450800,0.8993124851620107
安康市,156610900,0.9363215779260301
昌吉回族自治州,156652300,0.9424181188517856
晋中市,156140700,0.8419496611731299
大庆市,156230600,0.974195083013508
普洱市,156530800,0.8706485644918174
白城市,156220800,0.9863183408257379
石嘴山市,156640200,0.8754420241526881
荆州市,156421000,0.914912620147006
沧州市,156130900,0.9193043868597657
三门峡市,156411200,0.7317196748851463
海西蒙古族藏族自治州,156632800,0.9070148119747601
云浮市,156445300,0.7747796148847321
张掖市,156620700,0.8435900725040664
滁州市,156341100,0.8721474393137494
泰安市,156370900,0.8333371742119922
无锡市,156320200,0.7065690774743489
大兴安岭地区,156232700,0.855300846209325
鄂尔多斯市,156150600,0.826986502746836
阿拉善盟,156152900,0.8262320920418998
山南市,156540500,0.0
开封市,156410200,0.8874937249237551
重庆市,156500000,0.6901029217686554
钦州市,156450700,0.9080676345664151
榆林市,156610800,0.9143850762563456
