name,gb,Average_Accessibility
梅州市,156441400,95.17908351084432
鄂州市,156420700,62.58352032021385
吕梁市,156141100,39.9545880654321
舟山市,156330900,88.43332350503204
朝阳市,156211300,20.806753019232225
广安市,156511600,31.776386684887843
濮阳市,156410900,70.21590649640476
宣城市,156341800,430.6544144359643
六盘水市,156520200,38.13697902567139
深圳市,156440300,62.23417176708831
三明市,156350400,58.83375261921283
景德镇市,156360200,61.17515427380558
楚雄彝族自治州,156532300,55.5919153568832
大连市,156210200,46.77202645172858
攀枝花市,156510400,49.72994338770494
贺州市,156451100,92.47610556482725
西安市,156610100,55.35128659788133
境界线,,0.0
淮北市,156340600,125.87096608458113
邵阳市,156430500,24.173586481686037
石家庄市,156130100,50.247020987249286
汕尾市,156441500,59.456882692376105
荆门市,156420800,69.53362888869326
衢州市,156330800,119.89762301910869
迪庆藏族自治州,156533400,72.77112437971131
宜宾市,156511500,52.178083753502484
葫芦岛市,156211400,28.1667605054064
济南市,156370100,59.58662180215773
贵阳市,156520100,61.20376248100956
珠海市,156440400,110.66195241587761
长春市,156220100,29.751290326108737
延边朝鲜族自治州,156222400,33.858134221058656
萍乡市,156360300,62.659501325798274
庆阳市,156621000,39.04967293150613
泉州市,156350500,51.50166125972963
自贡市,156510300,42.96941684558354
临沂市,156371300,83.66060854700646
百色市,156451000,57.22744168479171
鞍山市,156210300,22.519542233179443
铜陵市,156340700,189.7796107964915
唐山市,156130200,67.44744190350175
岳阳市,156430600,35.983316965141725
河源市,156441600,101.06745123861316
孝感市,156420900,58.178337843845426
金华市,156330700,62.9723691415465
兴安盟,156152200,44.83365390210525
盘锦市,156211100,34.9162012739791
雅安市,156511800,84.15994074326022
亳州市,156341600,55.19694226917992
商洛市,156611000,33.41522258099266
盐城市,156320900,102.92633426777184
汕头市,156440500,37.167401052054366
安顺市,156520400,58.44812587837339
黔南布依族苗族自治州,156522700,57.41429905007715
厦门市,156350200,55.60923144281828
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,44.66074391980121
红河哈尼族彝族自治州,156532500,47.977008436236716
甘南藏族自治州,156623000,30.53349023383928
太原市,156140100,58.58542799760451
常德市,156430700,34.65831675796076
牡丹江市,156231000,22.35716780464178
淮南市,156340400,54.920856452283644
德阳市,156510600,57.60194024969684
威海市,156371000,95.45993576789076
秦皇岛市,156130300,58.59971541743204
绍兴市,156330600,106.47109066400537
阳江市,156441700,62.226751690749076
铁岭市,156211200,25.75459213862306
达州市,156511700,22.7142229868501
池州市,156341700,262.17650467973255
淮安市,156320800,90.53573558912355
遵义市,156520300,61.04015246752143
黔东南苗族侗族自治州,156522600,60.12540740363318
莆田市,156350300,35.09886210557564
南昌市,156360100,75.4714829927749
佛山市,156440600,78.83580401049305
大同市,156140200,46.53177045289146
昆明市,156530100,62.571416392364206
张家界市,156430800,52.2399958069504
泸州市,156510500,43.447618804715454
沈阳市,156210100,38.06814673669531
邯郸市,156130400,39.86161519059163
马鞍山市,156340500,143.39443165514243
日照市,156371100,113.81578054613902
三亚市,156460200,136.12351667573324
十堰市,156420300,90.10418567999871
呼和浩特市,156150100,69.2914196619688
德宏傣族景颇族自治州,156533100,48.921482225660405
梧州市,156450400,73.92060758354101
枣庄市,156370400,61.00111187910258
安阳市,156410500,57.53027408194115
怀化市,156431200,33.66636721974675
阳泉市,156140300,51.77943099119016
保亭黎族苗族自治县,156469029,181.8363483349204
中农发山丹马场,156629700,202.4291393343314
鹰潭市,156360600,70.70819842654349
陵水黎族自治县,156469028,165.40097780135207
博尔塔拉蒙古自治州,156652700,84.40394382252079
乐东黎族自治县,156469027,64.56841252464972
辽源市,156220400,19.273315679186474
齐齐哈尔市,156230200,15.201659132388176
龙岩市,156350800,84.86899511781141
天门市,156429006,43.23831097228346
潜江市,156429005,34.93478846661241
邢台市,156130500,56.83611626107728
仙桃市,156429004,36.62716894581344
绥化市,156231200,13.473389002450315
丹东市,156210600,20.328750268767408
滨州市,156371600,89.36924172090447
镇江市,156321100,100.57106400883781
昌江黎族自治县,156469026,102.26125334655632
周口市,156411600,47.20971750275569
白沙黎族自治县,156469025,106.81111506779918
临高县,156469024,54.04969342883444
吐鲁番市,156650400,96.51606785238688
澄迈县,156469023,129.81170837315753
长沙市,156430100,73.02406867753541
屯昌县,156469022,113.08714481272946
定安县,156469021,90.85867278696274
海口市,156460100,118.27551987956096
乐山市,156511100,58.211838110242496
凉山彝族自治州,156513400,29.480062595750102
桂林市,156450300,92.40171809893133
东营市,156370500,173.24432405848947
鹤壁市,156410600,69.16434898496243
娄底市,156431300,37.491857733316834
包头市,156150200,81.6999693821695
锡林郭勒盟,156152500,97.02832614486638
琼中黎族苗族自治县,156469030,125.35198347078816
长治市,156140400,59.76552360160894
赣州市,156360700,78.590862636611
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,32.704418873678414
巴音郭楞蒙古自治州,156652800,67.65035744574399
上海市,156310000,88.13231690460069
鸡西市,156230300,17.809340058082498
宁德市,156350900,44.453365290412655
保定市,156130600,42.97545906643009
菏泽市,156371700,58.068609728452046
崇左市,156451400,92.68738477979306
黑河市,156231100,30.113134911531187
扬州市,156321000,89.79817293288114
驻马店市,156411700,60.99275250160214
哈密市,156650500,135.38475075791396
株洲市,156430200,42.723861825062876
锦州市,156210700,27.977031275738746
肇庆市,156441200,86.39997482253129
恩施土家族苗族自治州,156422800,57.605842174772484
宜昌市,156420500,122.85796178180709
怒江傈僳族自治州,156533300,33.74584112194125
柳州市,156450200,91.93600170031822
平凉市,156620800,30.85835780507812
眉山市,156511400,66.01177347209776
青岛市,156370200,79.67240778945292
新乡市,156410700,61.74416113458296
乌海市,156150300,42.42519768201391
黔西南布依族苗族自治州,156522300,46.933861594530384
晋城市,156140500,115.6777147698261
广州市,156440100,61.51864483961149
吉林市,156220200,23.37124190818631
九江市,156360400,88.32081682027396
漳州市,156350600,75.0146904194229
来宾市,156451300,84.79420888524841
张家口市,156130700,53.80886172406194
德州市,156371400,57.861173088566495
胡杨河市,156659010,68.390096960477
固原市,156640400,101.4575163418136
抚顺市,156210400,26.41554902821684
安庆市,156340800,69.41291335501667
白杨市,156659012,0.0
新星市,156659011,238.22414367820244
克拉玛依市,156650200,91.75113612697496
湘潭市,156430300,49.31752365313369
昆玉市,156659009,40.972411166812954
惠州市,156441300,98.23286304672351
可克达拉市,156659008,158.6443148152833
襄阳市,156420600,58.97839223036525
南宁市,156450100,63.754459836357135
南充市,156511300,45.15225926514876
酒泉市,156620900,69.3073103193968
淄博市,156370300,86.3803404293901
图木舒克市,156659003,17.060143540160844
阿拉尔市,156659002,73.33421344373731
焦作市,156410800,60.483892014775726
石河子市,156659001,55.93133143293235
赤峰市,156150400,43.48751673257817
双河市,156659007,48.98119190782775
铁门关市,156659006,96.14152088237527
北屯市,156659005,0.0
五家渠市,156659004,160.11312282575457
韶关市,156440200,119.64006329109871
朔州市,156140600,41.68341754800236
四平市,156220300,27.52366012304613
新余市,156360500,52.56027316518295
南平市,156350700,86.89910339920995
哈尔滨市,156230100,24.823487066958055
成都市,156510100,66.20432547536362
河池市,156451200,69.28592412391792
中卫市,156640500,66.1695228261634
本溪市,156210500,36.68086036467356
承德市,156130800,55.78286464314715
聊城市,156371500,58.10007744821913
衡阳市,156430400,35.16392603965598
湘西土家族苗族自治州,156433100,39.92523094667838
杭州市,156330100,107.01842705441032
玉树藏族自治州,156632700,0.7421205048497683
武威市,156620600,43.12752708648435
临夏回族自治州,156622900,26.168447348542678
黄山市,156341000,281.1531877516125
徐州市,156320300,66.82095844979543
济宁市,156370800,68.98254467166602
揭阳市,156445200,48.17934357517634
那曲市,156540600,8.586934073324763
郑州市,156410100,73.9870632153947
通辽市,156150500,31.993769744589
贵港市,156450800,57.521189978959015
安康市,156610900,40.19256315922972
昌吉回族自治州,156652300,94.0309316263938
晋中市,156140700,65.90665218502102
大庆市,156230600,27.199678718584067
普洱市,156530800,40.48995485490041
白城市,156220800,20.102678174690745
石嘴山市,156640200,143.0968349737083
荆州市,156421000,49.00551024361789
沧州市,156130900,45.06225820983864
三门峡市,156411200,60.87287590299672
海西蒙古族藏族自治州,156632800,43.597980383011794
云浮市,156445300,103.68312135561185
张掖市,156620700,69.68616310232564
滁州市,156341100,168.82854356832905
泰安市,156370900,71.34918860548193
无锡市,156320200,77.67654120204637
大兴安岭地区,156232700,79.18036227058002
鄂尔多斯市,156150600,152.01711977511818
阿拉善盟,156152900,293.44924151327325
山南市,156540500,24.113067284719406
开封市,156410200,57.48785587088267
重庆市,156500000,70.98641894972228
钦州市,156450700,66.64111931654186
榆林市,156610800,34.37949438933504
伊春市,156230700,12.451361909911911
运城市,156140800,36.49847742561273
丽江市,156530700,82.6256714582586
黄冈市,156421100,54.83150124577725
吴忠市,156640300,72.13652317654656
南阳市,156411300,49.646258925170144
乌鲁木齐市,156650100,101.93918129196243
和田地区,156653200,35.22110679165256
海南藏族自治州,156632500,27.823395977662432
海东市,156630200,24.634334073094
武汉市,156420100,82.80865564885467
儋州市,156460400,87.24903515245221
甘孜藏族自治州,156513300,91.95338110226426
内江市,156511000,37.388244954478814
烟台市,156370600,69.61023789676977
南京市,156320100,96.24677098710472
白银市,156620400,35.38261973353843
郴州市,156431000,46.78372418487176
呼伦贝尔市,156150700,25.853956339412235
防城港市,156450600,99.35573987405544
北京市,156110000,71.39128988015811
洛阳市,156410300,70.60660650233875
汉中市,156610700,56.483199723630705
吉安市,156360800,73.55492497821488
丽水市,156331100,72.86391862541332
忻州市,156140900,54.82862546482657
中山市,156442000,69.86732836062
鹤岗市,156230400,10.713270863242427
白山市,156220600,34.54938615437338
咸宁市,156421200,68.17291210454671
宿迁市,156321300,72.93117743665593
济源市,156419001,77.24271403348273
营口市,156210800,34.108738613229825
商丘市,156411400,54.98923508154434
果洛藏族自治州,156632600,15.32930124721807
三沙市,156460300,485.436883059927
黄石市,156420200,60.55146929350785
阿坝藏族羌族自治州,156513200,141.6668839947953
潍坊市,156370700,72.22486883767824
天水市,156620500,21.08106831932844
永州市,156431100,34.21116371482098
巴彦淖尔市,156150800,58.51171268034227
北海市,156450500,72.3467894483099
平顶山市,156410400,48.27505696302343
宜春市,156360900,61.30086621767307
台州市,156331000,57.77188799037806
东方市,156469007,72.7614283686624
延安市,156610600,42.08612267712487
万宁市,156469006,108.80357641583717
文昌市,156469005,138.37250542745676
双鸭山市,156230500,23.901287701139324
临沧市,156530900,30.485079128619304
松原市,156220700,23.547513593080634
随州市,156421300,71.38734721039512
资阳市,156512000,56.60423255104293
银川市,156640100,83.68704066005958
泰州市,156321200,97.19912783704314
神农架林区,156429021,297.4816638380929
阜新市,156210900,23.57600896698549
琼海市,156469002,161.73977276813363
五指山市,156469001,218.89924779603163
信阳市,156411500,82.83482751949843
湖州市,156330500,150.30363098355144
黄南藏族自治州,156632300,11.301873444560316
抚州市,156361000,51.11028235688636
清远市,156441800,86.4769297171763
天津市,156120000,101.93631648619181
嘉峪关市,156620200,35.94638347509152
乌兰察布市,156150900,141.23398991925447
阿里地区,156542500,18.025235833149722
连云港市,156320700,71.22105446128128
克孜勒苏柯尔克孜自治州,156653000,30.209055951619845
日喀则市,156540200,16.0127529365418
渭南市,156610500,49.84490901204893
铜仁市,156520600,46.38576540954619
玉溪市,156530400,60.396155181910586
江门市,156440700,76.56210149277835
益阳市,156430900,44.145556007226475
广元市,156510800,80.89742213311594
芜湖市,156340200,206.45889554093424
塔城地区,156654200,54.35141638727618
嘉兴市,156330400,118.70956129314709
西宁市,156630100,27.465273683074695
上饶市,156361100,49.753318786127004
东莞市,156441900,55.730171678781346
南通市,156320600,104.2122937774148
辽阳市,156211000,31.125137563123644
巴中市,156511900,33.99397185463036
六安市,156341500,93.92381482411486
金昌市,156620300,69.86266272515437
廊坊市,156131000,88.03430238868617
拉萨市,156540100,31.95872101207216
喀什地区,156653100,32.42405787108772
阿勒泰地区,156654300,40.03515715951885
毕节市,156520500,34.656357134138894
福州市,156350100,53.71973793456468
咸阳市,156610400,44.10554812738985
文山壮族苗族自治州,156532600,29.264819494290563
湛江市,156440800,45.331223437698064
曲靖市,156530300,40.596139611815694
蚌埠市,156340300,131.4052839348804
绵阳市,156510700,71.34669301656675
温州市,156330300,57.14545021379119
苏州市,156320500,82.20822681190317
阜阳市,156341200,64.88649947632348
林芝市,156540400,129.59405293644096
衡水市,156131100,59.11995486717882
许昌市,156411000,59.09782713556832
佳木斯市,156230800,17.8751481674945
宝鸡市,156610300,44.27161793806817
昭通市,156530600,27.57699575237615
大理白族自治州,156532900,65.3752625327269
定西市,156621100,29.62606360789117
茂名市,156440900,91.2084358835486
伊犁哈萨克自治州,156654000,66.72399972288453
宁波市,156330200,94.57438703504855
兰州市,156620100,40.15595784832457
临汾市,156141000,49.53229760096592
常州市,156320400,89.79175192034656
宿州市,156341300,89.40361412124001
潮州市,156445100,67.9533971964884
昌都市,156540300,30.996680394345425
玉林市,156450900,60.61686821751724
海北藏族自治州,156632200,28.838056727160904
漯河市,156411100,49.922539481364744
七台河市,156230900,19.42522887372776
西双版纳傣族自治州,156532800,52.303341305924825
陇南市,156621200,17.11894507581669
保山市,156530500,56.00543507122871
遂宁市,156510900,35.92961304428407
合肥市,156340100,103.62714701111196
铜川市,156610200,74.24698099857513
