name,gb,Average_Accessibility
梅州市,156441400,0.00016754628466113765
鄂州市,156420700,0.000501002063732109
吕梁市,156141100,0.00017140898183064793
舟山市,156330900,0.0006802720682961601
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003274930407728836
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.07146067415730337
三明市,156350400,0.0019818799546998866
景德镇市,156360200,0.0004731488052992666
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0013459737827715356
攀枝花市,156510400,0.0008368200836820083
贺州市,156451100,0.0
西安市,156610100,0.01059135039717564
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0009444542825098873
汕尾市,156441500,0.0
荆门市,156420800,7.25742028010273e-05
衢州市,156330800,0.0007057163020465773
迪庆藏族自治州,156533400,0.0005017561465127947
宜宾市,156511500,7.055669230226487e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0031979068246238826
贵阳市,156520100,0.0010783608914450035
珠海市,156440400,0.011994949494949494
长春市,156220100,0.00012493362900958867
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.00026874492899508476
庆阳市,156621000,8.985532755821325e-05
泉州市,156350500,0.0008842710290704101
自贡市,156510300,0.0013074031704526884
临沂市,156371300,0.0015253867945086074
百色市,156451000,0.0
鞍山市,156210300,9.531071292413267e-05
铜陵市,156340700,0.0002788622420524261
唐山市,156130200,0.0006721182928195363
岳阳市,156430600,0.0001308301170929548
河源市,156441600,0.0
孝感市,156420900,0.00017788846393311395
金华市,156330700,0.0027867573291717757
兴安盟,156152200,0.0001947293262365312
盘锦市,156211100,0.0002455795970553265
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.0008453085376162299
汕头市,156440500,0.0012690355329949238
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.023682652457075192
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.004975124378109453
常德市,156430700,0.00010290712631849755
牡丹江市,156231000,0.00010542963829301946
淮南市,156340400,0.0004101161995898838
德阳市,156510600,0.000283406529798882
威海市,156371000,0.0005448106782892945
秦皇岛市,156130300,0.00011376563599492096
绍兴市,156330600,0.0006172839506172839
阳江市,156441700,0.00015775358889414735
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00040508790407518434
遵义市,156520300,8.401949252226517e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.001889644746787604
佛山市,156440600,0.00549566687803847
大同市,156140200,0.00021848372296263927
昆明市,156530100,0.0009639882223834137
张家界市,156430800,0.0
泸州市,156510500,0.0003861376580751038
沈阳市,156210100,0.0009515955084692001
邯郸市,156130400,0.0009754194303550526
马鞍山市,156340500,0.0007591573353577528
日照市,156371100,0.00014204544607888568
三亚市,156460200,0.02040816326530612
十堰市,156420300,0.0
呼和浩特市,156150100,0.0012558869701726845
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.00011943150603129105
枣庄市,156370400,0.000311284046692607
安阳市,156410500,0.0005320280910832092
怀化市,156431200,6.803646754660499e-05
阳泉市,156140300,0.0003248863285280343
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0005727377544154006
陵水黎族自治县,156469028,0.006105006105006105
博尔塔拉蒙古自治州,156652700,0.0004457321149988857
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00014637002341920375
齐齐哈尔市,156230200,3.43878954607978e-05
龙岩市,156350800,0.00019904458598726116
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0009574875526618154
仙桃市,156429004,0.0006261740763932373
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.00047187617969044924
镇江市,156321100,0.0028333962976955043
昌江黎族自治县,156469026,0.0
周口市,156411600,0.00011927480916030534
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.0002329916400767217
澄迈县,156469023,0.0004856726276810856
长沙市,156430100,0.00452147701582517
