name,gb,Average_Accessibility
梅州市,156441400,0.15831285440256077
鄂州市,156420700,2.2331398045925455
吕梁市,156141100,0.48476209979846563
舟山市,156330900,3.2401060520917593
朝阳市,156211300,0.1421373250055211
广安市,156511600,0.4941315853733719
濮阳市,156410900,0.20677615496061164
宣城市,156341800,0.8301304221541419
六盘水市,156520200,0.0
深圳市,156440300,8.662823169422186
三明市,156350400,5.386815404380662
景德镇市,156360200,0.12787936517027956
楚雄彝族自治州,156532300,0.16982858855721095
大连市,156210200,6.420783595146084
攀枝花市,156510400,0.852778064067645
贺州市,156451100,0.0
西安市,156610100,3.732849392703691
境界线,,0.0
淮北市,156340600,0.39903791458208376
邵阳市,156430500,0.031937474669746314
石家庄市,156130100,2.1114079176754954
汕尾市,156441500,0.0
荆门市,156420800,0.23498613218797637
衢州市,156330800,2.904860382638387
迪庆藏族自治州,156533400,1.583280594493256
宜宾市,156511500,0.0877305379574552
葫芦岛市,156211400,0.0
济南市,156370100,1.8959589172473783
贵阳市,156520100,1.9839868356547719
珠海市,156440400,3.530492653810142
长春市,156220100,0.11085415296012069
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.6709300431339857
庆阳市,156621000,0.18788834875070212
泉州市,156350500,1.5617761632919185
自贡市,156510300,0.6330796728622339
临沂市,156371300,2.8871526441931104
百色市,156451000,0.11571342136029551
鞍山市,156210300,0.2429047611826907
铜陵市,156340700,1.525962763676669
唐山市,156130200,4.801572338142277
岳阳市,156430600,0.4048741991926269
河源市,156441600,0.07255619592385279
孝感市,156420900,0.7277879276406963
金华市,156330700,2.040316051023944
兴安盟,156152200,0.433176735581663
盘锦市,156211100,0.2847501970502451
雅安市,156511800,0.1413199765425677
亳州市,156341600,0.3682028221377642
商洛市,156611000,0.4047353983112816
盐城市,156320900,3.520545439332295
汕头市,156440500,0.2528132670684092
安顺市,156520400,0.6530292346025643
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,3.35318252373005
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.13986501985812969
甘南藏族自治州,156623000,0.0
太原市,156140100,4.831379139686684
常德市,156430700,0.1541216769546392
牡丹江市,156231000,0.26636574617591846
淮南市,156340400,0.3364407056276921
德阳市,156510600,1.1526799632846294
威海市,156371000,1.519970220577593
秦皇岛市,156130300,3.851599797533969
绍兴市,156330600,1.810826427809729
阳江市,156441700,0.6539244249978244
铁岭市,156211200,0.5065911484957955
达州市,156511700,0.0
池州市,156341700,1.6454281788114373
淮安市,156320800,2.4716903109092403
遵义市,156520300,0.3036651578958991
黔东南苗族侗族自治州,156522600,0.330699493547968
莆田市,156350300,1.2748053207040781
南昌市,156360100,1.7289038802124688
佛山市,156440600,1.60785655159871
大同市,156140200,0.2617412131565817
昆明市,156530100,1.7271194397257672
张家界市,156430800,0.0
泸州市,156510500,0.18711025796835823
沈阳市,156210100,0.7737727222639519
邯郸市,156130400,1.499433708797827
马鞍山市,156340500,1.2227422585683054
日照市,156371100,4.225058488178046
三亚市,156460200,7.0473518993318045
十堰市,156420300,0.19293374418286435
呼和浩特市,156150100,1.1112365363482561
德宏傣族景颇族自治州,156533100,0.0
