name,gb,Gini_Coefficient
梅州市,156441400,0.524672056007526
鄂州市,156420700,0.6128717356483206
吕梁市,156141100,0.7170072281916442
舟山市,156330900,0.5498965308950048
朝阳市,156211300,0.8130082149802058
广安市,156511600,0.7177317875446301
濮阳市,156410900,0.6600429109815308
宣城市,156341800,0.590659680879897
六盘水市,156520200,0.6002925133360771
深圳市,156440300,0.2600345480355032
三明市,156350400,0.5766366053637999
景德镇市,156360200,0.5142905154524566
楚雄彝族自治州,156532300,0.5360942725556967
大连市,156210200,0.5463886645525877
攀枝花市,156510400,0.5606851551520666
贺州市,156451100,0.5650917737060573
西安市,156610100,0.34293806483080636
境界线,,0.0
淮北市,156340600,0.5980724630607092
邵阳市,156430500,0.7925180585985336
石家庄市,156130100,0.5438455406386437
汕尾市,156441500,0.46767889845776744
荆门市,156420800,0.6241744120711894
衢州市,156330800,0.6143178680186858
迪庆藏族自治州,156533400,0.39950280532853455
宜宾市,156511500,0.625129243711303
葫芦岛市,156211400,0.7649822113977043
济南市,156370100,0.536356543440281
贵阳市,156520100,0.3675074602331351
珠海市,156440400,0.22897246120023973
长春市,156220100,0.6840961643496739
延边朝鲜族自治州,156222400,0.7012946678054603
萍乡市,156360300,0.6332149236337765
庆阳市,156621000,0.6959151294084451
泉州市,156350500,0.5036842225259055
自贡市,156510300,0.6727837270588521
临沂市,156371300,0.5897781305263896
百色市,156451000,0.5301841978656877
鞍山市,156210300,0.7509756922981194
铜陵市,156340700,0.5779050566999071
唐山市,156130200,0.6680617799925437
岳阳市,156430600,0.6650548378199503
河源市,156441600,0.45097762364185046
孝感市,156420900,0.5446998537877928
金华市,156330700,0.4494618135341374
兴安盟,156152200,0.7748872696862249
盘锦市,156211100,0.6906491804174599
雅安市,156511800,0.48236607120594366
亳州市,156341600,0.6606169081099003
商洛市,156611000,0.6962974923934953
盐城市,156320900,0.6361316641972599
汕头市,156440500,0.5339445456695638
安顺市,156520400,0.5687505658939096
黔南布依族苗族自治州,156522700,0.5897061466047986
厦门市,156350200,0.31303538041660073
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.6663824677507978
红河哈尼族彝族自治州,156532500,0.5639198314626821
甘南藏族自治州,156623000,0.7039414897848013
太原市,156140100,0.39310454865983
常德市,156430700,0.74324832296137
牡丹江市,156231000,0.7739863776334085
淮南市,156340400,0.6363192405965015
德阳市,156510600,0.6809393744461709
威海市,156371000,0.5546202704199581
秦皇岛市,156130300,0.6578170549752709
绍兴市,156330600,0.4412456091167756
阳江市,156441700,0.4796526453310507
铁岭市,156211200,0.7814961780508946
达州市,156511700,0.7188027428724981
池州市,156341700,0.6890163422273539
淮安市,156320800,0.5424281458431497
遵义市,156520300,0.4836071418985527
黔东南苗族侗族自治州,156522600,0.5264252358647944
莆田市,156350300,0.6513048006348183
南昌市,156360100,0.38198746109209447
佛山市,156440600,0.33143839894614746
大同市,156140200,0.6303813039146096
昆明市,156530100,0.3710168611371255
张家界市,156430800,0.6572171432585765
泸州市,156510500,0.6959282001831664
沈阳市,156210100,0.5494157868854794
邯郸市,156130400,0.7318508541051407
马鞍山市,156340500,0.5932398860966659
日照市,156371100,0.5083612554595383
三亚市,156460200,0.2859173744136978
十堰市,156420300,0.4335544011731788
呼和浩特市,156150100,0.4987975118110941
德宏傣族景颇族自治州,156533100,0.5461584580934402
梧州市,156450400,0.49505428920784467
枣庄市,156370400,0.5997251899506582
安阳市,156410500,0.6893746290031433
怀化市,156431200,0.6637932061327665
阳泉市,156140300,0.5652994602422023
保亭黎族苗族自治县,156469029,0.4104621451207693
中农发山丹马场,156629700,0.8737231138453732
鹰潭市,156360600,0.5629792346223053
陵水黎族自治县,156469028,0.33300395672273775
博尔塔拉蒙古自治州,156652700,0.6444182260152795
乐东黎族自治县,156469027,0.6388747841343786
辽源市,156220400,0.8396444391006948
齐齐哈尔市,156230200,0.8587765609763574
龙岩市,156350800,0.4842127759532745
天门市,156429006,0.7174757372356212
潜江市,156429005,0.7147872096406914
邢台市,156130500,0.7117809409576444
仙桃市,156429004,0.5972204870107826
绥化市,156231200,0.8961189728106734
丹东市,156210600,0.7635598349696051
滨州市,156371600,0.6561313531512236
镇江市,156321100,0.5455288554366691
昌江黎族自治县,156469026,0.6192804720106242
周口市,156411600,0.7497111733907216
白沙黎族自治县,156469025,0.6153443117295961
临高县,156469024,0.4680142940172305
吐鲁番市,156650400,0.5909238404654287
澄迈县,156469023,0.6312582667786268
长沙市,156430100,0.39067039930664993
屯昌县,156469022,0.5221517063404539
定安县,156469021,0.6425601129481826
海口市,156460100,0.19697522540326418
乐山市,156511100,0.6021050458518196
凉山彝族自治州,156513400,0.715735564676609
桂林市,156450300,0.5185359053151148
东营市,156370500,0.632604501517696
鹤壁市,156410600,0.6485105715222038
娄底市,156431300,0.702692709696499
包头市,156150200,0.5275014657843773
锡林郭勒盟,156152500,0.5451393541391647
琼中黎族苗族自治县,156469030,0.4868545043198914
长治市,156140400,0.6159985718905117
赣州市,156360700,0.5204050179172854
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.7653762137771525
巴音郭楞蒙古自治州,156652800,0.5462511772139048
上海市,156310000,0.3845443134719958
鸡西市,156230300,0.8627011280410598
宁德市,156350900,0.456108876919332
保定市,156130600,0.7491630800076058
菏泽市,156371700,0.6934587325513475
崇左市,156451400,0.6013611550689644
黑河市,156231100,0.8038698331801305
扬州市,156321000,0.5730805453509743
驻马店市,156411700,0.7078329484697812
哈密市,156650500,0.4313616798769968
株洲市,156430200,0.6385896125753365
锦州市,156210700,0.742005645335583
肇庆市,156441200,0.5088075165923889
恩施土家族苗族自治州,156422800,0.6009216423813156
宜昌市,156420500,0.4464589042426369
怒江傈僳族自治州,156533300,0.5132132711553599
柳州市,156450200,0.4301957980218547
平凉市,156620800,0.6999311838159612
眉山市,156511400,0.6344299397136948
青岛市,156370200,0.43580594905069614
新乡市,156410700,0.6224306167065226
乌海市,156150300,0.6559057072119086
黔西南布依族苗族自治州,156522300,0.5716591381936005
晋城市,156140500,0.403525517787223
广州市,156440100,0.30655141866860747
吉林市,156220200,0.7520433126218764
九江市,156360400,0.5265852401026268
漳州市,156350600,0.5627787809885336
来宾市,156451300,0.6308939734101442
张家口市,156130700,0.7356042170216407
德州市,156371400,0.7025529065110354
胡杨河市,156659010,0.9297756331546101
固原市,156640400,0.5354024369830113
抚顺市,156210400,0.7670886924639987
安庆市,156340800,0.6048939695310656
白杨市,156659012,0.0
新星市,156659011,0.7225850521832385
克拉玛依市,156650200,0.5393158099144069
湘潭市,156430300,0.6156927704375079
昆玉市,156659009,0.8381353733498018
惠州市,156441300,0.3700744997052461
可克达拉市,156659008,0.8652530850203302
襄阳市,156420600,0.5723977933485132
南宁市,156450100,0.4077913501228847
南充市,156511300,0.5383639510690539
酒泉市,156620900,0.5648056323127488
淄博市,156370300,0.547715905108909
图木舒克市,156659003,0.8791892701218481
阿拉尔市,156659002,0.6954180202350317
焦作市,156410800,0.6593687626198272
石河子市,156659001,0.5988903094306623
赤峰市,156150400,0.8014645495266646
双河市,156659007,0.8874700405467904
铁门关市,156659006,0.9092845705894224
北屯市,156659005,0.0
五家渠市,156659004,0.5772108801148341
韶关市,156440200,0.4483438743786664
朔州市,156140600,0.6394502631549621
四平市,156220300,0.7807028376225597
新余市,156360500,0.5299073024096199
南平市,156350700,0.5942753008258913
哈尔滨市,156230100,0.6674079917173567
成都市,156510100,0.3808183007169138
河池市,156451200,0.5610561704861629
中卫市,156640500,0.6150255027167052
本溪市,156210500,0.6584186978290605
承德市,156130800,0.7699965455069278
聊城市,156371500,0.6541408180927282
衡阳市,156430400,0.7388784146638225
湘西土家族苗族自治州,156433100,0.6781257140748251
杭州市,156330100,0.34334925548896067
玉树藏族自治州,156632700,0.9903109998077786
武威市,156620600,0.6758088719367472
临夏回族自治州,156622900,0.7392830034295709
黄山市,156341000,0.5450245316284281
徐州市,156320300,0.6303997047070057
济宁市,156370800,0.5914382894816839
揭阳市,156445200,0.4846442107912975
那曲市,156540600,0.8693093297626283
郑州市,156410100,0.37840432734063933
通辽市,156150500,0.7996039534252951
贵港市,156450800,0.652299199896098
安康市,156610900,0.6434817665535315
昌吉回族自治州,156652300,0.5882750449307428
晋中市,156140700,0.6104222922185061
大庆市,156230600,0.7993878958747573
普洱市,156530800,0.5247041349243309
白城市,156220800,0.9031788383033338
石嘴山市,156640200,0.5081737661078067
荆州市,156421000,0.6500426147184106
沧州市,156130900,0.7448023638351504
三门峡市,156411200,0.5793904133755023
海西蒙古族藏族自治州,156632800,0.7698150922395028
