name,gb,Average_Accessibility
梅州市,156441400,0.04362957031881655
鄂州市,156420700,0.09151961258703327
吕梁市,156141100,0.024741292697285294
舟山市,156330900,0.1832721897004069
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.051395731623542815
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.89460578590599
三明市,156350400,0.0
景德镇市,156360200,0.17632475233749761
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.13928608804518458
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.41974922678431686
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.045701654318842405
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.23077452600272766
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.022252876573409557
葫芦岛市,156211400,0.0
济南市,156370100,0.30200281552241137
贵阳市,156520100,0.0
珠海市,156440400,0.5463677694086494
长春市,156220100,0.032340375020657376
延边朝鲜族自治州,156222400,0.04331933326879423
萍乡市,156360300,0.05012653924866108
庆阳市,156621000,0.0
泉州市,156350500,0.0693590456626407
自贡市,156510300,0.26411336739072777
临沂市,156371300,0.2597273968526651
百色市,156451000,0.0
鞍山市,156210300,0.02627540798795897
铜陵市,156340700,0.0
唐山市,156130200,0.06126779934956382
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.5391821114179082
兴安盟,156152200,0.2588340069740527
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.020284706684397035
商洛市,156611000,0.0
盐城市,156320900,0.07001554424872865
汕头市,156440500,0.05011928413656384
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.5102737260103873
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.27103169503176433
常德市,156430700,0.03427022891246478
牡丹江市,156231000,0.0
淮南市,156340400,0.055549042730954554
德阳市,156510600,0.026980859816304274
威海市,156371000,0.10313109620051406
秦皇岛市,156130300,0.03141440540207737
绍兴市,156330600,0.0918201836896128
阳江市,156441700,0.07689734886689441
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.08244891123047945
遵义市,156520300,0.016311270770180974
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.14296477733399202
佛山市,156440600,0.10429103128025377
大同市,156140200,0.056143079313852616
昆明市,156530100,0.08635343493888792
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.12488540424723783
邯郸市,156130400,0.04013729791252007
马鞍山市,156340500,0.17408046858482143
日照市,156371100,0.0337808633267882
三亚市,156460200,1.0203795077016604
十堰市,156420300,0.0
呼和浩特市,156150100,0.25103394633722165
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.07555400128035619
安阳市,156410500,0.1089956690876747
怀化市,156431200,0.0
阳泉市,156140300,0.06914524585343844
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.163866189643946
陵水黎族自治县,156469028,0.6020360897225242
博尔塔拉蒙古自治州,156652700,0.2470490102823865
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.08383143402223944
齐齐哈尔市,156230200,0.01838553179668246
龙岩市,156350800,0.03924222876286572
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.10543725586527153
仙桃市,156429004,0.0818957271998366
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.14751028273569264
镇江市,156321100,0.2926185723886177
昌江黎族自治县,156469026,0.0
周口市,156411600,0.022381651547245012
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.151476822243825
澄迈县,156469023,0.0
长沙市,156430100,0.11578939008852862
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.12276124020419647
乐山市,156511100,0.12128676538068706
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.06120346560436476
东营市,156370500,0.0
鹤壁市,156410600,0.34121714899263966
娄底市,156431300,0.025413357443940937
包头市,156150200,0.034367580309078986
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.05710016230318318
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.15168799287369036
上海市,156310000,0.4863593668302159
鸡西市,156230300,0.16358946229363439
宁德市,156350900,0.03654363099200602
保定市,156130600,0.03366815950150856
菏泽市,156371700,0.06925957479117714
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.08816423676700058
驻马店市,156411700,0.05433764525951814
哈密市,156650500,0.17528667670937534
株洲市,156430200,0.07225470069691697
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.07565469583454798
平凉市,156620800,0.04660364220682727
眉山市,156511400,0.03381790619700759
青岛市,156370200,0.23054348909833586
新乡市,156410700,0.18178783380218647
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.04177859851702139
广州市,156440100,0.21655134868217746
吉林市,156220200,0.0
九江市,156360400,0.05901445896747149
漳州市,156350600,0.020084749548294218
来宾市,156451300,0.0
张家口市,156130700,0.04438723303799826
德州市,156371400,0.1990225681120458
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.0
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0
昆玉市,156659009,0.0
惠州市,156441300,0.0355696883178689
可克达拉市,156659008,0.0
襄阳市,156420600,0.07214127292475567
南宁市,156450100,0.055846914368955
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.12295432370270089
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.053661398174484946
石河子市,156659001,0.0
赤峰市,156150400,0.023080284990689925
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,1.0412653643082184
韶关市,156440200,0.03386191386027252
朔州市,156140600,0.052649952106358304
四平市,156220300,0.0
新余市,156360500,0.08143746940454281
南平市,156350700,0.0
哈尔滨市,156230100,0.03482286721769822
成都市,156510100,0.21036517273004024
河池市,156451200,0.0
中卫市,156640500,0.4866586613217356
本溪市,156210500,0.0
承德市,156130800,0.0
聊城市,156371500,0.1272345532283901
衡阳市,156430400,0.0
湘西土家族苗族自治州,156433100,0.07336783890157665
杭州市,156330100,0.5961623813242442
玉树藏族自治州,156632700,0.0
武威市,156620600,0.0
临夏回族自治州,156622900,0.0
黄山市,156341000,0.21700431427432193
徐州市,156320300,0.11455581411716563
济宁市,156370800,0.011567881873714117
揭阳市,156445200,0.0
那曲市,156540600,1.439021529764645
郑州市,156410100,0.24661929400521973
通辽市,156150500,0.0
贵港市,156450800,0.0
安康市,156610900,0.0
昌吉回族自治州,156652300,0.12793350835437045
晋中市,156140700,0.0854333085368548
大庆市,156230600,0.16100177033852794
普洱市,156530800,0.03794540853701526
白城市,156220800,0.0
石嘴山市,156640200,0.13052102623859008
荆州市,156421000,0.0
沧州市,156130900,0.14323196639659347
三门峡市,156411200,0.38221771826695444
海西蒙古族藏族自治州,156632800,0.1854578859339054
云浮市,156445300,0.03845809070799976
张掖市,156620700,0.0
滁州市,156341100,0.0
泰安市,156370900,0.10378800433016314
无锡市,156320200,0.2267773676606989
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.04098221163034775
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.060579355146287046
重庆市,156500000,0.09769902331429205
钦州市,156450700,0.0
榆林市,156610800,0.028649584420071452
伊春市,156230700,0.0
运城市,156140800,0.0
丽江市,156530700,0.0
黄冈市,156421100,0.0
吴忠市,156640300,0.27895714107238667
南阳市,156411300,0.08265450147739377
乌鲁木齐市,156650100,0.18888768253231403
和田地区,156653200,0.0
