name,gb,Average_Accessibility
梅州市,156441400,0.01539794052545472
鄂州市,156420700,0.02574712643678161
吕梁市,156141100,0.0035679328091945315
舟山市,156330900,0.09708159618820726
朝阳市,156211300,0.00038174009861619213
广安市,156511600,0.005111679075452828
濮阳市,156410900,0.033168009919404835
宣城市,156341800,0.00843906413688744
六盘水市,156520200,0.004089219330855019
深圳市,156440300,1.5568767340467697
三明市,156350400,0.004958408090034252
景德镇市,156360200,0.007202065498029623
楚雄彝族自治州,156532300,0.001413371023227286
大连市,156210200,0.02217490652264229
攀枝花市,156510400,0.002277002277002277
贺州市,156451100,0.0066881028938906755
西安市,156610100,0.11108042802899551
境界线,,0.0
淮北市,156340600,0.01289537712895377
邵阳市,156430500,0.005901287553648069
石家庄市,156130100,0.025463071512309497
汕尾市,156441500,0.018630573248407643
荆门市,156420800,0.005670856474714996
衢州市,156330800,0.016288777932389295
迪庆藏族自治州,156533400,0.0006218905472636816
宜宾市,156511500,0.007243990780375371
葫芦岛市,156211400,0.002107220328478463
济南市,156370100,0.03560830860534125
贵阳市,156520100,0.025804686787635634
珠海市,156440400,0.258751902587519
长春市,156220100,0.004883050930221202
延边朝鲜族自治州,156222400,0.0013285997429921808
萍乡市,156360300,0.009962406015037594
庆阳市,156621000,0.0014066464042601292
泉州市,156350500,0.04873868933369893
自贡市,156510300,0.006049992039484159
临沂市,156371300,0.020578750108062083
百色市,156451000,0.0023125066298928607
鞍山市,156210300,0.002024018351099717
铜陵市,156340700,0.012952746461981291
唐山市,156130200,0.01885508795801341
岳阳市,156430600,0.007427137222762895
河源市,156441600,0.014672796635038638
孝感市,156420900,0.0073856416772554
金华市,156330700,0.03053939714436806
兴安盟,156152200,6.558065108470397e-05
盘锦市,156211100,0.005372616653839059
雅安市,156511800,0.00440995869152618
亳州市,156341600,0.007804878048780488
商洛市,156611000,0.0016422121243332
盐城市,156320900,0.02161531279178338
汕头市,156440500,0.06481481481481481
安顺市,156520400,0.0063149480415667465
黔南布依族苗族自治州,156522700,0.002969816385390788
厦门市,156350200,0.31807225974209336
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.00011458691417440129
红河哈尼族彝族自治州,156532500,0.0026707730805322297
甘南藏族自治州,156623000,0.00030817997710663026
太原市,156140100,0.06162702906757267
常德市,156430700,0.005335793950092273
牡丹江市,156231000,0.0002550183977558381
淮南市,156340400,0.007397015686774646
德阳市,156510600,0.012605571662674902
威海市,156371000,0.012309920347574221
秦皇岛市,156130300,0.014773852756685375
绍兴市,156330600,0.02539096819539624
阳江市,156441700,0.01556381162767346
铁岭市,156211200,0.0009997619614377528
达州市,156511700,0.0025683832027738537
池州市,156341700,0.0038032673524072956
淮安市,156320800,0.01740165092585707
遵义市,156520300,0.005023202411137157
黔东南苗族侗族自治州,156522600,0.0026402801256133215
莆田市,156350300,0.022906641000962465
南昌市,156360100,0.05143453312467397
佛山市,156440600,0.29899691358024694
大同市,156140200,0.004943310657596372
昆明市,156530100,0.026072511916799077
张家界市,156430800,0.006457494492137051
泸州市,156510500,0.004509047760308514
沈阳市,156210100,0.008546595847416707
邯郸市,156130400,0.01253049456642271
马鞍山市,156340500,0.010776985920389361
日照市,156371100,0.028092029998728868
三亚市,156460200,0.10947109471094711
十堰市,156420300,0.00418057685945442
呼和浩特市,156150100,0.004986315750009373
德宏傣族景颇族自治州,156533100,0.002448408534452606
梧州市,156450400,0.009333975671444056
枣庄市,156370400,0.021803619104123404
安阳市,156410500,0.011428057916799652
怀化市,156431200,0.002803738317757009
阳泉市,156140300,0.01023454157782516
保亭黎族苗族自治县,156469029,0.03989703744227975
中农发山丹马场,156629700,0.000418410091719368
鹰潭市,156360600,0.006668013740149525
陵水黎族自治县,156469028,0.056338028169014086
博尔塔拉蒙古自治州,156652700,0.00038341924764623183
乐东黎族自治县,156469027,0.007046223224351747
辽源市,156220400,0.001298854646357303
齐齐哈尔市,156230200,0.00017677696125422315
龙岩市,156350800,0.005061289047054171
天门市,156429006,0.0023847376788553257
潜江市,156429005,0.004832585433206766
邢台市,156130500,0.015784686179035796
仙桃市,156429004,0.008620689655172414
绥化市,156231200,0.00025683070905031905
丹东市,156210600,0.0007474498768906085
滨州市,156371600,0.008664858348402651
镇江市,156321100,0.04680073126142596
昌江黎族自治县,156469026,0.0075294117647058826
周口市,156411600,0.0062579673195039985
白沙黎族自治县,156469025,0.0175
临高县,156469024,0.006489675516224189
吐鲁番市,156650400,0.0007321131447587354
澄迈县,156469023,0.018328445747800588
长沙市,156430100,0.08579005797458986
屯昌县,156469022,0.013863773357444244
定安县,156469021,0.01588271227855834
海口市,156460100,0.17649086521889004
乐山市,156511100,0.005650404034266966
凉山彝族自治州,156513400,0.0005576666191136992
桂林市,156450300,0.006674357703218772
东营市,156370500,0.03237017178035945
鹤壁市,156410600,0.012139605462822459
娄底市,156431300,0.011957879707299661
包头市,156150200,0.0015975007987503993
锡林郭勒盟,156152500,6.275822394226244e-05
琼中黎族苗族自治县,156469030,0.003654765251616531
长治市,156140400,0.006040690088435703
赣州市,156360700,0.012831101976527535
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0018923811090998848
巴音郭楞蒙古自治州,156652800,0.00045923834470089976
上海市,156310000,0.6857505017428964
鸡西市,156230300,0.00016178611875101117
宁德市,156350900,0.007694938440492476
保定市,156130600,0.015100671140939598
菏泽市,156371700,0.0077602204352471464
崇左市,156451400,0.001985738785088907
黑河市,156231100,0.0001919938561966017
扬州市,156321000,0.030045721750489876
驻马店市,156411700,0.004617321953267105
哈密市,156650500,0.0006643757159221077
株洲市,156430200,0.013618804426111438
锦州市,156210700,0.0013273497250489855
肇庆市,156441200,0.018889231085104197
恩施土家族苗族自治州,156422800,0.003018349172195326
宜昌市,156420500,0.010093432449021346
怒江傈僳族自治州,156533300,0.00028000224001792015
柳州市,156450200,0.015066828675577158
平凉市,156620800,0.0020779855763354113
眉山市,156511400,0.01295153293534352
青岛市,156370200,0.06363972400197142
新乡市,156410700,0.017107942973523423
乌海市,156150300,0.003675119441381845
黔西南布依族苗族自治州,156522300,0.004172836182527931
晋城市,156140500,0.007970436924860517
广州市,156440100,0.4004833963850357
吉林市,156220200,0.0006903693476009665
九江市,156360400,0.006408189585684346
漳州市,156350600,0.021719180177424288
来宾市,156451300,0.0037803983524234046
张家口市,156130700,0.004836822713859156
德州市,156371400,0.011718750977125323
胡杨河市,156659010,0.0
固原市,156640400,0.0027343253211242527
抚顺市,156210400,0.0004428452809299751
安庆市,156340800,0.00871949547573348
白杨市,156659012,0.0
新星市,156659011,0.0011933174224343676
克拉玛依市,156650200,0.008780123295348403
湘潭市,156430300,0.020399367906909927
昆玉市,156659009,0.0
惠州市,156441300,0.058239978404643004
可克达拉市,156659008,0.0011771630370806356
襄阳市,156420600,0.00968392252861977
南宁市,156450100,0.013029881862404448
南充市,156511300,0.005689900426742532
酒泉市,156620900,0.0008467676274222439
淄博市,156370300,0.03001424033300471
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.000689496667432774
焦作市,156410800,0.02620899560365235
石河子市,156659001,0.009744215534317072
赤峰市,156150400,7.935878104912309e-05
双河市,156659007,0.0
铁门关市,156659006,0.0003486750348675035
北屯市,156659005,0.0012062726176115801
五家渠市,156659004,0.009146341463414634
韶关市,156440200,0.010094767202307375
朔州市,156140600,0.0028381642512077293
四平市,156220300,0.0007615253939429442
新余市,156360500,0.011090990535378618
南平市,156350700,0.006040590510062946
哈尔滨市,156230100,0.00163877140343901
