name,gb,Gini_Coefficient
梅州市,156441400,0.7243057095517631
鄂州市,156420700,0.6715407243270086
吕梁市,156141100,0.8111396860727645
舟山市,156330900,0.6418148243415012
朝阳市,156211300,0.8487980836522968
广安市,156511600,0.8688756861092115
濮阳市,156410900,0.812516466001843
宣城市,156341800,0.7592881946414334
六盘水市,156520200,0.8628868131314424
深圳市,156440300,0.23859761008277525
三明市,156350400,0.7907186931851666
景德镇市,156360200,0.6899399265797177
楚雄彝族自治州,156532300,0.8221690932632251
大连市,156210200,0.6043159753107754
攀枝花市,156510400,0.6755943837447005
贺州市,156451100,0.837556068229776
西安市,156610100,0.3985013839547349
境界线,,0.0
淮北市,156340600,0.7012679639005438
邵阳市,156430500,0.8703773960491876
石家庄市,156130100,0.6262079051251548
汕尾市,156441500,0.6536487903404865
荆门市,156420800,0.7832076460560776
衢州市,156330800,0.7071417196959116
迪庆藏族自治州,156533400,0.8817301638232915
宜宾市,156511500,0.8082007554427322
葫芦岛市,156211400,0.8789097435803629
济南市,156370100,0.5858449946002984
贵阳市,156520100,0.44882180086401613
珠海市,156440400,0.3931303893640241
长春市,156220100,0.6878444107785587
延边朝鲜族自治州,156222400,0.7889993378005211
萍乡市,156360300,0.7182954302623491
庆阳市,156621000,0.8282777482532664
泉州市,156350500,0.5757182895381487
自贡市,156510300,0.8341581774497242
临沂市,156371300,0.7086125704204842
百色市,156451000,0.8639263778621213
鞍山市,156210300,0.756175712996607
铜陵市,156340700,0.7529464630309688
唐山市,156130200,0.7533110149659181
岳阳市,156430600,0.8105518101871257
河源市,156441600,0.7385545153449219
孝感市,156420900,0.7035573887889175
金华市,156330700,0.5572649640264071
兴安盟,156152200,0.8643202524441603
盘锦市,156211100,0.75147980293227
雅安市,156511800,0.7240378812273587
亳州市,156341600,0.8605220621745991
商洛市,156611000,0.8856436421027784
盐城市,156320900,0.7199894973659462
汕头市,156440500,0.6056642728164243
安顺市,156520400,0.7364330054042225
黔南布依族苗族自治州,156522700,0.8347479708711748
厦门市,156350200,0.21132605785659342
太子山天然林保护区,156629900,0.9980006783088158
阿克苏地区,156652900,0.7864586501130508
红河哈尼族彝族自治州,156532500,0.8393884315147614
甘南藏族自治州,156623000,0.9228292328783426
太原市,156140100,0.3955042478111812
常德市,156430700,0.8008614243529885
牡丹江市,156231000,0.8631089560472952
淮南市,156340400,0.7955116849010642
德阳市,156510600,0.7533075589756022
威海市,156371000,0.6659884492225383
秦皇岛市,156130300,0.7205559540119604
绍兴市,156330600,0.4796859919005283
阳江市,156441700,0.7476791088626327
