name,gb,Average_Accessibility
梅州市,156441400,0.026778242677824266
鄂州市,156420700,0.02745881178232651
吕梁市,156141100,0.009685641461342397
舟山市,156330900,0.11509817197020988
朝阳市,156211300,0.0005676710840780398
广安市,156511600,0.005480817140009965
濮阳市,156410900,0.03455617675381413
宣城市,156341800,0.013513513513513514
六盘水市,156520200,0.005997360703526776
深圳市,156440300,1.742152466367713
三明市,156350400,0.01454443089049451
景德镇市,156360200,0.012702893436838392
楚雄彝族自治州,156532300,0.0044436991699505326
大连市,156210200,0.02492539933298227
攀枝花市,156510400,0.007208206265594677
贺州市,156451100,0.015026517383618149
西安市,156610100,0.19806094182825484
境界线,,0.0
淮北市,156340600,0.013218098627351297
邵阳市,156430500,0.008976759555017073
石家庄市,156130100,0.03153551429413498
汕尾市,156441500,0.029426432012619817
荆门市,156420800,0.006817522483318828
衢州市,156330800,0.02760174623292494
迪庆藏族自治州,156533400,0.00842835894893406
宜宾市,156511500,0.009521122787220537
葫芦岛市,156211400,0.0030965078272836744
济南市,156370100,0.040040694716953706
贵阳市,156520100,0.032743789497798534
珠海市,156440400,0.32097989949748745
长春市,156220100,0.006175920149719277
延边朝鲜族自治州,156222400,0.006585556423708003
萍乡市,156360300,0.014220552723370002
庆阳市,156621000,0.005101127617683909
泉州市,156350500,0.07423291971459846
自贡市,156510300,0.0060467396633436836
临沂市,156371300,0.022165128026476223
百色市,156451000,0.0052626496716879105
鞍山市,156210300,0.0029462077639851136
铜陵市,156340700,0.015054362977418455
唐山市,156130200,0.021843575418994413
岳阳市,156430600,0.009477124183006535
河源市,156441600,0.02900990099009901
孝感市,156420900,0.0083473936595329
金华市,156330700,0.051521208083499886
兴安盟,156152200,0.0003843936190659235
盘锦市,156211100,0.006374111301789654
雅安市,156511800,0.02944640753828033
亳州市,156341600,0.007976973684210527
商洛市,156611000,0.005821474773609315
盐城市,156320900,0.023214196947855047
汕头市,156440500,0.07689057879171948
安顺市,156520400,0.00830510326740247
黔南布依族苗族自治州,156522700,0.005322114653555679
厦门市,156350200,0.37529411764705883
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0003086283673559367
红河哈尼族彝族自治州,156532500,0.0057351977277692815
甘南藏族自治州,156623000,0.006827731092436975
太原市,156140100,0.14676838845710138
常德市,156430700,0.006944086453434028
牡丹江市,156231000,0.0014735291021997685
淮南市,156340400,0.007780507780507781
德阳市,156510600,0.014459880918627729
威海市,156371000,0.013614703880190605
秦皇岛市,156130300,0.020079410096426546
绍兴市,156330600,0.03497106267701022
阳江市,156441700,0.024485951969863445
铁岭市,156211200,0.0016451058102146116
达州市,156511700,0.003952569169960474
池州市,156341700,0.00631424375917768
淮安市,156320800,0.0191201490723487
遵义市,156520300,0.008733257757064282
黔东南苗族侗族自治州,156522600,0.006181755156277081
莆田市,156350300,0.03373423291287768
南昌市,156360100,0.061006285469487026
佛山市,156440600,0.32419320818392744
大同市,156140200,0.012006489994591672
昆明市,156530100,0.04918258421727959
张家界市,156430800,0.013506994693680656
泸州市,156510500,0.007427413909520594
沈阳市,156210100,0.011278671904701559
邯郸市,156130400,0.014694408322496749
马鞍山市,156340500,0.011557408109132247
日照市,156371100,0.030633952630832507
三亚市,156460200,0.16940581542351454
十堰市,156420300,0.011881188118811881
呼和浩特市,156150100,0.013397029805794995
德宏傣族景颇族自治州,156533100,0.005898738325413731
梧州市,156450400,0.018544935805991442
枣庄市,156370400,0.022872257662984286
安阳市,156410500,0.013525026624068157
怀化市,156431200,0.0072576816116122905
阳泉市,156140300,0.02197802197802198
保亭黎族苗族自治县,156469029,0.07607361963190185
中农发山丹马场,156629700,0.008849557522123894
鹰潭市,156360600,0.009412435824301199
陵水黎族自治县,156469028,0.09523809523809523
博尔塔拉蒙古自治州,156652700,0.0015204170286707212
乐东黎族自治县,156469027,0.012145748987854251
辽源市,156220400,0.00175412951322906
齐齐哈尔市,156230200,0.0003767252303161067
龙岩市,156350800,0.012668250197941409
天门市,156429006,0.0027631942525559545
潜江市,156429005,0.005059631369714492
邢台市,156130500,0.018688608240847046
仙桃市,156429004,0.009369144284821987
绥化市,156231200,0.0004089700770226978
丹东市,156210600,0.0014921661278288984
滨州市,156371600,0.010738507912584778
镇江市,156321100,0.04872521246458923
昌江黎族自治县,156469026,0.015518913676042677
周口市,156411600,0.006679389312977099
白沙黎族自治县,156469025,0.04489016601212728
临高县,156469024,0.007795888764227983
吐鲁番市,156650400,0.004538234626730202
澄迈县,156469023,0.024108003857280617
长沙市,156430100,0.101566029212468
屯昌县,156469022,0.02017543859649123
定安县,156469021,0.018355359765051395
海口市,156460100,0.18416273156556484
乐山市,156511100,0.00991471296688641
凉山彝族自治州,156513400,0.003506196999347684
桂林市,156450300,0.013963858249237269
东营市,156370500,0.04856220657276995
鹤壁市,156410600,0.016531832571227575
娄底市,156431300,0.014102702120788029
包头市,156150200,0.005186020293122886
锡林郭勒盟,156152500,0.0006659267480577136
琼中黎族苗族自治县,156469030,0.009386281588447653
长治市,156140400,0.012325884357150015
赣州市,156360700,0.02382585466228656
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.004635227730753728
巴音郭楞蒙古自治州,156652800,0.0023997257456290708
上海市,156310000,0.7026880496551583
鸡西市,156230300,0.0004283022100394038
宁德市,156350900,0.016257135765698684
保定市,156130600,0.021439445196211097
菏泽市,156371700,0.008087675086444352
崇左市,156451400,0.003950907868190989
黑河市,156231100,0.0011784346459785917
扬州市,156321000,0.03230353218400351
驻马店市,156411700,0.005073309319669221
哈密市,156650500,0.005735260380821289
株洲市,156430200,0.019879969992498126
锦州市,156210700,0.0016559177270350357
肇庆市,156441200,0.035064316341114815
恩施土家族苗族自治州,156422800,0.005427258127042144
宜昌市,156420500,0.017779678621616668
怒江傈僳族自治州,156533300,0.002545608824777259
柳州市,156450200,0.03124172623775483
