name,gb,Average_Accessibility
梅州市,156441400,31.023934254699427
鄂州市,156420700,24.16005276521687
吕梁市,156141100,11.606587087939754
舟山市,156330900,33.21933480224494
朝阳市,156211300,3.41742046319843
广安市,156511600,6.344188613764939
濮阳市,156410900,20.44085315659536
宣城市,156341800,38.2769229633213
六盘水市,156520200,11.735586588630005
深圳市,156440300,43.92940434914739
三明市,156350400,17.148307593531438
景德镇市,156360200,16.13452399099019
楚雄彝族自治州,156532300,22.705540004790716
大连市,156210200,17.216170275998902
攀枝花市,156510400,10.42191097787876
贺州市,156451100,32.26926016109313
西安市,156610100,25.631277009123203
境界线,,0.0
淮北市,156340600,21.09865546361845
邵阳市,156430500,6.346230715864462
石家庄市,156130100,14.734771479487998
汕尾市,156441500,21.27131060049549
荆门市,156420800,22.85985152130231
衢州市,156330800,35.07676532132902
迪庆藏族自治州,156533400,21.907787343013652
宜宾市,156511500,11.878289062048234
葫芦岛市,156211400,5.470717938312924
济南市,156370100,19.51475613783172
贵阳市,156520100,23.30281548235833
珠海市,156440400,63.079529173272576
长春市,156220100,8.564692856978043
延边朝鲜族自治州,156222400,7.795082844312042
萍乡市,156360300,16.637994231451543
庆阳市,156621000,9.23837728300589
泉州市,156350500,20.34442626598893
自贡市,156510300,10.192649053655767
临沂市,156371300,23.459911298071688
百色市,156451000,24.567310228372616
鞍山市,156210300,6.763133730061186
铜陵市,156340700,33.759107346558416
唐山市,156130200,18.3802781597255
岳阳市,156430600,11.004506844703126
河源市,156441600,42.95197447288176
孝感市,156420900,15.038900751241686
金华市,156330700,25.428833601031204
兴安盟,156152200,4.2293133353547665
盘锦市,156211100,10.975030388282121
雅安市,156511800,21.229330764648537
亳州市,156341600,14.636093163356371
商洛市,156611000,8.255086026857784
盐城市,156320900,25.948229076847216
汕头市,156440500,11.651610462471142
安顺市,156520400,15.41025132351802
黔南布依族苗族自治州,156522700,16.524311998677547
厦门市,156350200,26.68499409662347
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,13.346214377537477
红河哈尼族彝族自治州,156532500,15.650228235460203
甘南藏族自治州,156623000,7.233454442354215
太原市,156140100,24.87033836199123
常德市,156430700,8.407340994282
牡丹江市,156231000,5.054685366304029
淮南市,156340400,15.201382864022783
德阳市,156510600,14.18805540983138
威海市,156371000,18.94909058999256
秦皇岛市,156130300,16.745941508999817
绍兴市,156330600,28.86561810156175
阳江市,156441700,24.252677450670785
铁岭市,156211200,3.917607632701439
达州市,156511700,5.841892932709915
池州市,156341700,40.53360255522297
淮安市,156320800,28.233870047465707
遵义市,156520300,20.88085778094207
黔东南苗族侗族自治州,156522600,19.61595067340032
莆田市,156350300,14.20329446817447
南昌市,156360100,22.871948156731953
佛山市,156440600,47.173751958176055
大同市,156140200,11.466817418495605
昆明市,156530100,28.565597957595838
张家界市,156430800,10.65535709251392
泸州市,156510500,8.575273633038467
沈阳市,156210100,14.493868536569542
邯郸市,156130400,10.14601226055636
马鞍山市,156340500,18.464406724708503
日照市,156371100,26.740906779942605
三亚市,156460200,65.89193756731679
十堰市,156420300,36.593780569711086
呼和浩特市,156150100,14.297945011617463
德宏傣族景颇族自治州,156533100,18.578700328965702
梧州市,156450400,22.48107147503228
枣庄市,156370400,17.83535100639709
安阳市,156410500,13.36879694461141
怀化市,156431200,7.368454844715177
阳泉市,156140300,14.753988469591047
保亭黎族苗族自治县,156469029,88.08201518834169
中农发山丹马场,156629700,0.0
鹰潭市,156360600,19.65110957331792
陵水黎族自治县,156469028,66.27408089325783
博尔塔拉蒙古自治州,156652700,14.865337642003096
乐东黎族自治县,156469027,27.08427645533604
辽源市,156220400,4.831773767673143
齐齐哈尔市,156230200,1.700642809524415
龙岩市,156350800,28.506415716372917
天门市,156429006,12.75089360224451
潜江市,156429005,19.5419715911142
邢台市,156130500,14.81482721745575
仙桃市,156429004,13.274199214237235
绥化市,156231200,2.2066013729084997
