name,gb,Gini_Coefficient
梅州市,156441400,0.6132554206323999
鄂州市,156420700,0.6742690503942763
吕梁市,156141100,0.7907334799347362
舟山市,156330900,0.6489180543328095
朝阳市,156211300,0.9438467200779714
广安市,156511600,0.8301733670137198
濮阳市,156410900,0.7428976786768192
宣城市,156341800,0.6014782256209108
六盘水市,156520200,0.6700230903878883
深圳市,156440300,0.32825699217067783
三明市,156350400,0.6707199654728373
景德镇市,156360200,0.6319444740489705
楚雄彝族自治州,156532300,0.6201727178732634
大连市,156210200,0.6210994692504914
攀枝花市,156510400,0.7610035947473037
贺州市,156451100,0.6268866794994674
西安市,156610100,0.44783212970484887
境界线,,0.0
淮北市,156340600,0.6818252870643076
邵阳市,156430500,0.8318020557732232
石家庄市,156130100,0.6649855484277525
汕尾市,156441500,0.5616095157246879
荆门市,156420800,0.6999155051975987
衢州市,156330800,0.6962685045172524
迪庆藏族自治州,156533400,0.6484566528375484
宜宾市,156511500,0.7281242964099387
葫芦岛市,156211400,0.8956336154469334
济南市,156370100,0.6483994526837625
贵阳市,156520100,0.434509940879786
珠海市,156440400,0.2696126888752738
长春市,156220100,0.8039371070160599
延边朝鲜族自治州,156222400,0.8375123663569495
萍乡市,156360300,0.740980477554926
庆阳市,156621000,0.7852841717778345
泉州市,156350500,0.6070849403686194
自贡市,156510300,0.7866799065777434
临沂市,156371300,0.6840684975471869
百色市,156451000,0.5695858813889034
鞍山市,156210300,0.830522446110765
铜陵市,156340700,0.594805752683335
唐山市,156130200,0.7659692215672169
岳阳市,156430600,0.7568022644445247
河源市,156441600,0.48091651607493835
孝感市,156420900,0.7210292432404434
金华市,156330700,0.5559849515029068
兴安盟,156152200,0.9532566564220597
盘锦市,156211100,0.8130521413672582
雅安市,156511800,0.6995429189469131
亳州市,156341600,0.7585663801851625
商洛市,156611000,0.8108937818289796
盐城市,156320900,0.7012203214424959
汕头市,156440500,0.6863185035518755
安顺市,156520400,0.7028922839571363
黔南布依族苗族自治州,156522700,0.6894983624184556
厦门市,156350200,0.42226470652735604
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.752376672430104
红河哈尼族彝族自治州,156532500,0.6430857883016035
甘南藏族自治州,156623000,0.8891117506603669
太原市,156140100,0.4938194149988564
常德市,156430700,0.8383993030032213
牡丹江市,156231000,0.88331498245008
淮南市,156340400,0.7586857580863238
德阳市,156510600,0.79910697188906
威海市,156371000,0.7138244736612325
秦皇岛市,156130300,0.7665525585649967
绍兴市,156330600,0.6181653783418459
阳江市,156441700,0.5816872250619078
铁岭市,156211200,0.9101255956094608
达州市,156511700,0.7929788935739457
池州市,156341700,0.7013117190899278
淮安市,156320800,0.6240601052788333
遵义市,156520300,0.5842003993396803
黔东南苗族侗族自治州,156522600,0.5705376592944666
莆田市,156350300,0.6965882686446145
南昌市,156360100,0.5131019784977231
佛山市,156440600,0.36601892087351495
大同市,156140200,0.7739185878414572
昆明市,156530100,0.41747332070362364
张家界市,156430800,0.8097848983575004
泸州市,156510500,0.8234336239914045
沈阳市,156210100,0.6336314979990165
邯郸市,156130400,0.8342222368218816
马鞍山市,156340500,0.7053378097096992
日照市,156371100,0.6361261389247617
三亚市,156460200,0.34061795439807985
十堰市,156420300,0.49323323328463275
呼和浩特市,156150100,0.6631023444227866
德宏傣族景颇族自治州,156533100,0.6559979234354747
梧州市,156450400,0.5409944161437017
枣庄市,156370400,0.7190970769713001
安阳市,156410500,0.8106062872209586
怀化市,156431200,0.7925499576126126
阳泉市,156140300,0.719148499418357
保亭黎族苗族自治县,156469029,0.4679713432778413
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.6972370539565916
陵水黎族自治县,156469028,0.36883684252641113
博尔塔拉蒙古自治州,156652700,0.8147698783262555
乐东黎族自治县,156469027,0.70378089727723
辽源市,156220400,0.8941343262146193
齐齐哈尔市,156230200,0.9672867492787953
龙岩市,156350800,0.5647644792603425
天门市,156429006,0.8104875683555776
潜江市,156429005,0.7039489141018245
邢台市,156130500,0.8192561801221689
仙桃市,156429004,0.6969793226691168
绥化市,156231200,0.968512932117534
丹东市,156210600,0.8404776003070731
滨州市,156371600,0.8125293770507945
镇江市,156321100,0.6448869200459224
昌江黎族自治县,156469026,0.6293175059651747
周口市,156411600,0.8280398909986535
白沙黎族自治县,156469025,0.563696426271023
临高县,156469024,0.6184325436517164
吐鲁番市,156650400,0.7546797047122312
澄迈县,156469023,0.6614074874811953
长沙市,156430100,0.4563550851900122
屯昌县,156469022,0.5282086226777978
定安县,156469021,0.7148211374467003
海口市,156460100,0.2229151242121119
乐山市,156511100,0.7222694516705924
凉山彝族自治州,156513400,0.7714536701423641
桂林市,156450300,0.616453879425236
东营市,156370500,0.6502667281448093
鹤壁市,156410600,0.7950137690794867
娄底市,156431300,0.8179539955833106
包头市,156150200,0.6916641564504549
锡林郭勒盟,156152500,0.8443929908416221
琼中黎族苗族自治县,156469030,0.490699595156856
长治市,156140400,0.7331008445394437
赣州市,156360700,0.6319497226487629
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8492710503955319
巴音郭楞蒙古自治州,156652800,0.7186742190369562
上海市,156310000,0.43881021080039495
鸡西市,156230300,0.9749814336338322
宁德市,156350900,0.6434191266073414
保定市,156130600,0.8603300331440759
菏泽市,156371700,0.7942965950471816
崇左市,156451400,0.6735866948402376
黑河市,156231100,0.9999090265907334
扬州市,156321000,0.6393992913015689
驻马店市,156411700,0.8041955185951084
哈密市,156650500,0.6383448016080762
株洲市,156430200,0.7006112309644358
锦州市,156210700,0.8736082261900835
肇庆市,156441200,0.5704950388047816
恩施土家族苗族自治州,156422800,0.693317401915768
宜昌市,156420500,0.5194722601017948
怒江傈僳族自治州,156533300,0.6813362034381625
柳州市,156450200,0.4741592810516786
平凉市,156620800,0.7372901724234654
眉山市,156511400,0.7164416195891209
青岛市,156370200,0.5392110807617259
新乡市,156410700,0.7259368317531993
乌海市,156150300,0.8767728085691211
黔西南布依族苗族自治州,156522300,0.6663407697824739
晋城市,156140500,0.6172011857947612
广州市,156440100,0.3582382103802789
吉林市,156220200,0.8911730841342651
九江市,156360400,0.652553194399954
漳州市,156350600,0.6220012514041516
来宾市,156451300,0.6846042595728541
张家口市,156130700,0.8662284032206379
德州市,156371400,0.822332345060665
胡杨河市,156659010,0.0
固原市,156640400,0.8388291002252946
抚顺市,156210400,0.8779490454342428
安庆市,156340800,0.725731337244587
白杨市,156659012,0.0
新星市,156659011,0.9318244656168289
克拉玛依市,156650200,0.0
湘潭市,156430300,0.7433400628280797
昆玉市,156659009,0.9951407389530448
惠州市,156441300,0.4268179573694162
可克达拉市,156659008,0.962467758068599
襄阳市,156420600,0.6652167703281443
南宁市,156450100,0.48164069025585
南充市,156511300,0.7199984973934848
酒泉市,156620900,0.7424741802747709
淄博市,156370300,0.6499217409417867
图木舒克市,156659003,0.9412324303561248
阿拉尔市,156659002,0.8481661550498042
焦作市,156410800,0.7654813331957938
石河子市,156659001,0.7236164435801329
赤峰市,156150400,0.9357464317776837
双河市,156659007,0.0
铁门关市,156659006,0.9858394104873661
北屯市,156659005,0.9116896951828977
五家渠市,156659004,0.6614281845993792
韶关市,156440200,0.556646199120408
朔州市,156140600,0.813116134582035
四平市,156220300,0.9688376424098584
新余市,156360500,0.6745944969401021
南平市,156350700,0.6606529589441106
哈尔滨市,156230100,0.787836637631494
成都市,156510100,0.45910197582368084
河池市,156451200,0.5839554322505327
中卫市,156640500,0.7323091789660835
本溪市,156210500,0.8070914145521592
承德市,156130800,0.903755105517758
聊城市,156371500,0.7923266093709189
衡阳市,156430400,0.8233432688585725
湘西土家族苗族自治州,156433100,0.759654823993853
杭州市,156330100,0.42459889920190497
玉树藏族自治州,156632700,0.0
武威市,156620600,0.9468504272899958
临夏回族自治州,156622900,0.8481302864094045
黄山市,156341000,0.698497244174996
徐州市,156320300,0.7336052511685118
济宁市,156370800,0.7100242456072159
揭阳市,156445200,0.6023809450561018
那曲市,156540600,0.9060659707232585
郑州市,156410100,0.4758241319038309
通辽市,156150500,0.9175208835665147
贵港市,156450800,0.7212963316831204
安康市,156610900,0.7963713678021165
昌吉回族自治州,156652300,0.7475807887533029
晋中市,156140700,0.7148281364449665
大庆市,156230600,0.9729698436570258
普洱市,156530800,0.6513716805350735
白城市,156220800,0.9722149358292476
石嘴山市,156640200,0.6640514019002464
荆州市,156421000,0.734243978894368
沧州市,156130900,0.8534040417746735
三门峡市,156411200,0.6893835736144711
