name,gb,Average_Accessibility
梅州市,156441400,9.62000962000962e-05
鄂州市,156420700,0.0004597701149425287
吕梁市,156141100,3.161855376735068e-05
舟山市,156330900,0.0011911852293031567
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.00030998140111593303
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.04478795085216013
三明市,156350400,0.0
景德镇市,156360200,0.00040766408479412964
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0005195614901023536
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.0026956040917887752
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00023446658851113716
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.0004092657771957109
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,5.487871803314675e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.001741710747000387
贵阳市,156520100,0.0
珠海市,156440400,0.0050735667174023336
长春市,156220100,7.326186231654009e-05
延边朝鲜族自治州,156222400,2.215575363676427e-05
萍乡市,156360300,0.0001879699024042689
庆阳市,156621000,0.0
泉州市,156350500,0.0004112969564025226
自贡市,156510300,0.0011144722177997134
临沂市,156371300,0.0010747124149186006
百色市,156451000,0.0
鞍山市,156210300,6.746727836999056e-05
铜陵市,156340700,0.0
唐山市,156130200,0.00024320249039350164
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0021152829190904283
兴安盟,156152200,5.263989050902774e-05
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,8.132064246526431e-05
商洛市,156611000,0.0
盐城市,156320900,0.00023357937027001775
汕头市,156440500,0.0010683760683760685
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.011583011583011582
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0012286173329552972
常德市,156430700,8.023427932726403e-05
牡丹江市,156231000,0.0
淮南市,156340400,0.0002550694912371777
德阳市,156510600,0.00012608750472828143
威海市,156371000,0.00036214389183969096
秦皇岛市,156130300,8.254911672445105e-05
绍兴市,156330600,0.00043929010718678614
阳江市,156441700,0.0002008838891120932
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00029757476565987203
遵义市,156520300,2.392001148160551e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0008345503859795535
佛山市,156440600,0.001736111111111111
大同市,156140200,9.072763563781528e-05
昆明市,156530100,0.00021666907410082333
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.0005310674455655868
邯郸市,156130400,0.00022177866489243733
马鞍山市,156340500,0.0006952894142186686
日照市,156371100,0.00012711325791280032
三亚市,156460200,0.003280032800328003
十堰市,156420300,0.0
呼和浩特市,156150100,0.0003002890281896325
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.0004449718184514981
安阳市,156410500,0.0005399082156033474
怀化市,156431200,0.0
阳泉市,156140300,0.00014214641080312722
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0004042037186742118
陵水黎族自治县,156469028,0.0014084507042253522
博尔塔拉蒙古自治州,156652700,4.3687199650502406e-05
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.0001180776951233912
齐齐哈尔市,156230200,1.3619708821359934e-05
龙岩市,156350800,3.954131596641797e-05
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.00042805928621114024
仙桃市,156429004,0.0002780867962206033
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.00045389212497163174
镇江市,156321100,0.0018281535648994515
昌江黎族自治县,156469026,0.0
周口市,156411600,0.00011588828369451848
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,3.4428148454176133e-05
澄迈县,156469023,0.0
长沙市,156430100,0.0005550758603675835
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.001034126163391934
乐山市,156511100,0.00024295432458697764
凉山彝族自治州,156513400,0.0
桂林市,156450300,8.239947264337508e-05
东营市,156370500,0.0
鹤壁市,156410600,0.0018209406747079944
娄底市,156431300,8.923789230644884e-05
包头市,156150200,3.6639431356025354e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,9.665104141497125e-05
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,3.477111910846851e-05
上海市,156310000,0.01426156771603634
鸡西市,156230300,9.573653306101608e-05
宁德市,156350900,5.700279313686371e-05
保定市,156130600,0.0001177440244907571
