NAME_1,NAME_2,GID_1,GID_2,Average_Accessibility
Hainan,Danzhou,460000,460400,0.0
Hainan,Haikou,460000,460100,0.09861125272468724
Hainan,NULL,460000,0,0.07420025881064501
Hainan,"Sansha
",460000,460030,0.0
Hainan,Sanya,460000,460200,0.8221385537313315
Neimenggu,Alashan,150000,152900,0.0
Neimenggu,Baotou,150000,150200,0.030480740865407644
Neimenggu,Bayannaoer,150000,150800,0.0
Neimenggu,Chifeng,150000,150400,0.021941976489202687
Neimenggu,Eerduosi,150000,150600,0.03898742027228615
Neimenggu,Huhehaote,150000,150100,0.18139851234146193
Neimenggu,Hulunbeier,150000,150700,0.037254660755184375
Neimenggu,Tongliao,150000,150500,0.0
Neimenggu,Wuhai,150000,150300,0.0
Neimenggu,Wulanchabu,150000,150900,0.0
Neimenggu,Xilinguole,150000,152500,0.0
Neimenggu,Xingan,150000,152200,0.2537080956888748
Sichuan,Abazangzuqiangzu,510000,513200,0.0
Sichuan,Bazhong,510000,511900,0.0
Sichuan,Chengdu,510000,510100,0.17501250220708556
Sichuan,Dazhou,510000,511700,0.0
Sichuan,Deyang,510000,510600,0.02560570399703585
Sichuan,Ganzizangzu,510000,513300,0.0
Sichuan,Guangan,510000,511600,0.0
Sichuan,Guangyuan,510000,510800,0.0
Sichuan,Leshan,510000,511100,0.11698930084951882
Sichuan,Liangshanyizu,510000,513400,0.0
Sichuan,Luzhou,510000,510500,0.0
Sichuan,Meishan,510000,511400,0.033118799331910226
Sichuan,Mianyang,510000,510700,0.10455731956237993
Sichuan,Nanchong,510000,511300,0.0
Sichuan,Neijiang,510000,511000,0.0
Sichuan,Panzhihua,510000,510400,0.0
Sichuan,Suining,510000,510900,0.0
Sichuan,Yaan,510000,511800,0.0
Sichuan,Yibin,510000,511500,0.020603680043572416
Sichuan,Zigong,510000,510300,0.2412965233605594
Sichuan,Ziyang,510000,512000,0.0
Heilongjiang,Daqing,230000,230600,0.15454865474403717
Heilongjiang,Daxinganling,230000,232700,0.0
Heilongjiang,Haerbin,230000,230100,0.030736170319307757
Heilongjiang,Hegang,230000,230400,0.07832436811386564
Heilongjiang,Heihe,230000,231100,0.0
Heilongjiang,Jiamusi,230000,230800,0.03267810527290649
Heilongjiang,Jixi,230000,230300,0.1567213123018038
Heilongjiang,Mudanjiang,230000,231000,0.0
Heilongjiang,Qiqihaer,230000,230200,0.01763766361175017
Heilongjiang,Qitaihe,230000,230900,0.09547386468068238
Heilongjiang,Shuangyashan,230000,230500,0.06414393085426201
Heilongjiang,Suihua,230000,231200,0.0
Heilongjiang,Yichun,230000,230700,0.0
Xinjiang,Akesu,650000,652900,0.0
Xinjiang,Aletai,650000,654300,0.18288055530149452
Xinjiang,Bayinguolengmenggu,650000,652800,0.14434971312367073
Xinjiang,Boertalamenggu,650000,652700,0.17811060955795938
Xinjiang,Changjihuizu,650000,652300,0.1261600376214597
Xinjiang,Hami,650000,650500,0.1666397123238147
Xinjiang,Hetian,650000,653200,0.0
Xinjiang,Kashi,650000,653100,0.022056402069991952
Xinjiang,Kelamayi,650000,650200,0.0
Xinjiang,Kezilesukeerkezi,650000,653000,0.0
Xinjiang,NULL,650000,0,0.09848782856170149
Xinjiang,Tacheng,650000,654200,0.14869236312831827
Xinjiang,Tulufan,650000,650400,0.14932929172953527
Xinjiang,Wulumuqi,650000,650100,0.15807426900550656
Xinjiang,Yilihasake,650000,654000,0.0
Gansu,Baiyin,620000,620400,0.0
Gansu,Dingxi,620000,621100,0.0
Gansu,Gannanzangzu,620000,623000,0.0
Gansu,Jiayuguan,620000,620200,0.7804573710126764
Gansu,Jinchang,620000,620300,0.0
Gansu,Jiuquan,620000,620900,0.0
Gansu,Lanzhou,620000,620100,0.02177797543719062
Gansu,Linxiahuizu,620000,622900,0.0
Gansu,Longnan,620000,621200,0.0
Gansu,Pingliang,620000,620800,0.0457324959460917
Gansu,Qingyang,620000,621000,0.0
Gansu,Tianshui,620000,620500,0.028131115170455093
Gansu,Wuwei,620000,620600,0.0
Gansu,Zhangye,620000,620700,0.0
Hebei,Baoding,130000,130600,0.031349478974190076
Hebei,Cangzhou,130000,130900,0.13435556062615983
Hebei,Chengde,130000,130800,0.0
Hebei,Handan,130000,130400,0.04161390936236584
Hebei,Hengshui,130000,131100,0.020179252257200873
Hebei,Langfang,130000,131000,0.03768434242150108
Hebei,Qinhuangdao,130000,130300,0.030189543930048704
Hebei,Shijiazhuang,130000,130100,0.04036645458640679
Hebei,Tangshan,130000,130200,0.05661621207071012
Hebei,Xingtai,130000,130500,0.09132968422298116
