name,gb,Average_Accessibility
梅州市,156441400,3.9376984185502106
鄂州市,156420700,3.130164157188048
吕梁市,156141100,2.3545970389615833
舟山市,156330900,12.899383962863547
朝阳市,156211300,0.3416123060697832
广安市,156511600,1.7006026948112065
濮阳市,156410900,4.847197861142093
宣城市,156341800,4.2009729089935774
六盘水市,156520200,1.5098694737687852
深圳市,156440300,24.97783845105581
三明市,156350400,5.470682285626659
景德镇市,156360200,2.866602657411798
楚雄彝族自治州,156532300,1.6514533902121034
大连市,156210200,4.838149247928334
攀枝花市,156510400,1.6216606840509713
贺州市,156451100,2.619429602008091
西安市,156610100,15.409939479765695
境界线,,0.0
淮北市,156340600,1.7015809150792895
邵阳市,156430500,2.067625781360814
石家庄市,156130100,4.222870474302039
汕尾市,156441500,2.5185024053178737
荆门市,156420800,2.1723445615780568
衢州市,156330800,8.284871574625003
迪庆藏族自治州,156533400,3.243705641041008
宜宾市,156511500,2.314573160157376
葫芦岛市,156211400,1.201104718628352
济南市,156370100,5.203080168696055
贵阳市,156520100,4.8836301955518024
珠海市,156440400,19.18479523972083
长春市,156220100,1.8610388743478221
延边朝鲜族自治州,156222400,2.439479138295241
萍乡市,156360300,2.2196102034042346
庆阳市,156621000,2.3199073200158153
泉州市,156350500,7.079424243371941
自贡市,156510300,1.4708790325324133
临沂市,156371300,4.235707565576291
百色市,156451000,2.7879150357192866
鞍山市,156210300,0.7169163136976585
铜陵市,156340700,2.787317602179156
唐山市,156130200,4.327022925072259
岳阳市,156430600,2.164033399330577
河源市,156441600,5.214717950355624
孝感市,156420900,1.5626544262434279
金华市,156330700,6.281896298709681
兴安盟,156152200,0.2620352840793084
盘锦市,156211100,1.7452877000424973
雅安市,156511800,3.877967064733671
亳州市,156341600,1.7548963790095096
商洛市,156611000,1.802465248936087
盐城市,156320900,5.986898392097825
汕头市,156440500,2.190013853737421
安顺市,156520400,3.212737026437405
黔南布依族苗族自治州,156522700,3.432169733132693
厦门市,156350200,9.718668571493815
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.31352962151145847
红河哈尼族彝族自治州,156532500,2.022933123473391
甘南藏族自治州,156623000,1.0788664933654109
太原市,156140100,10.393594868209771
常德市,156430700,1.94401311472146
牡丹江市,156231000,0.45168843964864386
淮南市,156340400,1.1968171363167783
德阳市,156510600,2.441639192566536
威海市,156371000,2.9706005305612013
秦皇岛市,156130300,4.980534411056472
绍兴市,156330600,4.043058056145958
阳江市,156441700,4.0133063413082875
铁岭市,156211200,0.722117137200765
达州市,156511700,1.1293865463040933
池州市,156341700,2.3941689708004206
淮安市,156320800,4.263384116640744
遵义市,156520300,3.314542915330635
黔东南苗族侗族自治州,156522600,3.049114941945645
莆田市,156350300,3.7676879177015703
南昌市,156360100,7.2625099763533925
佛山市,156440600,11.775057256040181
大同市,156140200,2.504772017277446
昆明市,156530100,8.74834419471663
张家界市,156430800,5.163685410627449
泸州市,156510500,1.5708151471323752
沈阳市,156210100,1.7367507564397016
邯郸市,156130400,1.8985839196448007
马鞍山市,156340500,2.4008226736513563
日照市,156371100,6.20676551432197
三亚市,156460200,27.872458413240267
十堰市,156420300,3.676858419511505
呼和浩特市,156150100,3.4765902700718856
德宏傣族景颇族自治州,156533100,2.1865471479774636
梧州市,156450400,4.600822010052652
枣庄市,156370400,3.157596370336479
安阳市,156410500,2.16195960310212
怀化市,156431200,1.8975281894904537
阳泉市,156140300,4.077851669417694
保亭黎族苗族自治县,156469029,37.47096008009528
中农发山丹马场,156629700,0.0
鹰潭市,156360600,2.315141947577674
陵水黎族自治县,156469028,19.870338381497625
博尔塔拉蒙古自治州,156652700,1.719187892253981
乐东黎族自治县,156469027,4.1629894538383585
辽源市,156220400,0.7964996312875422
齐齐哈尔市,156230200,0.2072779450987328
龙岩市,156350800,4.752162459672031
天门市,156429006,0.5778459633660373
潜江市,156429005,1.1512514074618918
邢台市,156130500,3.3798821001336052
仙桃市,156429004,2.4038525585334063
绥化市,156231200,0.22126820265465233
丹东市,156210600,0.6108282674050318
滨州市,156371600,2.6355129592773685
镇江市,156321100,6.182337910255172
昌江黎族自治县,156469026,6.024604410858379
周口市,156411600,1.0823790378172546
白沙黎族自治县,156469025,18.040293351116624
临高县,156469024,1.339818062637248
吐鲁番市,156650400,2.6070634313767975
澄迈县,156469023,8.856867229331778
长沙市,156430100,15.30983980388692
屯昌县,156469022,8.143235921519885
定安县,156469021,7.43568138217581
海口市,156460100,16.670777656176142
乐山市,156511100,2.3837124921587676
凉山彝族自治州,156513400,0.6840671180880665
桂林市,156450300,4.634735658074572
东营市,156370500,10.35951827452883
鹤壁市,156410600,2.0876861414935473
娄底市,156431300,2.8476052334342534
包头市,156150200,1.2268603508376783
锡林郭勒盟,156152500,0.6173061738235763
琼中黎族苗族自治县,156469030,4.1417085094743555
长治市,156140400,2.93716362095064
赣州市,156360700,6.630907700730563
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,1.8876464402199662
巴音郭楞蒙古自治州,156652800,1.7539502527160116
上海市,156310000,18.14945009214915
鸡西市,156230300,0.2841701925378664
宁德市,156350900,4.45776820098308
保定市,156130600,3.701003400859011
菏泽市,156371700,1.3380770220429654
崇左市,156451400,2.119898430496033
黑河市,156231100,0.675856263035655
扬州市,156321000,5.537810317693428
驻马店市,156411700,1.3498749198128528
哈密市,156650500,3.135639492347596
株洲市,156430200,4.353773427312337
锦州市,156210700,0.5625778764328639
肇庆市,156441200,5.379046347870964
恩施土家族苗族自治州,156422800,3.097002249859457
宜昌市,156420500,6.413664764612265
怒江傈僳族自治州,156533300,0.8724510950421186
柳州市,156450200,8.67361486343925
平凉市,156620800,1.4733448012972659
眉山市,156511400,3.7994724587249062
