NAME_1,NAME_2,GID_1,GID_2,Average_Accessibility
Hainan,Danzhou,460000,460400,0.016409036860879904
Hainan,Haikou,460000,460100,0.16236326966104628
Hainan,NULL,460000,0,0.018156908823226812
Hainan,"Sansha
",460000,460030,0.043478260869565216
Hainan,Sanya,460000,460200,0.10421605530256835
Neimenggu,Alashan,150000,152900,0.0010060628297296436
Neimenggu,Baotou,150000,150200,0.0015478278815395728
Neimenggu,Bayannaoer,150000,150800,0.00034848205317426155
Neimenggu,Chifeng,150000,150400,7.746053385799935e-05
Neimenggu,Eerduosi,150000,150600,0.0015234273399472374
Neimenggu,Huhehaote,150000,150100,0.004805781391147245
Neimenggu,Hulunbeier,150000,150700,0.00014263097088901885
Neimenggu,Tongliao,150000,150500,6.505757595471992e-05
Neimenggu,Wuhai,150000,150300,0.0038037409570330014
Neimenggu,Wulanchabu,150000,150900,0.0005867492461902045
Neimenggu,Xilinguole,150000,152500,6.206361520558573e-05
Neimenggu,Xingan,150000,152200,6.428470409750703e-05
Sichuan,Abazangzuqiangzu,510000,513200,0.0007842678216083343
Sichuan,Bazhong,510000,511900,0.002711076684740511
Sichuan,Chengdu,510000,510100,0.11144713641726528
Sichuan,Dazhou,510000,511700,0.0024627508927471987
Sichuan,Deyang,510000,510600,0.012179341068025344
Sichuan,Ganzizangzu,510000,513300,0.00036484514350575647
Sichuan,Guangan,510000,511600,0.0048477184107914425
Sichuan,Guangyuan,510000,510800,0.008176683806794234
Sichuan,Leshan,510000,511100,0.005434389597004164
Sichuan,Liangshanyizu,510000,513400,0.0005388403654089548
Sichuan,Luzhou,510000,510500,0.004311567481704204
Sichuan,Meishan,510000,511400,0.012348706519705935
Sichuan,Mianyang,510000,510700,0.008545312551477372
Sichuan,Nanchong,510000,511300,0.005338743259836635
Sichuan,Neijiang,510000,511000,0.005581741503349045
Sichuan,Panzhihua,510000,510400,0.0021726808993009637
Sichuan,Suining,510000,510900,0.0051991482948093954
Sichuan,Yaan,510000,511800,0.004233654876741694
Sichuan,Yibin,510000,511500,0.006602180254874866
Sichuan,Zigong,510000,510300,0.005711709003457087
Sichuan,Ziyang,510000,512000,0.006911344591837138
