name,gb,Gini_Coefficient
梅州市,156441400,0.9913008430828876
鄂州市,156420700,0.9991514043066744
吕梁市,156141100,0.9939068023133368
舟山市,156330900,0.9894622274880595
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.9933488728226801
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.8736080994005158
三明市,156350400,0.9655374988246886
景德镇市,156360200,0.9862713926239023
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.9681427199089061
攀枝花市,156510400,0.9966786721328674
贺州市,156451100,0.0
西安市,156610100,0.9027816527815606
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.9920464109755903
汕尾市,156441500,0.0
荆门市,156420800,0.9991836814863964
衢州市,156330800,0.9946816959494209
迪庆藏族自治州,156533400,0.980103926060105
宜宾市,156511500,0.9964201905658213
葫芦岛市,156211400,0.0
济南市,156370100,0.9778963178658499
贵阳市,156520100,0.9681931438956287
珠海市,156440400,0.9377280987838962
长春市,156220100,0.9969823476694272
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9949670239816605
庆阳市,156621000,0.9941809323665071
泉州市,156350500,0.9940592944540126
自贡市,156510300,0.9507233747920055
临沂市,156371300,0.9839978795186205
百色市,156451000,0.0
鞍山市,156210300,0.9973855576292981
铜陵市,156340700,0.9994762921784319
唐山市,156130200,0.9951475006205945
岳阳市,156430600,0.9991656234316272
河源市,156441600,0.0
孝感市,156420900,0.999449179802067
金华市,156330700,0.9688061909125798
兴安盟,156152200,0.9842521782939239
盘锦市,156211100,0.9962742057263756
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.9956451471364194
汕头市,156440500,0.9931389801104806
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.9028888319750206
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9443685408509664
常德市,156430700,0.9926960948192625
牡丹江市,156231000,0.9930700756029515
淮南市,156340400,0.9883404994950188
德阳市,156510600,0.997003018781073
威海市,156371000,0.9755211623638949
秦皇岛市,156130300,0.9992601417806996
绍兴市,156330600,0.9908136848006036
阳江市,156441700,0.9992741047875302
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.9990034080425864
遵义市,156520300,0.9924210051085218
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.9730663633594584
佛山市,156440600,0.9737307285150323
大同市,156140200,0.9894247815758104
昆明市,156530100,0.9680900711122994
张家界市,156430800,0.0
泸州市,156510500,0.9914171477734981
沈阳市,156210100,0.9800055424423622
邯郸市,156130400,0.9934905840268194
马鞍山市,156340500,0.9889682990907743
日照市,156371100,0.995919943486319
三亚市,156460200,0.9818105225434236
十堰市,156420300,0.0
呼和浩特市,156150100,0.9624140530817346
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9927081615497766
枣庄市,156370400,0.9959571550961789
