name,gb,Average_Accessibility
梅州市,156441400,0.01799412417199904
鄂州市,156420700,0.01893479082561398
吕梁市,156141100,0.006509058283505365
舟山市,156330900,0.07665744152936069
朝阳市,156211300,0.00042059395120354744
广安市,156511600,0.0037899237615272624
濮阳市,156410900,0.0224712122372241
宣城市,156341800,0.009122423530211022
六盘水市,156520200,0.004557038738160731
深圳市,156440300,1.1693540906970827
三明市,156350400,0.010575706339084048
景德镇市,156360200,0.008267177510957187
楚雄彝族自治州,156532300,0.003248628488806791
大连市,156210200,0.017105835708260544
攀枝花市,156510400,0.004342074924045139
贺州市,156451100,0.01023546787840954
西安市,156610100,0.13251136731190286
境界线,,0.0
淮北市,156340600,0.009446533577957075
邵阳市,156430500,0.006116451151867034
石家庄市,156130100,0.021158881144615303
汕尾市,156441500,0.019642687264787594
荆门市,156420800,0.0048206679807493505
衢州市,156330800,0.018924623363814185
迪庆藏族自治州,156533400,0.0063142986707789926
宜宾市,156511500,0.006034554923968923
葫芦岛市,156211400,0.002095857671125284
济南市,156370100,0.026734916837718607
贵阳市,156520100,0.02276456818100094
珠海市,156440400,0.21387324800558535
长春市,156220100,0.004284687672000186
延边朝鲜族自治州,156222400,0.005428007513104874
萍乡市,156360300,0.009184929632371473
庆阳市,156621000,0.003671578471534
泉州市,156350500,0.05376232932340769
自贡市,156510300,0.0038006874367042826
临沂市,156371300,0.014663604571776524
百色市,156451000,0.0036302495674716087
鞍山市,156210300,0.0021113717073136065
铜陵市,156340700,0.009575935065218531
唐山市,156130200,0.014140260939333389
岳阳市,156430600,0.006314646470451861
河源市,156441600,0.020263558766592044
孝感市,156420900,0.005317918545013629
金华市,156330700,0.0346361244748834
兴安盟,156152200,0.00024900971918836003
盘锦市,156211100,0.005299375660306181
雅安市,156511800,0.019171163181487903
亳州市,156341600,0.005071233540812657
商洛市,156611000,0.0038908314898731264
盐城市,156320900,0.01518059561533407
汕头市,156440500,0.05272232961675032
安顺市,156520400,0.005795648206160655
黔南布依族苗族自治州,156522700,0.0037132544435188697
厦门市,156350200,0.2611317611767344
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0002493417147820209
红河哈尼族彝族自治州,156532500,0.004150794200441462
甘南藏族自治州,156623000,0.00557079646178802
太原市,156140100,0.09981969252439417
常德市,156430700,0.004612239735339676
牡丹江市,156231000,0.001227868196651407
淮南市,156340400,0.005158054065638711
德阳市,156510600,0.009457950780077957
威海市,156371000,0.009486083405800528
秦皇岛市,156130300,0.013726777202446744
绍兴市,156330600,0.024526170971835515
阳江市,156441700,0.01673553186819094
铁岭市,156211200,0.001073223819454036
达州市,156511700,0.0025082583685050236
池州市,156341700,0.004436873917824409
淮安市,156320800,0.012705138149690357
遵义市,156520300,0.005826430848299936
黔东南苗族侗族自治州,156522600,0.003936896767825305
莆田市,156350300,0.023423474733474284
南昌市,156360100,0.04055576013049179
佛山市,156440600,0.21680261168028692
大同市,156140200,0.008770731784856505
昆明市,156530100,0.03426138519204477
张家界市,156430800,0.009898467649773366
泸州市,156510500,0.004993521528357694
沈阳市,156210100,0.007885366702847596
邯郸市,156130400,0.009881933616164379
马鞍山市,156340500,0.00746022740777266
日照市,156371100,0.020768556320310227
三亚市,156460200,0.11354374080509334
十堰市,156420300,0.008185701918327945
呼和浩特市,156150100,0.010468506469875466
德宏傣族景颇族自治州,156533100,0.003748724491335616
梧州市,156450400,0.01203521341984177
枣庄市,156370400,0.014954280136223127
安阳市,156410500,0.009027507538718041
怀化市,156431200,0.004956049458232522
阳泉市,156140300,0.015804033387791027
保亭黎族苗族自治县,156469029,0.05307270484634592
中农发山丹马场,156629700,0.003813744205789468
鹰潭市,156360600,0.006899352681158309
