name,gb,Average_Accessibility
梅州市,156441400,0.008477648438891115
鄂州市,156420700,0.009873180428250502
吕梁市,156141100,0.0042417240994317195
舟山市,156330900,0.055329778862659496
朝阳市,156211300,0.0003277601834688112
广安市,156511600,0.0030161479711382586
濮阳市,156410900,0.012489052780001147
宣城市,156341800,0.004652386352109442
六盘水市,156520200,0.002575473778254086
深圳市,156440300,1.064291035299336
三明市,156350400,0.00892276486595536
景德镇市,156360200,0.005166201005902206
楚雄彝族自治州,156532300,0.0026359049387505774
大连市,156210200,0.012433675203431483
攀枝花市,156510400,0.0026678584804696033
贺州市,156451100,0.0038937606060622243
西安市,156610100,0.09585630820272395
境界线,,0.0
淮北市,156340600,0.0037968668173811804
邵阳市,156430500,0.0032466913038684477
石家庄市,156130100,0.016477203555815313
汕尾市,156441500,0.010857802094137147
荆门市,156420800,0.0016462096049736374
衢州市,156330800,0.017839107030377943
迪庆藏族自治州,156533400,0.005070533347303072
宜宾市,156511500,0.003377662956591243
葫芦岛市,156211400,0.0017582102024808843
济南市,156370100,0.02084809397540544
贵阳市,156520100,0.015747080697766657
珠海市,156440400,0.1574123695248463
长春市,156220100,0.002742316808386306
延边朝鲜族自治州,156222400,0.004134989607122763
萍乡市,156360300,0.004155482151124125
庆阳市,156621000,0.002884164590101976
泉州市,156350500,0.043848541935888746
自贡市,156510300,0.0029917942496275034
临沂市,156371300,0.01069488525390625
百色市,156451000,0.0022634022520147726
鞍山市,156210300,0.0012170511083046968
铜陵市,156340700,0.005423628906319044
唐山市,156130200,0.012066201064050847
岳阳市,156430600,0.004611820988347167
河源市,156441600,0.009445925075885283
孝感市,156420900,0.0038059611103458415
金华市,156330700,0.022956890608693763
兴安盟,156152200,0.00010378195446676191
盘锦市,156211100,0.003374521458021443
雅安市,156511800,0.011077604564775129
亳州市,156341600,0.0023107621720228244
商洛市,156611000,0.0031831221623050895
盐城市,156320900,0.00899852447763068
汕头市,156440500,0.025070657671697288
安顺市,156520400,0.0039970842261086445
黔南布依族苗族自治州,156522700,0.0030744300348070023
厦门市,156350200,0.20152202990915477
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0002146028887630299
红河哈尼族彝族自治州,156532500,0.0029083121881142986
甘南藏族自治州,156623000,0.00042377798025826266
太原市,156140100,0.06618036267389295
常德市,156430700,0.002722452287593968
牡丹江市,156231000,0.0009051220213534461
淮南市,156340400,0.003017914884494043
德阳市,156510600,0.006528765094587212
威海市,156371000,0.006629279700727709
秦皇岛市,156130300,0.012190565416948712
绍兴市,156330600,0.015747271342849634
阳江市,156441700,0.009168321500406914
铁岭市,156211200,0.0007072645324488131
达州市,156511700,0.0016763831494402263
池州市,156341700,0.002620397829541973
淮安市,156320800,0.008846568897216377
遵义市,156520300,0.0037786403646345025
黔东南苗族侗族自治州,156522600,0.0028383060129203784
莆田市,156350300,0.0201771645753536
南昌市,156360100,0.03235938891132606
佛山市,156440600,0.13891721700163137
大同市,156140200,0.004638962557962458
昆明市,156530100,0.024459620221925205
张家界市,156430800,0.006075178881536353
泸州市,156510500,0.0035610198974609375
沈阳市,156210100,0.0054895915922158625
邯郸市,156130400,0.008331424001085302
马鞍山市,156340500,0.004499368983291497
日照市,156371100,0.014157738421470709
三亚市,156460200,0.07998868099538448
十堰市,156420300,0.006109393401459852
呼和浩特市,156150100,0.00579965784434843
德宏傣族景颇族自治州,156533100,0.0029222391875342374
梧州市,156450400,0.007761239461572451
枣庄市,156370400,0.011604577476885402
安阳市,156410500,0.0062350823389340755
怀化市,156431200,0.0028608517924313824
阳泉市,156140300,0.008322804326596468
保亭黎族苗族自治县,156469029,0.028384073131580645
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0043730642392302834
陵水黎族自治县,156469028,0.042293920749571265
博尔塔拉蒙古自治州,156652700,0.0010110725215915885
乐东黎族自治县,156469027,0.004475466713554087
辽源市,156220400,0.0004864061491461462
齐齐哈尔市,156230200,0.00018173734751904768
龙岩市,156350800,0.008156271301079635
天门市,156429006,0.0015389220548014503
潜江市,156429005,0.002343049315737738
邢台市,156130500,0.008071649253308793
仙桃市,156429004,0.004423251145979652
绥化市,156231200,0.00017324054932063934
丹东市,156210600,0.0006338145692384359
滨州市,156371600,0.005734878986849162
镇江市,156321100,0.02157548184186729
昌江黎族自治县,156469026,0.004553586768512272
周口市,156411600,0.0027914855828574817
白沙黎族自治县,156469025,0.019831569303715893
临高县,156469024,0.0016973642824673722
吐鲁番市,156650400,0.002559744252746632
澄迈县,156469023,0.013956160542939636
长沙市,156430100,0.05618639263455127
屯昌县,156469022,0.01987341160748079
定安县,156469021,0.004478298791564337
海口市,156460100,0.08496363552877849
乐山市,156511100,0.004249811017634575
凉山彝族自治州,156513400,0.0015703709821087081
桂林市,156450300,0.005810442255067633
东营市,156370500,0.019238665556157056
鹤壁市,156410600,0.0061002206785271094
娄底市,156431300,0.006297552719925806
包头市,156150200,0.0019302553331476031
锡林郭勒盟,156152500,0.00014203656451670148
琼中黎族苗族自治县,156469030,0.0033410173025190462
长治市,156140400,0.0057252434053317956
赣州市,156360700,0.010311633944534208
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.002632517471461876
巴音郭楞蒙古自治州,156652800,0.0011264880120886319
上海市,156310000,0.3735439873807958
鸡西市,156230300,0.0002161656361200712
宁德市,156350900,0.0092919285821864
保定市,156130600,0.01177080494823942
菏泽市,156371700,0.0031645987630633424
崇左市,156451400,0.001647964959089674
黑河市,156231100,0.00074813704973067
