name,gb,Average_Accessibility
梅州市,156441400,45.81013714883765
鄂州市,156420700,34.2841260475328
吕梁市,156141100,16.678899185870723
舟山市,156330900,38.99310550859708
朝阳市,156211300,4.47291336421231
广安市,156511600,8.416586592438838
濮阳市,156410900,31.97125972134682
宣城市,156341800,42.53486275695671
六盘水市,156520200,19.994898738086416
深圳市,156440300,93.56609586227293
三明市,156350400,22.38197054772148
景德镇市,156360200,23.312475780506748
楚雄彝族自治州,156532300,28.132520481780983
大连市,156210200,22.016337420519935
攀枝花市,156510400,12.080988497431797
贺州市,156451100,52.535232449570664
西安市,156610100,42.10686580242351
境界线,,0.0
淮北市,156340600,27.747373918191133
邵阳市,156430500,9.390546572067693
石家庄市,156130100,23.561245766526092
汕尾市,156441500,39.68672692102721
荆门市,156420800,25.540180445126566
衢州市,156330800,42.42777498368448
迪庆藏族自治州,156533400,35.40690110022262
宜宾市,156511500,16.159488219390397
葫芦岛市,156211400,6.56718849624695
济南市,156370100,27.595158883354113
贵阳市,156520100,38.49715736227061
珠海市,156440400,104.65836166197464
长春市,156220100,10.889855299667147
延边朝鲜族自治州,156222400,8.051765400991936
萍乡市,156360300,23.54423452760776
庆阳市,156621000,13.07646473129819
泉州市,156350500,32.13722273030334
自贡市,156510300,12.163704523343613
临沂市,156371300,34.793862500472706
百色市,156451000,39.02211451292262
鞍山市,156210300,7.699811632894837
铜陵市,156340700,38.30073411824784
唐山市,156130200,24.893102969923767
岳阳市,156430600,13.572862799269204
河源市,156441600,68.58189766328893
孝感市,156420900,19.821012758168656
金华市,156330700,37.043811399793235
兴安盟,156152200,5.416872071975168
盘锦市,156211100,12.9204240598384
雅安市,156511800,23.67167342549867
亳州市,156341600,22.835852510920425
商洛市,156611000,10.929593806499874
盐城市,156320900,31.946729532364852
汕头市,156440500,20.07164933334389
安顺市,156520400,26.133190406376727
黔南布依族苗族自治州,156522700,26.191422775482465
厦门市,156350200,48.961486418240895
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,22.461395034485072
红河哈尼族彝族自治州,156532500,23.22754071460871
甘南藏族自治州,156623000,12.403557617734307
太原市,156140100,37.965182297119235
常德市,156430700,9.140892134399447
牡丹江市,156231000,5.551282426255153
淮南市,156340400,20.195366838699147
德阳市,156510600,16.366358927190532
威海市,156371000,24.12352187522187
秦皇岛市,156130300,22.477951235431625
绍兴市,156330600,36.48823927395738
阳江市,156441700,37.05284604746707
铁岭市,156211200,4.048734747229021
达州市,156511700,7.698594803620124
池州市,156341700,46.43043188084575
淮安市,156320800,36.855412715484704
遵义市,156520300,30.261644279737993
黔东南苗族侗族自治州,156522600,30.087373829951208
莆田市,156350300,22.063716570601045
南昌市,156360100,40.56702503677961
佛山市,156440600,77.10322589662421
大同市,156140200,14.440147364126366
昆明市,156530100,43.034006436820455
张家界市,156430800,13.991741510002985
泸州市,156510500,11.36514315223824
沈阳市,156210100,19.28767302615893
邯郸市,156130400,17.042637158507386
马鞍山市,156340500,22.233067545326293
日照市,156371100,34.03830948260094
三亚市,156460200,113.60193867338263
十堰市,156420300,49.73608803545584
呼和浩特市,156150100,20.33100196548315
德宏傣族景颇族自治州,156533100,29.524164536941964
梧州市,156450400,37.14101660527668
枣庄市,156370400,25.449034127820287
安阳市,156410500,20.10404763726789
怀化市,156431200,10.136814695965267
阳泉市,156140300,17.44752613272766
保亭黎族苗族自治县,156469029,122.26649270476211
中农发山丹马场,156629700,0.0
鹰潭市,156360600,29.440454667597997
陵水黎族自治县,156469028,118.20847873354552
博尔塔拉蒙古自治州,156652700,17.354850610990248
乐东黎族自治县,156469027,41.624229708478055
辽源市,156220400,4.90827776617957
齐齐哈尔市,156230200,1.8902396272464017
龙岩市,156350800,39.35816838984509
天门市,156429006,17.33774525696409
潜江市,156429005,21.72871054639151
邢台市,156130500,24.213391244543963
仙桃市,156429004,17.52484604883739
绥化市,156231200,2.2150389419318226
丹东市,156210600,6.697590330441262
滨州市,156371600,24.48396564630723
镇江市,156321100,38.721838468115926
昌江黎族自治县,156469026,63.860901742556464
周口市,156411600,18.42280270057834
白沙黎族自治县,156469025,136.1316211283724
临高县,156469024,32.73099474275016
吐鲁番市,156650400,37.367930429635976
澄迈县,156469023,97.01605230853782
长沙市,156430100,50.24292636808138
屯昌县,156469022,85.8825106352147
定安县,156469021,55.13431973180857
海口市,156460100,91.7165760080275
乐山市,156511100,14.03028716544209
凉山彝族自治州,156513400,12.909761900079143
桂林市,156450300,37.71301452803709
东营市,156370500,66.15554251977883
鹤壁市,156410600,17.59802814749634
娄底市,156431300,11.57016881238228
包头市,156150200,23.18141044479483
锡林郭勒盟,156152500,5.9791691476262825
琼中黎族苗族自治县,156469030,91.40774879022698
长治市,156140400,23.917905320939003
赣州市,156360700,33.4216999294971
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,7.830623243894468
巴音郭楞蒙古自治州,156652800,21.39763602660617
上海市,156310000,74.88467421100698
鸡西市,156230300,1.6666497834269325
宁德市,156350900,18.08608731841304
保定市,156130600,18.077640568119012
菏泽市,156371700,18.418552237999673
崇左市,156451400,40.73889002581646
黑河市,156231100,0.5617769402311316
扬州市,156321000,35.392962945813835
驻马店市,156411700,16.331247743073078
哈密市,156650500,29.58488616609301
株洲市,156430200,18.485894362049038
锦州市,156210700,5.982478940148471
肇庆市,156441200,53.65143050747914
恩施土家族苗族自治州,156422800,18.84225373469022
宜昌市,156420500,46.13554078915605
怒江傈僳族自治州,156533300,29.467476608609786
柳州市,156450200,61.07688312336218
平凉市,156620800,9.545000501626411
眉山市,156511400,19.394653852160747
青岛市,156370200,37.829662982526315
新乡市,156410700,25.172904111608933
乌海市,156150300,7.171229218188861
黔西南布依族苗族自治州,156522300,23.97094337682642
晋城市,156140500,40.14106793710889
广州市,156440100,63.61107752930514
吉林市,156220200,4.423262166715473
九江市,156360400,35.01403637984315
漳州市,156350600,36.26510479098903
来宾市,156451300,37.610326239049876
张家口市,156130700,15.728440904168412
德州市,156371400,15.765709765179567
胡杨河市,156659010,0.0
固原市,156640400,21.574927385001185
抚顺市,156210400,5.746671114512636
安庆市,156340800,22.401402287358223
白杨市,156659012,0.0
新星市,156659011,38.15137928515906
克拉玛依市,156650200,0.0
湘潭市,156430300,17.08017219717524
昆玉市,156659009,4.520076916101758
惠州市,156441300,84.11971783678464
可克达拉市,156659008,23.329978255803173
襄阳市,156420600,24.699655469593026
南宁市,156450100,42.98216125947964
南充市,156511300,11.130398915579038
酒泉市,156620900,18.204561684484236
淄博市,156370300,29.207000790678
图木舒克市,156659003,10.04013176343897
阿拉尔市,156659002,19.713535919901528
焦作市,156410800,25.59812104642794
石河子市,156659001,21.320061431268346
赤峰市,156150400,3.535022573228166
双河市,156659007,0.0
铁门关市,156659006,11.442353653085782
北屯市,156659005,69.30052269831513
五家渠市,156659004,59.62142966129422
韶关市,156440200,47.95180460224215
朔州市,156140600,15.602241301073311
四平市,156220300,3.089269529238096
新余市,156360500,17.75392239302519
南平市,156350700,34.11486515008663
哈尔滨市,156230100,7.8168844584105495
成都市,156510100,37.630496925036944
河池市,156451200,44.819068545286996
中卫市,156640500,30.745501021761534
本溪市,156210500,7.340879627799911
承德市,156130800,12.262358418162911
聊城市,156371500,18.52306346632901
衡阳市,156430400,11.780001235799098
湘西土家族苗族自治州,156433100,15.789932601420594
杭州市,156330100,82.29168003926645
玉树藏族自治州,156632700,0.0
武威市,156620600,2.6005889160877707
临夏回族自治州,156622900,9.40260917613816
黄山市,156341000,49.66192862560746
徐州市,156320300,27.42502959394862
济宁市,156370800,25.57716122780299
揭阳市,156445200,28.146157784134047
那曲市,156540600,4.687577035208788
郑州市,156410100,55.68469923785369
通辽市,156150500,3.9139893261478855
贵港市,156450800,28.082042064461696
安康市,156610900,10.810733907745414
昌吉回族自治州,156652300,18.017677332133367
晋中市,156140700,23.882430843963284
大庆市,156230600,2.06042466411341
普洱市,156530800,24.138352764286253
白城市,156220800,4.095526973520188
石嘴山市,156640200,45.928008491790784
荆州市,156421000,17.24036784620764
沧州市,156130900,17.603959005612275
三门峡市,156411200,23.11497728879716
