name,gb,Gini_Coefficient
梅州市,156441400,0.6638856413331924
鄂州市,156420700,0.7286101990128311
吕梁市,156141100,0.8268147210006705
舟山市,156330900,0.6986049279750367
朝阳市,156211300,0.9568658522388804
广安市,156511600,0.8674356301028524
濮阳市,156410900,0.7783514891114238
宣城市,156341800,0.6602509736324393
六盘水市,156520200,0.7258029189013275
深圳市,156440300,0.3327071086396407
三明市,156350400,0.7196802962260705
景德镇市,156360200,0.6783243739634903
楚雄彝族自治州,156532300,0.6932666494501385
大连市,156210200,0.6966335338303877
攀枝花市,156510400,0.8072605474631762
贺州市,156451100,0.657693855355378
西安市,156610100,0.5295808382994864
境界线,,0.0
淮北市,156340600,0.716100970117526
邵阳市,156430500,0.8632674922663114
石家庄市,156130100,0.739810383076049
汕尾市,156441500,0.6496011402202553
荆门市,156420800,0.7591383160740705
衢州市,156330800,0.7569686301523149
迪庆藏族自治州,156533400,0.7046779340609055
宜宾市,156511500,0.7719286171297964
葫芦岛市,156211400,0.9237030369416006
济南市,156370100,0.7296194748597438
贵阳市,156520100,0.5115247573542036
珠海市,156440400,0.3272575399014619
长春市,156220100,0.8614692969534705
延边朝鲜族自治州,156222400,0.8793817177038374
萍乡市,156360300,0.7838593190631096
庆阳市,156621000,0.8252881815165651
泉州市,156350500,0.6802516478515933
自贡市,156510300,0.8238690193635761
临沂市,156371300,0.7534245704236797
百色市,156451000,0.6307993711691485
鞍山市,156210300,0.8639888262943682
铜陵市,156340700,0.6498032588065137
唐山市,156130200,0.8122699986667157
岳阳市,156430600,0.8005121752677562
河源市,156441600,0.5514740356966072
孝感市,156420900,0.7742881815446071
金华市,156330700,0.6380629727075453
兴安盟,156152200,0.9585646355591615
盘锦市,156211100,0.8473909792124354
雅安市,156511800,0.7442527164687284
亳州市,156341600,0.789871955035244
商洛市,156611000,0.8533925611940734
盐城市,156320900,0.7593368847684474
汕头市,156440500,0.7292002187094946
安顺市,156520400,0.7491612689825302
黔南布依族苗族自治州,156522700,0.7422779513910591
厦门市,156350200,0.4766805149130505
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.7864037120976838
红河哈尼族彝族自治州,156532500,0.7018315196118668
甘南藏族自治州,156623000,0.8905747227276315
太原市,156140100,0.5779635043861475
常德市,156430700,0.8774737468827631
牡丹江市,156231000,0.9101874852337382
淮南市,156340400,0.803047304157827
德阳市,156510600,0.8373979103503302
威海市,156371000,0.7697471685248758
秦皇岛市,156130300,0.8089239728691311
绍兴市,156330600,0.6787635960053149
阳江市,156441700,0.6548521886408891
铁岭市,156211200,0.9248024169798075
达州市,156511700,0.8240786428985175
池州市,156341700,0.7539503061940438
淮安市,156320800,0.6940949541249901
遵义市,156520300,0.6499011481770153
黔东南苗族侗族自治州,156522600,0.6545689542139022
莆田市,156350300,0.7396999534211344
南昌市,156360100,0.5907836873712836
佛山市,156440600,0.438075028840193
大同市,156140200,0.8186251768412798
昆明市,156530100,0.5021460650377235
张家界市,156430800,0.8504217986201594
泸州市,156510500,0.8551639213549769
沈阳市,156210100,0.7035148128237643
邯郸市,156130400,0.8641518659157454
马鞍山市,156340500,0.7520808064242082
日照市,156371100,0.703243418038755
三亚市,156460200,0.409346386450956
十堰市,156420300,0.5705865825611198
呼和浩特市,156150100,0.7221957073538068
德宏傣族景颇族自治州,156533100,0.7048449810927424
梧州市,156450400,0.5930328746379918
枣庄市,156370400,0.768043289248096
安阳市,156410500,0.8440613360197888
怀化市,156431200,0.8288937221028422
阳泉市,156140300,0.7680334476772901
保亭黎族苗族自治县,156469029,0.4948752266022092
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.7304119895088391
陵水黎族自治县,156469028,0.42776217889410684
博尔塔拉蒙古自治州,156652700,0.8679610703797531
乐东黎族自治县,156469027,0.7348902630656817
辽源市,156220400,0.9148109713697036
齐齐哈尔市,156230200,0.9771814499144562
龙岩市,156350800,0.6379924885521332
天门市,156429006,0.8627951789834114
潜江市,156429005,0.7543222609115672
邢台市,156130500,0.850350008984269
仙桃市,156429004,0.7532265852133845
绥化市,156231200,0.9755504467590929
丹东市,156210600,0.8718604755499312
滨州市,156371600,0.8530450836503773
镇江市,156321100,0.6964548136302944
昌江黎族自治县,156469026,0.6615731913044878
周口市,156411600,0.8611230940883847
白沙黎族自治县,156469025,0.5667821909484257
临高县,156469024,0.7074821168519005
吐鲁番市,156650400,0.7994148732039457
澄迈县,156469023,0.690212639494524
长沙市,156430100,0.5486470426614152
屯昌县,156469022,0.5799363032844234
定安县,156469021,0.7520207573463836
海口市,156460100,0.25712317160415676
乐山市,156511100,0.7641059285085509
凉山彝族自治州,156513400,0.7947542797795208
桂林市,156450300,0.6837424789561584
东营市,156370500,0.7022383655058444
鹤壁市,156410600,0.8503043338418383
娄底市,156431300,0.8528132794084683
包头市,156150200,0.7389248498872347
锡林郭勒盟,156152500,0.8791895893993794
琼中黎族苗族自治县,156469030,0.5089652899042082
长治市,156140400,0.7812421295332524
赣州市,156360700,0.6860326914819606
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8790824640882569
巴音郭楞蒙古自治州,156652800,0.7691113455146208
上海市,156310000,0.5024031994072682
鸡西市,156230300,0.9784185633949596
宁德市,156350900,0.7123663715016022
保定市,156130600,0.8897730616077149
菏泽市,156371700,0.839128383077684
崇左市,156451400,0.7019531086860634
黑河市,156231100,0.9999178795860343
扬州市,156321000,0.7101710650302753
驻马店市,156411700,0.8425293871540573
哈密市,156650500,0.6922006390296218
株洲市,156430200,0.7611415351846944
锦州市,156210700,0.9072070143410422
肇庆市,156441200,0.6164997168734443
恩施土家族苗族自治州,156422800,0.7520719352035761
宜昌市,156420500,0.5951111047383638
怒江傈僳族自治州,156533300,0.7357786718835786
柳州市,156450200,0.5190750074796187
平凉市,156620800,0.7826097467314829
眉山市,156511400,0.7756230578411865
青岛市,156370200,0.628845122487351
新乡市,156410700,0.7833868844102034
乌海市,156150300,0.9017738326758779
黔西南布依族苗族自治州,156522300,0.7184202053103153
晋城市,156140500,0.6768262740070017
广州市,156440100,0.43264313225433204
吉林市,156220200,0.9213065787707191
九江市,156360400,0.7065629457555584
漳州市,156350600,0.6954239639626818
来宾市,156451300,0.7275764849403124
张家口市,156130700,0.8946178199395172
德州市,156371400,0.8550448568408168
胡杨河市,156659010,0.0
固原市,156640400,0.8558704129151471
抚顺市,156210400,0.9087310857439341
安庆市,156340800,0.77523153240546
白杨市,156659012,0.0
新星市,156659011,0.9439099787075782
克拉玛依市,156650200,0.0
湘潭市,156430300,0.785864925694369
昆玉市,156659009,0.9951069029992246
惠州市,156441300,0.49512688857202525
可克达拉市,156659008,0.9696850043957402
襄阳市,156420600,0.7259440837608431
南宁市,156450100,0.563267297055232
南充市,156511300,0.7585215421975438
酒泉市,156620900,0.7882953649243333
淄博市,156370300,0.7189288895260842
图木舒克市,156659003,0.9543722382295114
阿拉尔市,156659002,0.877874968820884
焦作市,156410800,0.8000263241329367
石河子市,156659001,0.7894996399415818
赤峰市,156150400,0.950705845421246
双河市,156659007,0.0
铁门关市,156659006,0.9901487638893147
北屯市,156659005,0.9175752947026703
五家渠市,156659004,0.697551377222953
韶关市,156440200,0.6254169860896264
朔州市,156140600,0.863878981696164
四平市,156220300,0.9799400020069867
新余市,156360500,0.7305184262839162
南平市,156350700,0.7268526650982119
哈尔滨市,156230100,0.8353504400113518
成都市,156510100,0.5477879862428225
河池市,156451200,0.6153348572919118
中卫市,156640500,0.7701971536871691
本溪市,156210500,0.8377265166713098
承德市,156130800,0.9282852898284163
聊城市,156371500,0.8320766463756425
衡阳市,156430400,0.8559366197477651
湘西土家族苗族自治州,156433100,0.7956824200236633
杭州市,156330100,0.5216513720577973
玉树藏族自治州,156632700,0.0
武威市,156620600,0.9452923168669723
临夏回族自治州,156622900,0.8574002973138583
黄山市,156341000,0.7537703533793649
徐州市,156320300,0.7845047237191511
济宁市,156370800,0.7532253280754508
揭阳市,156445200,0.6656612052268405
那曲市,156540600,0.9113813921762379
郑州市,156410100,0.5673754521970469
通辽市,156150500,0.9347120077928446
贵港市,156450800,0.7622864209709486
安康市,156610900,0.8375952283184166
昌吉回族自治州,156652300,0.7942295486842997
晋中市,156140700,0.7810680428875529
大庆市,156230600,0.977242990310768
普洱市,156530800,0.7121713862778941
白城市,156220800,0.9783080290361282
石嘴山市,156640200,0.708918316093164
荆州市,156421000,0.7834595125643353
沧州市,156130900,0.8871287288756138
三门峡市,156411200,0.7344570472095581
海西蒙古族藏族自治州,156632800,0.8867640131251857
云浮市,156445300,0.6410104278171709
张掖市,156620700,0.7954174746188938
滁州市,156341100,0.7349654493547657
泰安市,156370900,0.7571377070107518
无锡市,156320200,0.6218370872969177
大兴安岭地区,156232700,0.9937058561671178
鄂尔多斯市,156150600,0.6556112103695033
阿拉善盟,156152900,0.5945388434325822
山南市,156540500,0.9147233956325601
开封市,156410200,0.8261262557772016
重庆市,156500000,0.6831207896750531
钦州市,156450700,0.6779593449112549
榆林市,156610800,0.8268295655903884
伊春市,156230700,0.976740213402809
运城市,156140800,0.8703242231689761
丽江市,156530700,0.7037672411728197
黄冈市,156421100,0.7954985635369057
