name,gb,Average_Accessibility
梅州市,156441400,0.00011403400872267713
鄂州市,156420700,0.00040579759393594833
吕梁市,156141100,0.00018011088691272903
舟山市,156330900,0.0005789398306940037
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.00020247781949658548
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.05059052978750037
三明市,156350400,0.0014850966571128533
景德镇市,156360200,0.0003601045802582142
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0009384189862362716
攀枝花市,156510400,0.0006134593782346111
贺州市,156451100,0.0
西安市,156610100,0.006999967998873547
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0006539917888486864
汕尾市,156441500,0.0
荆门市,156420800,5.7488024815555714e-05
衢州市,156330800,0.00048587411406711287
迪庆藏族自治州,156533400,0.00047220382963452295
宜宾市,156511500,5.264756574431594e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0021364875222612974
贵阳市,156520100,0.0007332222956975054
珠海市,156440400,0.009246281600251215
长春市,156220100,9.648850284329451e-05
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.00018526360958437377
庆阳市,156621000,7.101381793145617e-05
泉州市,156350500,0.0007019612448223346
自贡市,156510300,0.0008079529749410241
临沂市,156371300,0.001026722016008827
百色市,156451000,0.0
鞍山市,156210300,6.73558247806343e-05
铜陵市,156340700,0.00014704303757836544
唐山市,156130200,0.00047806545639467185
岳阳市,156430600,7.732294484290281e-05
河源市,156441600,0.0
孝感市,156420900,0.00012920157317697568
金华市,156330700,0.001998699961519322
兴安盟,156152200,0.00017675993732219403
盘锦市,156211100,0.0002131982911317604
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.0005823605982956489
汕头市,156440500,0.0007760082521746235
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.017057342335041126
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.003997999122085532
常德市,156430700,6.90337543176186e-05
牡丹江市,156231000,0.00010414252173016219
淮南市,156340400,0.000246765384154272
德阳市,156510600,0.00020554322682454914
威海市,156371000,0.00033075530460520734
秦皇岛市,156130300,4.6001710011195544e-05
绍兴市,156330600,0.00042277709079852565
阳江市,156441700,8.758217867298528e-05
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00026338506147701357
遵义市,156520300,4.5510558583616376e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0013468656676675972
佛山市,156440600,0.003925819096602793
大同市,156140200,0.0001192982074580807
昆明市,156530100,0.0006893210858338791
张家界市,156430800,0.0
泸州市,156510500,0.00025393380402768934
沈阳市,156210100,0.0006169433366099547
邯郸市,156130400,0.0006536574689881633
马鞍山市,156340500,0.0005517205492123245
日照市,156371100,8.66345497592403e-05
三亚市,156460200,0.017011252349277712
十堰市,156420300,0.0
呼和浩特市,156150100,0.0009286562912849741
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,7.423445359277175e-05
枣庄市,156370400,0.00018818108233183673
安阳市,156410500,0.0004205390880800097
怀化市,156431200,5.597783021118306e-05
阳泉市,156140300,0.00019230806133548566
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0004364135673715599
陵水黎族自治县,156469028,0.004301327826992777
博尔塔拉蒙古自治州,156652700,0.0005058451810170711
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00013198901779285752
齐齐哈尔市,156230200,2.638148928267327e-05
龙岩市,156350800,0.00014447942930083293
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0006457849995734425
仙桃市,156429004,0.00039537465511067056
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.0002957413879293733
镇江市,156321100,0.0018640663929101898
昌江黎族自治县,156469026,0.0
周口市,156411600,8.383675451513757e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.0003106242478064616
澄迈县,156469023,0.00042847626309476495
长沙市,156430100,0.00314046319747058
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.0019942237180480492
乐山市,156511100,0.0002951468693068757
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.00013802926694724937
东营市,156370500,9.65610404122383e-05
鹤壁市,156410600,0.0018566215173814338
娄底市,156431300,6.75286966366641e-05
包头市,156150200,5.089017098342113e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.0001231335036478929
赣州市,156360700,3.197074728825253e-05
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.00019542529516500373
上海市,156310000,0.03357731709800405
鸡西市,156230300,0.0001315666357730865
宁德市,156350900,0.00023172410855508042
保定市,156130600,0.00038032934408418454
菏泽市,156371700,0.00022086557675464108
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.0011684190001760501
驻马店市,156411700,0.0001785235230379741
哈密市,156650500,0.00017916644771712374
株洲市,156430200,0.00029821013878701344
锦州市,156210700,0.0
肇庆市,156441200,0.00038457583472466017
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.00010426338385560594
平凉市,156620800,0.00016727922875204204
眉山市,156511400,6.655555451933455e-05
青岛市,156370200,0.004014374020002565
新乡市,156410700,0.0008319922253093888
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.00016820141740650014
广州市,156440100,0.012018384613955583
吉林市,156220200,0.0
九江市,156360400,0.00019663195422259946
漳州市,156350600,0.00019093984560126408
来宾市,156451300,0.0
张家口市,156130700,0.000306205399612449
德州市,156371400,0.0006227038372522113
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,5.1333672534123414e-05
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.00012962018881032818
昆玉市,156659009,0.0
惠州市,156441300,0.0013927468494864218
可克达拉市,156659008,0.0
襄阳市,156420600,0.00014557994089119843
南宁市,156450100,0.00021596124500636196
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.000580208116157757
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.00011320995402506826
石河子市,156659001,0.0
赤峰市,156150400,2.775998756201439e-05
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.001359672390896341
韶关市,156440200,0.0002658628718571432
朔州市,156140600,6.779128901521214e-05
四平市,156220300,0.0
新余市,156360500,0.00032556999397840474
南平市,156350700,0.00013199050562682498
哈尔滨市,156230100,0.00014314620112320753
成都市,156510100,0.004784711568719377
河池市,156451200,0.0
中卫市,156640500,0.0002948488876339186
本溪市,156210500,0.0
承德市,156130800,0.0
聊城市,156371500,0.0004546150398591014
衡阳市,156430400,0.0001242583716947578
湘西土家族苗族自治州,156433100,6.691162115191354e-05
杭州市,156330100,0.009219598367764184
玉树藏族自治州,156632700,0.0
武威市,156620600,0.0
临夏回族自治州,156622900,0.0
黄山市,156341000,0.0007591041379769481
徐州市,156320300,0.0006557992879017255
济宁市,156370800,0.00011606608455555442
揭阳市,156445200,0.0
那曲市,156540600,0.0036227984644060757
郑州市,156410100,0.0030804349530898605
通辽市,156150500,0.0
贵港市,156450800,0.0
安康市,156610900,0.0
昌吉回族自治州,156652300,7.695945386557081e-05
晋中市,156140700,0.00015813873481281224
大庆市,156230600,0.00020299089460840527
普洱市,156530800,0.0006579031216726975
白城市,156220800,0.0
石嘴山市,156640200,0.0003235422199159544
荆州市,156421000,0.0
沧州市,156130900,0.0004902310511081263
三门峡市,156411200,0.0008057490403640346
海西蒙古族藏族自治州,156632800,0.0010330189566856304
云浮市,156445300,0.0003800311439592053
张掖市,156620700,0.0
滁州市,156341100,3.40394690652129e-05
泰安市,156370900,0.0006830804590718866
无锡市,156320200,0.0028192523641323826
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.00010967170139175465
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.0001593945101099532
重庆市,156500000,0.0007932144600756721
钦州市,156450700,0.0
榆林市,156610800,4.078824414601277e-05
伊春市,156230700,0.0
运城市,156140800,3.613675333207358e-05
丽江市,156530700,0.0010480661392211915
黄冈市,156421100,3.163496310261116e-05
吴忠市,156640300,0.0007245116862307516
南阳市,156411300,0.00021356097691901916
乌鲁木齐市,156650100,0.001628328503775036
和田地区,156653200,0.0
海南藏族自治州,156632500,0.000536673835345677
海东市,156630200,0.0
武汉市,156420100,0.008000003478717904
儋州市,156460400,0.0
甘孜藏族自治州,156513300,0.0
内江市,156511000,0.0
烟台市,156370600,0.00025086470093505495
南京市,156320100,0.014158778900336464
白银市,156620400,0.0
郴州市,156431000,0.00022325385330617528
呼伦贝尔市,156150700,5.8458678855225846e-05
防城港市,156450600,0.0
北京市,156110000,0.029671864642901103
洛阳市,156410300,0.0003159504948240338
汉中市,156610700,0.00010084853717065248
