name,gb,Average_Accessibility
梅州市,156441400,63.33933185022665
鄂州市,156420700,41.84632576794474
吕梁市,156141100,26.06524222327673
舟山市,156330900,57.34854947537279
朝阳市,156211300,14.195336813470934
广安市,156511600,20.70314008395973
濮阳市,156410900,44.96033248250497
宣城市,156341800,282.651451211939
六盘水市,156520200,25.592294805746796
深圳市,156440300,40.678821144477304
三明市,156350400,40.26376542122088
景德镇市,156360200,39.134087208001866
楚雄彝族自治州,156532300,37.3923459915024
大连市,156210200,30.425394850919297
攀枝花市,156510400,32.62805241938248
贺州市,156451100,60.73612842806009
西安市,156610100,35.80837158904871
境界线,,0.0
淮北市,156340600,82.68829474076436
邵阳市,156430500,15.891843478292857
石家庄市,156130100,32.49008129220437
汕尾市,156441500,39.62051961194812
荆门市,156420800,45.0060621210338
衢州市,156330800,78.72682150665848
迪庆藏族自治州,156533400,50.59056248744092
宜宾市,156511500,35.29614594727769
葫芦岛市,156211400,17.9407527039906
济南市,156370100,38.95605951851988
贵阳市,156520100,40.69905671581003
珠海市,156440400,72.28976466013557
长春市,156220100,19.102362715717625
延边朝鲜族自治州,156222400,21.649048286268094
萍乡市,156360300,41.34509618293108
庆阳市,156621000,26.314891133025583
泉州市,156350500,34.10221775839551
自贡市,156510300,27.546371629278866
临沂市,156371300,54.59559762132984
百色市,156451000,38.515495923029405
鞍山市,156210300,14.529261721065703
铜陵市,156340700,125.53997248676369
唐山市,156130200,42.872362709379104
岳阳市,156430600,23.453085332559766
河源市,156441600,67.92465611023535
孝感市,156420900,37.768746992777196
金华市,156330700,41.41347700847966
兴安盟,156152200,29.103979156991674
盘锦市,156211100,22.2975387872045
雅安市,156511800,55.321944149477886
亳州市,156341600,35.62014887037801
商洛市,156611000,21.793818518499567
盐城市,156320900,67.7135103169124
汕头市,156440500,24.474593958033534
安顺市,156520400,39.12802092404747
黔南布依族苗族自治州,156522700,38.55463582907729
厦门市,156350200,36.25259172458834
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,28.855954552395474
红河哈尼族彝族自治州,156532500,31.644477489559417
甘南藏族自治州,156623000,21.713695547011525
太原市,156140100,37.766980836496266
常德市,156430700,22.7352088537318
牡丹江市,156231000,14.946043961296466
淮南市,156340400,36.00826056210229
德阳市,156510600,38.01942853882077
威海市,156371000,62.044801266998455
秦皇岛市,156130300,37.36047790655202
绍兴市,156330600,70.61568777123638
阳江市,156441700,41.72191951991321
铁岭市,156211200,15.934456576999978
达州市,156511700,15.10959959508927
池州市,156341700,170.86580019385815
淮安市,156320800,59.2035189938959
遵义市,156520300,40.75543967913724
黔东南苗族侗族自治州,156522600,39.890269206670034
莆田市,156350300,23.59247041590283
南昌市,156360100,49.35729639623086
佛山市,156440600,51.47405097439943
大同市,156140200,29.607568566176262
昆明市,156530100,40.93702463352673
张家界市,156430800,35.53748019620932
泸州市,156510500,28.703876401928213
沈阳市,156210100,24.54746844373231
邯郸市,156130400,26.02196225307438
马鞍山市,156340500,94.81619944492066
日照市,156371100,73.26641071556264
三亚市,156460200,89.62344109646821
十堰市,156420300,60.847705033925095
呼和浩特市,156150100,45.07739519572866
德宏傣族景颇族自治州,156533100,31.523600572139202
梧州市,156450400,49.15328208275391
枣庄市,156370400,39.791933293339916
安阳市,156410500,36.84994102434689
怀化市,156431200,22.373293597662677
阳泉市,156140300,33.09347473910218
保亭黎族苗族自治县,156469029,120.42070158489716
中农发山丹马场,156629700,142.06345281695667
鹰潭市,156360600,46.922695194977685
陵水黎族自治县,156469028,113.79594464673856
博尔塔拉蒙古自治州,156652700,53.04726150283776
乐东黎族自治县,156469027,41.711837122966884
辽源市,156220400,12.608060129523661
齐齐哈尔市,156230200,9.728838728693853
龙岩市,156350800,57.27578185973839
天门市,156429006,29.33025972040007
潜江市,156429005,22.146024153248085
邢台市,156130500,36.84895849017178
仙桃市,156429004,24.358435462988375
绥化市,156231200,8.542725548248457
丹东市,156210600,13.09158203937962
滨州市,156371600,56.87560607195495
镇江市,156321100,65.38169578629744
昌江黎族自治县,156469026,69.73726147525147
周口市,156411600,30.90898705244533
白沙黎族自治县,156469025,70.61573896923
临高县,156469024,34.658183909362094
吐鲁番市,156650400,63.3104283892689
澄迈县,156469023,87.38631869268369
长沙市,156430100,47.74099011266539
屯昌县,156469022,78.95457672849443
定安县,156469021,62.547593512620935
海口市,156460100,77.02612108770582
乐山市,156511100,38.67754974723124
凉山彝族自治州,156513400,19.382345126447703
桂林市,156450300,61.163544855608
东营市,156370500,112.9028645193897
鹤壁市,156410600,45.57338423891234
娄底市,156431300,24.508059791103392
包头市,156150200,52.796564920198335
锡林郭勒盟,156152500,62.376020186135335
琼中黎族苗族自治县,156469030,87.2407253498835
长治市,156140400,39.20825015320925
赣州市,156360700,51.76489416308396
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,20.83860701652517
巴音郭楞蒙古自治州,156652800,42.864818268910966
上海市,156310000,57.27682696395935
鸡西市,156230300,11.432333711016721
宁德市,156350900,30.028512429066875
保定市,156130600,27.813778555786698
菏泽市,156371700,37.8162762428536
崇左市,156451400,62.54826220108792
黑河市,156231100,19.338469876348427
扬州市,156321000,59.15787597902086
驻马店市,156411700,39.723805044099194
哈密市,156650500,85.5767457001948
株洲市,156430200,28.474712102130752
锦州市,156210700,18.193057755537684
肇庆市,156441200,57.4122534590219
恩施土家族苗族自治州,156422800,37.808079065942216
宜昌市,156420500,82.02218556676722
怒江傈僳族自治州,156533300,21.924297736878703
柳州市,156450200,60.9610853305928
平凉市,156620800,20.031047282377767
眉山市,156511400,43.53032048256941
青岛市,156370200,51.32379447124294
新乡市,156410700,40.71763903295252
乌海市,156150300,27.53286310756812
黔西南布依族苗族自治州,156522300,31.41720952981072
晋城市,156140500,76.36753493790792
广州市,156440100,40.46864235098917
吉林市,156220200,14.699514853442322
九江市,156360400,58.45065069269103
漳州市,156350600,49.0378137050344
来宾市,156451300,56.39106933352962
张家口市,156130700,35.5240979900813
德州市,156371400,37.21678134187704
胡杨河市,156659010,35.50386266948598
固原市,156640400,66.79078970878139
抚顺市,156210400,16.62792343283978
安庆市,156340800,45.081006582789584
白杨市,156659012,0.0
新星市,156659011,172.14501080254
克拉玛依市,156650200,57.578323665849375
湘潭市,156430300,32.236360811366694
昆玉市,156659009,25.85372902871839
惠州市,156441300,65.19471899715072
可克达拉市,156659008,95.99698035971105
襄阳市,156420600,38.62811641584266
南宁市,156450100,41.243747490071726
南充市,156511300,30.03025937723209
酒泉市,156620900,44.53774119118494
淄博市,156370300,56.030714890488426
图木舒克市,156659003,11.417416517692402
阿拉尔市,156659002,46.93679436787643
焦作市,156410800,40.43663910710994
石河子市,156659001,35.70026156096854
赤峰市,156150400,27.26441212365767
双河市,156659007,27.668112863867666
铁门关市,156659006,58.778159424302565
北屯市,156659005,0.0
五家渠市,156659004,96.89781550989395
韶关市,156440200,79.29097340704989
朔州市,156140600,27.898021219641613
四平市,156220300,17.297356710402084
新余市,156360500,34.14422066556719
南平市,156350700,58.91657307037989
哈尔滨市,156230100,15.639146167986834
成都市,156510100,42.943595590031336
河池市,156451200,47.01918921315865
中卫市,156640500,43.345785051069676
本溪市,156210500,24.065217779849537
承德市,156130800,36.843556289986005
聊城市,156371500,37.66663842568088
衡阳市,156430400,23.271254295512836
湘西土家族苗族自治州,156433100,26.600027997888393
杭州市,156330100,70.00656288838168
玉树藏族自治州,156632700,0.4014123982634505
武威市,156620600,28.770922554822196
临夏回族自治州,156622900,16.870421695008506
黄山市,156341000,191.48772182187565
徐州市,156320300,43.570963781624165
济宁市,156370800,44.768256786364006
揭阳市,156445200,31.48724913146669
那曲市,156540600,5.228849863094313
郑州市,156410100,48.582787458457545
通辽市,156150500,20.920857379024177
贵港市,156450800,38.930357989637166
安康市,156610900,26.895572513227123
昌吉回族自治州,156652300,60.089725707854136
晋中市,156140700,43.41764477796258
大庆市,156230600,17.20668945448633
普洱市,156530800,27.928541846089132
白城市,156220800,13.071175830707475
石嘴山市,156640200,90.74682140124
荆州市,156421000,32.052889434175235
沧州市,156130900,29.2540483462538
三门峡市,156411200,39.838498533839555
海西蒙古族藏族自治州,156632800,28.075303236728054
云浮市,156445300,69.37919090500775
张掖市,156620700,45.366096008552844
滁州市,156341100,110.55038058792998
泰安市,156370900,45.81241186305981
无锡市,156320200,50.41178291050004
大兴安岭地区,156232700,52.86985057334685
鄂尔多斯市,156150600,98.86218730645123
阿拉善盟,156152900,190.21795212390944
山南市,156540500,16.776834905239483
开封市,156410200,37.42408445446947
重庆市,156500000,46.954675781123065
钦州市,156450700,43.914570819785006
榆林市,156610800,22.095558179198527
伊春市,156230700,8.132764493236008
运城市,156140800,23.883919450124818
丽江市,156530700,54.458845003770456
黄冈市,156421100,35.49571504415135
吴忠市,156640300,47.55072102321792
南阳市,156411300,32.49792350723841
乌鲁木齐市,156650100,64.7684006123953
和田地区,156653200,23.487692754247494
海南藏族自治州,156632500,17.224147458870206
海东市,156630200,16.04787235713043
武汉市,156420100,54.135240641528725
儋州市,156460400,58.73648139298597
甘孜藏族自治州,156513300,62.20297384544864
内江市,156511000,24.378454491574757
烟台市,156370600,45.64096507713622
南京市,156320100,62.95483790844407
白银市,156620400,23.149015110333966
郴州市,156431000,31.1911554193799
呼伦贝尔市,156150700,16.686430599605547
防城港市,156450600,66.66039775227419
北京市,156110000,45.9946373136453
洛阳市,156410300,45.91171010325164
汉中市,156610700,37.38442306987648
吉安市,156360800,49.303940968183795
丽水市,156331100,47.83883476342407
忻州市,156140900,35.471249682423135
中山市,156442000,45.646386221273644
鹤岗市,156230400,6.580899832572914
白山市,156220600,22.54297496414163
咸宁市,156421200,45.22039640209814
宿迁市,156321300,47.75288806053564
济源市,156419001,50.65466638406703
营口市,156210800,21.852551311441065
商丘市,156411400,35.83040988563449
果洛藏族自治州,156632600,11.022431638929572
三沙市,156460300,253.98080960990978
黄石市,156420200,40.04614563616957
阿坝藏族羌族自治州,156513200,91.51673664564555
潍坊市,156370700,46.61656151730676
天水市,156620500,13.607413229967545
永州市,156431100,22.61033039305453
巴彦淖尔市,156150800,37.61456250056423
北海市,156450500,47.20522971436232
平顶山市,156410400,32.02976718195234
宜春市,156360900,41.009156068504105
台州市,156331000,37.86312526515359
东方市,156469007,47.93748883371762
延安市,156610600,28.11081443997831
万宁市,156469006,72.67108442919361
文昌市,156469005,96.51013363530242
双鸭山市,156230500,15.196452812060711
临沧市,156530900,21.172803107793257
松原市,156220700,15.414128923458314
随州市,156421300,48.3704187907196
资阳市,156512000,37.737778577061846
银川市,156640100,54.598741636314735
泰州市,156321200,63.76491863210341
神农架林区,156429021,211.33833386292608
阜新市,156210900,14.906089928302077
琼海市,156469002,107.92989234622516
五指山市,156469001,148.9805648668261
信阳市,156411500,53.66460286846261
湖州市,156330500,99.46237629869039
黄南藏族自治州,156632300,5.878022306742702
抚州市,156361000,33.23528796360951
清远市,156441800,57.1093907393917
天津市,156120000,66.57252849069462
嘉峪关市,156620200,22.34118632590119
乌兰察布市,156150900,90.56345611724667
阿里地区,156542500,11.872917887153575
连云港市,156320700,46.53174641134896
克孜勒苏柯尔克孜自治州,156653000,18.974869976630917
日喀则市,156540200,11.26902638827347
渭南市,156610500,32.46571421137106
铜仁市,156520600,30.879774195536516
玉溪市,156530400,40.725289959897594
江门市,156440700,50.18515502641129
益阳市,156430900,29.111668450488597
广元市,156510800,53.47220442982666
芜湖市,156340200,134.04737059679147
塔城地区,156654200,35.20307342588633
嘉兴市,156330400,77.04278610319807
西宁市,156630100,17.99657051354615
上饶市,156361100,32.980336920728824
东莞市,156441900,35.91152526242462
南通市,156320600,67.62092759730494
辽阳市,156211000,20.05398405377467
巴中市,156511900,22.69798131328809
六安市,156341500,61.67642301733122
金昌市,156620300,45.86575211141701
廊坊市,156131000,56.87884734435219
拉萨市,156540100,21.132650725333452
喀什地区,156653100,21.043344824699975
阿勒泰地区,156654300,25.585862934575317
毕节市,156520500,23.350875692000766
福州市,156350100,35.01578660574832
咸阳市,156610400,29.02518343786634
文山壮族苗族自治州,156532600,19.661720505751084
湛江市,156440800,30.055670211386936
曲靖市,156530300,26.597884806916788
蚌埠市,156340300,86.36737803996162
绵阳市,156510700,47.16432394081067
温州市,156330300,37.534645953732
苏州市,156320500,53.72098831388819
阜阳市,156341200,42.51694251238063
林芝市,156540400,88.62262536295735
衡水市,156131100,38.59564483362499
许昌市,156411000,39.18198469078915
佳木斯市,156230800,11.728657366721919
宝鸡市,156610300,29.193386915035628
昭通市,156530600,18.243790044571522
大理白族自治州,156532900,43.37844719275492
定西市,156621100,19.283094819546484
茂名市,156440900,60.39663718244275
