name,gb,Average_Accessibility
梅州市,156441400,0.05266309077838696
鄂州市,156420700,0.07022327750180349
吕梁市,156141100,0.024044625324467366
舟山市,156330900,0.11864354588963964
朝阳市,156211300,0.005088228060143666
广安市,156511600,0.01808424089823051
濮阳市,156410900,0.07498711367382163
宣城市,156341800,0.17074841458192608
六盘水市,156520200,0.026598745101009326
深圳市,156440300,1.6201488983497192
三明市,156350400,0.025794761587577406
景德镇市,156360200,0.042520585754107984
楚雄彝族自治州,156532300,0.022052180441185235
大连市,156210200,0.03937303006735862
攀枝花市,156510400,0.02933722697385924
贺州市,156451100,0.04838874682223714
西安市,156610100,0.19786093981861916
境界线,,0.0
淮北市,156340600,0.11836864620263572
邵阳市,156430500,0.013261138612503161
石家庄市,156130100,0.06726594154706907
汕尾市,156441500,0.07840698836736575
荆门市,156420800,0.023047264101399206
衢州市,156330800,0.0632529959833661
迪庆藏族自治州,156533400,0.037979245061804924
宜宾市,156511500,0.027003916328477748
葫芦岛市,156211400,0.009852110324882663
济南市,156370100,0.07479510631487019
贵阳市,156520100,0.09380061270015891
珠海市,156440400,0.4428172187103678
长春市,156220100,0.01682514082089468
延边朝鲜族自治州,156222400,0.014561340393807723
萍乡市,156360300,0.05488046001580359
庆阳市,156621000,0.014181571684582457
泉州市,156350500,0.11915684752026874
自贡市,156510300,0.0236806592714818
临沂市,156371300,0.06872677246006666
百色市,156451000,0.019310190546269073
鞍山市,156210300,0.012653235910973277
铜陵市,156340700,0.11138532146717767
唐山市,156130200,0.05249321075467632
岳阳市,156430600,0.019854815256403313
河源市,156441600,0.054465569765402705
孝感市,156420900,0.04241579408389363
金华市,156330700,0.11614790690997227
兴安盟,156152200,0.009472194838897979
盘锦市,156211100,0.023614422958865722
雅安市,156511800,0.07372070957324893
亳州市,156341600,0.03817030014997267
商洛市,156611000,0.015953266219905116
盐城市,156320900,0.05309536661785913
汕头市,156440500,0.1758066113407204
安顺市,156520400,0.028778912434566137
黔南布依族苗族自治州,156522700,0.018562819560897968
厦门市,156350200,0.454906856212355
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.01311875779371539
红河哈尼族彝族自治州,156532500,0.023235144928184785
甘南藏族自治州,156623000,0.02534228667878268
太原市,156140100,0.15929468587432016
常德市,156430700,0.014061691139164797
牡丹江市,156231000,0.010358356207573655
淮南市,156340400,0.037975223742699404
德阳市,156510600,0.042953759061808726
