name,gb,Gini_Coefficient
梅州市,156441400,0.9906639434794048
鄂州市,156420700,0.9991550132112268
吕梁市,156141100,0.9948646686243744
舟山市,156330900,0.9841272881675434
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.9943355538977295
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.9089398717423457
三明市,156350400,0.0
景德镇市,156360200,0.9695311521087424
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.991506166115179
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.9640836385110166
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.9947308720143854
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.9947427057327092
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.9962094142521065
葫芦岛市,156211400,0.0
济南市,156370100,0.9824421134506158
贵阳市,156520100,0.0
珠海市,156440400,0.9582163672560687
长春市,156220100,0.9967015884102549
延边朝鲜族自治州,156222400,0.9998761919478864
萍乡市,156360300,0.9948938444003328
庆阳市,156621000,0.0
泉州市,156350500,0.9927146014763283
自贡市,156510300,0.9471670780977123
临沂市,156371300,0.9883693412533295
百色市,156451000,0.0
鞍山市,156210300,0.9973122403415132
铜陵市,156340700,0.0
唐山市,156130200,0.9983700005000964
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.9694002477102622
兴安盟,156152200,0.9934908778489757
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.9959704055184846
商洛市,156611000,0.0
盐城市,156320900,0.9970971846601119
汕头市,156440500,0.9923523400400095
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.943646753784495
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9611381531044144
常德市,156430700,0.9924069826359025
牡丹江市,156231000,0.0
淮南市,156340400,0.9902076191250037
德阳市,156510600,0.9984368934415427
威海市,156371000,0.9861959410536121
秦皇岛市,156130300,0.9992586790187193
绍兴市,156330600,0.9933418402561747
阳江市,156441700,0.9992274683299659
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.9988948449605453
遵义市,156520300,0.9996003604305904
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.9848557940530932
佛山市,156440600,0.9881772606360768
大同市,156140200,0.9895249117260476
昆明市,156530100,0.9862720747439696
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.9863135429635449
邯郸市,156130400,0.9977257804924169
马鞍山市,156340500,0.9890291087179313
日照市,156371100,0.9959256668541457
三亚市,156460200,0.9947493586478259
十堰市,156420300,0.0
呼和浩特市,156150100,0.9694964435702953
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.9952076541979227
安阳市,156410500,0.9946550773693208
怀化市,156431200,0.0
阳泉市,156140300,0.9955240881765325
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9982146046747814
陵水黎族自治县,156469028,0.9899582659093812
博尔塔拉蒙古自治州,156652700,0.9744357628679876
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.9963761768287772
齐齐哈尔市,156230200,0.9971684843038515
龙岩市,156350800,0.989886837719401
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.9977146402508161
仙桃市,156429004,0.9779733547483199
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.9920160668524118
镇江市,156321100,0.9797396770420509
昌江黎族自治县,156469026,0.0
周口市,156411600,0.9978070876335825
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9870582332551483
澄迈县,156469023,0.0
长沙市,156430100,0.9836072254053803
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.9898210443973224
乐山市,156511100,0.9939462685552872
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9965568077508571
东营市,156370500,0.0
鹤壁市,156410600,0.9513275050151354
娄底市,156431300,0.9948602414164234
包头市,156150200,0.9965509126051881
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9897749931106198
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9883837762586917
上海市,156310000,0.9523742633410934
鸡西市,156230300,0.9862153084951224
宁德市,156350900,0.999986192274408
保定市,156130600,0.9996321155343987
菏泽市,156371700,0.9925017011374353
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.9994805738478064
驻马店市,156411700,0.9921776518497138
哈密市,156650500,0.976205852797494
株洲市,156430200,0.9915775659992881
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.993341787832481
平凉市,156620800,0.9881794578988697
眉山市,156511400,0.9916870385235163
青岛市,156370200,0.9831401307377959
新乡市,156410700,0.9879085728963988
乌海市,156150300,0.0
