name,gb,Average_Accessibility
梅州市,156441400,0.049849611256623315
鄂州市,156420700,0.06936053044810324
吕梁市,156141100,0.022926067123171214
舟山市,156330900,0.11648821149553572
朝阳市,156211300,0.004657867797683733
广安市,156511600,0.017857391064678197
濮阳市,156410900,0.07393567160379483
宣城市,156341800,0.16490983958584826
六盘水市,156520200,0.02605169919820932
深圳市,156440300,1.6201190528441012
三明市,156350400,0.02382455056066458
景德镇市,156360200,0.04065511086938061
楚雄彝族自治州,156532300,0.020476771241366657
大连市,156210200,0.037994702508307866
攀枝花市,156510400,0.02762266424395495
贺州市,156451100,0.04654719173758628
西安市,156610100,0.19543846437239945
境界线,,0.0
淮北市,156340600,0.11714931426009512
邵阳市,156430500,0.013020605276205827
石家庄市,156130100,0.06553999521025107
汕尾市,156441500,0.07645205550419036
荆门市,156420800,0.02239907413286409
衢州市,156330800,0.060081439936926606
迪庆藏族自治州,156533400,0.0366176501917863
宜宾市,156511500,0.02657909252025463
葫芦岛市,156211400,0.009283662315317324
济南市,156370100,0.07258764510063945
贵阳市,156520100,0.0919322007914508
珠海市,156440400,0.44093731196239744
长春市,156220100,0.01603458619478695
延边朝鲜族自治州,156222400,0.012847784496773079
萍乡市,156360300,0.0539269184624114
庆阳市,156621000,0.013319575076412132
泉州市,156350500,0.11611463009323204
自贡市,156510300,0.023481336289088037
临沂市,156371300,0.0671714381447721
百色市,156451000,0.0184516677605138
鞍山市,156210300,0.01192067391531808
铜陵市,156340700,0.10868071233235586
唐山市,156130200,0.051061532649837996
岳阳市,156430600,0.01948424490452468
河源市,156441600,0.0513548252123907
孝感市,156420900,0.04197199986694292
金华市,156330700,0.11324184988186357
兴安盟,156152200,0.008678349081981925
盘锦市,156211100,0.021951875179048435
雅安市,156511800,0.0716528341888164
亳州市,156341600,0.038055540405815616
商洛市,156611000,0.015143717558788886
盐城市,156320900,0.05220651617105165
汕头市,156440500,0.17332165455051687
安顺市,156520400,0.028003771586298565
黔南布依族苗族自治州,156522700,0.01771577832756027
厦门市,156350200,0.4525082198825814
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.012116253295799878
红河哈尼族彝族自治州,156532500,0.022294778227347444
甘南藏族自治州,156623000,0.02430346836928439
太原市,156140100,0.15231468826835576
常德市,156430700,0.013703816710835402
牡丹江市,156231000,0.00915155671772204
淮南市,156340400,0.03754286977226712
德阳市,156510600,0.04267191606488903
威海市,156371000,0.06355063090219852
秦皇岛市,156130300,0.03588473356332611
绍兴市,156330600,0.13282687717013889
阳江市,156441700,0.04908054745434285
铁岭市,156211200,0.006797129704665197
达州市,156511700,0.011829534380651716
池州市,156341700,0.08039582886136773
淮安市,156320800,0.054827410141060434
遵义市,156520300,0.029140705402524572
黔东南苗族侗族自治州,156522600,0.021702858502693215
莆田市,156350300,0.06634276285855106
南昌市,156360100,0.10916099250391707
佛山市,156440600,0.4427514220301606
大同市,156140200,0.02804954186522691
昆明市,156530100,0.0764355804916093
张家界市,156430800,0.020816493280155144
泸州市,156510500,0.024789016725105244
沈阳市,156210100,0.043692943850070116
邯郸市,156130400,0.04444373386471609
马鞍山市,156340500,0.10217322224479265
日照市,156371100,0.0758677388523554
三亚市,156460200,0.21833931669896964
十堰市,156420300,0.04753099584183204
呼和浩特市,156150100,0.05136490147453686
德宏傣族景颇族自治州,156533100,0.022070334222493947
梧州市,156450400,0.040697769097611
枣庄市,156370400,0.06426904581864057
安阳市,156410500,0.055408492800098415
怀化市,156431200,0.01682771936680429
阳泉市,156140300,0.038633930288095454
保亭黎族苗族自治县,156469029,0.07403253278802595
中农发山丹马场,156629700,0.012412372943574349
鹰潭市,156360600,0.03969382857511899
陵水黎族自治县,156469028,0.17473018213069483
博尔塔拉蒙古自治州,156652700,0.016249989827473957
乐东黎族自治县,156469027,0.032252802875536286
辽源市,156220400,0.00459119568585164
齐齐哈尔市,156230200,0.0034498325685639575
龙岩市,156350800,0.04311013212253314
天门市,156429006,0.02381705024936498
潜江市,156429005,0.01924448457917109
邢台市,156130500,0.04858013534618944
仙桃市,156429004,0.027273494598637094
绥化市,156231200,0.0028773054825837743
丹东市,156210600,0.005653997640917888
滨州市,156371600,0.05523028802790747
镇江市,156321100,0.10991004335686626
昌江黎族自治县,156469026,0.053325418153466364
周口市,156411600,0.04017966030208209
白沙黎族自治县,156469025,0.03559974890488845
临高县,156469024,0.03055680493372433
吐鲁番市,156650400,0.03461852048170121
澄迈县,156469023,0.06603537027322881
长沙市,156430100,0.11383907941010946
屯昌县,156469022,0.051717260316986674
定安县,156469021,0.0391823260412336
海口市,156460100,0.28679226720055867
乐山市,156511100,0.029704104817708334
凉山彝族自治州,156513400,0.020545017032723153
桂林市,156450300,0.047025679756659534
东营市,156370500,0.10122278397088538
鹤壁市,156410600,0.06610050490103067
娄底市,156431300,0.02520703462951851
包头市,156150200,0.047894205663635614
锡林郭勒盟,156152500,0.024856693851422203
琼中黎族苗族自治县,156469030,0.034930488775217206
长治市,156140400,0.03636143154482765
赣州市,156360700,0.04449582714787154
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.009765023914846273
巴音郭楞蒙古自治州,156652800,0.01913762510496374
上海市,156310000,0.5598344280252479
鸡西市,156230300,0.003525246230626233
宁德市,156350900,0.03560477663794782
保定市,156130600,0.039616135467586126
菏泽市,156371700,0.046970552428687404
崇左市,156451400,0.028946922031150856
黑河市,156231100,0.00630582229846473
扬州市,156321000,0.07922490154093878
驻马店市,156411700,0.030090372298036665
哈密市,156650500,0.03745529701979741
株洲市,156430200,0.027243748621657543
锦州市,156210700,0.01037618538658323
肇庆市,156441200,0.06232703107072856
恩施土家族苗族自治州,156422800,0.018497036789723476
宜昌市,156420500,0.04968442015037997
怒江傈僳族自治州,156533300,0.017914545124974743
柳州市,156450200,0.0678984418306541
平凉市,156620800,0.009917086517034525
眉山市,156511400,0.0358968386574397
青岛市,156370200,0.1016120178437162
新乡市,156410700,0.06203297067379769
乌海市,156150300,0.033721326988006874
黔西南布依族苗族自治州,156522300,0.019847810769990537
晋城市,156140500,0.07187873986902805
广州市,156440100,0.4104163375515498
吉林市,156220200,0.007059019053110485
九江市,156360400,0.048237768650022265
漳州市,156350600,0.07333615543115017
来宾市,156451300,0.03531483016838658
张家口市,156130700,0.01586412804872774
德州市,156371400,0.03760697316944425
胡杨河市,156659010,0.00530147356663886
固原市,156640400,0.03472272576041586
抚顺市,156210400,0.011015178235761959
安庆市,156340800,0.032912980832588465
白杨市,156659012,0.0
新星市,156659011,0.03612830422141335
克拉玛依市,156650200,0.038771932265337775
湘潭市,156430300,0.032144215367901983
昆玉市,156659009,0.023571220176348547
惠州市,156441300,0.17340866880697756
可克达拉市,156659008,0.02297105698671909
襄阳市,156420600,0.03137271925932079
南宁市,156450100,0.06019712534953885
南充市,156511300,0.02284743620109427
酒泉市,156620900,0.013147146119305845
淄博市,156370300,0.08839319616377057
图木舒克市,156659003,0.005490970491310687
阿拉尔市,156659002,0.01319796060778431
焦作市,156410800,0.0753831098188408
石河子市,156659001,0.07375528485455388
赤峰市,156150400,0.008380765545214152
双河市,156659007,0.007060549099451259
铁门关市,156659006,0.016090968617221764
北屯市,156659005,0.0
五家渠市,156659004,0.07180442868836671
韶关市,156440200,0.05452629246469393
朔州市,156140600,0.017884745130960555
四平市,156220300,0.0068383179684212494
新余市,156360500,0.02871757729376888
南平市,156350700,0.0326309309262066
哈尔滨市,156230100,0.012469652006035259
成都市,156510100,0.18245331879255836
河池市,156451200,0.020473033851916598
中卫市,156640500,0.025184048878236467
本溪市,156210500,0.014350454360189979
承德市,156130800,0.0119449321712936
聊城市,156371500,0.04923042963476035
衡阳市,156430400,0.019520084548039187
湘西土家族苗族自治州,156433100,0.0177253385615135
杭州市,156330100,0.23638650520136867
玉树藏族自治州,156632700,0.0003888529037760797
武威市,156620600,0.012409417453577548
临夏回族自治州,156622900,0.01806145683281397
黄山市,156341000,0.11750242069686616
徐州市,156320300,0.06762659929800724
济宁市,156370800,0.06985858939947522
揭阳市,156445200,0.09660144476721129
那曲市,156540600,0.007226882101614264
郑州市,156410100,0.19450205870446577
通辽市,156150500,0.006907883350362272
贵港市,156450800,0.042472853675185836
安康市,156610900,0.02409008530669092
昌吉回族自治州,156652300,0.023134845154808556
晋中市,156140700,0.0394848210754455
大庆市,156230600,0.009335975052324027
普洱市,156530800,0.014286312373352258
白城市,156220800,0.003423442941057864
石嘴山市,156640200,0.06457129374834804
荆州市,156421000,0.024562156707742144
沧州市,156130900,0.03194060851889059
三门峡市,156411200,0.03338258262307802
海西蒙古族藏族自治州,156632800,0.011477196960592427
云浮市,156445300,0.072899626291703
张掖市,156620700,0.018754987708262505
滁州市,156341100,0.06506341400155173
泰安市,156370900,0.05924595724830547
无锡市,156320200,0.23031980914286687
大兴安岭地区,156232700,0.013685655297699922
鄂尔多斯市,156150600,0.036343623540213685
阿拉善盟,156152900,0.04411382294482072
山南市,156540500,0.006423321417785245
开封市,156410200,0.05234882488912729
重庆市,156500000,0.050005309261061656
钦州市,156450700,0.03587211548812746
榆林市,156610800,0.01149641700332637
伊春市,156230700,0.003469613232724484
运城市,156140800,0.02371429231493053
丽江市,156530700,0.04378544771314353
黄冈市,156421100,0.02642835286619834
吴忠市,156640300,0.029851227925867207
南阳市,156411300,0.02526830494196639
乌鲁木齐市,156650100,0.19376912541414432
和田地区,156653200,0.021105047670873914
海南藏族自治州,156632500,0.010872089786243643
海东市,156630200,0.016391892139439816
武汉市,156420100,0.2095217957270585
儋州市,156460400,0.057221218471613405
甘孜藏族自治州,156513300,0.09091867185106464
内江市,156511000,0.021978127039149573
烟台市,156370600,0.047459139499881425
南京市,156320100,0.21338706697736468
白银市,156620400,0.009671154855762473
郴州市,156431000,0.023112156395014714
呼伦贝尔市,156150700,0.006549571308943841
防城港市,156450600,0.0533098883138506
北京市,156110000,0.22785140819659677
洛阳市,156410300,0.06864616831549489
汉中市,156610700,0.03118916010238555
吉安市,156360800,0.02745065928798053
丽水市,156331100,0.04981842572007968
忻州市,156140900,0.02389807707400382
中山市,156442000,0.42508857059841376
鹤岗市,156230400,0.002012059789155201
白山市,156220600,0.012007372301799326
咸宁市,156421200,0.03607487157784897
宿迁市,156321300,0.061678719913429256
济源市,156419001,0.06132504745268486
营口市,156210800,0.024169228526268287
商丘市,156411400,0.045735963744486005
果洛藏族自治州,156632600,0.013996613764129908
三沙市,156460300,0.3488003412882487
黄石市,156420200,0.056208583454123294
阿坝藏族羌族自治州,156513200,0.1404647041512845
潍坊市,156370700,0.054880984144539416
天水市,156620500,0.010410636983891969
永州市,156431100,0.016683239303624354
巴彦淖尔市,156150800,0.010221733396279282
北海市,156450500,0.0681899933186574
平顶山市,156410400,0.039743191585084076
宜春市,156360900,0.02895557972749663
台州市,156331000,0.09231857552458997
东方市,156469007,0.046186351107517724
延安市,156610600,0.013889808588672552
万宁市,156469006,0.07386670991373206
文昌市,156469005,0.05116852089113923
双鸭山市,156230500,0.0043830655897183456
临沧市,156530900,0.012030282127767876
松原市,156220700,0.006172606357652062
随州市,156421300,0.02954034039875949
资阳市,156512000,0.021441755425374482
银川市,156640100,0.09556795048977153
泰州市,156321200,0.08506789594437758
神农架林区,156429021,0.08476713361072932
阜新市,156210900,0.005183356054784431
琼海市,156469002,0.09522309836138969
五指山市,156469001,0.12840432746737612
信阳市,156411500,0.028467491752734705
湖州市,156330500,0.1523407350319759
黄南藏族自治州,156632300,0.008256240668578925
抚州市,156361000,0.021684350050002403
清远市,156441800,0.052346509578630324
天津市,156120000,0.19527705293875677
嘉峪关市,156620200,0.04178629849864318
乌兰察布市,156150900,0.019865947668389016
阿里地区,156542500,0.00442195809838667
连云港市,156320700,0.06021155062530944
克孜勒苏柯尔克孜自治州,156653000,0.011153084134088354
日喀则市,156540200,0.01013410839320145
渭南市,156610500,0.02928821143067612
铜仁市,156520600,0.015747219339232347
玉溪市,156530400,0.03557027844775948
江门市,156440700,0.09188882784564958
益阳市,156430900,0.021923913495962035
广元市,156510800,0.01930505726443234
芜湖市,156340200,0.16568518378778851
塔城地区,156654200,0.00787768648215396
嘉兴市,156330400,0.2479497628200168
西宁市,156630100,0.043000844738947566
上饶市,156361100,0.029289324562686
东莞市,156441900,0.6287300706504784
南通市,156320600,0.10057736166178517
辽阳市,156211000,0.01571646030937973
巴中市,156511900,0.012603303555917442
六安市,156341500,0.040823625391622764
金昌市,156620300,0.017926155140438667
廊坊市,156131000,0.10883419442065832
拉萨市,156540100,0.029017745758483034
喀什地区,156653100,0.014372052927208088
阿勒泰地区,156654300,0.006675643196559815
毕节市,156520500,0.019154083349851452
福州市,156350100,0.10847790552652038
咸阳市,156610400,0.03737513455730115
文山壮族苗族自治州,156532600,0.010219217468300002
湛江市,156440800,0.040828618511474075
曲靖市,156530300,0.02004454407510878
蚌埠市,156340300,0.09717125721365012
绵阳市,156510700,0.0380326232152359
温州市,156330300,0.14132400613470736
苏州市,156320500,0.2872655959356399
阜阳市,156341200,0.06446473667077851
林芝市,156540400,0.027278881433883913
衡水市,156131100,0.03655131248604679
许昌市,156411000,0.061987289921630405
佳木斯市,156230800,0.0029466941648387725
宝鸡市,156610300,0.03288576807977608
昭通市,156530600,0.021258456684350474
大理白族自治州,156532900,0.03790274042855052
定西市,156621100,0.014496721312612823
茂名市,156440900,0.08019906121331292
伊犁哈萨克自治州,156654000,0.02953639051755593
宁波市,156330200,0.20600026765887702
兰州市,156620100,0.059579822628997095
临汾市,156141000,0.028970771187784492
常州市,156320400,0.1680687547924361
宿州市,156341300,0.0585576485417794
潮州市,156445100,0.12503648306867454
昌都市,156540300,0.032774669152719
玉林市,156450900,0.04551013724690549
海北藏族自治州,156632200,0.009781104060295686
漯河市,156411100,0.055681641290233314
七台河市,156230900,0.007500405882735642
西双版纳傣族自治州,156532800,0.0217147479088197
陇南市,156621200,0.010430802939974462
保山市,156530500,0.026591611693414702
遂宁市,156510900,0.021814748532820616
合肥市,156340100,0.14097738324071254
铜川市,156610200,0.029933594518357358
