name,gb,Average_Accessibility
梅州市,156441400,0.023459441822914102
鄂州市,156420700,0.0636704603173701
吕梁市,156141100,0.019521766418343904
舟山市,156330900,0.1144680377973357
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.03264269555770429
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.575496619944525
三明市,156350400,0.0
景德镇市,156360200,0.11151468148466234
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.08143363117139212
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.26204110925848983
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0329255578336375
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.149357432720878
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.012164665098416922
葫芦岛市,156211400,0.0
济南市,156370100,0.189750750059661
贵阳市,156520100,0.0
珠海市,156440400,0.35976614738986723
长春市,156220100,0.020961776725590783
延边朝鲜族自治州,156222400,0.02867128933297403
萍乡市,156360300,0.031293865550030685
庆阳市,156621000,0.0
泉州市,156350500,0.04853191900227831
自贡市,156510300,0.1598063714056344
临沂市,156371300,0.17366889662807183
百色市,156451000,0.0
鞍山市,156210300,0.016370613666734014
铜陵市,156340700,0.0
唐山市,156130200,0.04114075456927915
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.3502905569169915
兴安盟,156152200,0.15699209566247094
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.012443955812087775
商洛市,156611000,0.0
盐城市,156320900,0.04781591357321303
汕头市,156440500,0.031744484862188636
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.3385700915762884
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.17710343723990957
常德市,156430700,0.023407325701887385
牡丹江市,156231000,0.0
淮南市,156340400,0.03971068695793794
德阳市,156510600,0.020866438164720894
威海市,156371000,0.06745118541144858
秦皇岛市,156130300,0.01632387352372887
绍兴市,156330600,0.05771801690022885
阳江市,156441700,0.03702423080334286
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.04976095014873632
遵义市,156520300,0.008498603758357776
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.10140216896121525
佛山市,156440600,0.07129686455764456
大同市,156140200,0.02671071535906342
昆明市,156530100,0.05081470141565978
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.08100226062119152
邯郸市,156130400,0.025228021978768743
马鞍山市,156340500,0.11876008701231261
日照市,156371100,0.015629296012681666
三亚市,156460200,0.68273966977469
十堰市,156420300,0.0
呼和浩特市,156150100,0.1594731463055482
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.04668920930283022
安阳市,156410500,0.07821255429235559
怀化市,156431200,0.0
阳泉市,156140300,0.047558872215534766
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.1201168754019372
陵水黎族自治县,156469028,0.2752211477363359
博尔塔拉蒙古自治州,156652700,0.1626722926384667
乐东黎族自治县,156469027,0.0
