name,gb,Average_Accessibility
梅州市,156441400,5.1833334696358834e-05
鄂州市,156420700,0.00032574702953470165
吕梁市,156141100,2.508177392552083e-05
舟山市,156330900,0.0007288007952046579
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.00019774807216362857
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.028099283829975168
三明市,156350400,0.0
景德镇市,156360200,0.00025858783838557457
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0003041404625038048
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.001380265603438828
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00016911102267014693
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.00026619577794240114
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,2.9565244929456327e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0010971162353326637
贵阳市,156520100,0.0
珠海市,156440400,0.0033603067572170048
长春市,156220100,4.749671337916111e-05
延边朝鲜族自治州,156222400,1.4839672578797858e-05
萍乡市,156360300,0.00011776573675915711
庆阳市,156621000,0.0
泉州市,156350500,0.00028761161462163024
自贡市,156510300,0.000675696245596451
临沂市,156371300,0.0007166515341686869
百色市,156451000,0.0
鞍山市,156210300,4.2077899381323326e-05
铜陵市,156340700,0.0
唐山市,156130200,0.00016419014001899814
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0012950641273002282
兴安盟,156152200,3.209495379339165e-05
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,5.0461892092485695e-05
商洛市,156611000,0.0
盐城市,156320900,0.00016131388582280514
汕头市,156440500,0.0006785100681489689
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.007423509857118877
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0007313498694228045
常德市,156430700,5.4789660806761103e-05
牡丹江市,156231000,0.0
淮南市,156340400,0.0001824434110891237
德阳市,156510600,9.814309364577553e-05
威海市,156371000,0.00023720976467123359
秦皇岛市,156130300,4.284817278016169e-05
绍兴市,156330600,0.0002767702037976844
阳江市,156441700,9.626773044941189e-05
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00017950740760568795
遵义市,156520300,1.2022223773940422e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0005948492059125586
佛山市,156440600,0.0010880399265407045
大同市,156140200,4.3376803127816475e-05
昆明市,156530100,0.0001273727237911354
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.00034397182255527155
邯郸市,156130400,0.00013942390938084361
马鞍山市,156340500,0.00047308926621292356
日照市,156371100,5.9194306913894455e-05
三亚市,156460200,0.00219431447415823
十堰市,156420300,0.0
呼和浩特市,156150100,0.0001645973300855146
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.00027630665789581273
安阳市,156410500,0.0003881420999494539
怀化市,156431200,0.0
阳泉市,156140300,9.730639996559127e-05
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0002991210140105714
陵水黎族自治县,156469028,0.0006446928205624433
博尔塔拉蒙古自治州,156652700,2.866811568176614e-05
