name,gb,Gini_Coefficient
梅州市,156441400,0.8724545902929137
鄂州市,156420700,0.9185503865469887
吕梁市,156141100,0.9231005676018775
舟山市,156330900,0.9044088470201836
朝阳市,156211300,0.9810553687447524
广安市,156511600,0.9735129099450597
濮阳市,156410900,0.9119988924646858
宣城市,156341800,0.9102500427220771
六盘水市,156520200,0.9713389932023324
深圳市,156440300,0.3335540908284951
三明市,156350400,0.9265771763364776
景德镇市,156360200,0.8782138047238153
楚雄彝族自治州,156532300,0.9705177717384958
大连市,156210200,0.8261920663383547
攀枝花市,156510400,0.9254733995701917
贺州市,156451100,0.9421448032474777
西安市,156610100,0.6015186496413054
境界线,,0.0
淮北市,156340600,0.9243940194358733
邵阳市,156430500,0.9278506073749528
石家庄市,156130100,0.846874927017653
汕尾市,156441500,0.8721162150553762
荆门市,156420800,0.9463399719891117
衢州市,156330800,0.8925609457352782
迪庆藏族自治州,156533400,0.9750330174632412
宜宾市,156511500,0.9247166240592865
葫芦岛市,156211400,0.9714767837682797
济南市,156370100,0.8225709352983888
贵阳市,156520100,0.8005713688194271
珠海市,156440400,0.5960094327765273
长春市,156220100,0.9183538001105376
延边朝鲜族自治州,156222400,0.9338127946619882
萍乡市,156360300,0.9311728763126175
庆阳市,156621000,0.9574548192147483
泉州市,156350500,0.7903868103321114
自贡市,156510300,0.9573654693419041
临沂市,156371300,0.9209500374104465
百色市,156451000,0.9660684278382291
鞍山市,156210300,0.9767125358878344
铜陵市,156340700,0.9066190053330739
唐山市,156130200,0.8897223181689663
岳阳市,156430600,0.9503334761962697
河源市,156441600,0.8893731893962075
孝感市,156420900,0.9654944456140507
金华市,156330700,0.823170191053278
兴安盟,156152200,0.9932845558570744
盘锦市,156211100,0.9566348495256137
雅安市,156511800,0.9174845829438597
亳州市,156341600,0.9770437486293123
商洛市,156611000,0.9750615033745702
盐城市,156320900,0.9043163958351296
汕头市,156440500,0.8574016081934639
安顺市,156520400,0.9402879266616901
黔南布依族苗族自治州,156522700,0.9527849220223155
厦门市,156350200,0.5412985458702408
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.967202214155534
红河哈尼族彝族自治州,156532500,0.9648832246430783
甘南藏族自治州,156623000,0.984378319990174
太原市,156140100,0.6719254934333191
常德市,156430700,0.9377274133550614
牡丹江市,156231000,0.9678243445114878
淮南市,156340400,0.9511011906818544
德阳市,156510600,0.9349332983230126
威海市,156371000,0.903247724436218
秦皇岛市,156130300,0.9420214292105858
绍兴市,156330600,0.8703332691659748
阳江市,156441700,0.9036403369015078
铁岭市,156211200,0.9845138293394521
达州市,156511700,0.9547446504664405
池州市,156341700,0.9813674061227111
淮安市,156320800,0.9200163405760844
遵义市,156520300,0.8998925132691374
黔东南苗族侗族自治州,156522600,0.9574755053013057
莆田市,156350300,0.9163356371223591
南昌市,156360100,0.7161269081040988
佛山市,156440600,0.5903415783121266
大同市,156140200,0.9671938386218036
昆明市,156530100,0.6611682262870082
张家界市,156430800,0.9127383677497419
泸州市,156510500,0.9542776261348881
沈阳市,156210100,0.8653059986651751
邯郸市,156130400,0.9591245539741596
马鞍山市,156340500,0.9508097647137735
日照市,156371100,0.8811753151143946
三亚市,156460200,0.5343490136566331
十堰市,156420300,0.9038620688818311
呼和浩特市,156150100,0.9004012112994879
德宏傣族景颇族自治州,156533100,0.9624864410448516
梧州市,156450400,0.8701076785942707
枣庄市,156370400,0.9440942262891955
安阳市,156410500,0.9328226060036534
怀化市,156431200,0.9592861309483036
阳泉市,156140300,0.8902049248406467
保亭黎族苗族自治县,156469029,0.8632759242966981
中农发山丹马场,156629700,0.9993301194752451
鹰潭市,156360600,0.9641228231179986
陵水黎族自治县,156469028,0.7448815140779601
博尔塔拉蒙古自治州,156652700,0.9966516323261032
乐东黎族自治县,156469027,0.8969780725197479
辽源市,156220400,0.9785380211461968
齐齐哈尔市,156230200,0.9927958356751423
龙岩市,156350800,0.8946201788479131
天门市,156429006,0.9758202134897976
潜江市,156429005,0.9890360342794351
邢台市,156130500,0.9411697478701804
仙桃市,156429004,0.9652283339452037
绥化市,156231200,0.9942359167456489
丹东市,156210600,0.9868182353637208
滨州市,156371600,0.9707743602629072
镇江市,156321100,0.8545234114275593
昌江黎族自治县,156469026,0.9174507929066015
周口市,156411600,0.9868169453832824
白沙黎族自治县,156469025,0.7851089006960927
临高县,156469024,0.9445271472721579
吐鲁番市,156650400,0.9743991460416417
澄迈县,156469023,0.93819669329938
长沙市,156430100,0.6356838156717708
屯昌县,156469022,0.9162114105558488
定安县,156469021,0.9282724414368149
海口市,156460100,0.5264894243786203
乐山市,156511100,0.924207545904483
凉山彝族自治州,156513400,0.9810863657352125
桂林市,156450300,0.8809932417340346
东营市,156370500,0.8675789437756047
鹤壁市,156410600,0.9350930572502651
娄底市,156431300,0.9435158809526166
包头市,156150200,0.9165672794389405
锡林郭勒盟,156152500,0.993611772556333
琼中黎族苗族自治县,156469030,0.9557721693409611
长治市,156140400,0.9412588893672013
赣州市,156360700,0.8699329619211182
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.9342984434797506
巴音郭楞蒙古自治州,156652800,0.9289759389349519
上海市,156310000,0.48334396430203375
鸡西市,156230300,0.9949472625215212
宁德市,156350900,0.9405581222872336
保定市,156130600,0.9267891436924582
菏泽市,156371700,0.9824986236684172
崇左市,156451400,0.9761155972928932
黑河市,156231100,0.97127312555565
扬州市,156321000,0.8682965816229562
驻马店市,156411700,0.9768551134001027
哈密市,156650500,0.9127192086768846
株洲市,156430200,0.898156088760567
锦州市,156210700,0.9818895479291636
肇庆市,156441200,0.8533781950033734
恩施土家族苗族自治州,156422800,0.9713426734314681
宜昌市,156420500,0.8783967918310304
怒江傈僳族自治州,156533300,0.9845749253072017
柳州市,156450200,0.8150669667186229
平凉市,156620800,0.9402525701934593
眉山市,156511400,0.9439727524945678
青岛市,156370200,0.7108422477105345
新乡市,156410700,0.9444172566753054
乌海市,156150300,0.9834822059744011
黔西南布依族苗族自治州,156522300,0.9542694180453032
晋城市,156140500,0.9012066124775806
广州市,156440100,0.4383474364978045
吉林市,156220200,0.9687495746550467
九江市,156360400,0.9326855955680534
漳州市,156350600,0.8639725861524898
来宾市,156451300,0.9655141631674983
张家口市,156130700,0.9192422772196136
德州市,156371400,0.9562106420161394
胡杨河市,156659010,0.0
固原市,156640400,0.9697786022651552
抚顺市,156210400,0.9803456063364503
安庆市,156340800,0.916173132076107
白杨市,156659012,0.0
新星市,156659011,0.9631967353359194
克拉玛依市,156650200,0.8962863824765419
湘潭市,156430300,0.8990017732787452
昆玉市,156659009,0.0
惠州市,156441300,0.7304606416255002
可克达拉市,156659008,0.9963160646836053
襄阳市,156420600,0.9231757457969882
南宁市,156450100,0.8246133448755589
南充市,156511300,0.9456728232275373
酒泉市,156620900,0.9358980099363912
淄博市,156370300,0.876568652726492
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.987605947940829
焦作市,156410800,0.9277596693716227
石河子市,156659001,0.949651378963618
赤峰市,156150400,0.9945821887307692
双河市,156659007,0.0
铁门关市,156659006,0.9988339965413733
北屯市,156659005,0.9511449085151135
五家渠市,156659004,0.7137155649404032
韶关市,156440200,0.8893970656218143
朔州市,156140600,0.9765221669951522
四平市,156220300,0.9866218412142096
新余市,156360500,0.9200289086894451
南平市,156350700,0.9160305815248442
哈尔滨市,156230100,0.9461337407387237
成都市,156510100,0.6728175978756898
河池市,156451200,0.9553505726169101
中卫市,156640500,0.9254792430710386
本溪市,156210500,0.960521493735622
承德市,156130800,0.97641584499756
聊城市,156371500,0.9565189878669039
衡阳市,156430400,0.936691844596375
湘西土家族苗族自治州,156433100,0.9537128318317101
杭州市,156330100,0.626863404647303
玉树藏族自治州,156632700,0.9999491473978501
武威市,156620600,0.977252158197621
临夏回族自治州,156622900,0.9796556740781305
黄山市,156341000,0.87812939226137
徐州市,156320300,0.9187384480459666
济宁市,156370800,0.9308232606169758
揭阳市,156445200,0.8907293581514698
那曲市,156540600,0.9965573232977911
郑州市,156410100,0.7120079892499636
通辽市,156150500,0.9924451438292025
贵港市,156450800,0.9612783306508264
安康市,156610900,0.9783703798733618
昌吉回族自治州,156652300,0.9709722180947417
晋中市,156140700,0.9278600896421617
大庆市,156230600,0.98455964773745
普洱市,156530800,0.9663219758148887
白城市,156220800,0.9876887592745492
石嘴山市,156640200,0.9184288229930732
荆州市,156421000,0.9655969435796361
沧州市,156130900,0.9598952460558937
三门峡市,156411200,0.9009333528763034
海西蒙古族藏族自治州,156632800,0.9865882783727911
云浮市,156445300,0.8807867806914322
张掖市,156620700,0.9040635848280235
滁州市,156341100,0.9344186270296393
泰安市,156370900,0.9100287933632596
无锡市,156320200,0.7575342253643962
大兴安岭地区,156232700,0.9811257389541692
鄂尔多斯市,156150600,0.921913063122335
阿拉善盟,156152900,0.7955651953971395
山南市,156540500,0.9864250117122272
开封市,156410200,0.9433463190997954
重庆市,156500000,0.847936302111321
钦州市,156450700,0.9649410393437894
榆林市,156610800,0.9745409098425001
伊春市,156230700,0.9952041290686245
运城市,156140800,0.9549663907570013
丽江市,156530700,0.9437245298305579
黄冈市,156421100,0.9599776055339986
吴忠市,156640300,0.9309750115569176
南阳市,156411300,0.9649409659365958
乌鲁木齐市,156650100,0.8642202878623544
和田地区,156653200,0.9903673041014823
海南藏族自治州,156632500,0.9791467808732275
海东市,156630200,0.9768721141874336
武汉市,156420100,0.45637755329257523
儋州市,156460400,0.8769772667956012
甘孜藏族自治州,156513300,0.9802143458996916
内江市,156511000,0.9481149148254424
烟台市,156370600,0.9116371268168176
南京市,156320100,0.5682996910353059
白银市,156620400,0.9738064879543649
郴州市,156431000,0.9262380083980573
呼伦贝尔市,156150700,0.9878924863319093
防城港市,156450600,0.9409300605171584
北京市,156110000,0.4846568183060527
洛阳市,156410300,0.8899517446990437
汉中市,156610700,0.913772345141586
吉安市,156360800,0.9606214701800895
丽水市,156331100,0.9077807865803598
忻州市,156140900,0.960203486714498
中山市,156442000,0.6544137134734009
鹤岗市,156230400,0.9758388345107564
白山市,156220600,0.9870819278278588
咸宁市,156421200,0.9526946428802323
宿迁市,156321300,0.9350789719564547
济源市,156419001,0.9397817785286139
营口市,156210800,0.9769048410419114
商丘市,156411400,0.9838406472125174
果洛藏族自治州,156632600,0.9898949303685182
三沙市,156460300,0.711691881287793
黄石市,156420200,0.9208837898506868
阿坝藏族羌族自治州,156513200,0.9671997560337665
潍坊市,156370700,0.9078555089464647
天水市,156620500,0.9727908326175158
永州市,156431100,0.9492358748378996
巴彦淖尔市,156150800,0.9786813764422168
北海市,156450500,0.9066849092184143
平顶山市,156410400,0.9578807491615067
宜春市,156360900,0.9712287726997648
台州市,156331000,0.8621719475920759
东方市,156469007,0.9336429774707349
延安市,156610600,0.9676272826707547
万宁市,156469006,0.9092259420894951
文昌市,156469005,0.8972477060962628
双鸭山市,156230500,0.9891462050231103
临沧市,156530900,0.9749438792557474
松原市,156220700,0.9940468489766242
随州市,156421300,0.9405387082402621
资阳市,156512000,0.9408659008610349
银川市,156640100,0.7779414917774055
泰州市,156321200,0.8851137559390044
神农架林区,156429021,0.9240029850285358
阜新市,156210900,0.9924261028742075
琼海市,156469002,0.791494972162945
五指山市,156469001,0.8305427091650484
信阳市,156411500,0.962305769682144
湖州市,156330500,0.8767756702791863
黄南藏族自治州,156632300,0.9907576419370301
抚州市,156361000,0.9608638537588855
清远市,156441800,0.8889394130352564
天津市,156120000,0.5731040408526681
嘉峪关市,156620200,0.9445419487745954
乌兰察布市,156150900,0.991535948735338
阿里地区,156542500,0.9582160209079824
连云港市,156320700,0.9367546417201907
克孜勒苏柯尔克孜自治州,156653000,0.9660246085574827
日喀则市,156540200,0.9853908705850543
渭南市,156610500,0.958862837094393
铜仁市,156520600,0.9671893739443211
玉溪市,156530400,0.9394117306242495
江门市,156440700,0.8076371992047556
益阳市,156430900,0.9498338631077325
广元市,156510800,0.9182404395980451
芜湖市,156340200,0.8557393785444286
塔城地区,156654200,0.9947054142004187
嘉兴市,156330400,0.8075645652498586
西宁市,156630100,0.9508736009697051
上饶市,156361100,0.9627487811639037
东莞市,156441900,0.6354996424274612
南通市,156320600,0.896198153927944
辽阳市,156211000,0.9394999589549257
巴中市,156511900,0.9577802634698921
六安市,156341500,0.962582243463552
金昌市,156620300,0.9715275885037267
廊坊市,156131000,0.9053063518274729
拉萨市,156540100,0.9287493951426541
喀什地区,156653100,0.9804668943689111
阿勒泰地区,156654300,0.9644071812196632
毕节市,156520500,0.9705419387219159
福州市,156350100,0.686648821767176
咸阳市,156610400,0.9388991776171316
文山壮族苗族自治州,156532600,0.9839026260248339
湛江市,156440800,0.9283705968603817
曲靖市,156530300,0.9664846446660358
蚌埠市,156340300,0.9784957405343937
绵阳市,156510700,0.8837546444130913
温州市,156330300,0.7361281676153859
苏州市,156320500,0.7330354837942334
阜阳市,156341200,0.9600829251502001
林芝市,156540400,0.9676634385759337
衡水市,156131100,0.9657276473362217
许昌市,156411000,0.9447389510244674
佳木斯市,156230800,0.9793982772410633
宝鸡市,156610300,0.899471775542944
昭通市,156530600,0.9740398204699944
大理白族自治州,156532900,0.9551513560804485
定西市,156621100,0.9784190556400703
茂名市,156440900,0.8764029345115099
伊犁哈萨克自治州,156654000,0.9064242734241214
宁波市,156330200,0.7411892636291306
兰州市,156620100,0.7233205131360516
临汾市,156141000,0.9219684473573586
常州市,156320400,0.7543647456533379
宿州市,156341300,0.9417222475063983
潮州市,156445100,0.810520408514521
昌都市,156540300,0.9962070384233527
玉林市,156450900,0.9391577022752858
海北藏族自治州,156632200,0.9908521589275314
漯河市,156411100,0.963233345878855
七台河市,156230900,0.9911925390286691
西双版纳傣族自治州,156532800,0.9621447146887651
陇南市,156621200,0.9940150319974782
保山市,156530500,0.9307730309611058
遂宁市,156510900,0.967203770478684
合肥市,156340100,0.6756718940679645
铜川市,156610200,0.9531648553818615
