name,gb,Average_Accessibility
梅州市,156441400,0.006450508173849369
鄂州市,156420700,0.0008777603767421683
吕梁市,156141100,0.00018611844278072583
舟山市,156330900,0.004267872711574216
朝阳市,156211300,3.333025652551908e-05
广安市,156511600,0.0004082567132285536
濮阳市,156410900,0.0005154699863067172
宣城市,156341800,0.0003899021757691616
六盘水市,156520200,9.694894917378983e-05
深圳市,156440300,0.18243109869850055
三明市,156350400,0.0013530973489383606
景德镇市,156360200,0.004988799793976555
楚雄彝族自治州,156532300,0.0002938708069338885
大连市,156210200,0.004784971641237458
攀枝花市,156510400,0.0008531908992918568
贺州市,156451100,0.0
西安市,156610100,0.015843987539945256
境界线,,0.0
淮北市,156340600,0.0003222973858689111
邵阳市,156430500,0.0
石家庄市,156130100,0.0030853415392789385
汕尾市,156441500,0.0
荆门市,156420800,0.00011544555970333887
衢州市,156330800,0.005008098072684741
迪庆藏族自治州,156533400,0.000594147022754427
宜宾市,156511500,0.00010382860100319759
葫芦岛市,156211400,0.0
济南市,156370100,0.003072516495324165
贵阳市,156520100,0.003538872409656008
珠海市,156440400,0.016030212680473784
长春市,156220100,8.729024564295563e-05
延边朝鲜族自治州,156222400,9.11955123421922e-05
萍乡市,156360300,0.00032363316633440966
庆阳市,156621000,0.0002477364447941162
泉州市,156350500,0.0027516000673232202
自贡市,156510300,0.00037725674285863736
临沂市,156371300,0.003315402644925872
百色市,156451000,0.0002653344923355069
鞍山市,156210300,0.00023299882158879192
铜陵市,156340700,0.00014320814346981342
唐山市,156130200,0.005016629915106378
岳阳市,156430600,0.00041303707557293837
河源市,156441600,0.002481984242354289
孝感市,156420900,0.000453622882525606
金华市,156330700,0.0024410733586876007
兴安盟,156152200,0.0001228199160295281
盘锦市,156211100,0.0003696132390105745
雅安市,156511800,0.00025572889591601953
亳州市,156341600,0.00039131531589909604
商洛市,156611000,0.0002315465722324623
盐城市,156320900,0.0024962582858175184
汕头市,156440500,0.0016603230120614957
安顺市,156520400,0.0006012167859744358
黔南布依族苗族自治州,156522700,0.00011562423961218384
厦门市,156350200,0.023456308701459098
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,3.448151974419973e-05
甘南藏族自治州,156623000,0.0
太原市,156140100,0.013862044722945601
常德市,156430700,9.624461113232336e-05
牡丹江市,156231000,0.00022703264919338013
淮南市,156340400,0.0003837344264762861
德阳市,156510600,0.001595267568122641
威海市,156371000,0.0009781104516950571
秦皇岛市,156130300,0.0012799221348235097
绍兴市,156330600,0.0029761264964921655
阳江市,156441700,0.00044805159452046827
铁岭市,156211200,0.00017359072412987433
达州市,156511700,5.001208998940208e-05
池州市,156341700,0.0003433330453557076
淮安市,156320800,0.0014257371536696218
遵义市,156520300,0.0004841449914183356
黔东南苗族侗族自治州,156522600,0.0003722112623685223
莆田市,156350300,0.0011295279158494032
南昌市,156360100,0.003040082948550595
佛山市,156440600,0.007955465455569187
大同市,156140200,0.00045425376669297663
昆明市,156530100,0.002648555212155822
张家界市,156430800,0.0
泸州市,156510500,0.0006917294861611174
沈阳市,156210100,0.0006571838287073184
邯郸市,156130400,0.0025942768945185508
马鞍山市,156340500,0.0010036269387046059
日照市,156371100,0.004867154441815101
三亚市,156460200,0.009931743371049613
十堰市,156420300,0.000744419519858382
呼和浩特市,156150100,0.0007506738500636704
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.0022958272052846207
安阳市,156410500,0.0005307949482886917
怀化市,156431200,0.0005001359812159908
阳泉市,156140300,0.0003676876069348168
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0004087023358417094
陵水黎族自治县,156469028,0.0027864340315226087
博尔塔拉蒙古自治州,156652700,0.00029529005645022977
乐东黎族自治县,156469027,0.0010545965270918913
辽源市,156220400,0.0004972276449238342
齐齐哈尔市,156230200,2.196014770238254e-05
龙岩市,156350800,0.0008476250907253233
天门市,156429006,0.00015234136884467449
潜江市,156429005,0.0
邢台市,156130500,0.001191014781290171
仙桃市,156429004,0.000772480738304467
绥化市,156231200,0.0
丹东市,156210600,4.668105355052102e-05
滨州市,156371600,0.0005308830144098388
镇江市,156321100,0.004086747498192576
昌江黎族自治县,156469026,0.0007282107577060289
周口市,156411600,4.2069462304095674e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00019681697209964706
澄迈县,156469023,0.0010355404050968653
长沙市,156430100,0.007484871442553832
屯昌县,156469022,0.0
定安县,156469021,0.004314760556574351
海口市,156460100,0.019086359026126327
乐山市,156511100,0.00026040498037832274
凉山彝族自治州,156513400,6.714544897463675e-05
桂林市,156450300,0.0004741135332782562
东营市,156370500,0.0012013870961712937
鹤壁市,156410600,0.0016457877694155774
娄底市,156431300,6.577814613399773e-05
包头市,156150200,4.095173070234537e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.0003948591075376944
赣州市,156360700,0.0009193043828419325
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,6.788925081427577e-05
上海市,156310000,0.17058802102462864
鸡西市,156230300,0.00021209088960603005
宁德市,156350900,0.0008500593416919836
保定市,156130600,0.0028162757066688537
菏泽市,156371700,0.00016465877610536195
崇左市,156451400,5.80950794045308e-05
黑河市,156231100,0.00015423554834965682
扬州市,156321000,0.004173149306948059
驻马店市,156411700,0.00013285959083240124
哈密市,156650500,0.0001080996756653196
株洲市,156430200,0.0001569307862007724
锦州市,156210700,0.0
肇庆市,156441200,0.0015119017391559224
恩施土家族苗族自治州,156422800,0.00034036281457677716
宜昌市,156420500,0.0006707154937637872
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.001482542268892417
平凉市,156620800,0.0002453901297272647
眉山市,156511400,0.00014933645133934323
青岛市,156370200,0.012812414954387546
新乡市,156410700,0.0018735445462740384
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0011797332374355934
晋城市,156140500,0.0004777801857665031
广州市,156440100,0.044702114430116575
吉林市,156220200,3.5645642021154924e-05
九江市,156360400,0.0005133252633450515
漳州市,156350600,0.0013476463496802033
来宾市,156451300,0.0
张家口市,156130700,0.002819572662887682
德州市,156371400,0.0031060165269564365
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.004790254176881377
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0004825631342744534
昆玉市,156659009,0.0
惠州市,156441300,0.005049695858857255
可克达拉市,156659008,0.0
襄阳市,156420600,0.000734442931365029
南宁市,156450100,0.0007585524119889093
南充市,156511300,0.0001297179941419844
酒泉市,156620900,0.00014207993680574326
淄博市,156370300,0.004226204806244745
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.0005518767805736004
石河子市,156659001,0.0
赤峰市,156150400,7.303445268792793e-05
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.0009478980844671076
韶关市,156440200,0.007474584096071521
朔州市,156140600,5.486142613015648e-05
四平市,156220300,0.00022379107445291002
新余市,156360500,0.0004906041188377036
南平市,156350700,0.000436038579620694
哈尔滨市,156230100,0.0003432043510151271
成都市,156510100,0.01152164832015545
河池市,156451200,0.0
中卫市,156640500,0.0003505120268109714
本溪市,156210500,0.0
承德市,156130800,0.0008135022157559864
聊城市,156371500,0.0008097958607660384
衡阳市,156430400,0.00024087248608494987
湘西土家族苗族自治州,156433100,0.000404007404628977
杭州市,156330100,0.021065355217233236
玉树藏族自治州,156632700,0.0
武威市,156620600,0.00010602377636165773
临夏回族自治州,156622900,0.002066491421003987
黄山市,156341000,0.004806457605577053
徐州市,156320300,0.0039598931591046434
济宁市,156370800,0.0011131792151954033
揭阳市,156445200,0.00012553276211789348
那曲市,156540600,0.0015982294869254354
郑州市,156410100,0.005054968154847854
通辽市,156150500,4.540544336064756e-05
贵港市,156450800,0.0003645212427148678
安康市,156610900,0.0
昌吉回族自治州,156652300,5.070830459549755e-05
晋中市,156140700,0.0009189069165634177
大庆市,156230600,0.0007137787219649698
普洱市,156530800,0.00040867630954409334
白城市,156220800,4.2388084794278554e-05
石嘴山市,156640200,0.0002756360737677921
荆州市,156421000,0.0003549841626907127
沧州市,156130900,0.002538376649692892
三门峡市,156411200,0.0012376553348087001
海西蒙古族藏族自治州,156632800,0.0004130628431728313
云浮市,156445300,0.0005844476207202634
张掖市,156620700,9.88721672483828e-05
滁州市,156341100,0.00065558196605099
泰安市,156370900,0.0013913261073596407
无锡市,156320200,0.011049935500865927
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.00030726211410042945
阿拉善盟,156152900,0.0
