name,gb,Gini_Coefficient
梅州市,156441400,0.843229607149373
鄂州市,156420700,0.9409786391108035
吕梁市,156141100,0.9027110601232926
舟山市,156330900,0.8329878895733824
朝阳市,156211300,0.9856742194154123
广安市,156511600,0.9367338383016183
濮阳市,156410900,0.852583734480067
宣城市,156341800,0.8850969317150613
六盘水市,156520200,0.9122384875398648
深圳市,156440300,0.38576078833661265
三明市,156350400,0.8054128730534275
景德镇市,156360200,0.8535930294303246
楚雄彝族自治州,156532300,0.9446527873670082
大连市,156210200,0.8007428651931252
攀枝花市,156510400,0.9347243461540916
贺州市,156451100,0.8849217991940033
西安市,156610100,0.5811227996128672
境界线,,0.0
淮北市,156340600,0.9096326788331727
邵阳市,156430500,0.8972221950401897
石家庄市,156130100,0.813009191339541
汕尾市,156441500,0.8503283635357529
荆门市,156420800,0.947403809163804
衢州市,156330800,0.8651816257001237
迪庆藏族自治州,156533400,0.8656025510107739
宜宾市,156511500,0.8839551563950281
葫芦岛市,156211400,0.9558711801755669
济南市,156370100,0.8198096650335767
贵阳市,156520100,0.7964294029387222
珠海市,156440400,0.5437155046900731
长春市,156220100,0.919480442009317
延边朝鲜族自治州,156222400,0.8808025174101145
萍乡市,156360300,0.9194669057426439
庆阳市,156621000,0.9187181228839395
泉州市,156350500,0.757736624049218
自贡市,156510300,0.8982838264390073
临沂市,156371300,0.8844930400856922
百色市,156451000,0.8722552714313837
鞍山市,156210300,0.9709820666961068
铜陵市,156340700,0.868009314379705
唐山市,156130200,0.8744707082881066
岳阳市,156430600,0.8841656470956333
河源市,156441600,0.7747116873831654
孝感市,156420900,0.9526870261285887
金华市,156330700,0.7762073725502755
兴安盟,156152200,0.9962151613101964
盘锦市,156211100,0.9292818509984269
雅安市,156511800,0.8374267658950144
亳州市,156341600,0.927229371057447
商洛市,156611000,0.9333176310082014
盐城市,156320900,0.8673165226295405
汕头市,156440500,0.8702301500530152
安顺市,156520400,0.9334410771248163
黔南布依族苗族自治州,156522700,0.8846081442248879
厦门市,156350200,0.5687584092480515
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9833502466787637
红河哈尼族彝族自治州,156532500,0.8894120974871214
甘南藏族自治州,156623000,0.9594200871853803
太原市,156140100,0.6743757619268385
常德市,156430700,0.9179481979476367
牡丹江市,156231000,0.9647128894764696
淮南市,156340400,0.9519255179083488
德阳市,156510600,0.9153877536253583
威海市,156371000,0.8901063341022231
秦皇岛市,156130300,0.9205176495684946
绍兴市,156330600,0.8707715764476657
阳江市,156441700,0.8359109491705119
铁岭市,156211200,0.9853091395668607
达州市,156511700,0.9046947541299118
池州市,156341700,0.9529270431214041
淮安市,156320800,0.8806800865396862
遵义市,156520300,0.8656929790662677
黔东南苗族侗族自治州,156522600,0.887789995698078
莆田市,156350300,0.8632493245134429
南昌市,156360100,0.6942308329823712
佛山市,156440600,0.6300090763891522
大同市,156140200,0.9304708456500367
昆明市,156530100,0.6795255656693604
张家界市,156430800,0.8653921389456696
泸州市,156510500,0.921132032957684
沈阳市,156210100,0.8886085625533041
邯郸市,156130400,0.9443546431944322
马鞍山市,156340500,0.9350211254050823
日照市,156371100,0.8238915531357196
三亚市,156460200,0.5314030279757432
十堰市,156420300,0.8232428009512691
呼和浩特市,156150100,0.8843271520853345
德宏傣族景颇族自治州,156533100,0.8548561522774989
梧州市,156450400,0.7580832701376563
枣庄市,156370400,0.9264446588475627
安阳市,156410500,0.9265515850040199
怀化市,156431200,0.9026379531413966
阳泉市,156140300,0.8424408186081822
保亭黎族苗族自治县,156469029,0.5704441310584161
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9499863116376956
陵水黎族自治县,156469028,0.5809575070968209
博尔塔拉蒙古自治州,156652700,0.9611752105782101
乐东黎族自治县,156469027,0.9192271203488759
辽源市,156220400,0.9695320564150463
齐齐哈尔市,156230200,0.9839203976622328
龙岩市,156350800,0.8620983757106886
天门市,156429006,0.9817384083494285
潜江市,156429005,0.9890854707000402
邢台市,156130500,0.914019957529487
仙桃市,156429004,0.9120798447637045
绥化市,156231200,0.9882539400295415
丹东市,156210600,0.9691271309528384
滨州市,156371600,0.9585291660012638
镇江市,156321100,0.863223466889227
昌江黎族自治县,156469026,0.7837915701064074
周口市,156411600,0.9727867760244986
白沙黎族自治县,156469025,0.6412111294360621
临高县,156469024,0.9769087023301998
吐鲁番市,156650400,0.9486796907400721
澄迈县,156469023,0.850888965073266
长沙市,156430100,0.6029743332840312
屯昌县,156469022,0.8679117991358617
定安县,156469021,0.7995083432167099
海口市,156460100,0.42919881507327573
乐山市,156511100,0.8979330583158392
凉山彝族自治州,156513400,0.9644074094830004
桂林市,156450300,0.83703912202049
东营市,156370500,0.8450122173247017
鹤壁市,156410600,0.9325478878925664
娄底市,156431300,0.893403690456341
包头市,156150200,0.9534187792594265
锡林郭勒盟,156152500,0.9915723573858352
琼中黎族苗族自治县,156469030,0.9116057361562936
长治市,156140400,0.9095292126644333
赣州市,156360700,0.7953675568655576
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.9134193863382789
巴音郭楞蒙古自治州,156652800,0.9025533800953265
上海市,156310000,0.5103864928726051
鸡西市,156230300,0.9853131223023099
宁德市,156350900,0.8542690282850476
保定市,156130600,0.9195893659336942
菏泽市,156371700,0.9538130000826173
崇左市,156451400,0.9120561912257468
黑河市,156231100,0.9661326193644568
扬州市,156321000,0.8536270870538378
驻马店市,156411700,0.9565841236401534
哈密市,156650500,0.9267887263187415
株洲市,156430200,0.8382284013986077
锦州市,156210700,0.9640715700129416
肇庆市,156441200,0.8247793117445005
恩施土家族苗族自治州,156422800,0.903669677825504
宜昌市,156420500,0.8203788697094063
怒江傈僳族自治州,156533300,0.8919681283956774
柳州市,156450200,0.7296107250967881
平凉市,156620800,0.9153642252332412
眉山市,156511400,0.9009140020992331
青岛市,156370200,0.7241772732426139
新乡市,156410700,0.9044579244878173
乌海市,156150300,0.9642183333121346
黔西南布依族苗族自治州,156522300,0.8890651921260401
晋城市,156140500,0.8615745784653076
广州市,156440100,0.49295781791711546
吉林市,156220200,0.971419247457634
九江市,156360400,0.9123272504559464
漳州市,156350600,0.8026319521507222
来宾市,156451300,0.9009774126481619
张家口市,156130700,0.8891091011676469
德州市,156371400,0.9305028715767559
胡杨河市,156659010,0.0
固原市,156640400,0.9367025279680466
抚顺市,156210400,0.98506729441156
安庆市,156340800,0.8756808716446106
白杨市,156659012,0.0
新星市,156659011,0.9756150458354222
克拉玛依市,156650200,0.8049569787458537
湘潭市,156430300,0.8522706169277903
昆玉市,156659009,0.0
惠州市,156441300,0.6668069868230826
可克达拉市,156659008,0.9893172292023176
襄阳市,156420600,0.8706518221606665
南宁市,156450100,0.7807050801836707
南充市,156511300,0.8698475338914425
酒泉市,156620900,0.849655332435546
淄博市,156370300,0.8710626746567587
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.9928474539144315
焦作市,156410800,0.8889936789975754
石河子市,156659001,0.9811179363418828
赤峰市,156150400,0.9903091112442889
双河市,156659007,0.0
铁门关市,156659006,0.9963558154231507
北屯市,156659005,0.9541474463158472
五家渠市,156659004,0.9116283275186106
韶关市,156440200,0.8819838553302053
朔州市,156140600,0.9559977512045876
四平市,156220300,0.9797616187061217
新余市,156360500,0.865141412681859
南平市,156350700,0.8269358289499005
哈尔滨市,156230100,0.9309583066311196
成都市,156510100,0.6293024755884948
河池市,156451200,0.8792349606803643
中卫市,156640500,0.8786081595902139
本溪市,156210500,0.9375435604838771
承德市,156130800,0.9582914543049741
聊城市,156371500,0.93812186211766
衡阳市,156430400,0.917914643301233
湘西土家族苗族自治州,156433100,0.8867653313853464
杭州市,156330100,0.6201173883129276
玉树藏族自治州,156632700,0.9996600964061704
武威市,156620600,0.928230630289065
临夏回族自治州,156622900,0.9365725348552746
黄山市,156341000,0.826458892470919
徐州市,156320300,0.8949037581679126
济宁市,156370800,0.9139088594235389
揭阳市,156445200,0.8690156467250506
那曲市,156540600,0.9759571510952764
郑州市,156410100,0.6658700420178296
通辽市,156150500,0.9876173276928504
贵港市,156450800,0.9145982847259841
安康市,156610900,0.945579526454841
昌吉回族自治州,156652300,0.9578473144341176
晋中市,156140700,0.8802556559658548
大庆市,156230600,0.981705863971994
普洱市,156530800,0.894799310724954
白城市,156220800,0.9893256733315517
石嘴山市,156640200,0.9038111091599287
荆州市,156421000,0.9374378118800769
沧州市,156130900,0.9421497053975202
三门峡市,156411200,0.7849319316727339
海西蒙古族藏族自治州,156632800,0.9276436876576591
云浮市,156445300,0.8346756405577817
张掖市,156620700,0.878110058679929
滁州市,156341100,0.9025636437662202
泰安市,156370900,0.8758469365020276
无锡市,156320200,0.7661659326155652
大兴安岭地区,156232700,0.8645341433400272
鄂尔多斯市,156150600,0.8638590312497998
阿拉善盟,156152900,0.8588289623416377
山南市,156540500,0.0
开封市,156410200,0.9163529368259875
重庆市,156500000,0.7795548774016421
钦州市,156450700,0.927971981918751
榆林市,156610800,0.9348615189987876
伊春市,156230700,0.9754477048006694
运城市,156140800,0.9145739034755808
丽江市,156530700,0.8769240468143762
黄冈市,156421100,0.9240392554881998
吴忠市,156640300,0.8874110874709955
南阳市,156411300,0.9387447497243734
乌鲁木齐市,156650100,0.9107954575057082
和田地区,156653200,0.9763722537311573
海南藏族自治州,156632500,0.9473335941144125
海东市,156630200,0.9443966735441246
武汉市,156420100,0.5240952922033018
儋州市,156460400,0.8356262038035948
甘孜藏族自治州,156513300,0.8974355606130504
内江市,156511000,0.9150796591410036
烟台市,156370600,0.8472099731181382
南京市,156320100,0.5707398914116073
白银市,156620400,0.93963915423537
郴州市,156431000,0.8896860040770276
呼伦贝尔市,156150700,0.979073677566825
防城港市,156450600,0.8714567089665473
北京市,156110000,0.5460566387914123
洛阳市,156410300,0.8185572784354289
汉中市,156610700,0.9007142416661952
吉安市,156360800,0.9440554158889437
丽水市,156331100,0.8460210045307393
忻州市,156140900,0.9256290078329183
中山市,156442000,0.6437428177972419
鹤岗市,156230400,0.9746258838977272
白山市,156220600,0.9679464982887743
咸宁市,156421200,0.9279460326686599
宿迁市,156321300,0.8861706044669607
济源市,156419001,0.937461533376085
营口市,156210800,0.9697961794250145
商丘市,156411400,0.9637392475117004
果洛藏族自治州,156632600,0.9126307803160572
三沙市,156460300,0.54142565457621
黄石市,156420200,0.9109176677296159
阿坝藏族羌族自治州,156513200,0.9387628790390444
潍坊市,156370700,0.8860529795011595
天水市,156620500,0.9320505826621143
永州市,156431100,0.9090621314889095
巴彦淖尔市,156150800,0.9770687286699248
北海市,156450500,0.8502125116683412
平顶山市,156410400,0.9281636520037664
宜春市,156360900,0.9471660122581437
台州市,156331000,0.8219913369891038
东方市,156469007,0.8233941645015681
延安市,156610600,0.9603549511034973
万宁市,156469006,0.8576691464726345
文昌市,156469005,0.8049249789255282
双鸭山市,156230500,0.9794509308901556
临沧市,156530900,0.9034693536903983
松原市,156220700,0.9817801680321492
随州市,156421300,0.8756259149457625
资阳市,156512000,0.8590821174116433
银川市,156640100,0.7938559530612506
泰州市,156321200,0.8826509952579338
神农架林区,156429021,0.6439001080791938
阜新市,156210900,0.9771392113383642
琼海市,156469002,0.6477311179802874
五指山市,156469001,0.6025223319003554
信阳市,156411500,0.9245733034324584
湖州市,156330500,0.8619165557134919
黄南藏族自治州,156632300,0.9783681311554356
抚州市,156361000,0.9089571957987381
清远市,156441800,0.7990836926524127
天津市,156120000,0.5565946590269468
嘉峪关市,156620200,0.9190551487806304
乌兰察布市,156150900,0.9866199065132027
阿里地区,156542500,0.9701753051657989
连云港市,156320700,0.9110280117956453
克孜勒苏柯尔克孜自治州,156653000,0.9352250297557793
