name,gb,Average_Accessibility
梅州市,156441400,10.691603710518292
鄂州市,156420700,6.274407004985879
吕梁市,156141100,4.062318663178262
舟山市,156330900,19.998619558069805
朝阳市,156211300,0.5535546671298303
广安市,156511600,1.7306096530181918
濮阳市,156410900,6.993997459754293
宣城市,156341800,7.465495913007406
六盘水市,156520200,2.122031198870312
深圳市,156440300,25.332786235336954
三明市,156350400,8.427681048355772
景德镇市,156360200,4.113149445464657
楚雄彝族自治州,156532300,2.9008383094057617
大连市,156210200,7.703824426572372
攀枝花市,156510400,2.626297458306728
贺州市,156451100,6.459035156396394
西安市,156610100,16.0751145877305
境界线,,0.0
淮北市,156340600,3.5719624029774124
邵阳市,156430500,3.27288642581624
石家庄市,156130100,6.096011433567893
汕尾市,156441500,5.488911525462756
荆门市,156420800,4.721198766158474
衢州市,156330800,11.05004493193849
迪庆藏族自治州,156533400,5.578204946092441
宜宾市,156511500,3.683533732729052
葫芦岛市,156211400,1.9279754724516562
济南市,156370100,7.722371359363891
贵阳市,156520100,5.810567019209136
珠海市,156440400,24.939272273256982
长春市,156220100,2.812104016830146
延边朝鲜族自治州,156222400,3.853641781892573
萍乡市,156360300,3.744084198991452
庆阳市,156621000,3.570763792518366
泉州市,156350500,9.798933553848858
自贡市,156510300,1.8062271833030177
临沂市,156371300,5.80958663069298
百色市,156451000,3.989228653970996
鞍山市,156210300,1.2336687041603758
铜陵市,156340700,5.14924928284911
唐山市,156130200,6.300063355253802
岳阳市,156430600,3.69420744616267
河源市,156441600,13.50179043643033
孝感市,156420900,2.649884695584655
金华市,156330700,8.041989904539868
兴安盟,156152200,0.5307698728121272
盘锦市,156211100,2.359547058189055
雅安市,156511800,6.698534326156938
亳州市,156341600,2.4390091428615004
商洛市,156611000,2.6552219053378767
盐城市,156320900,8.98873352468885
汕头市,156440500,4.316752493772831
安顺市,156520400,3.9308418407882315
黔南布依族苗族自治州,156522700,4.051318820206151
厦门市,156350200,15.214668134547129
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.32483219419084053
红河哈尼族彝族自治州,156532500,2.9560364247431967
甘南藏族自治州,156623000,2.639108489304624
太原市,156140100,15.188100453477505
常德市,156430700,3.420269079209998
牡丹江市,156231000,0.8478203587953883
淮南市,156340400,2.3779334498533773
德阳市,156510600,3.888343274515419
威海市,156371000,4.526478548853083
秦皇岛市,156130300,7.27138569212184
绍兴市,156330600,6.755526816769577
阳江市,156441700,7.741607650443492
铁岭市,156211200,1.1678112373171532
达州市,156511700,1.3625649624892011
池州市,156341700,4.262934557612975
淮安市,156320800,6.839367864187611
遵义市,156520300,4.028373840516183
黔东南苗族侗族自治州,156522600,3.455145485869829
莆田市,156350300,4.640379188405696
南昌市,156360100,9.413978331395368
佛山市,156440600,18.427875128258563
大同市,156140200,4.684803543322309
昆明市,156530100,10.81133653888377
张家界市,156430800,7.520919127961062
泸州市,156510500,2.4011716813354713
沈阳市,156210100,2.5626827781919626
邯郸市,156130400,3.141368993944725
马鞍山市,156340500,3.423766507943928
日照市,156371100,9.39511939728251
三亚市,156460200,31.808793967942986
十堰市,156420300,5.3643081314487775
