name,gb,Gini_Coefficient
梅州市,156441400,0.9962519120027988
鄂州市,156420700,0.9995117183654091
吕梁市,156141100,0.9986291651409033
舟山市,156330900,0.9928502133779403
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.9968271684814722
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.9070830162719706
三明市,156350400,0.0
景德镇市,156360200,0.9917996037838404
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.9928840467165101
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.9753343738938947
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.9962521725726026
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.9970598406747787
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.9993352226171183
葫芦岛市,156211400,0.0
济南市,156370100,0.9818032261051645
贵阳市,156520100,0.0
珠海市,156440400,0.9634379154802812
长春市,156220100,0.9986128435044921
延边朝鲜族自治州,156222400,0.9997926584533816
萍乡市,156360300,0.9988484015694987
庆阳市,156621000,0.0
泉州市,156350500,0.9944349963432029
自贡市,156510300,0.9774694928048523
临沂市,156371300,0.9940621395024563
百色市,156451000,0.0
鞍山市,156210300,0.9998579920368318
铜陵市,156340700,0.0
唐山市,156130200,0.9955021683046158
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.9734206329077847
兴安盟,156152200,0.9973264425738513
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.9983694547955954
商洛市,156611000,0.0
盐城市,156320900,0.9962598178769622
汕头市,156440500,0.9973143029352088
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.8623864133620662
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9238517434675851
常德市,156430700,0.9974831108000014
牡丹江市,156231000,0.0
淮南市,156340400,0.9959884460728656
德阳市,156510600,0.9990485153898401
威海市,156371000,0.9960092411922984
秦皇岛市,156130300,0.999674088755145
绍兴市,156330600,0.9905280222110334
阳江市,156441700,0.9991310560293593
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.9993659011413732
遵义市,156520300,0.9996852911221733
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.9872179232338569
佛山市,156440600,0.9876987161151779
大同市,156140200,0.9966964349414625
昆明市,156530100,0.9883051996828278
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.9894301382929482
邯郸市,156130400,0.9982740246965255
马鞍山市,156340500,0.9870201507430454
日照市,156371100,0.9942380983811479
三亚市,156460200,0.9977771580966404
十堰市,156420300,0.0
呼和浩特市,156150100,0.9537577491166906
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.9977355733817408
安阳市,156410500,0.9942811055456626
怀化市,156431200,0.0
阳泉市,156140300,0.9984259719963526
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9993605572166212
陵水黎族自治县,156469028,0.9931551813630284
博尔塔拉蒙古自治州,156652700,0.9993516926812822
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.9977271183219596
齐齐哈尔市,156230200,0.9993334033743032
龙岩市,156350800,0.9835573485036249
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.9976082767149254
仙桃市,156429004,0.9903759524491796
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.9952600247773088
镇江市,156321100,0.9482458796657343
昌江黎族自治县,156469026,0.0
周口市,156411600,0.9986134508370351
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9953485241718074
澄迈县,156469023,0.0
长沙市,156430100,0.9848579305656459
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.9946289933194523
乐山市,156511100,0.9942849327059511
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9984466729815744
东营市,156370500,0.0
鹤壁市,156410600,0.9648354794724233
娄底市,156431300,0.998281985205744
包头市,156150200,0.9995718272662465
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9799308332294852
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9883933889393838
上海市,156310000,0.9464201172549064
鸡西市,156230300,0.9933313418693431
宁德市,156350900,0.9999603314947115
保定市,156130600,0.9998228365889142
菏泽市,156371700,0.997385454771946
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.9997626330222681
驻马店市,156411700,0.9961924601241742
哈密市,156650500,0.9793867615897753
株洲市,156430200,0.9905068177997494
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.9926332203067431
平凉市,156620800,0.9990081075139988
眉山市,156511400,0.9929845561061437
青岛市,156370200,0.9903987877956182
新乡市,156410700,0.9943446086945029
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.9984392056186777
广州市,156440100,0.969181825069979
吉林市,156220200,0.0
九江市,156360400,0.9940419745125845
漳州市,156350600,0.9884274236623593
来宾市,156451300,0.0
张家口市,156130700,0.9965511477822585
德州市,156371400,0.9932230054050624
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.0
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0
昆玉市,156659009,0.0
惠州市,156441300,0.9997168711059222
可克达拉市,156659008,0.0
襄阳市,156420600,0.9991011147486211
南宁市,156450100,0.9979650957233854
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.9916866010262515
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.9988379657195655
石河子市,156659001,0.0
赤峰市,156150400,0.9996049069246069
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.9561079574431047
韶关市,156440200,0.9977893461889601
朔州市,156140600,0.999603427643633
四平市,156220300,0.0
新余市,156360500,0.9994530265646323
南平市,156350700,0.0
哈尔滨市,156230100,0.9959798336670304
成都市,156510100,0.975730570415374
河池市,156451200,0.0
中卫市,156640500,0.9885286002971785
本溪市,156210500,0.0
承德市,156130800,0.0
聊城市,156371500,0.9962700051030532
衡阳市,156430400,0.0
湘西土家族苗族自治州,156433100,0.9970528748793817
杭州市,156330100,0.9555786119201093
玉树藏族自治州,156632700,0.0
武威市,156620600,0.0
临夏回族自治州,156622900,0.0
黄山市,156341000,0.9916785663364157
徐州市,156320300,0.9911047674005355
济宁市,156370800,0.9996322329200694
揭阳市,156445200,0.0
那曲市,156540600,0.9881258986516422
郑州市,156410100,0.9722585397200187
通辽市,156150500,0.0
贵港市,156450800,0.0
安康市,156610900,0.0
昌吉回族自治州,156652300,0.9902991298192849
