NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Hainan,Danzhou,460000,460400,0.8740032887640621
Hainan,Haikou,460000,460100,0.53768999742136
Hainan,NULL,460000,0,0.8942682394219095
Hainan,"Sansha
",460000,460030,0.717745595066527
Hainan,Sanya,460000,460200,0.5393176627652889
Neimenggu,Alashan,150000,152900,0.8010313749426339
Neimenggu,Baotou,150000,150200,0.9184057122753618
Neimenggu,Bayannaoer,150000,150800,0.9791563029103071
Neimenggu,Chifeng,150000,150400,0.9945513646572359
Neimenggu,Eerduosi,150000,150600,0.9218598396689696
Neimenggu,Huhehaote,150000,150100,0.8995684044869625
Neimenggu,Hulunbeier,150000,150700,0.9880091937977179
Neimenggu,Tongliao,150000,150500,0.992540867985266
Neimenggu,Wuhai,150000,150300,0.9824161440305769
Neimenggu,Wulanchabu,150000,150900,0.9916531653452819
Neimenggu,Xilinguole,150000,152500,0.993646729873353
Neimenggu,Xingan,150000,152200,0.9934360606209296
Sichuan,Abazangzuqiangzu,510000,513200,0.9676417256055545
Sichuan,Bazhong,510000,511900,0.9581462695783479
Sichuan,Chengdu,510000,510100,0.6824140147513102
Sichuan,Dazhou,510000,511700,0.9540306934167647
Sichuan,Deyang,510000,510600,0.9360556792102014
Sichuan,Ganzizangzu,510000,513300,0.9805072604146421
Sichuan,Guangan,510000,511600,0.9750225976815488
Sichuan,Guangyuan,510000,510800,0.9204163443192894
Sichuan,Leshan,510000,511100,0.9270248542642474
Sichuan,Liangshanyizu,510000,513400,0.9816553748334277
Sichuan,Luzhou,510000,510500,0.9529938146488435
Sichuan,Meishan,510000,511400,0.943401751185136
Sichuan,Mianyang,510000,510700,0.8869374862152838
Sichuan,Nanchong,510000,511300,0.9475550249732194
Sichuan,Neijiang,510000,511000,0.9417722827230264
Sichuan,Panzhihua,510000,510400,0.9336922334051605
Sichuan,Suining,510000,510900,0.9689671279230809
Sichuan,Yaan,510000,511800,0.9190422206216673
Sichuan,Yibin,510000,511500,0.9205667793717687
Sichuan,Zigong,510000,510300,0.9544283499554784
Sichuan,Ziyang,510000,512000,0.9422110217895909
Heilongjiang,Daqing,230000,230600,0.9828058096674223
Heilongjiang,Daxinganling,230000,232700,0.9814146160100173
Heilongjiang,Haerbin,230000,230100,0.945463497472735
Heilongjiang,Hegang,230000,230400,0.9687790492198327
Heilongjiang,Heihe,230000,231100,0.9714327447531719
Heilongjiang,Jiamusi,230000,230800,0.9760821580767702
Heilongjiang,Jixi,230000,230300,0.9950816998938075
Heilongjiang,Mudanjiang,230000,231000,0.9614799831116697
Heilongjiang,Qiqihaer,230000,230200,0.9912567512914963
Heilongjiang,Qitaihe,230000,230900,0.9915108459073151
Heilongjiang,Shuangyashan,230000,230500,0.9868589615981394
Heilongjiang,Suihua,230000,231200,0.9943140221792678
Heilongjiang,Yichun,230000,230700,0.9952652268235154
Xinjiang,Akesu,650000,652900,0.967846656332826
Xinjiang,Aletai,650000,654300,0.9632878452242237
Xinjiang,Bayinguolengmenggu,650000,652800,0.9313170833153132
Xinjiang,Boertalamenggu,650000,652700,0.9966935106750172
Xinjiang,Changjihuizu,650000,652300,0.9689574222888895
Xinjiang,Hami,650000,650500,0.9108917945042581
Xinjiang,Hetian,650000,653200,0.9907159765448725
Xinjiang,Kashi,650000,653100,0.9809573854693365
Xinjiang,Kelamayi,650000,650200,0.8965147753977035
Xinjiang,Kezilesukeerkezi,650000,653000,0.9661820045039878
Xinjiang,NULL,650000,0,0.9516671509378248
Xinjiang,Tacheng,650000,654200,0.9942579183929535
Xinjiang,Tulufan,650000,650400,0.9745161507605553
Xinjiang,Wulumuqi,650000,650100,0.87632212422002
Xinjiang,Yilihasake,650000,654000,0.9083134881953193
Gansu,Baiyin,620000,620400,0.9744904652795213
Gansu,Dingxi,620000,621100,0.977829595860917
Gansu,Gannanzangzu,620000,623000,0.985162549437968
Gansu,Jiayuguan,620000,620200,0.9445652419131371
Gansu,Jinchang,620000,620300,0.9719889323607482
Gansu,Jiuquan,620000,620900,0.9361599414935275
Gansu,Lanzhou,620000,620100,0.7382111317229654
Gansu,Linxiahuizu,620000,622900,0.9780178429226509
Gansu,Longnan,620000,621200,0.994204741822793
Gansu,Pingliang,620000,620800,0.9415535523794415
Gansu,Qingyang,620000,621000,0.9580286951726079
Gansu,Tianshui,620000,620500,0.9735737492038417
Gansu,Wuwei,620000,620600,0.9776898421815373
Gansu,Zhangye,620000,620700,0.9053451487401193
Hebei,Baoding,130000,130600,0.9278659850828009
Hebei,Cangzhou,130000,130900,0.9605022537551342
Hebei,Chengde,130000,130800,0.9769048744091431
Hebei,Handan,130000,130400,0.9577240960107047
Hebei,Hengshui,130000,131100,0.9667742429301049
Hebei,Langfang,130000,131000,0.9082049817339507
Hebei,Qinhuangdao,130000,130300,0.9398668535634537
Hebei,Shijiazhuang,130000,130100,0.8506288812933729
Hebei,Tangshan,130000,130200,0.8905039392522035
Hebei,Xingtai,130000,130500,0.9438095465480317
Hebei,Zhangjiakou,130000,130700,0.920758303575007
Xizang,Ali,540000,542500,0.9583351502914754
Xizang,Changdu,540000,540300,0.9962745164749602
Xizang,Lasa,540000,540100,0.9229936086947717
