name,gb,Average_Accessibility
梅州市,156441400,8.311871680111174
鄂州市,156420700,8.535139752835342
吕梁市,156141100,3.221961952719906
舟山市,156330900,10.259126313747341
朝阳市,156211300,1.212729836935724
广安市,156511600,2.6442492224949055
濮阳市,156410900,6.382688642129058
宣城市,156341800,13.094145230508609
六盘水市,156520200,4.015790381929079
深圳市,156440300,18.72357045228833
三明市,156350400,5.859101740513394
景德镇市,156360200,4.981984565176258
楚雄彝族自治州,156532300,6.429860581961495
大连市,156210200,5.304525528264573
攀枝花市,156510400,3.11691778444968
贺州市,156451100,10.786958611625524
西安市,156610100,10.66399363726706
境界线,,0.0
淮北市,156340600,5.6610032570015125
邵阳市,156430500,1.9371592566571614
石家庄市,156130100,4.796975696839143
汕尾市,156441500,5.722060360062597
荆门市,156420800,6.846284667546711
衢州市,156330800,12.275033352000007
迪庆藏族自治州,156533400,6.843795992047028
宜宾市,156511500,4.442492177758694
葫芦岛市,156211400,1.5249588478814557
济南市,156370100,6.283063595948167
贵阳市,156520100,9.306820655021102
珠海市,156440400,27.15872322127731
长春市,156220100,2.5761911302158675
延边朝鲜族自治州,156222400,2.0379631510015996
萍乡市,156360300,4.940335056027809
庆阳市,156621000,3.366454277291931
泉州市,156350500,6.8764854204579615
自贡市,156510300,3.3180479876577094
临沂市,156371300,8.356249036405266
百色市,156451000,8.110247012963725
鞍山市,156210300,1.8936132780307906
铜陵市,156340700,8.406951086915694
唐山市,156130200,5.342168165449746
岳阳市,156430600,3.0581857026740997
河源市,156441600,10.678086435533286
孝感市,156420900,4.523316953616922
金华市,156330700,9.90522660548821
兴安盟,156152200,1.278582630099554
盘锦市,156211100,2.8919359613045015
雅安市,156511800,7.124970266873355
亳州市,156341600,5.087173175146596
商洛市,156611000,2.380083385227526
盐城市,156320900,8.329356516129987
汕头市,156440500,3.4065818652736697
安顺市,156520400,5.704624688474322
黔南布依族苗族自治州,156522700,6.570036387987077
厦门市,156350200,7.806462634304
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,5.025093747292694
红河哈尼族彝族自治州,156532500,4.77133291453243
甘南藏族自治州,156623000,2.8797989785507863
太原市,156140100,8.227912213489834
常德市,156430700,2.4370747881381196
牡丹江市,156231000,1.282403875519949
淮南市,156340400,4.10374978027333
德阳市,156510600,4.579474299080626
威海市,156371000,5.837951964702531
秦皇岛市,156130300,5.080581251891394
绍兴市,156330600,8.882954956112025
阳江市,156441700,8.00720069188853
铁岭市,156211200,1.0737180027584667
达州市,156511700,2.0525306873003624
池州市,156341700,12.247026866784958
淮安市,156320800,8.80009884131201
遵义市,156520300,7.958325002271131
黔东南苗族侗族自治州,156522600,7.816204149877162
莆田市,156350300,5.320107214800474
南昌市,156360100,8.195511432612369
佛山市,156440600,17.01120351801062
大同市,156140200,3.087736015663245
昆明市,156530100,11.292031200525447
张家界市,156430800,3.527887213133508
泸州市,156510500,2.7270947521388154
沈阳市,156210100,4.526042527785721
邯郸市,156130400,3.064960020775215
马鞍山市,156340500,5.958228284257284
日照市,156371100,8.457921002087769
三亚市,156460200,26.348787152130367
十堰市,156420300,12.011216694888645
呼和浩特市,156150100,4.624175174006311
德宏傣族景颇族自治州,156533100,6.283717082906659
梧州市,156450400,7.113991468235662
枣庄市,156370400,5.720315193225223
安阳市,156410500,4.3811064748342865
怀化市,156431200,2.3296471644379255
阳泉市,156140300,4.270314388658452
保亭黎族苗族自治县,156469029,29.02420237514072
中农发山丹马场,156629700,0.0
鹰潭市,156360600,6.308051588912112
陵水黎族自治县,156469028,26.299826279780305
博尔塔拉蒙古自治州,156652700,5.013891858731981
乐东黎族自治县,156469027,9.005512011871193
辽源市,156220400,1.3363021065147083
齐齐哈尔市,156230200,0.4046509495793834
龙岩市,156350800,10.829773303482938
天门市,156429006,3.8183993102480693
潜江市,156429005,6.549907261305928
邢台市,156130500,4.544041289535397
仙桃市,156429004,5.335263178337889
绥化市,156231200,0.42849971503149187
丹东市,156210600,1.6215925469770662
滨州市,156371600,5.975468038877549
镇江市,156321100,9.892687614665979
昌江黎族自治县,156469026,14.359767938764454
周口市,156411600,3.9806917303970994
白沙黎族自治县,156469025,29.336184574081276
临高县,156469024,5.936801862732808
吐鲁番市,156650400,8.462898284677339
澄迈县,156469023,18.764344891979786
长沙市,156430100,13.524174618998703
屯昌县,156469022,15.918573320001618
定安县,156469021,10.575003461930834
海口市,156460100,19.168107910187267
乐山市,156511100,3.972541368630418
凉山彝族自治州,156513400,2.410095918647073
桂林市,156450300,8.748351672895783
东营市,156370500,15.451327625455447
鹤壁市,156410600,3.5345306541314447
娄底市,156431300,2.6767885652401255
包头市,156150200,5.282830677103078
锡林郭勒盟,156152500,1.9045711481679433
琼中黎族苗族自治县,156469030,21.433013515019283
长治市,156140400,5.474452165551576
赣州市,156360700,6.860310641916741
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,1.7449377350242468
巴音郭楞蒙古自治州,156652800,6.40796309307586
