name,gb,Average_Accessibility
梅州市,156441400,0.028401876755575737
鄂州市,156420700,0.06240792110048492
吕梁市,156141100,0.008423763110253663
舟山市,156330900,0.09683462010032014
朝阳市,156211300,0.0031153522805149763
广安市,156511600,0.01594416286325651
濮阳市,156410900,0.06933716728461137
宣城市,156341800,0.10133847944978756
六盘水市,156520200,0.015605009284604439
深圳市,156440300,1.4043189376486325
三明市,156350400,0.008031841795122889
景德镇市,156360200,0.023554428065336662
楚雄彝族自治州,156532300,0.006312688683416974
大连市,156210200,0.03330164466797687
攀枝花市,156510400,0.009776237116935359
贺州市,156451100,0.019860659289590032
西安市,156610100,0.10666256141860114
境界线,,0.0
淮北市,156340600,0.10808241349937273
邵阳市,156430500,0.008299291935430917
石家庄市,156130100,0.05213597001392145
汕尾市,156441500,0.04821330270949443
荆门市,156420800,0.01782175536324357
衢州市,156330800,0.034198010037083316
迪庆藏族自治州,156533400,0.002609205483204097
宜宾市,156511500,0.020276195771894892
葫芦岛市,156211400,0.006473870125206994
济南市,156370100,0.06419116834596947
贵阳市,156520100,0.06852279583779748
珠海市,156440400,0.3491294547303082
长春市,156220100,0.012343727766381873
延边朝鲜族自治州,156222400,0.002403167052615136
萍乡市,156360300,0.03748499361195959
庆阳市,156621000,0.003639831949246322
泉州市,156350500,0.0713623398325036
自贡市,156510300,0.022867869313517454
临沂市,156371300,0.06095239935144091
百色市,156451000,0.00788885383448141
鞍山市,156210300,0.008493665129754599
铜陵市,156340700,0.09016997844488336
唐山市,156130200,0.04362346164593255
岳阳市,156430600,0.015177517233279337
河源市,156441600,0.024829457396923604
孝感市,156420900,0.03661597032559115
金华市,156330700,0.06738218310521053
兴安盟,156152200,0.0016932184406437724
盘锦市,156211100,0.014732629257017033
雅安市,156511800,0.010665865445943553
亳州市,156341600,0.036897570602292935
商洛市,156611000,0.004127868236160292
盐城市,156320900,0.048443016529528475
汕头市,156440500,0.14306503687149438
安顺市,156520400,0.0203354235556867
黔南布依族苗族自治州,156522700,0.00973168172155205
厦门市,156350200,0.3592696959713855
太子山天然林保护区,156629900,0.0005392733563266492
阿克苏地区,156652900,0.0038725117630629084
红河哈尼族彝族自治州,156532500,0.009598673779674003
甘南藏族自治州,156623000,0.0011247985220463478
太原市,156140100,0.0625385530672689
常德市,156430700,0.010556922318186833
牡丹江市,156231000,0.001574579842247213
淮南市,156340400,0.034263977665725434
德阳市,156510600,0.03742759951754144
威海市,156371000,0.05564014490980645
秦皇岛市,156130300,0.02632727989783654
绍兴市,156330600,0.09248980795472017
阳江市,156441700,0.030639381841526824
铁岭市,156211200,0.0043385862310963905
达州市,156511700,0.007584069507037637
池州市,156341700,0.04605529611056487
淮安市,156320800,0.04934934081486577
遵义市,156520300,0.016353418660187833
黔东南苗族侗族自治州,156522600,0.009106909635124288
莆田市,156350300,0.04233558808988511
南昌市,156360100,0.08823768802776148
佛山市,156440600,0.4020486054597078
大同市,156140200,0.011692290360154478
昆明市,156530100,0.039557336159529374
张家界市,156430800,0.009541211370583917
泸州市,156510500,0.014915292944125908
沈阳市,156210100,0.0328361949616731
邯郸市,156130400,0.03756137559408094
马鞍山市,156340500,0.09299408919123718
日照市,156371100,0.06740495490955098
三亚市,156460200,0.1395682334508892
十堰市,156420300,0.016140295396572076
呼和浩特市,156150100,0.018244837917278826
德宏傣族景颇族自治州,156533100,0.009253511432168699
梧州市,156450400,0.020301615776935858
枣庄市,156370400,0.06071690797310702
安阳市,156410500,0.04683906982883222
怀化市,156431200,0.00656554605359229
阳泉市,156140300,0.0166988727973553
保亭黎族苗族自治县,156469029,0.03732615486842172
中农发山丹马场,156629700,0.00048442016585601425
鹰潭市,156360600,0.027644248556960686
陵水黎族自治县,156469028,0.09963938753369829
博尔塔拉蒙古自治州,156652700,0.002970083670038615
乐东黎族自治县,156469027,0.01770327244428529
辽源市,156220400,0.003589890701090351
齐齐哈尔市,156230200,0.0013463469766374495
龙岩市,156350800,0.016858630559339782
天门市,156429006,0.02239427227915818
