name,gb,Average_Accessibility
梅州市,156441400,48.58053488686496
鄂州市,156420700,47.64849585909174
吕梁市,156141100,20.670090415410854
舟山市,156330900,102.95822023411537
朝阳市,156211300,7.97466340050107
广安市,156511600,11.459604384984479
濮阳市,156410900,29.148020441090317
宣城市,156341800,96.79029011432785
六盘水市,156520200,15.951248921736571
深圳市,156440300,86.31638262705727
三明市,156350400,32.2108996290401
景德镇市,156360200,25.57915147813586
楚雄彝族自治州,156532300,44.20012022732724
大连市,156210200,43.050816654511664
攀枝花市,156510400,21.402488420960736
贺州市,156451100,46.44988158992502
西安市,156610100,47.153349484888714
境界线,,0.0
淮北市,156340600,34.92427359245698
邵阳市,156430500,10.10968765733066
石家庄市,156130100,24.919386891773662
汕尾市,156441500,29.22200272597218
荆门市,156420800,59.66372824465036
衢州市,156330800,80.53740002533368
迪庆藏族自治州,156533400,42.036388914539316
宜宾市,156511500,20.373944674289888
葫芦岛市,156211400,12.870489702376487
济南市,156370100,34.58008422403026
贵阳市,156520100,34.62053892258338
珠海市,156440400,113.85687855452929
长春市,156220100,18.736136015252857
延边朝鲜族自治州,156222400,23.075715958112834
萍乡市,156360300,28.300499418645177
庆阳市,156621000,15.857025770453847
泉州市,156350500,36.862722022020584
自贡市,156510300,20.765274086759728
临沂市,156371300,38.419100917575086
百色市,156451000,38.45310149054465
鞍山市,156210300,18.970305570140095
铜陵市,156340700,71.77298888520588
唐山市,156130200,37.83945778236156
岳阳市,156430600,21.430198727045
河源市,156441600,63.36774065568473
孝感市,156420900,33.92388663276971
金华市,156330700,53.700344205174815
兴安盟,156152200,10.248841874377373
盘锦市,156211100,27.93275513806898
雅安市,156511800,42.614466700772226
亳州市,156341600,20.997544788086227
商洛市,156611000,15.351331257398405
盐城市,156320900,59.70599982037412
汕头市,156440500,17.07993056525642
安顺市,156520400,21.41387822664029
黔南布依族苗族自治州,156522700,24.30438947460474
厦门市,156350200,46.47374880115125
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,19.205684040146995
红河哈尼族彝族自治州,156532500,25.004494572419926
甘南藏族自治州,156623000,10.832340383366022
太原市,156140100,45.51089802407584
常德市,156430700,19.483804328751575
牡丹江市,156231000,14.16534496024361
淮南市,156340400,27.30285037735515
德阳市,156510600,33.06679075762133
威海市,156371000,50.70596118953363
秦皇岛市,156130300,34.395947629386356
绍兴市,156330600,69.00836828827032
阳江市,156441700,41.72762534194754
铁岭市,156211200,11.253437103571583
达州市,156511700,10.515109714366165
池州市,156341700,85.064823205752
淮安市,156320800,54.5553275077778
遵义市,156520300,32.012281063338
黔东南苗族侗族自治州,156522600,29.11701122582536
莆田市,156350300,24.10412134266358
南昌市,156360100,32.09307496359166
佛山市,156440600,97.77160464454748
大同市,156140200,24.051704332004086
昆明市,156530100,47.478186539755214
张家界市,156430800,20.090033261590005
泸州市,156510500,14.496944363399898
沈阳市,156210100,34.97498750963831
邯郸市,156130400,14.59494490457886
马鞍山市,156340500,40.008390127696515
日照市,156371100,50.328649921912415
三亚市,156460200,115.138308897508
十堰市,156420300,72.42610624024752
呼和浩特市,156150100,27.090835698613688
德宏傣族景颇族自治州,156533100,30.441327850144585
梧州市,156450400,31.106359027734527
枣庄市,156370400,29.81209144777801
安阳市,156410500,19.443425269168454
怀化市,156431200,13.356577904091921
阳泉市,156140300,33.51444646420727
保亭黎族苗族自治县,156469029,176.82597683426403
中农发山丹马场,156629700,0.0
鹰潭市,156360600,30.93507844882735
陵水黎族自治县,156469028,117.2847251747595
博尔塔拉蒙古自治州,156652700,29.70573821467926
乐东黎族自治县,156469027,49.5162919587686
辽源市,156220400,14.01476210389296
齐齐哈尔市,156230200,4.496831053896055
龙岩市,156350800,52.49827710271107
天门市,156429006,30.037020921385682
潜江市,156429005,47.61191439746566
邢台市,156130500,23.81873144679793
仙桃市,156429004,32.03964394495808
绥化市,156231200,5.985104434235567
丹东市,156210600,18.31805360347076
滨州市,156371600,36.71840171705208
镇江市,156321100,82.5480766046914
昌江黎族自治县,156469026,76.91511213074091
周口市,156411600,16.055397689223913
白沙黎族自治县,156469025,176.8181035371695
临高县,156469024,28.922121996079913
吐鲁番市,156650400,42.26409739077111
澄迈县,156469023,93.34143572876575
长沙市,156430100,54.719168142831705
屯昌县,156469022,79.18524593169958
定安县,156469021,57.19989681404855
海口市,156460100,90.50363692052858
乐山市,156511100,28.760176416783025
凉山彝族自治州,156513400,9.489084855388008
桂林市,156450300,46.31068892789066
东营市,156370500,103.73214629841453
鹤壁市,156410600,18.631862426179726
娄底市,156431300,13.588510079766802
包头市,156150200,43.117081951371894
锡林郭勒盟,156152500,14.436133539789513
琼中黎族苗族自治县,156469030,118.51383893934694
长治市,156140400,36.53352930958792
赣州市,156360700,31.497097845234034
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,20.410470487493697
巴音郭楞蒙古自治州,156652800,32.187772903850004
上海市,156310000,131.6350774446028
鸡西市,156230300,5.305250876991512
宁德市,156350900,22.917863915075433
保定市,156130600,21.7411868579055
菏泽市,156371700,18.62253330183995
崇左市,156451400,42.43049002117523
黑河市,156231100,1.330070184765576
扬州市,156321000,76.17090423201633
驻马店市,156411700,17.216344192199504
哈密市,156650500,58.563520583714585
株洲市,156430200,26.609348505358444
锦州市,156210700,13.43964693881569
肇庆市,156441200,53.23427036412842
恩施土家族苗族自治州,156422800,28.73831117866641
宜昌市,156420500,112.23615815755899
怒江傈僳族自治州,156533300,26.556250348856523
柳州市,156450200,72.60970907081547
平凉市,156620800,14.090672511977465
眉山市,156511400,37.236818756032626
青岛市,156370200,56.46563662993504
新乡市,156410700,24.009277375103984
乌海市,156150300,15.135080685974783
黔西南布依族苗族自治州,156522300,18.594658937097485
晋城市,156140500,69.1193001353314
广州市,156440100,63.80452255454971
吉林市,156220200,11.296427495152734
九江市,156360400,36.86182146174461
漳州市,156350600,48.982786087223936
来宾市,156451300,40.62035512483099
张家口市,156130700,26.539363335741577
德州市,156371400,21.559709147236845
胡杨河市,156659010,0.0
固原市,156640400,18.79912168251268
抚顺市,156210400,16.598588603874763
安庆市,156340800,41.46276626155808
白杨市,156659012,0.0
新星市,156659011,66.83598466055928
克拉玛依市,156650200,0.0
湘潭市,156430300,24.548403414503188
昆玉市,156659009,3.3143311247563436
惠州市,156441300,78.96091588404234
可克达拉市,156659008,38.501925614358
襄阳市,156420600,41.16596636508964
南宁市,156450100,39.07749894571318
南充市,156511300,16.31985238637311
酒泉市,156620900,36.06896400689112
淄博市,156370300,50.18079449080303
图木舒克市,156659003,7.991506236089872
阿拉尔市,156659002,33.33915451993033
焦作市,156410800,30.402184139225685
石河子市,156659001,36.00547271419742
赤峰市,156150400,6.67054840610731
双河市,156659007,0.0
铁门关市,156659006,15.156681831947775
北屯市,156659005,117.27257617208642
五家渠市,156659004,104.41410753684475
韶关市,156440200,62.473895365259516
朔州市,156140600,19.755800158662424
四平市,156220300,7.136210981522209
新余市,156360500,20.269174500076428
南平市,156350700,56.47621222390377
哈尔滨市,156230100,15.60094117099532
成都市,156510100,57.501916051977254
河池市,156451200,40.97547401859557
中卫市,156640500,30.31305134477102
本溪市,156210500,21.467476856699452
承德市,156130800,17.987436403584013
