name,gb,Gini_Coefficient
梅州市,156441400,0.6221308108766065
鄂州市,156420700,0.6737459052186534
吕梁市,156141100,0.7820894409664283
舟山市,156330900,0.6368704026179941
朝阳市,156211300,0.9407339342660783
广安市,156511600,0.8290196169180039
濮阳市,156410900,0.7448281059472568
宣城市,156341800,0.5966076536663758
六盘水市,156520200,0.6603962620217677
深圳市,156440300,0.31674843186340096
三明市,156350400,0.6667639415263746
景德镇市,156360200,0.6531816928313435
楚雄彝族自治州,156532300,0.6106102236218544
大连市,156210200,0.6070454836731753
攀枝花市,156510400,0.7575993219102034
贺州市,156451100,0.6214338676685253
西安市,156610100,0.45798949612321505
境界线,,0.0
淮北市,156340600,0.6832624119823996
邵阳市,156430500,0.827574439806803
石家庄市,156130100,0.6508868516962214
汕尾市,156441500,0.5678994247876405
荆门市,156420800,0.6837181820867304
衢州市,156330800,0.689219115835539
迪庆藏族自治州,156533400,0.6355388283913483
宜宾市,156511500,0.7286030220888656
葫芦岛市,156211400,0.894892525808584
济南市,156370100,0.6437810340924909
贵阳市,156520100,0.4545617175425327
珠海市,156440400,0.2613048030285283
长春市,156220100,0.7819265504890898
延边朝鲜族自治州,156222400,0.8313168844461769
萍乡市,156360300,0.7369024374604661
庆阳市,156621000,0.7795919426967044
泉州市,156350500,0.5984752767572552
自贡市,156510300,0.7928948194205507
临沂市,156371300,0.6725869494402432
百色市,156451000,0.5626011621418341
鞍山市,156210300,0.8390708450383526
铜陵市,156340700,0.5719768220707101
唐山市,156130200,0.7688057987926801
岳阳市,156430600,0.7460379290424712
河源市,156441600,0.48350230852600784
孝感市,156420900,0.7191811105898234
金华市,156330700,0.5481199600288751
兴安盟,156152200,0.9504490176474625
盘锦市,156211100,0.8120591856773677
雅安市,156511800,0.6900631365551153
亳州市,156341600,0.7630975647846754
商洛市,156611000,0.8102214795681175
盐城市,156320900,0.688938804396106
汕头市,156440500,0.7025131073059575
安顺市,156520400,0.7088518873249283
黔南布依族苗族自治州,156522700,0.6958886947647851
厦门市,156350200,0.42803385731605814
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.7529734397096199
红河哈尼族彝族自治州,156532500,0.6480801613345479
甘南藏族自治州,156623000,0.8933556985043607
太原市,156140100,0.48212769573141645
常德市,156430700,0.8287172612425113
牡丹江市,156231000,0.8792605009763413
淮南市,156340400,0.7572128734802674
德阳市,156510600,0.7987926742651639
威海市,156371000,0.68279650012114
秦皇岛市,156130300,0.7596631499532688
绍兴市,156330600,0.6103601706477533
阳江市,156441700,0.5895127540998708
铁岭市,156211200,0.9089272434135282
达州市,156511700,0.7977588968882849
池州市,156341700,0.7007221694917438
淮安市,156320800,0.6112490440600961
遵义市,156520300,0.5853891661057256
黔东南苗族侗族自治州,156522600,0.5681920442978297
莆田市,156350300,0.6979233953913491
南昌市,156360100,0.5029674532786015
佛山市,156440600,0.36867187948576585
大同市,156140200,0.7733888048815941
昆明市,156530100,0.4290484757894437
张家界市,156430800,0.7941377200067
泸州市,156510500,0.8263195761251038
沈阳市,156210100,0.6317276240457542
邯郸市,156130400,0.839328113773893
马鞍山市,156340500,0.7059333922106833
日照市,156371100,0.6300571993999937
三亚市,156460200,0.33989653866507374
十堰市,156420300,0.47057614771252065
呼和浩特市,156150100,0.647716494401964
德宏傣族景颇族自治州,156533100,0.6532241522067059
梧州市,156450400,0.548476122105037
枣庄市,156370400,0.7162401364431827
安阳市,156410500,0.8043932009039557
怀化市,156431200,0.7887604357097348
阳泉市,156140300,0.7165555653420332
保亭黎族苗族自治县,156469029,0.46609917456414895
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.7029986131584696
陵水黎族自治县,156469028,0.36807773483855266
博尔塔拉蒙古自治州,156652700,0.8102203106266495
乐东黎族自治县,156469027,0.7031649970167632
辽源市,156220400,0.8895938453074489
齐齐哈尔市,156230200,0.9679437943485809
龙岩市,156350800,0.5606343817889432
天门市,156429006,0.8089443312949605
潜江市,156429005,0.7031059603046396
邢台市,156130500,0.816989091308089
仙桃市,156429004,0.6963457921667622
绥化市,156231200,0.9682378446230513
丹东市,156210600,0.8383956739877094
滨州市,156371600,0.8064776363991479
镇江市,156321100,0.6489681461574315
昌江黎族自治县,156469026,0.6289702725884667
周口市,156411600,0.8260927792312713
白沙黎族自治县,156469025,0.5622704710816404
临高县,156469024,0.6181994557637368
吐鲁番市,156650400,0.7540267150474164
澄迈县,156469023,0.6604830220104454
长沙市,156430100,0.4293706731891259
屯昌县,156469022,0.5264149476536515
定安县,156469021,0.7139820356126216
海口市,156460100,0.22336900553211392
乐山市,156511100,0.7102900144282717
凉山彝族自治州,156513400,0.7809273437137534
桂林市,156450300,0.6194869907474359
东营市,156370500,0.6322564264478097
鹤壁市,156410600,0.7943087390749942
娄底市,156431300,0.812652737314832
包头市,156150200,0.6766695936299238
锡林郭勒盟,156152500,0.829120074373858
琼中黎族苗族自治县,156469030,0.4889911062197074
长治市,156140400,0.7260796030669205
赣州市,156360700,0.6304988688984003
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8493794925996778
巴音郭楞蒙古自治州,156652800,0.7168626540721519
上海市,156310000,0.43269179671466895
鸡西市,156230300,0.9742801765913812
宁德市,156350900,0.6379869618228086
保定市,156130600,0.8546060658492811
菏泽市,156371700,0.7944759961520614
崇左市,156451400,0.6707718266671325
黑河市,156231100,0.999917376789146
扬州市,156321000,0.6215162761726353
驻马店市,156411700,0.8091249215999706
哈密市,156650500,0.6282925157073975
株洲市,156430200,0.7036304108145708
锦州市,156210700,0.8539065353456516
肇庆市,156441200,0.5694933737627876
恩施土家族苗族自治州,156422800,0.691660551121355
宜昌市,156420500,0.4637700078778505
怒江傈僳族自治州,156533300,0.6906800501075465
柳州市,156450200,0.4647796753017087
平凉市,156620800,0.7318522915669512
眉山市,156511400,0.7153987552965597
青岛市,156370200,0.5339454085248332
新乡市,156410700,0.718125799334193
乌海市,156150300,0.865751383610978
黔西南布依族苗族自治州,156522300,0.6666946767696473
晋城市,156140500,0.5812687491179221
广州市,156440100,0.3534611312374001
吉林市,156220200,0.8868143602278095
九江市,156360400,0.6375371468399972
漳州市,156350600,0.6151357042259136
来宾市,156451300,0.677671030053326
张家口市,156130700,0.8650402019814124
德州市,156371400,0.8163488026581005
胡杨河市,156659010,0.0
固原市,156640400,0.845239501434983
抚顺市,156210400,0.8754354655435085
安庆市,156340800,0.7295685539592409
白杨市,156659012,0.0
新星市,156659011,0.9309117168866824
克拉玛依市,156650200,0.0
湘潭市,156430300,0.7368864574056075
昆玉市,156659009,0.9952237748022493
惠州市,156441300,0.4247571701345553
可克达拉市,156659008,0.9619992723063419
襄阳市,156420600,0.6592964073387542
南宁市,156450100,0.4632763838231888
南充市,156511300,0.7134977400631088
酒泉市,156620900,0.7361977102257465
淄博市,156370300,0.6437015709260654
图木舒克市,156659003,0.9420147019287476
阿拉尔市,156659002,0.8476174013799289
焦作市,156410800,0.7616215238855979
石河子市,156659001,0.7229990466501692
赤峰市,156150400,0.9299822909735338
双河市,156659007,0.0
铁门关市,156659006,0.985808107182721
北屯市,156659005,0.9118143852379171
五家渠市,156659004,0.660203599503388
韶关市,156440200,0.5536707140918045
朔州市,156140600,0.8087486314481267
四平市,156220300,0.9698505162106588
新余市,156360500,0.6726192786781937
南平市,156350700,0.6611382497927024
哈尔滨市,156230100,0.7777967115203046
成都市,156510100,0.44987635806822124
河池市,156451200,0.5870777236040792
中卫市,156640500,0.750645821702552
本溪市,156210500,0.8109274772137015
承德市,156130800,0.9011459723597699
聊城市,156371500,0.788643532940647
衡阳市,156430400,0.8215064478447973
湘西土家族苗族自治州,156433100,0.7595245500855923
杭州市,156330100,0.3869933728890378
玉树藏族自治州,156632700,0.0
武威市,156620600,0.9548644845901372
临夏回族自治州,156622900,0.8666150922165373
黄山市,156341000,0.6630388365526025
徐州市,156320300,0.7363495735653771
济宁市,156370800,0.7154259412448933
揭阳市,156445200,0.6099530551287423
那曲市,156540600,0.9029199465299709
郑州市,156410100,0.4653804215999714
通辽市,156150500,0.912391029219948
贵港市,156450800,0.7204856269722235
安康市,156610900,0.7899381263073625
昌吉回族自治州,156652300,0.7374451026838724
晋中市,156140700,0.7085712135851789
大庆市,156230600,0.9733731329541242
普洱市,156530800,0.6359193385922748
白城市,156220800,0.9745617515261007
石嘴山市,156640200,0.6539701328226708
荆州市,156421000,0.7336873769464207
沧州市,156130900,0.8501889733798019
三门峡市,156411200,0.6879556348986604
海西蒙古族藏族自治州,156632800,0.8545600720066939
云浮市,156445300,0.5876139820915214
张掖市,156620700,0.7622951997675145
滁州市,156341100,0.6922970064470636
泰安市,156370900,0.6956314539112056
无锡市,156320200,0.5366867473772085
大兴安岭地区,156232700,0.9886331121738615
鄂尔多斯市,156150600,0.5481569555733835
阿拉善盟,156152900,0.5373144828869854
山南市,156540500,0.8922840328051781
开封市,156410200,0.7796577061137202
重庆市,156500000,0.6302276635595857
钦州市,156450700,0.6353982518604296
榆林市,156610800,0.7694875686640857
伊春市,156230700,0.9749557789865974
运城市,156140800,0.8181335869620029
丽江市,156530700,0.630608502921635
黄冈市,156421100,0.7302489997613973
吴忠市,156640300,0.7009139890001931
南阳市,156411300,0.7886780105848811
乌鲁木齐市,156650100,0.507307581605879
和田地区,156653200,0.7983631656839123
海南藏族自治州,156632500,0.8809945748534825
海东市,156630200,0.8330779962474312
武汉市,156420100,0.40925539496209096
儋州市,156460400,0.5386973086470203
甘孜藏族自治州,156513300,0.7810679782897793
内江市,156511000,0.8024378346862567
烟台市,156370600,0.6373533125082718
南京市,156320100,0.39944056188685884
白银市,156620400,0.828088832912597
郴州市,156431000,0.7570690000393107
呼伦贝尔市,156150700,0.9130556966601646
防城港市,156450600,0.44656417720692543
北京市,156110000,0.4776746787240097
洛阳市,156410300,0.6700319787685252
汉中市,156610700,0.8187140640054825
吉安市,156360800,0.7407442596579472
丽水市,156331100,0.6169239571663732
忻州市,156140900,0.7626629322244324
中山市,156442000,0.40212648415226837
鹤岗市,156230400,0.9309334829452626
白山市,156220600,0.0
咸宁市,156421200,0.6544266141635664
宿迁市,156321300,0.6825847588184428
济源市,156419001,0.7136509835547211
营口市,156210800,0.8635635273794832
商丘市,156411400,0.8273307127963712
果洛藏族自治州,156632600,0.9026377098214176
三沙市,156460300,0.45997651398840533
黄石市,156420200,0.6766772137913688
阿坝藏族羌族自治州,156513200,0.5479366715224613
潍坊市,156370700,0.7004227940877055
天水市,156620500,0.8189055779372076
永州市,156431100,0.7944413462524987
巴彦淖尔市,156150800,0.8120355374684756
北海市,156450500,0.6573717539053641
平顶山市,156410400,0.791082926531675
宜春市,156360900,0.7538792752008924
台州市,156331000,0.6494784655089028
东方市,156469007,0.5703369518654979
延安市,156610600,0.7775416305919369
万宁市,156469006,0.623615617020707
文昌市,156469005,0.69188365231644
双鸭山市,156230500,0.9992926305107295
临沧市,156530900,0.5902160213555652
松原市,156220700,0.9389146687792813
随州市,156421300,0.6077672405340879
资阳市,156512000,0.7211800181448049
银川市,156640100,0.5274698146216601
泰州市,156321200,0.6597131644389014
神农架林区,156429021,0.2183026643406759
阜新市,156210900,0.9102766458372187
琼海市,156469002,0.487159126407089
五指山市,156469001,0.2213261620546294
信阳市,156411500,0.7204119274835745
湖州市,156330500,0.5820532865607122
黄南藏族自治州,156632300,0.9741024981796953
抚州市,156361000,0.7262503339726987
清远市,156441800,0.5524440722155279
天津市,156120000,0.5065939434081084
嘉峪关市,156620200,0.7837412776541508
乌兰察布市,156150900,0.8037007801186468
阿里地区,156542500,0.8757787378307968
连云港市,156320700,0.681513793843634
克孜勒苏柯尔克孜自治州,156653000,0.7550299219326185
日喀则市,156540200,0.9265586505557589
渭南市,156610500,0.8174190442064723
铜仁市,156520600,0.7050766863704112
玉溪市,156530400,0.6162903180280607
江门市,156440700,0.48881317387791
益阳市,156430900,0.7724135442049795
广元市,156510800,0.6860197650244182
芜湖市,156340200,0.5798914685420644
塔城地区,156654200,0.9005402391273979
嘉兴市,156330400,0.4865489040308594
西宁市,156630100,0.7280713548378207
上饶市,156361100,0.7771046270017246
东莞市,156441900,0.4070410024067854
南通市,156320600,0.6125088808571528
辽阳市,156211000,0.8458594754884549
巴中市,156511900,0.8057187436945024
六安市,156341500,0.6753037375164218
金昌市,156620300,0.72660747586124
廊坊市,156131000,0.7035964467181008
拉萨市,156540100,0.719409083043739
喀什地区,156653100,0.8913195209081454
阿勒泰地区,156654300,0.8890168203048749
毕节市,156520500,0.6635062714667057
福州市,156350100,0.5041694423533928
咸阳市,156610400,0.745711812451926
文山壮族苗族自治州,156532600,0.6696267352536732
湛江市,156440800,0.6488326153470001
曲靖市,156530300,0.7087319296053641
蚌埠市,156340300,0.6573281390714814
绵阳市,156510700,0.6393079410324765
温州市,156330300,0.5084558392477883
苏州市,156320500,0.5235100347305706
阜阳市,156341200,0.7488066507732306
林芝市,156540400,0.9076504791618595
衡水市,156131100,0.8185649348297591
许昌市,156411000,0.7215818339734013
佳木斯市,156230800,0.9589229422686526
宝鸡市,156610300,0.7317035679732271
昭通市,156530600,0.6807573320437739
大理白族自治州,156532900,0.6412669559554112
定西市,156621100,0.7899247681247091
茂名市,156440900,0.5874397811567588
伊犁哈萨克自治州,156654000,0.8545926824176439
宁波市,156330200,0.5320686713324934
兰州市,156620100,0.5679130264929831
临汾市,156141000,0.752503220710008
常州市,156320400,0.5425222266667108
宿州市,156341300,0.8067549279311627
潮州市,156445100,0.5822242556104187
昌都市,156540300,0.8625236764655864
玉林市,156450900,0.6986917845095947
海北藏族自治州,156632200,0.752501005715422
漯河市,156411100,0.697607837771509
七台河市,156230900,0.0
西双版纳傣族自治州,156532800,0.6313525986460125
陇南市,156621200,0.8540093535365766
保山市,156530500,0.6260551831533399
遂宁市,156510900,0.7490939451696422
合肥市,156340100,0.4473014234339362
铜川市,156610200,0.7123076948731485
