name,gb,Average_Accessibility
梅州市,156441400,0.05208423606898345
鄂州市,156420700,0.0715736040609137
吕梁市,156141100,0.018729641693811076
舟山市,156330900,0.13034188034188035
朝阳市,156211300,0.0025794904190355864
广安市,156511600,0.013185985181464271
濮阳市,156410900,0.06443638760711931
宣城市,156341800,0.04772727272727273
六盘水市,156520200,0.022652937613567535
深圳市,156440300,1.9909543193125283
三明市,156350400,0.021952454755567938
景德镇市,156360200,0.03285024154589372
楚雄彝族自治州,156532300,0.02554945054945055
大连市,156210200,0.038294438927507446
攀枝花市,156510400,0.019316493313521546
贺州市,156451100,0.04979690085752971
西安市,156610100,0.2066326686314174
境界线,,0.0
淮北市,156340600,0.054531490015360985
邵阳市,156430500,0.011852428913249124
石家庄市,156130100,0.050187220678825945
汕尾市,156441500,0.07676767676767676
荆门市,156420800,0.022661815976959224
衢州市,156330800,0.05965017192405442
迪庆藏族自治州,156533400,0.02485143165856294
宜宾市,156511500,0.020133750711439954
葫芦岛市,156211400,0.006098124364778712
济南市,156370100,0.06702373436250511
贵阳市,156520100,0.08831736018439888
珠海市,156440400,0.5459807073954984
长春市,156220100,0.012948675965031135
延边朝鲜族自治州,156222400,0.010651896037494673
萍乡市,156360300,0.0416210295728368
庆阳市,156621000,0.009613572101790764
泉州市,156350500,0.1063902494589361
自贡市,156510300,0.0209122344804874
临沂市,156371300,0.05809165375249059
百色市,156451000,0.02235
鞍山市,156210300,0.011569731081926203
铜陵市,156340700,0.06300114547537228
唐山市,156130200,0.04105929496486439
岳阳市,156430600,0.01892807332137876
河源市,156441600,0.06337238920020377
孝感市,156420900,0.030207108618974406
金华市,156330700,0.1106189461434717
兴安盟,156152200,0.002533783783783784
盘锦市,156211100,0.020959735245449532
雅安市,156511800,0.061793214862681745
亳州市,156341600,0.031049250535331904
商洛市,156611000,0.011716621253405994
盐城市,156320900,0.043834223239257564
汕头市,156440500,0.14163457424047926
安顺市,156520400,0.021888127349104575
黔南布依族苗族自治州,156522700,0.01538781451445207
厦门市,156350200,0.4398563734290844
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.009380505690205229
红河哈尼族彝族自治州,156532500,0.020668450720264193
甘南藏族自治州,156623000,0.014130434782608696
太原市,156140100,0.16490129995185362
常德市,156430700,0.011514288029302756
牡丹江市,156231000,0.007318348144276007
淮南市,156340400,0.03237360517977683
德阳市,156510600,0.035300843218522227
威海市,156371000,0.038862003226279515
秦皇岛市,156130300,0.031081888822474597
绍兴市,156330600,0.10252717035485139
阳江市,156441700,0.05292029686995805
铁岭市,156211200,0.0038394124029713715
达州市,156511700,0.010733333333333333
池州市,156341700,0.04191895668374476
淮安市,156320800,0.05277480003298425
遵义市,156520300,0.030073903199624077
黔东南苗族侗族自治州,156522600,0.022482546444207788
莆田市,156350300,0.0693939393939394
南昌市,156360100,0.09646789960309454
佛山市,156440600,0.5491576029004052
大同市,156140200,0.022038906673233195
昆明市,156530100,0.0894006579888428
张家界市,156430800,0.013620312762737515
泸州市,156510500,0.01803898600923392
沈阳市,156210100,0.044992039869869174
邯郸市,156130400,0.031728303848283644
马鞍山市,156340500,0.03985296962662024
日照市,156371100,0.05818022747156605
三亚市,156460200,0.23602080624187255
十堰市,156420300,0.05566343042071197
呼和浩特市,156150100,0.030702836004932184
德宏傣族景颇族自治州,156533100,0.0227111426543648
梧州市,156450400,0.03954050785973398
枣庄市,156370400,0.05563391317975239
安阳市,156410500,0.03907427341227126
怀化市,156431200,0.012071869736103313
阳泉市,156140300,0.03529411764705882
保亭黎族苗族自治县,156469029,0.09137056805760728
