name,gb,Average_Accessibility
梅州市,156441400,0.00026845637583892615
鄂州市,156420700,0.006119326874043855
吕梁市,156141100,0.0007480830372171312
舟山市,156330900,0.011095700416088766
朝阳市,156211300,0.0001010969013799727
广安市,156511600,0.0010070493454179255
濮阳市,156410900,0.0006680026720106881
宣城市,156341800,0.0009539254030334828
六盘水市,156520200,0.0
深圳市,156440300,0.3207893529141808
三明市,156350400,0.006500761808024378
景德镇市,156360200,0.00025220680958385876
楚雄彝族自治州,156532300,0.00018130722509291996
大连市,156210200,0.01406841728739319
攀枝花市,156510400,0.00145985401459854
贺州市,156451100,0.0
西安市,156610100,0.028935185185185185
境界线,,0.0
淮北市,156340600,0.0010298660560199332
邵阳市,156430500,5.6179771932323325e-05
石家庄市,156130100,0.007243707796193984
汕尾市,156441500,0.0
荆门市,156420800,0.0002226510316164465
衢州市,156330800,0.00470242468772961
迪庆藏族自治州,156533400,0.0016939582156973462
宜宾市,156511500,0.00014285714285714287
葫芦岛市,156211400,0.0
济南市,156370100,0.006508078423893287
贵阳市,156520100,0.0073228248727814325
珠海市,156440400,0.026991441737985518
长春市,156220100,0.00016267568974492452
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.0016625103906899418
庆阳市,156621000,0.00019347973299796846
泉州市,156350500,0.007558139534883721
自贡市,156510300,0.0013121207151057896
临沂市,156371300,0.006874693094058301
百色市,156451000,0.00010456422857740367
鞍山市,156210300,0.0004020504573323952
铜陵市,156340700,0.002832058906825262
唐山市,156130200,0.010523854069223574
岳阳市,156430600,0.0006652474720596061
河源市,156441600,0.0001074229240519927
孝感市,156420900,0.0013535462912831618
金华市,156330700,0.007906976744186046
兴安盟,156152200,0.00023142791020597085
盘锦市,156211100,0.0005254860746190226
雅安市,156511800,0.0004006410734011577
亳州市,156341600,0.000744355305599206
商洛市,156611000,0.0005514959327174962
盐城市,156320900,0.005843239975821076
汕头市,156440500,0.003068829460762823
安顺市,156520400,0.0009203865623561896
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.049969530773918344
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.00017769353787833915
甘南藏族自治州,156623000,0.0
太原市,156140100,0.03042743298720116
常德市,156430700,0.00020861583394179617
牡丹江市,156231000,0.00034494653328734045
淮南市,156340400,0.000691085003455425
德阳市,156510600,0.0028461647929415115
威海市,156371000,0.002951925780151813
秦皇岛市,156130300,0.007103299279400104
绍兴市,156330600,0.006031053509559861
阳江市,156441700,0.0013214403700033035
铁岭市,156211200,0.0004702931493964571
达州市,156511700,0.0
池州市,156341700,0.0016778523489932886
淮安市,156320800,0.0045916693998032145
遵义市,156520300,0.000437636761487965
黔东南苗族侗族自治州,156522600,0.0003699593044765076
莆田市,156350300,0.006193868070610096
南昌市,156360100,0.006716610694910876
佛山市,156440600,0.01563503962304562
大同市,156140200,0.0004856136943061794
昆明市,156530100,0.005235221960982661
张家界市,156430800,0.0
泸州市,156510500,0.0003896356906292616
沈阳市,156210100,0.0023209549071618036
邯郸市,156130400,0.0047840442018731895
马鞍山市,156340500,0.002505299672383889
日照市,156371100,0.008914218909834867
三亚市,156460200,0.02228224172856178
十堰市,156420300,0.000277289952860708
呼和浩特市,156150100,0.0022608281770585435
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0002545824847250509
枣庄市,156370400,0.005054493760859264
安阳市,156410500,0.0010976948408342481
怀化市,156431200,0.0001414027149321267
阳泉市,156140300,0.0013971358714634998
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0008915304606240713
陵水黎族自治县,156469028,0.0064516129032258064
博尔塔拉蒙古自治州,156652700,0.0005341880341880342
乐东黎族自治县,156469027,0.0015965939329430547
辽源市,156220400,0.00015073861923424781
齐齐哈尔市,156230200,3.789457728599037e-05
龙岩市,156350800,0.003883914122343295
天门市,156429006,0.001113275814082939
潜江市,156429005,0.0
邢台市,156130500,0.003475703495755631
仙桃市,156429004,0.002228589621139764
绥化市,156231200,0.0
丹东市,156210600,8.863677709708293e-05
滨州市,156371600,0.001865305321028863
镇江市,156321100,0.011197570696526856
昌江黎族自治县,156469026,0.001037344398340249
周口市,156411600,0.00024058703235895585
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00027480073668334997
澄迈县,156469023,0.0030425963488843813
长沙市,156430100,0.013689202757631467
屯昌县,156469022,0.0
定安县,156469021,0.0015267174662524506
海口市,156460100,0.038063565273242624
乐山市,156511100,0.0011915077989601386
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.0008614854470494123
东营市,156370500,0.0030182684670373313
鹤壁市,156410600,0.002872531418312388
娄底市,156431300,0.00010951702989814916
包头市,156150200,0.0001320829480914014
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.0007444432627884718
赣州市,156360700,0.00046061722708429296
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
