name,gb,Average_Accessibility
梅州市,156441400,35.913654781875124
鄂州市,156420700,19.483233519498917
吕梁市,156141100,14.073205352201803
舟山市,156330900,54.40522283874798
朝阳市,156211300,1.4568959176319043
广安市,156511600,5.258176504885562
濮阳市,156410900,26.22483007578571
宣城市,156341800,18.77538212474351
六盘水市,156520200,7.682910973276296
深圳市,156440300,124.16170869840053
三明市,156350400,22.942399778685786
景德镇市,156360200,14.26141709317592
楚雄彝族自治州,156532300,7.664386690752635
大连市,156210200,22.74258480142585
攀枝花市,156510400,7.253573628831298
贺州市,156451100,24.337866751557026
西安市,156610100,61.747828626018816
境界线,,0.0
淮北市,156340600,10.109159332248755
邵阳市,156430500,10.477048477125136
石家庄市,156130100,22.724733871819446
汕尾市,156441500,22.51680641887314
荆门市,156420800,11.891644306033088
衢州市,156330800,30.703004794036378
迪庆藏族自治州,156533400,18.278980553194295
宜宾市,156511500,10.871482183432478
葫芦岛市,156211400,5.463237007772324
济南市,156370100,25.369877572310045
贵阳市,156520100,21.384865129058486
珠海市,156440400,94.20101460291951
长春市,156220100,8.427396667199874
延边朝鲜族自治州,156222400,9.831874850396835
萍乡市,156360300,11.819390530078
庆阳市,156621000,10.365728242933017
泉州市,156350500,33.93926238225417
自贡市,156510300,5.362093487712483
临沂市,156371300,20.227694767150393
百色市,156451000,13.701419630089994
鞍山市,156210300,3.294059647058637
铜陵市,156340700,13.796380602294406
唐山市,156130200,21.16135236901619
岳阳市,156430600,10.22593676963912
河源市,156441600,46.97229105088506
孝感市,156420900,8.28661094295121
金华市,156330700,27.01266160671315
兴安盟,156152200,1.5035747392838135
盘锦市,156211100,6.557145337265146
雅安市,156511800,17.328860146404253
亳州市,156341600,8.849694822699465
商洛市,156611000,8.673344539860128
盐城市,156320900,25.832132072332552
汕头市,156440500,16.15156200235664
安顺市,156520400,14.525022285961692
黔南布依族苗族自治州,156522700,13.544682065577845
厦门市,156350200,63.288941846295934
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,1.1988682543913896
红河哈尼族彝族自治州,156532500,9.952295369072072
甘南藏族自治州,156623000,8.062865500163644
太原市,156140100,54.50467833537719
常德市,156430700,8.542887186205391
牡丹江市,156231000,2.021281173957675
淮南市,156340400,7.3781917849920005
德阳市,156510600,9.839538325047902
威海市,156371000,13.41928830826671
秦皇岛市,156130300,23.619462308186904
绍兴市,156330600,19.516311533095216
阳江市,156441700,25.536387118355226
铁岭市,156211200,2.9912804067019225
达州市,156511700,4.2038650026140925
池州市,156341700,10.839015502485816
淮安市,156320800,20.18443089059188
遵义市,156520300,13.080773784743226
黔东南苗族侗族自治州,156522600,12.50502530259162
莆田市,156350300,16.378919906740308
南昌市,156360100,38.514958614945066
佛山市,156440600,68.86213074403261
大同市,156140200,13.396542597242549
昆明市,156530100,36.49463902826935
张家界市,156430800,21.103512655567133
泸州市,156510500,6.778956700119826
沈阳市,156210100,7.978281172696279
邯郸市,156130400,11.926454948410704
马鞍山市,156340500,9.811900994603363
日照市,156371100,28.818136181179824
三亚市,156460200,125.45230725102027
十堰市,156420300,16.469549222159866
呼和浩特市,156150100,15.956025683002954
德宏傣族景颇族自治州,156533100,12.207776317491613
梧州市,156450400,26.235419221239443
枣庄市,156370400,16.01317656684441
安阳市,156410500,10.53439224232672
怀化市,156431200,9.072617502201478
阳泉市,156140300,18.050205797474113
保亭黎族苗族自治县,156469029,156.28544415807704
中农发山丹马场,156629700,79.05137677319907
鹰潭市,156360600,11.926748060969627
陵水黎族自治县,156469028,100.65944977624537
博尔塔拉蒙古自治州,156652700,5.457706772179706
乐东黎族自治县,156469027,22.629341068813495
辽源市,156220400,3.773988382935164
齐齐哈尔市,156230200,0.9006508385302778
龙岩市,156350800,18.474470698607547
天门市,156429006,3.0914003301065796
潜江市,156429005,5.136219878105368
邢台市,156130500,19.90412059365565
仙桃市,156429004,8.541290098096717
绥化市,156231200,1.0636185528785667
丹东市,156210600,2.82179424600898
滨州市,156371600,11.232157969411217
镇江市,156321100,27.656912661628102
昌江黎族自治县,156469026,28.895992459263198
周口市,156411600,5.986318066390275
白沙黎族自治县,156469025,113.63361615177075
临高县,156469024,13.524479437573516
吐鲁番市,156650400,12.323162580278305
澄迈县,156469023,48.10421249384995
长沙市,156430100,59.19288821155521
屯昌县,156469022,41.598089907452696
定安县,156469021,39.36140017905606
海口市,156460100,84.09271099546626
乐山市,156511100,9.82466665802412
凉山彝族自治州,156513400,4.311351784950946
桂林市,156450300,20.264977434446642
东营市,156370500,58.05611969276362
鹤壁市,156410600,12.447792146294143
娄底市,156431300,14.210971006004343
包头市,156150200,6.16685637867341
锡林郭勒盟,156152500,1.8736005946747212
琼中黎族苗族自治县,156469030,28.35270752456354
长治市,156140400,14.957789817809902
赣州市,156360700,32.73265602310931
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,8.445372174019985
巴音郭楞蒙古自治州,156652800,6.722802097172795
上海市,156310000,120.5647365389072
鸡西市,156230300,1.0046979269451144
宁德市,156350900,17.87441793808294
保定市,156130600,19.881721450714558
菏泽市,156371700,6.80978063817162
崇左市,156451400,9.717469669570772
黑河市,156231100,2.9732260559195414
扬州市,156321000,21.17780961741668
驻马店市,156411700,5.932380393959431
哈密市,156650500,14.418862197294056
株洲市,156430200,20.543392090558996
锦州市,156210700,2.5460192755041398
肇庆市,156441200,39.248853746158886
恩施土家族苗族自治州,156422800,10.510014454505933
宜昌市,156420500,26.233492551785158
怒江傈僳族自治州,156533300,5.190086977781507
柳州市,156450200,36.26844799228909
平凉市,156620800,6.587053732678345
眉山市,156511400,14.495168751901586
青岛市,156370200,41.50010685115569
新乡市,156410700,15.377137026876719
乌海市,156150300,5.813716808605035
黔西南布依族苗族自治州,156522300,14.764242440739991
晋城市,156140500,18.8965125556212
广州市,156440100,97.41945657574486
吉林市,156220200,2.782053924730653
九江市,156360400,14.33724480055009
漳州市,156350600,27.717346253934398
来宾市,156451300,14.188244712559042
张家口市,156130700,24.922875195890008
德州市,156371400,13.157724462130227
胡杨河市,156659010,0.0
固原市,156640400,17.000244658080618
抚顺市,156210400,1.4268693563844437
安庆市,156340800,12.8255400168411
白杨市,156659012,0.0
新星市,156659011,32.77255859700501
克拉玛依市,156650200,29.7234425123936
湘潭市,156430300,19.67582007954136
昆玉市,156659009,0.0
惠州市,156441300,64.79977496949205
可克达拉市,156659008,7.897958201226223
襄阳市,156420600,19.083928756403303
南宁市,156450100,20.556404582306595
南充市,156511300,6.781683072561506
酒泉市,156620900,17.78904038952669
淄博市,156370300,21.433041184173717
图木舒克市,156659003,0.0
阿拉尔市,156659002,4.431838244676338
焦作市,156410800,18.82622097643613
石河子市,156659001,5.589480705308194
赤峰市,156150400,0.8919238323666318
双河市,156659007,0.0
铁门关市,156659006,3.8470417468068305
北屯市,156659005,30.039050564917964
五家渠市,156659004,32.467532481633725
韶关市,156440200,33.63219619600735
朔州市,156140600,12.07105137095925
四平市,156220300,2.51687653403672
新余市,156360500,15.411882719900747
南平市,156350700,26.917726244921376
哈尔滨市,156230100,5.070207564924193
成都市,156510100,43.08872680696097
河池市,156451200,13.044507232300735
中卫市,156640500,29.337145221471786
本溪市,156210500,5.467224100178581
承德市,156130800,15.805822019323193
聊城市,156371500,12.899915636911178
衡阳市,156430400,11.02051194717924
湘西土家族苗族自治州,156433100,13.954065271722328
杭州市,156330100,90.46704000464761
玉树藏族自治州,156632700,3.1152648867232684
武威市,156620600,6.257486549417534
临夏回族自治州,156622900,4.5331209110951
黄山市,156341000,32.25965899607247
徐州市,156320300,15.299245157777836
济宁市,156370800,13.224079849220328
揭阳市,156445200,17.63189240153923
那曲市,156540600,4.545798804385175
郑州市,156410100,63.56178981015942
通辽市,156150500,0.7765824059212268
贵港市,156450800,7.071684007350467
安康市,156610900,8.653965389640561
昌吉回族自治州,156652300,5.973174227232734
晋中市,156140700,17.01714154524087
大庆市,156230600,2.976133766395755
