name,gb,Average_Accessibility
梅州市,156441400,0.00018604651162790697
鄂州市,156420700,0.0005159958412772731
吕梁市,156141100,0.00010198878123406426
舟山市,156330900,0.001410437151474408
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003367003367003367
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.05499276410998553
三明市,156350400,0.0
景德镇市,156360200,0.0008040739748056821
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0006072014087072683
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.005072181533970252
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00031055900621118014
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.000749063670411985
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,7.271669575334496e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.002059025394646534
贵阳市,156520100,0.0
珠海市,156440400,0.007868383404864092
长春市,156220100,0.00010104752601973795
延边朝鲜族自治州,156222400,0.00013173494143002966
萍乡市,156360300,0.0002834467120181406
庆阳市,156621000,0.0
泉州市,156350500,0.0007390072669047912
自贡市,156510300,0.001152073732718894
临沂市,156371300,0.001220614828209765
百色市,156451000,0.0
鞍山市,156210300,0.00010279605263157894
铜陵市,156340700,0.0
唐山市,156130200,0.0002977785718539694
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.003904343582235237
兴安盟,156152200,0.0003816793893129771
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,8.319468545834356e-05
商洛市,156611000,0.0
盐城市,156320900,0.00025266562231542777
汕头市,156440500,0.001349527665317139
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.015335463258785943
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0033617791569692267
常德市,156430700,0.00010564124234100993
牡丹江市,156231000,0.0
淮南市,156340400,0.0002785515320334262
德阳市,156510600,0.00014265333534817552
威海市,156371000,0.00042253521126760566
秦皇岛市,156130300,0.00012212993898331158
绍兴市,156330600,0.000660676532769556
阳江市,156441700,0.0003456619426201175
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00033063316250619935
遵义市,156520300,4.595799439312469e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0010596026490066225
佛山市,156440600,0.0019741171309497698
大同市,156140200,0.0002585983658626094
昆明市,156530100,0.000473260766682442
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.0007538893838667671
邯郸市,156130400,0.00027419797093501506
马鞍山市,156340500,0.00078064012490242
日照市,156371100,0.00014823599169878446
三亚市,156460200,0.006168080185042405
十堰市,156420300,0.0
呼和浩特市,156150100,0.000996512207274539
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.00047831632653061223
安阳市,156410500,0.0006718924972004479
怀化市,156431200,0.0
阳泉市,156140300,0.00037257824143070045
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0006133088009812941
陵水黎族自治县,156469028,0.002702702702702703
博尔塔拉蒙古自治州,156652700,0.0003846153846153846
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.0001556178026766262
齐齐哈尔市,156230200,4.1564487302049126e-05
龙岩市,156350800,0.0001178967224711153
天门市,156429006,0.0
潜江市,156429005,0.0
