name,gb,Gini_Coefficient
梅州市,156441400,0.9893516043768341
鄂州市,156420700,0.9872109624856918
吕梁市,156141100,0.9812752509690571
舟山市,156330900,0.9414386267151119
朝阳市,156211300,0.9918406209255698
广安市,156511600,0.9885775452952509
濮阳市,156410900,0.9875414315563142
宣城市,156341800,0.9949963409463368
六盘水市,156520200,0.0
深圳市,156440300,0.5620959648780148
三明市,156350400,0.9342031704164859
景德镇市,156360200,0.9914260609407933
楚雄彝族自治州,156532300,0.9876763133391081
大连市,156210200,0.8274143350817034
攀枝花市,156510400,0.9953970192226852
贺州市,156451100,0.0
西安市,156610100,0.8053863537987236
境界线,,0.0
淮北市,156340600,0.9992883989918265
邵阳市,156430500,0.9963243220618732
石家庄市,156130100,0.9373326399433838
汕尾市,156441500,0.0
荆门市,156420800,0.9996098636791818
衢州市,156330800,0.9563083715136365
迪庆藏族自治州,156533400,0.9766601823137049
宜宾市,156511500,0.9958051774959331
葫芦岛市,156211400,0.0
济南市,156370100,0.9455929137593805
贵阳市,156520100,0.8757032944029253
珠海市,156440400,0.8514119080211286
长春市,156220100,0.9946701372418253
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9814004873345039
庆阳市,156621000,0.9883687518876986
泉州市,156350500,0.9552685289447824
自贡市,156510300,0.9566942323632259
临沂市,156371300,0.9343405578331955
百色市,156451000,0.9831613646519467
鞍山市,156210300,0.9991696654610962
铜陵市,156340700,0.9970265345998671
唐山市,156130200,0.9025754201388746
岳阳市,156430600,0.996078721302872
河源市,156441600,0.9950721836139256
孝感市,156420900,0.9935423723592014
金华市,156330700,0.9452308605240217
兴安盟,156152200,0.9804294707516975
盘锦市,156211100,0.9939645470610302
雅安市,156511800,0.9844456429468107
亳州市,156341600,0.9912620457116379
商洛市,156611000,0.9880970935571907
盐城市,156320900,0.9354544991999958
汕头市,156440500,0.9682228368575896
安顺市,156520400,0.9854082189857918
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.7233912112323928
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.9815302658162922
甘南藏族自治州,156623000,0.0
太原市,156140100,0.7905494345635018
常德市,156430700,0.9880041343565344
牡丹江市,156231000,0.9827489160445531
淮南市,156340400,0.9949473202069151
德阳市,156510600,0.9566331542965357
威海市,156371000,0.9643006723508001
秦皇岛市,156130300,0.9517774278795416
绍兴市,156330600,0.9503533228290661
阳江市,156441700,0.9827963334907391
铁岭市,156211200,0.9986244068854391
达州市,156511700,0.0
池州市,156341700,0.9977872022443435
淮安市,156320800,0.9602228567422221
遵义市,156520300,0.9874551367726063
黔东南苗族侗族自治州,156522600,0.9772163931722126
莆田市,156350300,0.9668551638175242
南昌市,156360100,0.9100740879403258
佛山市,156440600,0.9211498418505417
大同市,156140200,0.994367573978909
昆明市,156530100,0.8715345342015832
张家界市,156430800,0.0
泸州市,156510500,0.9838785396085062
沈阳市,156210100,0.9488775524201658
邯郸市,156130400,0.9641263791447594
马鞍山市,156340500,0.9920628983390226
日照市,156371100,0.8825069528575478
三亚市,156460200,0.8820845774159657
十堰市,156420300,0.9903279725430757
呼和浩特市,156150100,0.9545298794544949
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9775644574332416
枣庄市,156370400,0.9726398761101415
安阳市,156410500,0.9931738481596656
怀化市,156431200,0.9944623861360116
阳泉市,156140300,0.9680721175998268
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9969865662976579
陵水黎族自治县,156469028,0.9758087996514458
博尔塔拉蒙古自治州,156652700,0.955394573241077
乐东黎族自治县,156469027,0.9943170186126286
辽源市,156220400,0.996427312436995
齐齐哈尔市,156230200,0.9960803000021645
龙岩市,156350800,0.9708625990376211
天门市,156429006,0.9893102728392091
潜江市,156429005,0.0
邢台市,156130500,0.9861957946052838
仙桃市,156429004,0.9559522249628629
绥化市,156231200,0.0
丹东市,156210600,0.9939954189135525
滨州市,156371600,0.990369164004462
镇江市,156321100,0.9340742501404682
昌江黎族自治县,156469026,0.9950993036700957
周口市,156411600,0.9952632125817594
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9833019383582443
澄迈县,156469023,0.9664496220516325
长沙市,156430100,0.8393939217167078
屯昌县,156469022,0.0
定安县,156469021,0.9957257834899271
海口市,156460100,0.6143471289920782
乐山市,156511100,0.971873983244832
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9749655356777015
东营市,156370500,0.9762995366873312
鹤壁市,156410600,0.9824431594974415
娄底市,156431300,0.9947899335161214
包头市,156150200,0.996430880986888
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9960148517793581
赣州市,156360700,0.9897464829823881
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9924205575414558
上海市,156310000,0.5373881931350606
鸡西市,156230300,0.9767135429390446
宁德市,156350900,0.98373888406836
保定市,156130600,0.9692735836230356
菏泽市,156371700,0.9924140625149578
崇左市,156451400,0.9943850826009016
黑河市,156231100,0.0
扬州市,156321000,0.9202804321347078
驻马店市,156411700,0.9869027902474199
哈密市,156650500,0.9684908220877587
