name,gb,Average_Accessibility
梅州市,156441400,43.98667748123068
鄂州市,156420700,26.74993186465118
吕梁市,156141100,20.267711580901064
舟山市,156330900,68.018500728047
朝阳市,156211300,1.7822029185833
广安市,156511600,5.493654834118389
濮阳市,156410900,31.198941534377386
宣城市,156341800,26.696215201492716
六盘水市,156520200,12.082022405002924
深圳市,156440300,408.63465450241637
三明市,156350400,34.0831629926849
景德镇市,156360200,20.474321819581263
楚雄彝族自治州,156532300,12.774131397455024
大连市,156210200,24.565266947067638
攀枝花市,156510400,10.964912287610032
贺州市,156451100,31.45488046891642
西安市,156610100,81.25100732216056
境界线,,0.0
淮北市,156340600,16.301195941302176
邵阳市,156430500,12.404506355732863
石家庄市,156130100,26.28696819074424
汕尾市,156441500,30.356118635399604
荆门市,156420800,16.30155787554433
衢州市,156330800,35.665998558507475
迪庆藏族自治州,156533400,34.12010234722111
宜宾市,156511500,14.442256204666291
葫芦岛市,156211400,6.049139121357085
济南市,156370100,30.63228139527996
贵阳市,156520100,34.522338124032515
珠海市,156440400,208.3758928240817
长春市,156220100,10.817620895854555
延边朝鲜族自治州,156222400,12.523587781292218
萍乡市,156360300,15.137444829189034
庆阳市,156621000,14.692766598279167
泉州市,156350500,60.10402015034157
自贡市,156510300,5.553604318488337
临沂市,156371300,24.36983163188453
百色市,156451000,18.85327153346737
鞍山市,156210300,3.5675486167209423
铜陵市,156340700,18.636112498710233
唐山市,156130200,22.901422251629054
岳阳市,156430600,14.441986553911605
河源市,156441600,66.80910175631178
孝感市,156420900,10.700166622593418
金华市,156330700,42.622809295027984
兴安盟,156152200,2.445167073017544
盘锦市,156211100,8.2875658236287
雅安市,156511800,25.040983551525194
亳州市,156341600,12.06307121273196
商洛市,156611000,11.432781583304688
盐城市,156320900,26.533623516934597
汕头市,156440500,21.63889674937757
安顺市,156520400,19.13367812470384
黔南布依族苗族自治州,156522700,18.283445746854547
厦门市,156350200,131.25978565002126
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,2.713925208108809
红河哈尼族彝族自治州,156532500,16.201553425347473
甘南藏族自治州,156623000,14.795424647409273
太原市,156140100,78.76549922586702
常德市,156430700,10.635917501939108
牡丹江市,156231000,2.5666739197739648
淮南市,156340400,9.292619598954836
德阳市,156510600,11.65001972111764
威海市,156371000,13.592700289740465
秦皇岛市,156130300,25.14379550334317
绍兴市,156330600,24.544755135730856
阳江市,156441700,37.709669541752454
铁岭市,156211200,3.5511650825307184
达州市,156511700,5.0611343148544865
池州市,156341700,14.952933146944
淮安市,156320800,23.547230636379076
遵义市,156520300,18.310546823873224
黔东南苗族侗族自治州,156522600,16.994566481399886
莆田市,156350300,20.76277011450491
南昌市,156360100,53.09889536814752
佛山市,156440600,147.26468047091444
大同市,156140200,17.999289647743993
昆明市,156530100,60.210568803656955
张家界市,156430800,26.34575042085427
泸州市,156510500,7.9986536812726685
沈阳市,156210100,8.784817867400696
邯郸市,156130400,14.066965009455101
马鞍山市,156340500,13.248888005370558
日照市,156371100,33.59551299248335
三亚市,156460200,260.4647553792682
十堰市,156420300,22.897191571214798
呼和浩特市,156150100,21.49279990972115
德宏傣族景颇族自治州,156533100,21.364604650410683
梧州市,156450400,34.92683284076993
枣庄市,156370400,21.064336505792202
安阳市,156410500,12.705221839871298
怀化市,156431200,11.479344110790008
阳泉市,156140300,25.301007743831036
保亭黎族苗族自治县,156469029,286.98389459820424
中农发山丹马场,156629700,124.22359808816672
鹰潭市,156360600,16.73877865647919
陵水黎族自治县,156469028,148.9914445641906
博尔塔拉蒙古自治州,156652700,11.911041782471715
乐东黎族自治县,156469027,37.30299355892886
辽源市,156220400,4.853760193714247
齐齐哈尔市,156230200,1.1757048315635972
龙岩市,156350800,27.004789350392024
天门市,156429006,3.271127395341593
潜江市,156429005,6.884884714817142
邢台市,156130500,22.593415528409967
仙桃市,156429004,10.337698323325055
绥化市,156231200,1.4023884639619368
丹东市,156210600,2.988806886043017
滨州市,156371600,13.380972755585104
镇江市,156321100,34.79931017495197
昌江黎族自治县,156469026,52.333758654285866
周口市,156411600,6.378088519744973
白沙黎族自治县,156469025,218.4217860418938
临高县,156469024,17.771171892052806
吐鲁番市,156650400,28.22745693094788
澄迈县,156469023,60.991973395178675
长沙市,156430100,88.9677368398394
屯昌县,156469022,55.279159186142294
定安县,156469021,46.44077872393795
海口市,156460100,147.59094928749067
乐山市,156511100,12.470366118918397
凉山彝族自治州,156513400,7.145955308681668
桂林市,156450300,24.978484953387223
东营市,156370500,74.67013189993706
鹤壁市,156410600,18.13390524411016
娄底市,156431300,18.076744871402095
包头市,156150200,8.784006970363484
锡林郭勒盟,156152500,3.1815385633586843
琼中黎族苗族自治县,156469030,51.44847151672236
长治市,156140400,20.498975234900556
赣州市,156360700,48.29744183750302
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,10.325639122755202
巴音郭楞蒙古自治州,156652800,15.821086370413001
上海市,156310000,117.5793190210237
鸡西市,156230300,1.4145151796953357
宁德市,156350900,23.92383791362004
保定市,156130600,22.8238247844652
菏泽市,156371700,8.874209894215642
崇左市,156451400,13.134582006273126
黑河市,156231100,4.2273764640621225
扬州市,156321000,24.016397408829466
驻马店市,156411700,7.4403045809641135
哈密市,156650500,30.03905054865443
株洲市,156430200,27.939439981655944
锦州市,156210700,2.5605398720932615
肇庆市,156441200,56.16601851438112
恩施土家族苗族自治州,156422800,14.122930051855485
宜昌市,156420500,32.553030183760406
怒江傈僳族自治州,156533300,9.121868132321763
柳州市,156450200,51.47383856358264
平凉市,156620800,9.640822694228044
眉山市,156511400,17.901266559471896
青岛市,156370200,52.74648885571955
新乡市,156410700,19.55461822578392
乌海市,156150300,10.904054856323164
黔西南布依族苗族自治州,156522300,20.85945540510883
晋城市,156140500,24.708551372853485
广州市,156440100,177.15415119620204
吉林市,156220200,3.427282756287721
九江市,156360400,19.60326497554671
漳州市,156350600,40.41306507658658
来宾市,156451300,19.46722769901593
张家口市,156130700,27.88628074726713
德州市,156371400,15.912808215193508
胡杨河市,156659010,0.0
固原市,156640400,25.93114934196484
抚顺市,156210400,1.5043532013398981
安庆市,156340800,17.971550050704973
白杨市,156659012,0.0
新星市,156659011,67.88865877869685
克拉玛依市,156650200,67.50608910684565
湘潭市,156430300,24.365092167531426
昆玉市,156659009,0.0
惠州市,156441300,141.7037343245
可克达拉市,156659008,15.555728520125097
襄阳市,156420600,25.29898598237396
南宁市,156450100,29.181227222294698
南充市,156511300,6.913643684022384
酒泉市,156620900,32.93465061095425
淄博市,156370300,25.799720539875388
图木舒克市,156659003,0.0
阿拉尔市,156659002,15.620117790962697
焦作市,156410800,24.16179230254367
石河子市,156659001,10.076962898286554
赤峰市,156150400,1.2252244350654171
双河市,156659007,0.0
铁门关市,156659006,9.262689660852288
北屯市,156659005,71.86489077412098
五家渠市,156659004,71.59378851861047
韶关市,156440200,49.787154925929485
朔州市,156140600,16.567084407327258
四平市,156220300,3.22624503492324
新余市,156360500,22.114215004698114
南平市,156350700,39.1224532564654
哈尔滨市,156230100,6.474510701911475
成都市,156510100,62.64031364467176
河池市,156451200,16.694232227440036
中卫市,156640500,48.34964312114341
本溪市,156210500,6.047361771417468
承德市,156130800,19.665935759281986
聊城市,156371500,15.91614983908613
衡阳市,156430400,13.525996871660476
湘西土家族苗族自治州,156433100,17.35151586516421
杭州市,156330100,128.03920741736576
玉树藏族自治州,156632700,6.308949514784003
武威市,156620600,10.349977195679738
临夏回族自治州,156622900,7.196537342959058
黄山市,156341000,40.443442959954304
徐州市,156320300,18.797277870877007
济宁市,156370800,16.88544501277523
揭阳市,156445200,20.871445452014484
那曲市,156540600,8.795074549604921
郑州市,156410100,96.03744926631398
通辽市,156150500,1.1578474275931145
贵港市,156450800,9.153858696978578
安康市,156610900,10.281938484868116
昌吉回族自治州,156652300,11.853038799372332
晋中市,156140700,23.006760027861482
大庆市,156230600,4.387796976327813
普洱市,156530800,10.623084732503488
白城市,156220800,2.591732908035498
石嘴山市,156640200,38.69937886605882
荆州市,156421000,7.981370162912505
沧州市,156130900,16.67697729906689
三门峡市,156411200,30.2674891472043
海西蒙古族藏族自治州,156632800,73.8620613135365
云浮市,156445300,58.37206260685931
张掖市,156620700,21.81814584730579
滁州市,156341100,18.598096282565965
泰安市,156370900,19.223163030433835
无锡市,156320200,50.36912067930238
大兴安岭地区,156232700,34.615896069152086
鄂尔多斯市,156150600,53.26112076810191
阿拉善盟,156152900,80.20103750688482
山南市,156540500,5.103082273716117
开封市,156410200,17.0403075373058
重庆市,156500000,28.590508461513956
钦州市,156450700,12.138966958431528
榆林市,156610800,9.13208040648685
伊春市,156230700,1.33561276864778
运城市,156140800,19.02764462114498
丽江市,156530700,29.804285227968236
黄冈市,156421100,13.826226285994238
吴忠市,156640300,40.52821702943928
南阳市,156411300,9.886290674221616
乌鲁木齐市,156650100,19.50729088535795
和田地区,156653200,4.4858640071482005
海南藏族自治州,156632500,30.96786508317506
海东市,156630200,12.581021789859108
武汉市,156420100,100.71327508134118
儋州市,156460400,60.37643420704294
甘孜藏族自治州,156513300,47.54998688979125
内江市,156511000,5.689436786423447
烟台市,156370600,24.550103366989507
南京市,156320100,103.17768679565478
白银市,156620400,9.52004833317394
郴州市,156431000,20.29081003825941
呼伦贝尔市,156150700,4.030034301118253
防城港市,156450600,27.129281771028435
北京市,156110000,131.5949222000741
洛阳市,156410300,23.88742904716681
汉中市,156610700,16.59601373924628
吉安市,156360800,14.55747867643206
丽水市,156331100,26.640973609178193
忻州市,156140900,13.850818123501174
中山市,156442000,163.35500758453796
鹤岗市,156230400,1.4845605581606949
白山市,156220600,5.133338545943185
咸宁市,156421200,19.582373417241023
宿迁市,156321300,29.855352680168888
济源市,156419001,20.83488382036734
营口市,156210800,4.96563959828671
商丘市,156411400,7.298811107047519
果洛藏族自治州,156632600,7.200978733382568
三沙市,156460300,1515.1515038627567
黄石市,156420200,17.20367236504269
阿坝藏族羌族自治州,156513200,45.33595688751008
潍坊市,156370700,25.32603467316534
天水市,156620500,6.689831808533308
永州市,156431100,11.754697404804704
巴彦淖尔市,156150800,5.494239123421488
北海市,156450500,16.823928605871743
平顶山市,156410400,13.532883295280133
宜春市,156360900,14.158710041040255
台州市,156331000,30.194422677961175
东方市,156469007,82.2512333853002
延安市,156610600,20.084997311158457
万宁市,156469006,47.750188225413375
文昌市,156469005,57.52498742395597
双鸭山市,156230500,3.303467537786955
临沧市,156530900,6.107616295314234
松原市,156220700,3.423118874633085
随州市,156421300,19.030962469313287
资阳市,156512000,9.24966104567
银川市,156640100,64.78489770121197
泰州市,156321200,21.830687025890956
神农架林区,156429021,99.8573488408648
阜新市,156210900,1.9342406460599408
琼海市,156469002,120.08148261197225
五指山市,156469001,38.29217059039833
信阳市,156411500,11.16117677582198
湖州市,156330500,45.21113599341079
黄南藏族自治州,156632300,8.412905803326113
抚州市,156361000,18.552940026146487
清远市,156441800,51.521249584000586
天津市,156120000,109.85791710813544
嘉峪关市,156620200,16.660765722632227
乌兰察布市,156150900,7.504471402981715
阿里地区,156542500,12.6855252959535
连云港市,156320700,21.66237973689066
克孜勒苏柯尔克孜自治州,156653000,7.436050243509993
