name,gb,Gini_Coefficient
梅州市,156441400,0.9856782696394535
鄂州市,156420700,0.9987585334575687
吕梁市,156141100,0.9936238222165983
舟山市,156330900,0.9806701671162544
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.9915285252951107
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.8884752376254347
三明市,156350400,0.0
景德镇市,156360200,0.9630733592340651
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.9886475289578179
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.9525902343632672
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.9934261231138228
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.9939201894524332
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.996195246296927
葫芦岛市,156211400,0.0
济南市,156370100,0.9731567128260191
贵阳市,156520100,0.0
珠海市,156440400,0.945322483596905
长春市,156220100,0.9947220069305004
延边朝鲜族自治州,156222400,0.9998837485162144
萍乡市,156360300,0.9947478508858231
庆阳市,156621000,0.0
泉州市,156350500,0.9900795984729658
自贡市,156510300,0.9292279150930771
临沂市,156371300,0.9843582399095908
百色市,156451000,0.0
鞍山市,156210300,0.9973120737665477
铜陵市,156340700,0.0
唐山市,156130200,0.9966827560238465
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.9655887186847492
兴安盟,156152200,0.9911315873340873
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.9956908844801822
商洛市,156611000,0.0
盐城市,156320900,0.9948734477129179
汕头市,156440500,0.9888825139406454
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.9239319028819167
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9483616370266743
常德市,156430700,0.9906940296298878
牡丹江市,156231000,0.0
淮南市,156340400,0.9894588796877698
德阳市,156510600,0.9976748993106168
威海市,156371000,0.9768711481278547
秦皇岛市,156130300,0.9991528747471233
绍兴市,156330600,0.992313873467454
阳江市,156441700,0.9989682988927459
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.9983582295041067
遵义市,156520300,0.9994814217921478
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.9791623259749024
佛山市,156440600,0.9856085505477244
大同市,156140200,0.986469379677413
昆明市,156530100,0.9790150167899124
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.9796686122397182
邯郸市,156130400,0.9961132501049893
马鞍山市,156340500,0.9887599509946615
日照市,156371100,0.995233645298219
三亚市,156460200,0.9926521831857105
十堰市,156420300,0.0
呼和浩特市,156150100,0.9607736205900493
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.9935177715498326
安阳市,156410500,0.9918598446989052
怀化市,156431200,0.0
阳泉市,156140300,0.9928628404849738
