name,gb,Average_Accessibility
梅州市,156441400,0.02829604739587939
鄂州市,156420700,0.02838317283324886
吕梁市,156141100,0.010138166158263054
舟山市,156330900,0.11557093425605536
朝阳市,156211300,0.0006184929388722812
广安市,156511600,0.005797832114948324
濮阳市,156410900,0.035518672199170126
宣城市,156341800,0.013784461152882205
六盘水市,156520200,0.006754267468991772
深圳市,156440300,1.776629213483146
三明市,156350400,0.015505455956463424
景德镇市,156360200,0.013079960513326752
楚雄彝族自治州,156532300,0.0048081284586773115
大连市,156210200,0.025668965339776115
攀枝花市,156510400,0.006804733727810651
贺州市,156451100,0.0159582630044499
西安市,156610100,0.20507586760995886
境界线,,0.0
淮北市,156340600,0.01360369707769437
邵阳市,156430500,0.009208309938236946
石家庄市,156130100,0.03285333978702808
汕尾市,156441500,0.02997694081475788
荆门市,156420800,0.007229634046359097
衢州市,156330800,0.029499404052443386
迪庆藏族自治州,156533400,0.008844953173777315
宜宾市,156511500,0.009384626405903002
葫芦岛市,156211400,0.0031931393121065596
济南市,156370100,0.04128955045253946
贵阳市,156520100,0.0345923518540005
珠海市,156440400,0.3229892336922103
长春市,156220100,0.006533599033027343
延边朝鲜族自治州,156222400,0.0076690973095297965
萍乡市,156360300,0.01430930209540376
庆阳市,156621000,0.005338417540514776
泉州市,156350500,0.08045325779036827
自贡市,156510300,0.006264424662050775
临沂市,156371300,0.023035109606130814
百色市,156451000,0.005524581855043081
鞍山市,156210300,0.0030223655047350393
铜陵市,156340700,0.015424164524421594
唐山市,156130200,0.022486164121170327
岳阳市,156430600,0.00966087014457992
河源市,156441600,0.03149025803054239
孝感市,156420900,0.008356545961002786
金华市,156330700,0.05262557077625571
兴安盟,156152200,0.00036600541688016985
盘锦市,156211100,0.008157894736842105
雅安市,156511800,0.029602595296025953
亳州市,156341600,0.00791817881887166
商洛市,156611000,0.006271301976823449
盐城市,156320900,0.023399201495931672
汕头市,156440500,0.07821229706007266
安顺市,156520400,0.008891389983117615
黔南布依族苗族自治州,156522700,0.005536626916524702
厦门市,156350200,0.39440809042236763
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.000388217595962537
红河哈尼族彝族自治州,156532500,0.00635629616904312
甘南藏族自治州,156623000,0.007675439119338989
太原市,156140100,0.15384615384615385
常德市,156430700,0.007014767932489452
牡丹江市,156231000,0.001660538488909975
淮南市,156340400,0.008014369541330035
德阳市,156510600,0.01426330161594559
威海市,156371000,0.01446193109315185
秦皇岛市,156130300,0.021322215604526504
绍兴市,156330600,0.03684344722080571
阳江市,156441700,0.025178687459389212
铁岭市,156211200,0.001678254615200192
达州市,156511700,0.004034969737726967
池州市,156341700,0.006811145510835914
淮安市,156320800,0.019230769230769232
遵义市,156520300,0.009063575754934855
黔东南苗族侗族自治州,156522600,0.006532755357469931
莆田市,156350300,0.035973397823458285
南昌市,156360100,0.06293081829430408
佛山市,156440600,0.32873806998939553
大同市,156140200,0.013162661514309866
昆明市,156530100,0.05194991646027081
张家界市,156430800,0.014399457902761308
泸州市,156510500,0.007430582714118107
沈阳市,156210100,0.011791353007794284
邯郸市,156130400,0.014968870049013115
马鞍山市,156340500,0.01195526417277285
日照市,156371100,0.03232884727911059
三亚市,156460200,0.1720360824742268
十堰市,156420300,0.012701023391812866
呼和浩特市,156150100,0.01580135440180587
德宏傣族景颇族自治州,156533100,0.006242197253433208
梧州市,156450400,0.019314641744548288
枣庄市,156370400,0.023109573966357492
安阳市,156410500,0.013792354474370112
怀化市,156431200,0.00744997871434653
阳泉市,156140300,0.024687065368567455
保亭黎族苗族自治县,156469029,0.07769423558897243
中农发山丹马场,156629700,0.010526315162056371
鹰潭市,156360600,0.00975465563109666
陵水黎族自治县,156469028,0.09913258983890955
博尔塔拉蒙古自治州,156652700,0.0020757654385054488
乐东黎族自治县,156469027,0.012939958592132506
辽源市,156220400,0.0016936104695919939
齐齐哈尔市,156230200,0.0005019498822348353
