name,gb,Average_Accessibility
梅州市,156441400,0.02680515999329871
鄂州市,156420700,0.02755511022044088
吕梁市,156141100,0.009763617677286743
舟山市,156330900,0.11564625850340136
朝阳市,156211300,0.0005688551789523584
广安市,156511600,0.005481499937710228
濮阳市,156410900,0.034550515801539214
宣城市,156341800,0.013556174558960075
六盘水市,156520200,0.006006727993115962
深圳市,156440300,1.746067415730337
三明市,156350400,0.014611613876319759
景德镇市,156360200,0.01275992438563327
楚雄彝族自治州,156532300,0.0044684259337324
大连市,156210200,0.024918109499298083
攀枝花市,156510400,0.007248396989127405
贺州市,156451100,0.015059797376257867
西安市,156610100,0.19833564493758668
境界线,,0.0
淮北市,156340600,0.013211382113821139
邵阳市,156430500,0.008933987757127889
石家庄市,156130100,0.031561559789982895
汕尾市,156441500,0.02949262684328918
荆门市,156420800,0.006820490494848353
衢州市,156330800,0.02766407904022583
迪庆藏族自治州,156533400,0.008525576730190571
宜宾市,156511500,0.009523809523809525
葫芦岛市,156211400,0.0031039834454216243
济南市,156370100,0.040034876117125626
贵阳市,156520100,0.032822236525823924
珠海市,156440400,0.3226010101010101
长春市,156220100,0.006179775280898876
延边朝鲜族自治州,156222400,0.006584821428571429
萍乡市,156360300,0.014243482934694974
庆阳市,156621000,0.005121293800539084
泉州市,156350500,0.07458563535911603
自贡市,156510300,0.0060467396633436836
临沂市,156371300,0.022178649237472765
百色市,156451000,0.005281007751937985
鞍山市,156210300,0.002950975725844836
铜陵市,156340700,0.01505856107083101
唐山市,156130200,0.021885144968095824
岳阳市,156430600,0.009485183489239223
河源市,156441600,0.02910499652329393
孝感市,156420900,0.008359270787016452
金华市,156330700,0.05168764620697338
兴安盟,156152200,0.00038812342324859306
盘锦市,156211100,0.0063756743501716525
雅安市,156511800,0.02945797329143755
亳州市,156341600,0.00797828590228656
商洛市,156611000,0.0058388478007006615
盐城市,156320900,0.023213043046028434
汕头市,156440500,0.07695560253699789
安顺市,156520400,0.008323294272259337
黔南布依族苗族自治州,156522700,0.005337535583570557
厦门市,156350200,0.3772915073712855
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0003136200716845878
红河哈尼族彝族自治州,156532500,0.005770181898115074
甘南藏族自治州,156623000,0.006834910620399579
太原市,156140100,0.14783001808318263
常德市,156430700,0.0069458736365507305
牡丹江市,156231000,0.0014727540500736377
淮南市,156340400,0.00779114270092947
德阳市,156510600,0.014453733881252658
威海市,156371000,0.013618412093149939
秦皇岛市,156130300,0.020118208683791772
绍兴市,156330600,0.035053073315230804
阳江市,156441700,0.024613442726412117
铁岭市,156211200,0.0016439994021820357
达州市,156511700,0.003954913980620921
池州市,156341700,0.006317026590274717
淮安市,156320800,0.01911860012961763
遵义市,156520300,0.008737660155429532
黔东南苗族侗族自治州,156522600,0.006201460530891388
莆田市,156350300,0.03376394373769979
南昌市,156360100,0.06109851347946586
佛山市,156440600,0.32474117895626453
大同市,156140200,0.012112614578786556
昆明市,156530100,0.04928753355820197
张家界市,156430800,0.013530929064013293
泸州市,156510500,0.007430280806716202
沈阳市,156210100,0.011276528349699081
邯郸市,156130400,0.014695363807789843
马鞍山市,156340500,0.011577149364205732
日照市,156371100,0.03065569117229634
三亚市,156460200,0.17091836734693877
十堰市,156420300,0.01194288186932064
呼和浩特市,156150100,0.013488080301129234
德宏傣族景颇族自治州,156533100,0.005958291956305859
梧州市,156450400,0.018631314940881404
枣庄市,156370400,0.022879377431906614
安阳市,156410500,0.013512075752739654
怀化市,156431200,0.007278416434256173
阳泉市,156140300,0.02207075624797144
保亭黎族苗族自治县,156469029,0.07616707616707617
中农发山丹马场,156629700,0.008849557522123894
鹰潭市,156360600,0.009444762449914138
陵水黎族自治县,156469028,0.09523809523809523
博尔塔拉蒙古自治州,156652700,0.001554519209415945
乐东黎族自治县,156469027,0.012226184411614875
辽源市,156220400,0.0017548990933021352
齐齐哈尔市,156230200,0.0003774491301513228
龙岩市,156350800,0.012731251243286255
天门市,156429006,0.002764722145424385
潜江市,156429005,0.005059631369714492
邢台市,156130500,0.01869934265109452
仙桃市,156429004,0.00939261114589856
绥化市,156231200,0.00040934675081016544
丹东市,156210600,0.0014908066920655955
滨州市,156371600,0.01075066012825349
镇江市,156321100,0.04872521246458923
昌江黎族自治县,156469026,0.015625
周口市,156411600,0.006679389312977099
白沙黎族自治县,156469025,0.04519230769230769
临高县,156469024,0.007823613086770981
吐鲁番市,156650400,0.004646840148698885
澄迈县,156469023,0.02428363283147159
长沙市,156430100,0.1016425557564798
屯昌县,156469022,0.020282186948853614
定安县,156469021,0.018477457501847747
海口市,156460100,0.18422964007355447
乐山市,156511100,0.009917884184707262
凉山彝族自治州,156513400,0.003516519463526333
桂林市,156450300,0.01399752984767394
东营市,156370500,0.048633558624742876
鹤壁市,156410600,0.016543470608940514
娄底市,156431300,0.014110297285652737
包头市,156150200,0.00528371194409634
锡林郭勒盟,156152500,0.000689655172413793
琼中黎族苗族自治县,156469030,0.009461426491994178
长治市,156140400,0.012387954476785175
赣州市,156360700,0.023900054318305268
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.00463896732553449
巴音郭楞蒙古自治州,156652800,0.0024862369028591726
上海市,156310000,0.703453588438964
鸡西市,156230300,0.0004284490145672665
宁德市,156350900,0.016321953650635435
保定市,156130600,0.021456685874035215
菏泽市,156371700,0.008091943239122787
崇左市,156451400,0.0039759749598172744
黑河市,156231100,0.0011775095672652341
扬州市,156321000,0.03229594832648268
驻马店市,156411700,0.005074596569572719
哈密市,156650500,0.005990893841361131
株洲市,156430200,0.01988183438056832
锦州市,156210700,0.0016557734204793028
肇庆市,156441200,0.03517828123506357
恩施土家族苗族自治州,156422800,0.005436591589925663
宜昌市,156420500,0.017831974998468045
怒江傈僳族自治州,156533300,0.002586206896551724
柳州市,156450200,0.03139411138701667
平凉市,156620800,0.003790835098673208
眉山市,156511400,0.015749007936507936
青岛市,156370200,0.06891426254982772
新乡市,156410700,0.019926338653319484
乌海市,156150300,0.006657789613848202
黔西南布依族苗族自治州,156522300,0.007156339071201206
晋城市,156140500,0.01588906543406038
广州市,156440100,0.49561053471668
吉林市,156220200,0.0015652717360248025
九江市,156360400,0.010755634719462902
漳州市,156350600,0.03639568960157384
来宾市,156451300,0.007376071157392342
张家口市,156130700,0.012683916793505834
德州市,156371400,0.012720700681217851
胡杨河市,156659010,0.0
固原市,156640400,0.006528835690968444
抚顺市,156210400,0.0012256779531178183
安庆市,156340800,0.011510263929618769
白杨市,156659012,0.0
新星市,156659011,0.006818181818181818
克拉玛依市,156650200,0.019319613607727847
湘潭市,156430300,0.021289355322338832
昆玉市,156659009,0.0
惠州市,156441300,0.0966573165030388
可克达拉市,156659008,0.0017226528854435831
襄阳市,156420600,0.01499636282244978
南宁市,156450100,0.019153278559840912
南充市,156511300,0.006132282084975909
酒泉市,156620900,0.00585335797905114
淄博市,156370300,0.035788923719958204
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0012360939431396785
焦作市,156410800,0.0304021550894747
石河子市,156659001,0.012326656394453005
赤峰市,156150400,0.000277808645405045
双河市,156659007,0.0
铁门关市,156659006,0.0008771929824561404
北屯市,156659005,0.004424778761061947
五家渠市,156659004,0.020030816640986132
韶关市,156440200,0.023523854511100614
朔州市,156140600,0.006233062330623307
四平市,156220300,0.0012400354295837024
新余市,156360500,0.012630423892009133
南平市,156350700,0.01791096185309567
哈尔滨市,156230100,0.003773480967333223
成都市,156510100,0.14980544747081712
河池市,156451200,0.004789650404898282
中卫市,156640500,0.01269217018233822
本溪市,156210500,0.004183304810800532
承德市,156130800,0.005496256173331209
聊城市,156371500,0.014483266508469029
衡阳市,156430400,0.009543950978797245
湘西土家族苗族自治州,156433100,0.008162031438935914
杭州市,156330100,0.1971531928279333
玉树藏族自治州,156632700,0.0014367816091954023
武威市,156620600,0.003472652858737443
临夏回族自治州,156622900,0.0039495956366372015
黄山市,156341000,0.023374175306314797
徐州市,156320300,0.020288576649234454
济宁市,156370800,0.01840574751967157
揭阳市,156445200,0.03715736040609137
那曲市,156540600,0.002373417532896694
郑州市,156410100,0.14882632491766704
通辽市,156150500,0.00022551304217093888
贵港市,156450800,0.006124666600810036
安康市,156610900,0.007145746258595119
昌吉回族自治州,156652300,0.00221865197766047
晋中市,156140700,0.014359279065161419
大庆市,156230600,0.001723543605653223
普洱市,156530800,0.0026397725734398267
白城市,156220800,0.0006072874493927126
石嘴山市,156640200,0.015599610009749756
荆州市,156421000,0.005643738977072311
沧州市,156130900,0.013137265502513922
三门峡市,156411200,0.01894537417113988
海西蒙古族藏族自治州,156632800,0.005857544517338332
云浮市,156445300,0.03920265780730897
张掖市,156620700,0.006467734822872262
滁州市,156341100,0.008085638579957347
泰安市,156370900,0.021651657405633264
无锡市,156320200,0.132764257173992
大兴安岭地区,156232700,0.008064516129032258
鄂尔多斯市,156150600,0.008100722233066562
阿拉善盟,156152900,0.007660878447395302
山南市,156540500,0.0005950609937518596
开封市,156410200,0.01805264383880736
重庆市,156500000,0.02682013269536413
钦州市,156450700,0.005905511811023622
榆林市,156610800,0.002271866717152594
伊春市,156230700,0.0006632765863365023
运城市,156140800,0.0128705712219812
丽江市,156530700,0.01070578905630452
黄冈市,156421100,0.00848382615598333
吴忠市,156640300,0.010778959471112388
南阳市,156411300,0.006336906141367323
乌鲁木齐市,156650100,0.02311382468382032
和田地区,156653200,0.0009334889148191366
海南藏族自治州,156632500,0.005565068493150685
海东市,156630200,0.00655307994757536
武汉市,156420100,0.19665465298955734
儋州市,156460400,0.022301228183581125
甘孜藏族自治州,156513300,0.024509803921568627
内江市,156511000,0.005908419497784343
烟台市,156370600,0.024313139441315093
南京市,156320100,0.19796897667671018
白银市,156620400,0.002890792291220557
郴州市,156431000,0.010116148370176097
呼伦贝尔市,156150700,0.00108720531013962
防城港市,156450600,0.009192546583850932
