name,gb,Average_Accessibility
梅州市,156441400,0.0001443209698369173
鄂州市,156420700,0.005517240940839395
吕梁市,156141100,0.00025270872160975457
舟山市,156330900,0.009529481834425254
朝阳市,156211300,6.36213258684311e-05
广安市,156511600,0.0008889876652961441
濮阳市,156410900,0.0006199627652792034
宣城市,156341800,0.0005820382981200163
六盘水市,156520200,0.0
深圳市,156440300,0.27625839832138077
三明市,156350400,0.0020878869931164976
景德镇市,156360200,0.00013588802826470988
楚雄彝族自治州,156532300,5.333475559348249e-05
大连市,156210200,0.012153950033760972
攀枝花市,156510400,0.0004950004005866433
贺州市,156451100,0.0
西安市,156610100,0.015605579339870184
境界线,,0.0
淮北市,156340600,0.0009732360097323601
邵阳市,156430500,3.57653791130186e-05
石家庄市,156130100,0.005533411488862837
汕尾市,156441500,0.0
荆门市,156420800,0.00017532581380398575
衢州市,156330800,0.0026193009740525497
迪庆藏族自治州,156533400,0.00010279605263157894
宜宾市,156511500,0.0001097574360662935
葫芦岛市,156211400,0.0
济南市,156370100,0.005612179073667914
贵阳市,156520100,0.005379775690708489
珠海市,156440400,0.02028397565922921
长春市,156220100,0.0001220703125
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.0011278195488721805
庆阳市,156621000,5.023484791399794e-05
泉州市,156350500,0.004455717027693995
自贡市,156510300,0.001273682458710849
临沂市,156371300,0.006129841181387573
百色市,156451000,4.243131430996075e-05
鞍山市,156210300,0.00026986911347996224
铜陵市,156340700,0.0023986567522187576
唐山市,156130200,0.00869734220883339
岳阳市,156430600,0.0005122425980944575
河源市,156441600,4.8911720186318886e-05
孝感市,156420900,0.0011913271384322134
金华市,156330700,0.004494976203067161
兴安盟,156152200,3.9588804286147876e-05
盘锦市,156211100,0.00034656038814763474
雅安市,156511800,5.564830272676683e-05
亳州市,156341600,0.0007315883596163225
商洛市,156611000,0.0001427959445951735
盐城市,156320900,0.00541802895843064
汕头市,156440500,0.002492877492877493
安顺市,156520400,0.000639488409272582
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.039556198745779064
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,7.218305049400691e-05
甘南藏族自治州,156623000,4.400149605086573e-05
太原市,156140100,0.01189914061762206
常德市,156430700,0.00016046856821920005
牡丹江市,156231000,5.466173496346774e-05
淮南市,156340400,0.0006375111564452378
德阳市,156510600,0.0025217500945656285
威海市,156371000,0.0025347012673506337
秦皇岛市,156130300,0.004869593925387917
绍兴市,156330600,0.004128964244926645
阳江市,156441700,0.0008031322156409999
铁岭市,156211200,0.000285591889190347
达州市,156511700,0.0
池州市,156341700,0.0009505703422053232
淮安市,156320800,0.0041651171439196725
遵义市,156520300,0.00023920011481605511
黔东南苗族侗族自治州,156522600,0.00014805310171248087
莆田市,156350300,0.0038498556304138597
南昌市,156360100,0.005424577508867098
佛山市,156440600,0.01408179012345679
大同市,156140200,0.00018140589569160998
昆明市,156530100,0.00260002888920988
张家界市,156430800,0.0
泸州市,156510500,0.00023731830317413232
沈阳市,156210100,0.0016899232292018735
邯郸市,156130400,0.003936571301840763
马鞍山市,156340500,0.002259690596210673
日照市,156371100,0.007753908732680818
三亚市,156460200,0.013530135301353014
十堰市,156420300,9.022285044058825e-05
呼和浩特市,156150100,0.0007123308214299104
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.00012043839576056847
枣庄市,156370400,0.004746366063482646
安阳市,156410500,0.000899847026005579
怀化市,156431200,5.340881779581809e-05
阳泉市,156140300,0.0005685856093221636
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0006061830672863204
陵水黎族自治县,156469028,0.0035211267605633804
博尔塔拉蒙古自治州,156652700,8.512811781731506e-05
乐东黎族自治县,156469027,0.0008455467869222097
辽源市,156220400,0.0001180776951233912
齐齐哈尔市,156230200,1.3584926165926287e-05
龙岩市,156350800,0.0014234875444839859
天门市,156429006,0.0010598834128245894
潜江市,156429005,0.0
邢台市,156130500,0.0027823853603724117
仙桃市,156429004,0.0019476905954368391
绥化市,156231200,0.0
丹东市,156210600,4.3957976174776917e-05
滨州市,156371600,0.001429431236834186
镇江市,156321100,0.010786106032906764
昌江黎族自治县,156469026,0.00047058823529411766
周口市,156411600,0.00023177656738903696
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,3.336336035765522e-05
澄迈县,156469023,0.0021994134897360706
长沙市,156430100,0.011039842111755273
屯昌县,156469022,0.0
定安县,156469021,0.0012217470255288397
海口市,156460100,0.03550500090637523
乐山市,156511100,0.0006684085799355897
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.0003845308723357504
东营市,156370500,0.001984914648670107
鹤壁市,156410600,0.0024279210925644916
娄底市,156431300,8.92379082634303e-05
包头市,156150200,3.595958143047215e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.00033827864495239934
赣州市,156360700,0.00023049883790169224
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,3.4415707328824874e-05
上海市,156310000,0.313615717756417
鸡西市,156230300,0.00016021532940271724
宁德市,156350900,0.000969047483326683
保定市,156130600,0.0045037089367714585
菏泽市,156371700,0.001012202665467019
崇左市,156451400,4.512839027031906e-05
黑河市,156231100,0.0
扬州市,156321000,0.008279769869200843
驻马店市,156411700,0.0005596753882748006
哈密市,156650500,4.61222701381362e-05
株洲市,156430200,0.00026193436982394216
锦州市,156210700,6.321112139035116e-05
肇庆市,156441200,0.000769941484447182
恩施土家族苗族自治州,156422800,0.0005079630680969313
宜昌市,156420500,0.0008183027038085171
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.0010125557678148495
平凉市,156620800,0.00018332925934979222
眉山市,156511400,0.0002023677021147425
青岛市,156370200,0.022424839822572696
新乡市,156410700,0.0028513238289205704
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,4.4869206263741195e-05
晋城市,156140500,0.0005070259307547444
广州市,156440100,0.06263135771332493
吉林市,156220200,0.0
九江市,156360400,0.0007258649891120251
漳州市,156350600,0.0030584778679534335
来宾市,156451300,5.642386273256726e-05
张家口市,156130700,0.0025318665968220707
德州市,156371400,0.006723872950819672
胡杨河市,156659010,0.0
固原市,156640400,6.358895716618055e-05
抚顺市,156210400,0.0
安庆市,156340800,0.0037280701754385964
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0011492600952683295
昆玉市,156659009,0.0
惠州市,156441300,0.004994263346156442
可克达拉市,156659008,0.0
襄阳市,156420600,0.0009359925120599036
南宁市,156450100,0.000660180681028492
南充市,156511300,0.00022759601706970128
酒泉市,156620900,3.2621109744227355e-05
淄博市,156370300,0.007120166502355132
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.0011836320595197836
石河子市,156659001,0.0
赤峰市,156150400,3.174098970927505e-05
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.0007627765064836003
韶关市,156440200,0.0004944783253667381
朔州市,156140600,0.00024154589371980676
四平市,156220300,0.0
新余市,156360500,0.0011317338162064282
南平市,156350700,0.0012418854078464579
哈尔滨市,156230100,0.0002757066481263935
成都市,156510100,0.023019493985897966
河池市,156451200,0.0
中卫市,156640500,0.0001972192091509713
本溪市,156210500,0.0
承德市,156130800,0.0010255575451733681
