name,gb,Gini_Coefficient
梅州市,156441400,0.9049440451867821
鄂州市,156420700,0.9432986793509716
吕梁市,156141100,0.927540483945039
舟山市,156330900,0.8912418177405466
朝阳市,156211300,0.9607083406914089
广安市,156511600,0.9733908063897745
濮阳市,156410900,0.9251048919893502
宣城市,156341800,0.9426148222647065
六盘水市,156520200,0.9707937537162337
深圳市,156440300,0.29483511679848295
三明市,156350400,0.9054935730257941
景德镇市,156360200,0.9098294272552843
楚雄彝族自治州,156532300,0.9623343540586479
大连市,156210200,0.8112082272860318
攀枝花市,156510400,0.9822731830821126
贺州市,156451100,0.964158520403736
西安市,156610100,0.6027348233265505
境界线,,0.0
淮北市,156340600,0.9764166253193205
邵阳市,156430500,0.9430212449591892
石家庄市,156130100,0.8156217455366273
汕尾市,156441500,0.8814320786742769
荆门市,156420800,0.9681380499485907
衢州市,156330800,0.8636628691363938
迪庆藏族自治州,156533400,0.9788398053180878
宜宾市,156511500,0.9228746422094775
葫芦岛市,156211400,0.9651851109588725
济南市,156370100,0.7949340203790147
贵阳市,156520100,0.7883195700791001
珠海市,156440400,0.5896023371105421
长春市,156220100,0.9171209885480607
延边朝鲜族自治州,156222400,0.9113669087636155
萍乡市,156360300,0.9779976801382713
庆阳市,156621000,0.9494957105266857
泉州市,156350500,0.7571467707847657
自贡市,156510300,0.9470647614752464
临沂市,156371300,0.9092334873786883
百色市,156451000,0.9682307262000535
鞍山市,156210300,0.9890176065542016
铜陵市,156340700,0.9120622543656268
唐山市,156130200,0.8787910656682975
岳阳市,156430600,0.9328785688588849
河源市,156441600,0.9130711979925461
孝感市,156420900,0.9718617808078147
金华市,156330700,0.8285275054916402
兴安盟,156152200,0.9989067768175913
盘锦市,156211100,0.9582200249259175
雅安市,156511800,0.9224541223683174
亳州市,156341600,0.9838303816063964
商洛市,156611000,0.9734040078402552
盐城市,156320900,0.9005159193217567
汕头市,156440500,0.8941616663860257
安顺市,156520400,0.932754645029571
黔南布依族苗族自治州,156522700,0.9482692114655124
厦门市,156350200,0.48201938880905304
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9748050363615934
红河哈尼族彝族自治州,156532500,0.9603062487128382
甘南藏族自治州,156623000,0.9931280859127732
太原市,156140100,0.6075573492316009
常德市,156430700,0.9375536695458921
牡丹江市,156231000,0.9612091658689635
淮南市,156340400,0.9744988940318493
德阳市,156510600,0.9286672753325349
威海市,156371000,0.861674072145179
秦皇岛市,156130300,0.9323173363457299
绍兴市,156330600,0.8671646928239376
阳江市,156441700,0.9108635706701536
铁岭市,156211200,0.9899499649862404
达州市,156511700,0.9566810545196124
池州市,156341700,0.9880013237401433
淮安市,156320800,0.9226006964853943
遵义市,156520300,0.9110179868233718
黔东南苗族侗族自治州,156522600,0.9599652035885905
莆田市,156350300,0.8987531402631886
南昌市,156360100,0.6761932724527661
佛山市,156440600,0.5879595646059261
大同市,156140200,0.9718952635882419
昆明市,156530100,0.6353393372957448
张家界市,156430800,0.9214844547542069
泸州市,156510500,0.9516309053836299
沈阳市,156210100,0.8465518300727689
邯郸市,156130400,0.9465624336870273
马鞍山市,156340500,0.9582169996128168
日照市,156371100,0.8568472465754271
三亚市,156460200,0.5319711284518047
十堰市,156420300,0.916811096804673
呼和浩特市,156150100,0.8683757903583885
德宏傣族景颇族自治州,156533100,0.9630526777243934
梧州市,156450400,0.8605854306854066
枣庄市,156370400,0.9300789306527519
安阳市,156410500,0.9330039638946848
怀化市,156431200,0.9399900418620736
阳泉市,156140300,0.9202922662973659
保亭黎族苗族自治县,156469029,0.8672576075847679
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9550566838482377
陵水黎族自治县,156469028,0.8162451967389603
博尔塔拉蒙古自治州,156652700,0.9959124786980097
乐东黎族自治县,156469027,0.9242578545356553
辽源市,156220400,0.9758607685402931
齐齐哈尔市,156230200,0.9882310846471409
龙岩市,156350800,0.8909496789234796
天门市,156429006,0.9703868931656858
潜江市,156429005,0.9899941470084276
邢台市,156130500,0.9454264322235716
仙桃市,156429004,0.9613488219013413
绥化市,156231200,0.9913002843379656
丹东市,156210600,0.987661299990949
滨州市,156371600,0.9684251921585783
镇江市,156321100,0.8236008312873143
昌江黎族自治县,156469026,0.9858780651844409
周口市,156411600,0.9811763758873613
白沙黎族自治县,156469025,0.7896086770275861
临高县,156469024,0.9805382115052494
吐鲁番市,156650400,0.9725003497732353
澄迈县,156469023,0.9337312067509221
长沙市,156430100,0.6028017414794538
屯昌县,156469022,0.8686107620772783
定安县,156469021,0.9673330251051445
海口市,156460100,0.5111323806387753
乐山市,156511100,0.9109997441350913
凉山彝族自治州,156513400,0.9806028824003732
桂林市,156450300,0.8943938896778699
东营市,156370500,0.8709091636234989
鹤壁市,156410600,0.940695470879566
娄底市,156431300,0.9294390879129928
包头市,156150200,0.9468297926747518
锡林郭勒盟,156152500,0.9982828427151733
琼中黎族苗族自治县,156469030,0.9827863073946347
长治市,156140400,0.9415330650991953
赣州市,156360700,0.8745900321676614
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.9250733279024363
巴音郭楞蒙古自治州,156652800,0.9279548659767394
上海市,156310000,0.42973518923705756
鸡西市,156230300,0.9892100865516905
宁德市,156350900,0.9152357606086449
保定市,156130600,0.9216817344372137
菏泽市,156371700,0.9795631643671359
崇左市,156451400,0.9809722125641467
黑河市,156231100,0.9691586131429873
扬州市,156321000,0.868380313903711
驻马店市,156411700,0.9726509624534984
哈密市,156650500,0.9386547675302775
株洲市,156430200,0.8953077270908607
锦州市,156210700,0.9765927877052534
肇庆市,156441200,0.8782002445986287
恩施土家族苗族自治州,156422800,0.9714444335148481
宜昌市,156420500,0.9065380471033806
怒江傈僳族自治州,156533300,0.982182999758796
柳州市,156450200,0.796280560799552
平凉市,156620800,0.957459562474812
眉山市,156511400,0.948290541075045
青岛市,156370200,0.6773465463070241
新乡市,156410700,0.9406375007524819
乌海市,156150300,0.9772505570538818
黔西南布依族苗族自治州,156522300,0.9485873937089686
晋城市,156140500,0.9071326433496313
广州市,156440100,0.40834926991592035
吉林市,156220200,0.960737189483745
九江市,156360400,0.9213829993185447
漳州市,156350600,0.8716656713336015
来宾市,156451300,0.9681426357854108
张家口市,156130700,0.9023534925999969
德州市,156371400,0.9577669100539129
胡杨河市,156659010,0.0
