name,gb,Average_Accessibility
梅州市,156441400,0.01564591700133869
鄂州市,156420700,0.016974538192710935
吕梁市,156141100,0.00832625318606627
舟山市,156330900,0.1015572105619499
朝阳市,156211300,0.0004729026766291497
广安市,156511600,0.005480817140009965
濮阳市,156410900,0.0309480923530375
宣城市,156341800,0.00934752429430819
六盘水市,156520200,0.005516910072595674
深圳市,156440300,1.6955156950672645
三明市,156350400,0.012477718360071301
景德镇市,156360200,0.011761938367442954
楚雄彝族自治州,156532300,0.003939978204375891
大连市,156210200,0.021177021177021176
攀枝花市,156510400,0.006099251455503188
贺州市,156451100,0.007658321060382916
西安市,156610100,0.1906320825988416
境界线,,0.0
淮北市,156340600,0.010419313850063533
邵阳市,156430500,0.008205297648548928
石家庄市,156130100,0.027998821102269377
汕尾市,156441500,0.02193966591872351
荆门市,156420800,0.004423816085285372
衢州市,156330800,0.024640946212334553
迪庆藏族自治州,156533400,0.0074367873078829945
宜宾市,156511500,0.006840620592383639
葫芦岛市,156211400,0.002838221381267739
济南市,156370100,0.03530950305143853
贵阳市,156520100,0.029513681443422153
珠海市,156440400,0.24246231155778894
长春市,156220100,0.0054576641197567445
延边朝鲜族自治州,156222400,0.00624860522204865
萍乡市,156360300,0.012074054199087738
庆阳市,156621000,0.004205063970654022
泉州市,156350500,0.06971629645920387
自贡市,156510300,0.005883314267037098
临沂市,156371300,0.018897500653139422
百色市,156451000,0.004874987933198185
鞍山市,156210300,0.0025653206650831355
铜陵市,156340700,0.013102871480345692
唐山市,156130200,0.020161965931304104
岳阳市,156430600,0.008625759654969613
河源市,156441600,0.0198990198990199
孝感市,156420900,0.006571352455376964
金华市,156330700,0.043965804374375486
兴安盟,156152200,0.00025611473940325265
盘锦市,156211100,0.00686106346483705
雅安市,156511800,0.02120141342756184
亳州市,156341600,0.0068256578947368425
商洛市,156611000,0.00543267365153279
盐城市,156320900,0.019932398846803857
汕头市,156440500,0.058301647655259824
安顺市,156520400,0.008084780946137878
黔南布依族苗族自治州,156522700,0.00516795865633075
厦门市,156350200,0.3476470229204963
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0003525937679051523
红河哈尼族彝族自治州,156532500,0.005405995740730628
甘南藏族自治州,156623000,0.004201680672268907
太原市,156140100,0.12275583482944345
常德市,156430700,0.005709582840388869
牡丹江市,156231000,0.0013674134848006732
淮南市,156340400,0.006005186297256722
德阳市,156510600,0.012333427842358946
威海市,156371000,0.011980939414567734
秦皇岛市,156130300,0.01837568058076225
绍兴市,156330600,0.028437769297057738
阳江市,156441700,0.016946493017417227
铁岭市,156211200,0.0014204545454545455
达州市,156511700,0.003886436993610434
池州市,156341700,0.0049911920140927775
淮安市,156320800,0.016041481001377297
遵义市,156520300,0.008019145184314383
黔东南苗族侗族自治州,156522600,0.005603373577494079
莆田市,156350300,0.030800821355236138
南昌市,156360100,0.054081247641806066
佛山市,156440600,0.24383041552415102
大同市,156140200,0.009950248756218905
昆明市,156530100,0.04320054945054945
张家界市,156430800,0.012220614246663451
泸州市,156510500,0.006751543209876543
沈阳市,156210100,0.010072214920892622
邯郸市,156130400,0.012613784135240572
马鞍山市,156340500,0.010231148162182645
日照市,156371100,0.02609558927811658
三亚市,156460200,0.15739570164348926
十堰市,156420300,0.010499139414802065
呼和浩特市,156150100,0.012358500363485304
德宏傣族景颇族自治州,156533100,0.004746317824443311
梧州市,156450400,0.016405135520684736
枣庄市,156370400,0.01960479228255796
安阳市,156410500,0.012456084318109231
怀化市,156431200,0.006306795063067951
阳泉市,156140300,0.01906916612798966
保亭黎族苗族自治县,156469029,0.07361962722123035
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.00827153451226469
陵水黎族自治县,156469028,0.08180708180708181
博尔塔拉蒙古自治州,156652700,0.001302365964836119
乐东黎族自治县,156469027,0.010116337885685382
辽源市,156220400,0.0013154048523823444
齐齐哈尔市,156230200,0.00037645448323066395
龙岩市,156350800,0.011378252696151182
天门市,156429006,0.0022105554020447637
潜江市,156429005,0.003614022406938923
