name,gb,Gini_Coefficient
梅州市,156441400,0.7163410267312639
鄂州市,156420700,0.8811743129668589
吕梁市,156141100,0.8547109571427302
舟山市,156330900,0.7851711368180483
朝阳市,156211300,0.9782897766085656
广安市,156511600,0.9110125293900289
濮阳市,156410900,0.8131284754572102
宣城市,156341800,0.8253511952509623
六盘水市,156520200,0.8809517904565336
深圳市,156440300,0.3459812646570226
三明市,156350400,0.7803666243523923
景德镇市,156360200,0.7959938488232231
楚雄彝族自治州,156532300,0.9179699810724987
大连市,156210200,0.7494046549463518
攀枝花市,156510400,0.8926120989779237
贺州市,156451100,0.7850552997324824
西安市,156610100,0.5138532292287045
境界线,,0.0
淮北市,156340600,0.8724703912934811
邵阳市,156430500,0.8605649321675515
石家庄市,156130100,0.7771203715705266
汕尾市,156441500,0.7737057754911402
荆门市,156420800,0.8883086913758194
衢州市,156330800,0.8249407396627884
迪庆藏族自治州,156533400,0.8047333098191499
宜宾市,156511500,0.8326787262929383
葫芦岛市,156211400,0.9420917550033123
济南市,156370100,0.7670249713607045
贵阳市,156520100,0.73272940728134
珠海市,156440400,0.4132157077257904
长春市,156220100,0.8905158954360527
延边朝鲜族自治州,156222400,0.8524868507640886
萍乡市,156360300,0.8740566016645299
庆阳市,156621000,0.8880783280644573
泉州市,156350500,0.7072991615052844
自贡市,156510300,0.8783304774517111
临沂市,156371300,0.8510298092921549
百色市,156451000,0.8391345280801819
鞍山市,156210300,0.9536698449546016
铜陵市,156340700,0.8217066515738395
唐山市,156130200,0.8411479637693658
岳阳市,156430600,0.8503463004632341
河源市,156441600,0.6741480934418063
孝感市,156420900,0.9257481785249275
金华市,156330700,0.7272910503966126
兴安盟,156152200,0.9907491101070353
盘锦市,156211100,0.918320474838249
雅安市,156511800,0.7756025797392038
亳州市,156341600,0.9067630053806818
商洛市,156611000,0.8998532614845456
盐城市,156320900,0.8238917517939703
汕头市,156440500,0.7879553665078283
安顺市,156520400,0.9004274546002325
黔南布依族苗族自治州,156522700,0.855470973625524
厦门市,156350200,0.5079109076872309
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9800868805467524
红河哈尼族彝族自治州,156532500,0.8565036414395837
甘南藏族自治州,156623000,0.923145635251172
太原市,156140100,0.6082563902475562
常德市,156430700,0.8814891859998576
牡丹江市,156231000,0.9532588906519923
淮南市,156340400,0.9252196264533942
德阳市,156510600,0.887228000599009
威海市,156371000,0.8608520550912201
秦皇岛市,156130300,0.8954692034965775
绍兴市,156330600,0.8302679213614909
阳江市,156441700,0.7157349531892774
铁岭市,156211200,0.9749816192360804
达州市,156511700,0.8770590502816873
池州市,156341700,0.9456274022907932
淮安市,156320800,0.8256976908953902
遵义市,156520300,0.8119619447073733
黔东南苗族侗族自治州,156522600,0.841594662242797
莆田市,156350300,0.8407628633462862
南昌市,156360100,0.6248737706055285
佛山市,156440600,0.5124446792710662
大同市,156140200,0.9087056499918407
昆明市,156530100,0.6099286814737344
张家界市,156430800,0.8475721389208931
泸州市,156510500,0.895158063265717
沈阳市,156210100,0.842245277768646
邯郸市,156130400,0.9186123925936865
马鞍山市,156340500,0.9156542387261214
日照市,156371100,0.7716520665602067
三亚市,156460200,0.4070663563960062
十堰市,156420300,0.7547948442383174
呼和浩特市,156150100,0.8442041733389734
德宏傣族景颇族自治州,156533100,0.8318981031232611
梧州市,156450400,0.6915671692970565
枣庄市,156370400,0.8959563262756679
安阳市,156410500,0.9033532616186366
怀化市,156431200,0.8573927640037347
阳泉市,156140300,0.8019691042446262
保亭黎族苗族自治县,156469029,0.5476153235001766
中农发山丹马场,156629700,0.9533807186827098
鹰潭市,156360600,0.9299600547928497
陵水黎族自治县,156469028,0.5053413979175803
博尔塔拉蒙古自治州,156652700,0.9574964504523518
乐东黎族自治县,156469027,0.8539326429696726
辽源市,156220400,0.9471105772181551
齐齐哈尔市,156230200,0.9817150193613382
龙岩市,156350800,0.8204307794629524
天门市,156429006,0.9658901378468245
潜江市,156429005,0.9692711312663655
邢台市,156130500,0.882478023806751
仙桃市,156429004,0.8947593134609266
绥化市,156231200,0.9845047679878756
丹东市,156210600,0.9542727337089478
滨州市,156371600,0.9463748520662331
镇江市,156321100,0.8133832238857484
昌江黎族自治县,156469026,0.7515922401575622
周口市,156411600,0.9591942807092926
白沙黎族自治县,156469025,0.5566151691956429
临高县,156469024,0.7737495270376676
吐鲁番市,156650400,0.9438132197088122
澄迈县,156469023,0.8266350215250764
长沙市,156430100,0.5531732801887089
屯昌县,156469022,0.8233613532739503
定安县,156469021,0.7366828218533025
海口市,156460100,0.36665574073660034
乐山市,156511100,0.8588674992137315
凉山彝族自治州,156513400,0.9232618547382182
桂林市,156450300,0.7854289693639065
东营市,156370500,0.7944485924152038
鹤壁市,156410600,0.8933103098947643
