name,gb,Average_Accessibility
梅州市,156441400,46.352162410892625
鄂州市,156420700,35.59961261781363
吕梁市,156141100,23.05235697963854
舟山市,156330900,48.11170670713754
朝阳市,156211300,10.07986187037547
广安市,156511600,13.334569854922545
濮阳市,156410900,36.98684690968231
宣城市,156341800,213.99007742077893
六盘水市,156520200,20.338743842983686
深圳市,156440300,55.13937458015386
三明市,156350400,29.258800739064235
景德镇市,156360200,32.01363367091457
楚雄彝族自治州,156532300,29.46861793169586
大连市,156210200,27.846106379949784
攀枝花市,156510400,24.276215195659702
贺州市,156451100,46.968156441810684
西安市,156610100,38.01380720234794
境界线,,0.0
淮北市,156340600,69.75738905145647
邵阳市,156430500,10.733177724497198
石家庄市,156130100,30.561912225320086
汕尾市,156441500,32.206119245146255
荆门市,156420800,36.58292482065066
衢州市,156330800,56.9904805666682
迪庆藏族自治州,156533400,50.15069109121667
宜宾市,156511500,23.452335278344197
葫芦岛市,156211400,14.053773557326698
济南市,156370100,33.21089348682769
贵阳市,156520100,37.04792856380237
珠海市,156440400,79.63070445705236
长春市,156220100,17.805748674267385
延边朝鲜族自治州,156222400,18.77763839297811
萍乡市,156360300,33.16105552006885
庆阳市,156621000,19.980999695433635
泉州市,156350500,34.684112376114506
自贡市,156510300,18.038273423786976
临沂市,156371300,42.40085801180471
百色市,156451000,31.242686322670153
鞍山市,156210300,11.858741556188608
铜陵市,156340700,90.67146144687104
唐山市,156130200,37.23916032568218
岳阳市,156430600,17.700780852707705
河源市,156441600,53.28595592246913
孝感市,156420900,32.85492584850401
金华市,156330700,41.514926711052105
兴安盟,156152200,28.70629387649266
盘锦市,156211100,20.281507456647017
雅安市,156511800,38.55586692151429
亳州市,156341600,27.92722701822188
商洛市,156611000,17.23035939313242
盐城市,156320900,48.15630367992077
汕头市,156440500,21.963618114285143
安顺市,156520400,29.843260259042967
黔南布依族苗族自治州,156522700,29.087199966388724
厦门市,156350200,42.7050304153016
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,28.38150707066539
红河哈尼族彝族自治州,156532500,26.60084086072223
甘南藏族自治州,156623000,18.13752755223885
太原市,156140100,38.03999039809491
常德市,156430700,15.709156176834048
牡丹江市,156231000,11.77443451530627
淮南市,156340400,27.18336255331372
德阳市,156510600,26.269444994563948
威海市,156371000,51.50512652324998
秦皇岛市,156130300,31.97920251321474
绍兴市,156330600,59.89271014162146
阳江市,156441700,34.40987818332689
铁岭市,156211200,12.557941687737989
达州市,156511700,9.830385827759734
池州市,156341700,126.33696560406878
