name,gb,Average_Accessibility
梅州市,156441400,0.08909132003341137
鄂州市,156420700,0.23501852385126848
吕梁市,156141100,0.0810882884152971
舟山市,156330900,0.5931016072425795
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.07376742183536582
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,1.3559129288233125
三明市,156350400,0.0
景德镇市,156360200,0.31921237882097847
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.37074332910735486
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.6103428114033305
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0886243375491768
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.5597734242634539
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.04652057627755997
葫芦岛市,156211400,0.0
济南市,156370100,0.5660195550388851
贵阳市,156520100,0.0
珠海市,156440400,0.9226710464471567
长春市,156220100,0.07476034211948772
延边朝鲜族自治州,156222400,0.21291732850053166
萍乡市,156360300,0.10998363088315463
庆阳市,156621000,0.0
泉州市,156350500,0.15526649979480472
自贡市,156510300,0.5959438670205071
临沂市,156371300,0.4497088101757274
百色市,156451000,0.0
鞍山市,156210300,0.09594391884531712
铜陵市,156340700,0.0
唐山市,156130200,0.16163878612321156
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,1.0050218608535202
兴安盟,156152200,0.7953523094760628
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.03447230781577798
商洛市,156611000,0.0
盐城市,156320900,0.2043654531176778
汕头市,156440500,0.08100882926670097
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.8750487519666387
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.5207969397915534
常德市,156430700,0.09918930239314416
牡丹江市,156231000,0.0
淮南市,156340400,0.13099207833014515
德阳市,156510600,0.08444891781964549
威海市,156371000,0.28414292330878593
秦皇岛市,156130300,0.04343193144915787
绍兴市,156330600,0.25777892279212655
阳江市,156441700,0.12490405101597504
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.176919837887018
遵义市,156520300,0.01896986536974328
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.22129546884431914
佛山市,156440600,0.2255766927399927
大同市,156140200,0.1107191718869724
昆明市,156530100,0.12522848567019765
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.32667889790023297
邯郸市,156130400,0.06886835099988085
马鞍山市,156340500,0.46554143337443626
日照市,156371100,0.06285450001366553
三亚市,156460200,1.5663422085444574
十堰市,156420300,0.0
呼和浩特市,156150100,0.4706454921534693
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.12793858101924327
安阳市,156410500,0.22363948965016833
怀化市,156431200,0.0
阳泉市,156140300,0.1516232931452269
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.3425180081302206
陵水黎族自治县,156469028,0.7841673971494193
