name,gb,Average_Accessibility
梅州市,156441400,0.017965267629291945
鄂州市,156420700,0.018637685243248336
吕梁市,156141100,0.006550482230597737
舟山市,156330900,0.07870445387219195
朝阳市,156211300,0.0004178188628278094
广安市,156511600,0.003607864044630071
濮阳市,156410900,0.02212122708215352
宣城市,156341800,0.009344309703576402
六盘水市,156520200,0.004107419983582496
深圳市,156440300,1.1503714117622117
三明市,156350400,0.010802635898212776
景德镇市,156360200,0.008385855258661808
楚雄彝族自治州,156532300,0.0032610275674936156
大连市,156210200,0.017183313759729323
攀枝花市,156510400,0.004881408337815773
贺州市,156451100,0.009991105297261106
西安市,156610100,0.12984107739761902
境界线,,0.0
淮北市,156340600,0.009251288040145515
邵阳市,156430500,0.006051525920322842
石家庄市,156130100,0.020806073639068817
汕尾市,156441500,0.019855505044504826
荆门市,156420800,0.0046909232078588626
衢州市,156330800,0.01887411673448634
迪庆藏族自治州,156533400,0.006331805720162199
宜宾市,156511500,0.006261904915691007
葫芦岛市,156211400,0.0021512976086596825
济南市,156370100,0.026591011806729913
贵阳市,156520100,0.022077373574938622
珠海市,156440400,0.2161792713476437
长春市,156220100,0.004255790244073569
延边朝鲜族自治州,156222400,0.005252833291047314
萍乡市,156360300,0.009200994519219883
庆阳市,156621000,0.003716590552877766
泉州市,156350500,0.05134107678233764
自贡市,156510300,0.0037166366263181585
临沂市,156371300,0.01442366219056088
百色市,156451000,0.0036376775688365197
鞍山市,156210300,0.002112175240705455
铜陵市,156340700,0.009644423997269091
唐山市,156130200,0.014160210252444466
岳阳市,156430600,0.0063708578732443
河源市,156441600,0.019949203077050455
孝感市,156420900,0.005340412699629823
金华市,156330700,0.03505343131445972
兴安盟,156152200,0.00031699980575111946
盘锦市,156211100,0.004506020868749624
雅安市,156511800,0.01954046192430892
亳州市,156341600,0.005190944169035699
商洛市,156611000,0.0037686954680190045
盐城市,156320900,0.015264937872080537
汕头市,156440500,0.05259278596288478
安顺市,156520400,0.005599945668395706
黔南布依族苗族自治州,156522700,0.003781123334859788
厦门市,156350200,0.2513739298405259
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.00022836125038035686
红河哈尼族彝族自治州,156532500,0.003911212923745282
甘南藏族自治州,156623000,0.005163705032025739
太原市,156140100,0.10064629155839408
常德市,156430700,0.004693539055469739
牡丹江市,156231000,0.0012246870145507685
淮南市,156340400,0.0050765542670187834
德阳市,156510600,0.00970670409214161
威海市,156371000,0.009307492650398347
秦皇岛市,156130300,0.013506842597865889
绍兴市,156330600,0.02405672244130669
阳江市,156441700,0.016920578162771958
铁岭市,156211200,0.0011440098047573938
达州市,156511700,0.002511705198836535
池州市,156341700,0.004412940193016708
淮安市,156320800,0.012810024998261886
遵义市,156520300,0.005816260715847985
黔东南苗族侗族自治州,156522600,0.003969502977289513
莆田市,156350300,0.02271397216206093
南昌市,156360100,0.03982288248100517
佛山市,156440600,0.21505866087306186
大同市,156140200,0.009005278286766002
昆明市,156530100,0.033845962454739226
张家界市,156430800,0.00962491672738756
泸州市,156510500,0.005063306200537805
沈阳市,156210100,0.007959503673011369
邯郸市,156130400,0.009849841778094951
马鞍山市,156340500,0.007410422053973495
日照市,156371100,0.020484205903036765
三亚市,156460200,0.11417566885647641
十堰市,156420300,0.008171736254583516
呼和浩特市,156150100,0.01024399449397461
德宏傣族景颇族自治州,156533100,0.0038716684266540072
梧州市,156450400,0.012149753208941213
枣庄市,156370400,0.014893620561858547
安阳市,156410500,0.00904728393029315
怀化市,156431200,0.005008652605817992
阳泉市,156140300,0.015054568361981484
保亭黎族苗族自治县,156469029,0.05270845151794743
中农发山丹马场,156629700,0.00382364595059267
鹰潭市,156360600,0.006845174953233033
陵水黎族自治县,156469028,0.0676476764678955
博尔塔拉蒙古自治州,156652700,0.0012073634261145637
乐东黎族自治县,156469027,0.008051698587439435
