name,gb,Average_Accessibility
梅州市,156441400,0.15716080706370622
鄂州市,156420700,0.31402455871355384
吕梁市,156141100,0.12559322908820317
舟山市,156330900,0.4433067123783245
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.14976267802982193
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,2.6877352255168767
三明市,156350400,0.0
景德镇市,156360200,0.5564649126441639
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.3717285935508578
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.8732404722278381
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.1603533233384266
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.5639413289787581
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.06391336313008401
葫芦岛市,156211400,0.0
济南市,156370100,0.8939957096508696
贵阳市,156520100,0.0
珠海市,156440400,1.6044583170358004
长春市,156220100,0.08406829780869846
延边朝鲜族自治州,156222400,0.15122862121023145
萍乡市,156360300,0.16635078715425575
庆阳市,156621000,0.0
泉州市,156350500,0.2436030028054298
自贡市,156510300,0.657034215120434
临沂市,156371300,0.7838055747688214
百色市,156451000,0.0
鞍山市,156210300,0.07880931684466748
铜陵市,156340700,0.0
唐山市,156130200,0.21409726336534562
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,1.2433368710469834
兴安盟,156152200,0.7333469252288892
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.06986218564236636
商洛市,156611000,0.0
盐城市,156320900,0.20910965968257386
汕头市,156440500,0.17512531887867663
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,1.6820191140851952
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.7772963140518355
常德市,156430700,0.09084084469162816
牡丹江市,156231000,0.0
淮南市,156340400,0.18477000770722896
德阳市,156510600,0.07789137986686032
