name,gb,Gini_Coefficient
梅州市,156441400,0.9919124104428964
鄂州市,156420700,0.9909844126506292
吕梁市,156141100,0.9781219809778829
舟山市,156330900,0.9508066690980556
朝阳市,156211300,0.9936323674630413
广安市,156511600,0.9912038276414002
濮阳市,156410900,0.9868428215989846
宣城市,156341800,0.995746356763689
六盘水市,156520200,0.0
深圳市,156440300,0.6687988383129017
三明市,156350400,0.9383975867558014
景德镇市,156360200,0.9935930285769551
楚雄彝族自治州,156532300,0.9932251083435583
大连市,156210200,0.8613368479473517
攀枝花市,156510400,0.996482364570338
贺州市,156451100,0.0
西安市,156610100,0.8355018182832852
境界线,,0.0
淮北市,156340600,0.9992889539531253
邵阳市,156430500,0.9968121870809484
石家庄市,156130100,0.9437484496832093
汕尾市,156441500,0.0
荆门市,156420800,0.999667083510463
衢州市,156330800,0.9661329550154173
迪庆藏族自治州,156533400,0.9789764173747013
宜宾市,156511500,0.9962222816017061
葫芦岛市,156211400,0.0
济南市,156370100,0.95855642875151
贵阳市,156520100,0.9011724519355668
珠海市,156440400,0.8680931850531621
长春市,156220100,0.995423454678155
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9846088605377459
庆阳市,156621000,0.9863453250486386
泉州市,156350500,0.9647613956715504
自贡市,156510300,0.9631388218808203
临沂市,156371300,0.9451331363980948
百色市,156451000,0.9864217386710324
鞍山市,156210300,0.9993925750592427
铜陵市,156340700,0.997633271769537
唐山市,156130200,0.9285228577648099
岳阳市,156430600,0.9971713537074969
河源市,156441600,0.9933018145494138
孝感市,156420900,0.9946680115276629
金华市,156330700,0.9608768898129155
兴安盟,156152200,0.9849097392703476
盘锦市,156211100,0.9956200158332692
雅安市,156511800,0.9862118669272752
亳州市,156341600,0.9916146295880707
商洛市,156611000,0.9913869711026426
盐城市,156320900,0.9437513561457775
汕头市,156440500,0.9734091513347912
安顺市,156520400,0.9897198666451751
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.7823867018756587
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.985621663813258
甘南藏族自治州,156623000,0.0
太原市,156140100,0.8299520790316323
常德市,156430700,0.9909792258494368
牡丹江市,156231000,0.9866258461380593
淮南市,156340400,0.9942602525432436
德阳市,156510600,0.9623641747815328
威海市,156371000,0.9705271129314352
秦皇岛市,156130300,0.9629328702584078
绍兴市,156330600,0.9624261791021025
阳江市,156441700,0.9841886765617919
铁岭市,156211200,0.9990892538806386
达州市,156511700,0.0
池州市,156341700,0.9982223330357366
淮安市,156320800,0.9720185405520826
遵义市,156520300,0.988670264065515
黔东南苗族侗族自治州,156522600,0.9832864916468238
莆田市,156350300,0.972659817653551
南昌市,156360100,0.9359554293457955
佛山市,156440600,0.940702038265811
大同市,156140200,0.9955402545505008
昆明市,156530100,0.9027337385790845
张家界市,156430800,0.0
泸州市,156510500,0.9867888171510042
沈阳市,156210100,0.9623436885910618
邯郸市,156130400,0.9717125107437568
马鞍山市,156340500,0.9938857876358385
日照市,156371100,0.9055125319445715
三亚市,156460200,0.9050765701017389
十堰市,156420300,0.9907147508149682
呼和浩特市,156150100,0.958004949562921
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9829233021923569
枣庄市,156370400,0.9802918872767545
安阳市,156410500,0.9940202984163071
怀化市,156431200,0.9936019941039782
阳泉市,156140300,0.9734085318508849
